Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/08/2023,23.85,24.01,23.385,23.43,-0.51,-2.13%,1775600,0
02/07/2023,23.72,24.28,23.47,23.94,0.01,+0.04%,2073200,0
02/06/2023,24.37,24.4256,23.625,23.93,-0.92,-3.70%,2065400,0
02/03/2023,25.7,25.87,24.715,24.85,-1.48,-5.62%,3745300,0
02/02/2023,25.1,26.76,25.085,26.33,1.8,+7.34%,5808300,0
02/01/2023,24.01,24.605,23.57,24.53,0.14,+0.57%,2242400,0
01/31/2023,23.41,24.43,23.27,24.39,0.96,+4.10%,2461200,0
01/30/2023,23.26,23.63,23.25,23.43,-0.07,-0.30%,2592200,0
01/27/2023,21.9,23.53,21.9,23.5,1.18,+5.29%,2716700,0
01/26/2023,22.66,22.75,21.99,22.32,-0.13,-0.58%,2701192,0
01/25/2023,21.81,22.53,21.71,22.45,0.34,+1.54%,1884900,0
01/24/2023,22.49,22.52,22.07,22.11,-0.31,-1.38%,1558000,0
01/23/2023,22.32,22.74,22.175,22.42,0.17,+0.76%,2324800,0
01/20/2023,22.11,22.255,21.88,22.25,0.08,+0.36%,4062200,0
01/19/2023,22.68,22.75,22.1,22.17,-0.9,-3.90%,3210700,0
01/18/2023,23.43,23.545,22.8308,23.07,-0.23,-0.99%,2073100,0
01/17/2023,23.35,23.53,23.18,23.3,-0.01,-0.04%,2688000,0
01/13/2023,22.7,23.4,22.62,23.31,0.28,+1.22%,2451400,0
01/12/2023,22.8,23.13,22.48,23.03,0.47,+2.08%,2152400,0
01/11/2023,21.97,22.6,21.95,22.56,0.74,+3.39%,2934400,0
01/10/2023,21.2,21.89,21.13,21.82,0.63,+2.97%,4393400,0
01/09/2023,21.78,21.87,21.17,21.19,-0.57,-2.62%,6342700,0
01/06/2023,21.4,21.86,21.22,21.76,0.39,+1.82%,2718900,0
01/05/2023,20.92,21.4,20.7,21.37,0.14,+0.66%,6472400,0
01/04/2023,21.44,21.8,21.03,21.23,0.2,+0.95%,60865700,0
01/03/2023,21.09,21.36,20.4,21.03,0.22,+1.06%,5726000,0
12/30/2022,20.96,21.14,20.41,20.81,-0.42,-1.98%,4132700,0
12/29/2022,20.99,21.47,20.89,21.23,0.34,+1.63%,4488500,0
12/28/2022,21.5,21.62,20.735,20.89,-0.63,-2.93%,2449500,0
12/27/2022,21.45,21.5754,21.18,21.52,0.07,+0.33%,1572500,0
12/23/2022,21.34,21.62,21.23,21.45,0,0.00%,1583500,0
12/22/2022,20.79,21.48,20.48,21.45,0.37,+1.76%,2509100,0
12/21/2022,21.31,21.55,21.025,21.08,-0.08,-0.38%,2151000,0
12/20/2022,21.18,21.57,21.11,21.16,-0.15,-0.70%,1993100,0
12/19/2022,21.62,21.71,21.14,21.31,-0.34,-1.57%,2171600,0
12/16/2022,22.04,22.39,21.305,21.65,-0.95,-4.20%,9689800,0
12/15/2022,22.7,22.85,22.39,22.6,-0.37,-1.61%,2588400,0
12/14/2022,22.77,23.52,22.69,22.97,-0.09,-0.39%,3061700,0
12/13/2022,23.65,24.07,22.75,23.06,0.46,+2.04%,4009000,0
12/12/2022,22.14,22.62,21.64,22.6,0.51,+2.31%,3239700,0
12/09/2022,21.27,22.26,21.17,22.09,0.64,+2.98%,2366100,0
12/08/2022,21.44,21.875,21.27,21.45,0.16,+0.75%,5141200,0
12/07/2022,21.8,21.87,20.94,21.29,-0.72,-3.27%,5001500,0
12/06/2022,22.96,23.01,21.78,22.01,-0.89,-3.89%,4030400,0
12/05/2022,23.94,23.99,22.9,22.9,-1.44,-5.92%,4470300,0
12/02/2022,24.44,24.58,24.14,24.34,-0.44,-1.78%,2743300,0
12/01/2022,25.5,25.795,24.705,24.78,-0.51,-2.02%,2284200,0
11/30/2022,25.19,25.44,24.59,25.29,-0.02,-0.08%,12124200,0
11/29/2022,24.86,25.525,24.66,25.31,0.54,+2.18%,2560700,0
11/28/2022,24.81,25.1,24.485,24.77,-0.31,-1.24%,3935500,0
11/25/2022,24.56,25.08,24.51,25.08,0.42,+1.70%,1421200,0
11/23/2022,24.48,24.7,24.26,24.66,-0.03,-0.12%,1774500,0
11/22/2022,24.1,24.71,23.96,24.69,0.52,+2.15%,2224200,0
11/21/2022,23.77,24.235,23.7,24.17,0.19,+0.79%,2549500,0
11/18/2022,24.61,24.635,23.85,23.98,-0.07,-0.29%,2899400,0
11/17/2022,23.73,24.145,23.51,24.05,-0.31,-1.27%,3060600,0
11/16/2022,24.85,24.98,24.24,24.36,-0.75,-2.99%,3576300,0
11/15/2022,25.36,25.79,24.815,25.11,0.17,+0.68%,4660600,0
11/14/2022,25.54,25.88,24.92,24.94,-0.83,-3.22%,2603600,0
11/11/2022,25.03,26.28,24.75,25.77,0.68,+2.71%,3775600,0
11/10/2022,23.71,25.25,23.65,25.09,2.59,+11.51%,4715700,0
11/09/2022,22.83,22.965,22.445,22.5,-0.56,-2.43%,3539400,0
11/08/2022,23,23.21,22.7,23.06,0.13,+0.57%,4335600,0
11/07/2022,23.44,23.63,22.55,22.93,-0.2,-0.86%,2496600,0
11/04/2022,22.57,23.145,22.49,23.13,0.48,+2.12%,3888500,0
11/03/2022,22.35,22.93,21.75,22.65,-0.19,-0.83%,4460600,0
11/02/2022,23,23.735,22.72,22.84,-0.35,-1.51%,5388300,0
11/01/2022,24.51,24.7,22.71,23.19,-0.4,-1.70%,8169700,0
10/31/2022,23.65,23.78,23.15,23.59,-0.21,-0.88%,3857200,0
10/28/2022,23.13,23.82,23.07,23.8,0.57,+2.45%,2668000,0
10/27/2022,23.62,23.94,23.18,23.23,-0.15,-0.64%,2604900,0
10/26/2022,23.77,23.85,23.24,23.38,-0.37,-1.56%,2767200,0
10/25/2022,22.95,24.11,22.855,23.75,0.95,+4.17%,2809200,0
10/24/2022,22.63,22.945,22.3,22.8,0.41,+1.83%,3502700,0
10/21/2022,21.97,22.46,21.62,22.39,0.55,+2.52%,3176200,0
10/20/2022,21.74,22.16,21.53,21.84,0.25,+1.16%,2800000,0
