Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,9.95,10.34,9.95,10.28,0.36,+3.63%,53700,0
02/16/2023,10.09,10.09,9.75,9.92,-0.16,-1.59%,39200,0
02/15/2023,10.26,10.32,10.0101,10.08,-0.12,-1.18%,17600,0
02/14/2023,10.41,10.4395,10.15,10.2,-0.19,-1.83%,24400,0
02/13/2023,10.3,10.4899,10.23,10.39,0.19,+1.86%,33700,0
02/10/2023,10.29,10.3709,10.18,10.2,-0.14,-1.35%,50800,0
02/09/2023,10.68,10.78,10.14,10.34,-0.18,-1.71%,30902,0
02/08/2023,10.78,10.8057,10.52,10.52,-0.19,-1.77%,42700,0
02/07/2023,10.69,10.98,10.68,10.71,-0.02,-0.19%,38400,0
02/06/2023,11.44,11.44,10.64,10.73,-0.66,-5.79%,66600,0
02/03/2023,11.4,11.64,11.24,11.39,-0.12,-1.04%,23300,0
02/02/2023,11.49,11.58,11.11,11.51,0.2,+1.77%,47800,0
02/01/2023,11.14,11.425,11.14,11.31,0.04,+0.35%,30400,0
01/31/2023,11.16,11.31,11.16,11.27,0.06,+0.54%,19900,0
01/30/2023,11.35,11.35,11.0484,11.21,-0.21,-1.84%,23200,0
01/27/2023,11.11,11.57,11.11,11.42,0.3,+2.70%,76500,0
01/26/2023,10.83,11.15,10.74,11.12,0.37,+3.44%,62900,0
01/25/2023,10.66,10.76,10.61,10.75,0.09,+0.84%,21300,0
01/24/2023,10.3,10.87,10.13,10.66,0.06,+0.57%,35200,0
01/23/2023,10.61,10.7518,10.491,10.6,0.14,+1.34%,64800,0
01/20/2023,10.17,10.61,10.115,10.46,0.31,+3.05%,62000,0
01/19/2023,10.2,10.32,9.96,10.15,-0.19,-1.84%,32500,0
01/18/2023,10.08,10.36,10.0433,10.34,0.36,+3.61%,28000,0
01/17/2023,9.94,10.0598,9.89,9.98,0.1,+1.01%,25600,0
01/13/2023,9.6,9.89,9.6,9.88,0.23,+2.38%,21500,0
01/12/2023,9.58,9.73,9.55,9.65,0.08,+0.84%,28600,0
01/11/2023,9.53,9.73,9.44,9.57,0.17,+1.81%,19300,0
01/10/2023,9.64,9.64,9.4,9.4,-0.14,-1.47%,31700,0
01/09/2023,9.26,9.73,9.26,9.54,0.29,+3.14%,37400,0
01/06/2023,9.16,9.36,9.07,9.25,0.14,+1.54%,34000,0
01/05/2023,8.88,9.11,8.7901,9.11,0.08,+0.89%,24400,0
01/04/2023,9.08,9.2892,9,9.03,-0.08,-0.88%,33600,0
01/03/2023,9.1,9.6,9.09,9.11,0,0.00%,39400,0
12/30/2022,9.4,9.6401,9.05,9.11,-0.89,-8.90%,85700,0
12/29/2022,10.05,10.17,9.91,10,0.05,+0.50%,119100,0
12/28/2022,9.85,10.1525,9.6532,9.95,0.13,+1.32%,102400,0
12/27/2022,9.82,10.2,9.56,9.82,0.1,+1.03%,79100,0
12/23/2022,9.22,9.8355,9.1,9.72,0.5392,+5.87%,45800,0
12/22/2022,8.65,9.1808,8.65,9.1808,0.5608,+6.51%,36600,0
12/21/2022,8.68,8.79,8.53,8.62,0.08,+0.94%,33300,0
12/20/2022,8.62,8.8329,8.54,8.54,-0.15,-1.73%,26700,0
12/19/2022,8.84,8.85,8.69,8.69,-0.21,-2.36%,28600,0
12/16/2022,9,9.15,8.86,8.9,-0.06,-0.67%,38300,0
12/15/2022,9.05,9.1548,8.9154,8.96,-0.11,-1.21%,20200,0
12/14/2022,9.18,9.204,9.06,9.07,-0.01,-0.11%,24600,0
12/13/2022,9.16,9.2206,8.9503,9.08,0.06,+0.67%,17200,0
12/12/2022,9.06,9.07,8.99,9.02,-0.05,-0.55%,13900,0
12/09/2022,9.02,9.15,9.02,9.07,0.03,+0.33%,5200,0
12/08/2022,9.1,9.13,8.9304,9.04,0.07,+0.78%,8300,0
12/07/2022,9.01,9.1237,8.8581,8.97,-0.13,-1.43%,10900,0
