Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/07/2023,86.8,86.8,84.85,85.84,-1.33,-1.53%,80700,0
02/06/2023,88.23,88.27,85.85,87.17,-0.85,-0.97%,68000,0
02/03/2023,86.9,88.55,86.73,88.02,0.92,+1.06%,55300,0
02/02/2023,86.17,87.19,85.47,87.1,0.39,+0.45%,87800,0
02/01/2023,86.58,87.86,84.7275,86.71,0.37,+0.43%,83800,0
01/31/2023,85.02,86.54,83.9,86.34,1.09,+1.28%,113700,0
01/30/2023,83.94,85.77,83.51,85.25,1.12,+1.33%,73500,0
01/27/2023,87.49,87.7,83.78,84.13,-3.33,-3.81%,62800,0
01/26/2023,86.8,87.46,85.45,87.46,1.22,+1.41%,64000,0
01/25/2023,85.26,86.6,84.72,86.24,0.82,+0.96%,47900,0
01/24/2023,87.33,87.58,85.42,85.42,-1.59,-1.83%,46000,0
01/23/2023,86.59,87.75,85.7,87.01,0.68,+0.79%,63700,0
01/20/2023,86.05,86.46,85.12,86.33,1.09,+1.28%,58000,0
01/19/2023,86.47,86.695,85.045,85.24,-1.01,-1.17%,54400,0
01/18/2023,88.44,89.03,85.92,86.25,-2.21,-2.50%,47300,0
01/17/2023,88.72,89.22,87.09,88.46,0.08,+0.09%,62400,0
01/13/2023,86.12,88.5,85.37,88.38,1.77,+2.04%,72800,0
01/12/2023,85.67,86.82,84.91,86.61,1.36,+1.60%,91100,0
01/11/2023,85.91,86.125,84.44,85.25,0.11,+0.13%,94200,0
01/10/2023,84.03,85.81,83.185,85.14,1.41,+1.68%,116200,0
01/09/2023,85.96,86.09,83.65,83.73,-2.22,-2.58%,93300,0
01/06/2023,83.5,86.6,83.5,85.95,3.44,+4.17%,76100,0
01/05/2023,82.83,82.83,81.02,82.51,-0.52,-0.63%,62900,0
01/04/2023,81.96,83.72,81.57,83.03,1.56,+1.91%,87500,0
01/03/2023,82.1,82.1,79.74,81.47,-0.82,-1.00%,88800,0
12/30/2022,83.26,84.13,81.775,82.29,-0.97,-1.17%,82100,0
12/29/2022,82.4,83.305,82.07,83.26,1.1,+1.34%,52300,0
12/28/2022,83.71,83.925,82.11,82.16,-1.32,-1.58%,49700,0
12/27/2022,84.16,85.35,83.06,83.48,-0.76,-0.90%,42500,0
12/23/2022,82.77,84.68,82.29,84.24,1.62,+1.96%,43600,0
12/22/2022,85.08,85.08,82.0322,82.62,-2.12,-2.50%,61000,0
12/21/2022,83.78,85.23,83.01,84.74,1.58,+1.90%,60900,0
12/20/2022,82.36,84.04,81.765,83.16,1.18,+1.44%,50900,0
12/19/2022,81.03,82.86,81.03,81.98,0.77,+0.95%,43100,0
12/16/2022,81.27,82.15,80.53,81.21,-0.61,-0.75%,136500,0
