Time,Open,High,Low,Last,Change,%Chg,Volume
04/06/2023,10.33,10.34,10.27,10.27,-0.06,-0.58%,107300
04/05/2023,10.33,10.35,10.33,10.33,-0.02,-0.19%,162600
04/04/2023,10.33,10.35,10.32,10.35,0.02,+0.19%,993000
04/03/2023,10.34,10.36,10.325,10.33,-0.02,-0.19%,7540300
03/31/2023,10.34,10.35,10.33,10.35,0.01,+0.10%,1156000
03/30/2023,10.4,10.42,10.34,10.34,-0.01,-0.10%,877100
03/29/2023,10.34,10.36,10.34,10.35,0.01,+0.10%,2691900
03/28/2023,10.33,10.35,10.33,10.34,0.01,+0.10%,1291100
03/27/2023,10.32,10.34,10.32,10.33,0.015,+0.15%,647700
03/24/2023,10.31,10.315,10.31,10.315,0.005,+0.05%,800
03/23/2023,10.32,10.32,10.31,10.31,0,0.00%,900
03/22/2023,10.31,10.31,10.31,10.31,-0.01,-0.10%,108800
03/21/2023,10.31,10.32,10.31,10.32,0.01,+0.10%,98200
03/20/2023,10.31,10.31,10.31,10.31,0,0.00%,50100
03/17/2023,10.31,10.31,10.31,10.31,0,0.00%,101300
03/15/2023,10.31,10.32,10.31,10.31,-0.01,-0.10%,597600
03/14/2023,10.32,10.32,10.31,10.32,0.01,+0.10%,51400
03/13/2023,10.32,10.32,10.31,10.31,-0.01,-0.10%,2500
03/10/2023,10.31,10.32,10.31,10.32,0.02,+0.19%,207500
03/09/2023,10.31,10.31,10.3,10.3,-0.005,-0.05%,14000
03/08/2023,10.3,10.31,10.3,10.305,0.005,+0.05%,1369500
03/07/2023,10.3,10.315,10.3,10.3,0,0.00%,940300
03/06/2023,10.29,10.3,10.29,10.3,0.01,+0.10%,13200
03/02/2023,10.29,10.29,10.29,10.29,0,0.00%,100
03/01/2023,10.29,10.29,10.29,10.29,0.01,+0.10%,400
02/28/2023,10.29,10.72,10.28,10.28,-0.01,-0.10%,10500
02/27/2023,10.75,10.75,10.28,10.29,0,0.00%,6500
02/24/2023,10.28,10.29,10.28,10.29,0.01,+0.10%,25800
02/23/2023,10.28,10.75,10.27,10.28,0.01,+0.10%,10000
02/21/2023,10.3,10.75,10.27,10.27,0,0.00%,6500
02/17/2023,10.75,10.75,10.27,10.27,0.01,+0.10%,500
02/16/2023,10.75,10.75,10.26,10.26,-0.01,-0.10%,79100
02/15/2023,10.75,10.75,10.26,10.27,0,0.00%,6200
02/14/2023,10.265,10.27,10.265,10.27,0.015,+0.15%,17600
02/10/2023,10.255,10.255,10.255,10.255,0.005,+0.05%,200
02/09/2023,10.26,10.26,10.25,10.25,0,0.00%,17200
02/08/2023,10.25,10.2501,10.25,10.25,0,0.00%,100800
02/07/2023,10.2482,10.255,10.245,10.25,0,0.00%,2785000
02/03/2023,10.25,10.75,10.245,10.25,0.001,+0.01%,32600
02/02/2023,10.24,10.25,10.24,10.249,0.009,+0.09%,308000
02/01/2023,10.24,10.24,10.235,10.24,0,0.00%,700
01/31/2023,10.24,10.24,10.24,10.24,0.005,+0.05%,300
01/30/2023,10.235,10.235,10.235,10.235,0.0149,+0.15%,200
01/27/2023,10.23,10.23,10.22,10.2201,0.0501,+0.49%,2500
01/26/2023,10.17,10.17,10.17,10.17,-0.05,-0.49%,200
01/25/2023,10.23,10.23,10.22,10.22,-0.01,-0.10%,28700
01/24/2023,10.23,10.23,10.23,10.23,0.01,+0.10%,200
01/23/2023,10.22,10.22,10.22,10.22,0,0.00%,200
01/19/2023,10.22,10.22,10.22,10.22,0,0.00%,100
01/17/2023,10.23,10.23,10.22,10.22,0,0.00%,300
01/12/2023,10.7,10.7,10.21,10.22,0.02,+0.20%,400
01/10/2023,10.205,10.205,10.2,10.2,0.01,+0.10%,800000
01/09/2023,10.19,10.2,10.18,10.19,0.01,+0.10%,213200
01/06/2023,10.18,10.185,10.18,10.18,0.02,+0.20%,300
01/03/2023,10.16,10.16,10.16,10.16,-0.04,-0.39%,1000
12/29/2022,10.19,10.2,10.19,10.2,0.05,+0.49%,1100
12/28/2022,10.15,10.15,10.15,10.15,0,0.00%,15000
12/23/2022,10.15,10.15,10.15,10.15,-0.025,-0.25%,25900
12/22/2022,10.175,10.175,10.175,10.175,0.025,+0.25%,300
12/20/2022,10.15,10.15,10.15,10.15,0,0.00%,300
12/19/2022,10.145,10.15,10.145,10.15,-0.015,-0.15%,26600
12/16/2022,10.165,10.165,10.165,10.165,0.025,+0.25%,50200
12/15/2022,10.14,10.14,10.14,10.14,0.01,+0.10%,8500
12/12/2022,10.13,10.13,10.13,10.13,0,0.00%,1800
12/09/2022,10.13,10.13,10.13,10.13,0,0.00%,200
11/29/2022,10.12,10.13,10.12,10.13,0.01,+0.10%,5400
