Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/07/2023,33.89,34.35,33.58,34.31,0.06,+0.18%,4252700,0
02/06/2023,34.56,34.62,33.7,34.25,-1.02,-2.89%,5842300,0
02/03/2023,35.22,35.535,35.035,35.27,-0.44,-1.23%,3786800,0
02/02/2023,35.4,36,35.38,35.71,0.7,+2.00%,4560500,0
02/01/2023,34.2,35.03,33.98,35.01,0.58,+1.68%,5206200,0
01/31/2023,33.87,34.45,33.75,34.43,0.63,+1.86%,4210700,0
01/30/2023,34.06,34.27,33.57,33.8,-0.52,-1.52%,5741400,0
01/27/2023,33.65,34.39,33.35,34.32,0.67,+1.99%,5075600,0
01/26/2023,33.17,33.7,33.04,33.65,0.9,+2.75%,5520400,0
01/25/2023,32.03,32.81,31.745,32.75,0.55,+1.71%,4994800,0
01/24/2023,32.17,32.51,31.84,32.2,-0.16,-0.49%,3078300,0
01/23/2023,32.35,32.62,32.1172,32.36,0.33,+1.03%,5049800,0
01/20/2023,31.17,32.26,30.95,32.03,0.93,+2.99%,18341400,0
01/19/2023,31.2,31.4275,30.83,31.1,-0.23,-0.73%,3673400,0
01/18/2023,31.66,31.945,31.19,31.33,-0.38,-1.20%,5071700,0
01/17/2023,31.89,32.125,31.62,31.71,-0.11,-0.35%,3636600,0
01/13/2023,31.56,31.91,31.29,31.82,-0.31,-0.96%,3802800,0
01/12/2023,32.15,32.3,31.49,32.13,0.19,+0.59%,4633600,0
01/11/2023,31.03,32.015,30.93,31.94,1.08,+3.50%,4749400,0
01/10/2023,31.3,31.3,30.36,30.86,-0.56,-1.78%,3696000,0
01/09/2023,31.6,31.89,31.42,31.42,-0.19,-0.60%,2511000,0
01/06/2023,30.57,31.755,30.54,31.61,1.31,+4.32%,2890500,0
01/05/2023,30.75,30.85,30.2,30.3,-0.93,-2.98%,2976200,0
01/04/2023,31.06,31.445,31.025,31.23,0.37,+1.20%,3287700,0
01/03/2023,31.25,31.42,30.625,30.86,-0.14,-0.45%,2939000,0
12/30/2022,31.03,31.1799,30.61,31,-0.32,-1.02%,3166500,0
12/29/2022,30.84,31.3769,30.84,31.32,0.69,+2.25%,1846100,0
12/28/2022,31.41,31.6,30.59,30.63,-0.84,-2.67%,2244100,0
12/27/2022,31.37,31.665,31.27,31.47,-0.02,-0.06%,2265900,0
12/23/2022,31.05,31.545,30.91,31.49,0.44,+1.42%,1932700,0
12/22/2022,30.8,31.07,30.34,31.05,-0.06,-0.19%,2626900,0
12/21/2022,31.04,31.44,30.75,31.11,0.2,+0.65%,2675300,0
12/20/2022,30.64,31.1,30.4,30.91,0.08,+0.26%,2774000,0
12/19/2022,31.29,31.605,30.5801,30.83,-0.47,-1.50%,3044700,0
12/16/2022,31.28,31.6,30.805,31.3,-0.46,-1.45%,7854100,0
12/15/2022,32.11,32.19,31.34,31.76,-0.91,-2.79%,3745400,0
12/14/2022,32.73,33.21,32.53,32.67,-0.22,-0.67%,4734500,0
12/13/2022,33.46,33.91,32.68,32.89,0.57,+1.76%,4304600,0
12/12/2022,31.58,32.42,31.425,32.32,0.84,+2.67%,4454700,0
12/09/2022,31.62,31.99,31.47,31.48,-0.19,-0.60%,2121700,0
12/08/2022,31.8,32.1,31.535,31.67,-0.02,-0.06%,2741000,0
12/07/2022,31.04,31.88,30.9,31.69,0.67,+2.16%,3515900,0
12/06/2022,31.55,31.64,30.74,31.02,-0.5,-1.59%,3435600,0
12/05/2022,32.05,32.05,31.335,31.52,-0.9,-2.78%,4564900,0
12/02/2022,31.8,32.49,31.595,32.42,0.14,+0.43%,2565500,0
12/01/2022,32.82,33.07,31.94,32.28,-0.43,-1.31%,4201800,0
11/30/2022,31.72,32.84,31.14,32.71,0.95,+2.99%,7353800,0
11/29/2022,31.32,31.865,31.03,31.76,0.55,+1.76%,2987200,0
11/28/2022,32,32.12,31.115,31.21,-1.1,-3.40%,2711900,0
11/25/2022,32.15,32.489,32.15,32.31,0.16,+0.50%,1130200,0
11/23/2022,32.1,32.325,31.94,32.15,-0.16,-0.50%,1632600,0
11/22/2022,32.25,32.42,32.055,32.31,0.29,+0.91%,3099500,0
11/21/2022,32.21,32.23,31.95,32.02,-0.25,-0.77%,3973400,0
11/18/2022,32.58,32.72,31.9648,32.27,0.25,+0.78%,2252800,0
11/17/2022,31.51,32.05,31.51,32.02,-0.05,-0.16%,1892800,0
11/16/2022,32.43,32.47,31.86,32.07,-0.67,-2.05%,2643900,0
11/15/2022,32.91,33.12,32.415,32.74,0.4,+1.24%,4174700,0
11/14/2022,32.9,33,32.32,32.34,-0.75,-2.27%,2806100,0
11/11/2022,32.94,33.4,32.845,33.09,0.23,+0.70%,2868800,0
11/10/2022,31.33,32.99,31.25,32.86,2.8,+9.31%,4965600,0
11/09/2022,30.87,31.075,29.97,30.06,-0.96,-3.09%,2877100,0
11/08/2022,30.99,31.18,30.7,31.02,0.06,+0.19%,2908200,0
11/07/2022,30.49,31.04,30.3,30.96,0.68,+2.25%,2572300,0
11/04/2022,29.76,30.3,29.44,30.28,0.89,+3.03%,2929300,0
11/03/2022,29.25,29.76,28.9,29.39,-0.27,-0.91%,2870300,0
11/02/2022,30.3,30.94,29.63,29.66,-0.73,-2.40%,4571400,0
11/01/2022,31.3,31.5,30.23,30.39,-0.54,-1.75%,3363700,0
10/31/2022,30.7,31.16,30.25,30.93,-0.17,-0.55%,5608700,0
10/28/2022,30.18,31.69,30,31.1,0.09,+0.29%,4569900,0
10/27/2022,31.24,31.51,30.98,31.01,0.05,+0.16%,4136000,0
10/26/2022,30.93,31.315,30.62,30.96,0.05,+0.16%,4010700,0
10/25/2022,30.06,30.94,30.06,30.91,0.85,+2.83%,5408800,0
10/24/2022,30.14,30.5,29.93,30.06,0.1,+0.33%,3499400,0
10/21/2022,28.94,30.01,28.8,29.96,1.02,+3.52%,5677500,0
10/20/2022,29.13,29.48,28.85,28.94,-0.11,-0.38%,3969000,0
10/19/2022,29.46,29.54,28.715,29.05,-0.8,-2.68%,4219800,0
10/18/2022,30.3,30.65,29.52,29.85,0.09,+0.30%,4548900,0
10/17/2022,29.56,30.09,29.55,29.76,0.76,+2.62%,5045900,0
10/14/2022,30.15,30.255,28.97,29,-0.8,-2.68%,4346900,0
10/13/2022,28.75,30.01,28.7,29.8,0.41,+1.40%,4317500,0
10/12/2022,29.44,29.64,29.2,29.39,-0.07,-0.24%,3265600,0
10/11/2022,28.73,29.75,28.54,29.46,0.59,+2.04%,6531700,0
10/10/2022,28.79,29.11,28.655,28.87,0.21,+0.73%,3720400,0
10/07/2022,28.97,28.995,28.5,28.66,-0.51,-1.75%,3935300,0
10/06/2022,29.7,29.9,29.065,29.17,-0.64,-2.15%,4245000,0
10/05/2022,29.31,30.015,29.25,29.81,-0.08,-0.27%,4560000,0
10/04/2022,29.59,30.04,29.51,29.89,0.52,+1.77%,4242700,0
10/03/2022,28.97,29.6,28.83,29.37,0.81,+2.84%,6056800,0
09/30/2022,28.1,28.815,27.95,28.56,0.81,+2.92%,7755200,0
09/29/2022,27.91,27.91,27.365,27.75,-0.44,-1.56%,6553300,0
09/28/2022,28.09,28.34,27.775,28.19,0.38,+1.37%,5882400,0
09/27/2022,28.37,28.49,27.57,27.81,-0.39,-1.38%,4542500,0
09/26/2022,28.63,28.72,27.75,28.2,-0.79,-2.73%,4459600,0
