Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/15/2023,27.27,27.63,26.685,27.07,-0.45,-1.64%,330800,0
03/14/2023,28.25,28.515,27.25,27.52,0.19,+0.70%,600500,0
03/13/2023,27.28,27.68,26.48,27.33,-0.31,-1.12%,489200,0
03/10/2023,28.62,28.62,27.35,27.64,-1.06,-3.69%,531000,0
03/09/2023,28.72,29.15,28.37,28.7,0.06,+0.21%,827900,0
03/08/2023,29.55,29.55,28.5,28.64,-0.84,-2.85%,459900,0
03/07/2023,30.5,30.64,28.685,29.48,-1.01,-3.31%,874800,0
03/06/2023,29.28,30.7,28.63,30.49,1.17,+3.99%,1483400,0
03/03/2023,29.14,29.865,27.82,29.32,4.07,+16.12%,2472900,0
03/02/2023,24.88,25.97,24.555,25.25,-0.14,-0.55%,589900,0
03/01/2023,25.39,25.9,24.61,25.39,0,0.00%,567750,0
02/28/2023,25.48,26.1,25.23,25.39,-0.13,-0.51%,560600,0
02/27/2023,26.12,26.4,25.29,25.52,-0.41,-1.58%,340900,0
02/24/2023,25.48,25.95,25.34,25.93,0.1,+0.39%,431300,0
02/23/2023,25,26.06,25,25.83,1.15,+4.66%,423501,0
02/22/2023,24.92,25.0952,24.05,24.68,-0.22,-0.88%,609900,0
02/21/2023,25.83,26.18,24.71,24.9,-1.34,-5.11%,523800,0
02/17/2023,25.86,26.39,25.06,26.24,0.41,+1.59%,411900,0
02/16/2023,25.87,26.43,25.49,25.83,-0.18,-0.69%,518400,0
02/15/2023,25.15,26.5,24.57,26.01,1.2,+4.84%,1293000,0
02/14/2023,24.62,24.95,24.3,24.81,0.12,+0.49%,654800,0
02/13/2023,23.95,24.81,23.95,24.69,0.61,+2.53%,863800,0
02/10/2023,23.87,24.45,23.45,24.08,0.32,+1.35%,973900,0
02/09/2023,24.53,24.54,23.19,23.76,-0.32,-1.33%,1010900,0
02/08/2023,24.68,24.885,24,24.08,-3.76,-13.51%,3079200,0
02/07/2023,27.81,27.95,27.05,27.84,-0.12,-0.43%,130700,0
02/06/2023,27.64,28.06,27.12,27.96,0.25,+0.90%,159915,0
02/03/2023,27.25,28.195,27.08,27.71,-0.14,-0.50%,156700,0
02/02/2023,28.17,28.5945,27.55,27.85,0.01,+0.04%,182500,0
02/01/2023,27.32,28.03,26.65,27.84,0.36,+1.31%,214000,0
01/31/2023,26.78,28.3162,26.69,27.48,0.9,+3.39%,277000,0
01/30/2023,26.87,27.36,26.145,26.58,-0.58,-2.14%,341600,0
01/27/2023,25.83,27.88,25.757,27.16,1.67,+6.55%,457401,0
01/26/2023,25.04,25.55,24.8,25.49,0.67,+2.70%,134600,0
01/25/2023,23.13,24.86,22.69,24.82,1,+4.20%,215700,0
01/24/2023,23.54,24.09,22.99,23.82,-0.01,-0.04%,301300,0
01/23/2023,25.65,25.65,23.29,23.83,-1.81,-7.06%,440300,0
01/20/2023,25.95,26.3209,25.55,25.64,-0.02,-0.08%,146000,0
01/19/2023,25.22,25.8,25.1,25.66,0.28,+1.10%,171300,0
01/18/2023,25.48,26.1,25.01,25.38,0.33,+1.32%,268400,0
