Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,11.93,11.99,11.8,11.915,-0.015,-0.13%,294362,0
03/03/2023,11.45,12,11.3363,11.93,0.38,+3.29%,1979100,0
03/02/2023,12.03,12.03,11.49,11.55,-0.55,-4.55%,2429500,0
03/01/2023,11.71,12.15,11.66,12.1,0.33,+2.80%,1905100,0
02/28/2023,12.22,12.24,11.6,11.77,-0.34,-2.81%,2249800,0
02/27/2023,11.95,12.22,11.9,12.11,0.23,+1.94%,1922400,0
02/24/2023,11.58,11.91,11.36,11.88,0.17,+1.45%,1648400,0
02/23/2023,11.52,11.79,11.455,11.71,0.34,+2.99%,1302900,0
02/22/2023,11.32,11.47,11.14,11.37,-0.03,-0.26%,1344500,0
02/21/2023,11.41,11.6699,11.28,11.4,-0.01,-0.09%,1559800,0
02/17/2023,11.6,11.635,11.0701,11.41,-0.48,-4.04%,3163300,0
02/16/2023,11.87,12.59,11.812,11.89,0.01,+0.08%,2891600,0
02/15/2023,12.05,12.09,11.58,11.88,-0.21,-1.74%,2470000,0
02/14/2023,12.01,12.32,11.78,12.09,0.06,+0.50%,3058400,0
02/13/2023,11.75,12.4868,11.5473,12.03,0.45,+3.89%,4543900,0
02/10/2023,11.43,11.74,11.35,11.58,0.3,+2.66%,2390300,0
02/09/2023,11.61,11.74,11.16,11.28,-0.27,-2.34%,2002000,0
02/08/2023,11.54,11.93,11.2811,11.55,0.01,+0.09%,2267500,0
02/07/2023,11.5,11.7568,11.3,11.54,0.06,+0.52%,2184700,0
02/06/2023,11.31,11.51,10.985,11.48,0.3,+2.68%,1604500,0
02/03/2023,11.26,11.752,11.1429,11.18,-0.29,-2.53%,2173300,0
02/02/2023,11.91,11.98,11.195,11.47,-0.28,-2.38%,2432100,0
02/01/2023,11.89,12.07,11.28,11.75,-0.2,-1.67%,2669400,0
01/31/2023,11.15,12.015,11.09,11.95,0.8,+7.17%,3097900,0
01/30/2023,11.41,11.51,10.9,11.15,-0.39,-3.38%,3362900,0
01/27/2023,11.92,12.095,11.51,11.54,-0.48,-3.99%,1899500,0
01/26/2023,12.29,12.35,11.77,12.02,-0.06,-0.50%,1499000,0
01/25/2023,11.92,12.11,11.51,12.08,0.08,+0.67%,2371400,0
01/24/2023,11.9,12.27,11.56,12,0.02,+0.17%,2038200,0
01/23/2023,12.03,12.75,11.87,11.98,0.06,+0.50%,4244900,0
01/20/2023,11.37,12.05,11.29,11.92,0.7,+6.24%,4536000,0
01/19/2023,10.98,11.305,10.64,11.22,0.01,+0.09%,4154800,0
01/18/2023,12.35,13.11,11.19,11.21,-1.01,-8.27%,8447900,0
01/17/2023,11.28,12.22,11.03,12.22,1.14,+10.29%,6693100,0
01/13/2023,10.35,11.32,10.35,11.08,0.73,+7.05%,4382400,0
01/12/2023,9.89,10.655,9.77,10.35,0.48,+4.86%,4522700,0
01/11/2023,9.73,9.9199,9.68,9.87,0.15,+1.54%,2201900,0
01/10/2023,9.77,9.83,9.5,9.72,-0.03,-0.31%,2283000,0
01/09/2023,9.55,9.77,9.355,9.75,0.3,+3.17%,2298800,0
01/06/2023,9.54,9.72,9.42,9.45,0.1,+1.07%,2349900,0
01/05/2023,8.71,9.36,8.68,9.35,0.64,+7.35%,2467600,0
01/04/2023,8.7,8.81,8.5,8.71,0,0.00%,1694000,0
01/03/2023,9.23,9.5,8.64,8.71,-0.48,-5.22%,3595000,0
12/30/2022,9.07,9.27,8.97,9.19,0.14,+1.55%,1591900,0
12/29/2022,9.15,9.39,9.04,9.05,-0.04,-0.44%,2178200,0
12/28/2022,8.91,9.2357,8.76,9.09,0.25,+2.83%,2585400,0
12/27/2022,8.99,9.05,8.73,8.84,-0.25,-2.75%,1753400,0
12/23/2022,8.9,9.115,8.84,9.09,0.23,+2.60%,2946900,0
12/22/2022,8.68,8.86,8.51,8.86,0.18,+2.07%,2196700,0
12/21/2022,8.6,8.7327,8.535,8.68,0.21,+2.48%,2297200,0
12/20/2022,7.99,8.765,7.97,8.47,0.53,+6.68%,3360000,0
