Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,10.82,10.87,10.36,10.71,-0.16,-1.47%,9254766,0
02/01/2023,11.57,12.25,10.81,10.87,-0.73,-6.29%,11111000,0
01/01/2023,10.44,11.83,10.3701,11.6,1.25,+12.08%,11318930,0
12/01/2022,10.02,10.72,9.55,10.35,0.36,+3.60%,11163347,0
11/01/2022,8.36,10.07,7.81,9.99,1.77,+21.53%,12491295,0
10/01/2022,8.505,9.15,7.3,8.22,-0.2,-2.38%,21171728,0
09/01/2022,11.89,12.12,8.39,8.42,-3.53,-29.54%,13464476,0
08/01/2022,12.62,12.85,11.855,11.95,-0.66,-5.23%,6166600,0
07/01/2022,11.06,12.885,11.02,12.61,1.54,+13.91%,9531470,0
06/01/2022,12.25,12.4076,9.99,11.07,-1.16,-9.48%,13535604,0
05/01/2022,11.01,12.65,10.86,12.23,1.25,+11.38%,17200976,0
04/01/2022,13.13,13.18,10.95,10.98,-2.12,-16.18%,11673740,0
03/01/2022,12.82,13.64,12.65,13.1,0.19,+1.47%,8995542,0
02/01/2022,14.89,14.89,12.17,12.91,-1.98,-13.30%,10121889,0
01/01/2022,15.09,15.66,14.16,14.89,-0.15,-1.00%,8241005,0
12/01/2021,15.5,16.03,14.415,15.04,-0.25,-1.64%,7011163,0
11/01/2021,16,16.26,15.25,15.29,-0.63,-3.96%,5770128,0
10/01/2021,15.77,16.745,15.76,15.92,0.15,+0.95%,6198014,0
09/01/2021,16.35,16.4,15.74,15.77,-0.54,-3.31%,5684442,0
08/01/2021,15.93,16.59,15.64,16.31,0.44,+2.77%,4897640,0
07/01/2021,16.93,17.11,15.6184,15.87,-1.02,-6.04%,7586719,0
06/01/2021,18.55,18.84,16.6,16.89,-1.65,-8.90%,9017086,0
05/01/2021,18.02,18.67,17.36,18.54,0.61,+3.40%,6412195,0
04/01/2021,16.78,18.02,16.73,17.93,1.17,+6.98%,5203319,0
03/01/2021,16.2,17.09,15.39,16.76,0.73,+4.55%,7710134,0
02/01/2021,15.65,16.73,15.57,16.03,0.43,+2.76%,6783631,0
01/01/2021,15.56,16.45,15.23,15.6,0,0.00%,6539778,0
12/01/2020,15.49,15.81,15.1722,15.6,0.32,+2.09%,5720263,0
11/01/2020,14,15.84,13.9199,15.28,1.31,+9.38%,8147675,0
