Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,72.36,73.925,72.14,73.51,0.91,+1.25%,1438500,0
02/01/2023,88.28,91.77,72.55,72.6,-16.35,-18.38%,2029305,0
01/01/2023,85,89.7499,84.11,88.95,4.65,+5.52%,1184730,0
12/01/2022,95,96.1399,81.3425,84.3,-10.56,-11.13%,1367176,0
11/01/2022,89.27,95.18,82.33,94.86,6.53,+7.39%,1666528,0
10/01/2022,80.79,89.965,76.28,88.33,8.01,+9.97%,1572061,0
09/01/2022,89.99,93.22,79.795,80.32,-9.96,-11.03%,1521919,0
08/01/2022,95.43,98.81,90.27,90.28,-5.94,-6.17%,1323400,0
07/01/2022,91.19,97.49,85.9,96.22,4.89,+5.35%,1702085,0
06/01/2022,101.38,102.78,86.99,91.33,-9.71,-9.61%,1625133,0
05/01/2022,112.28,114.9,93.74,101.04,-11.24,-10.01%,2511438,0
04/01/2022,119.76,123.25,112.175,112.28,-7.11,-5.96%,1209745,0
03/01/2022,108.23,121.8,106.27,119.39,11.13,+10.28%,1622191,0
02/01/2022,115.06,116.16,96.86,108.26,-6.29,-5.49%,1915794,0
01/01/2022,117.17,118.17,108.655,114.55,-2.49,-2.13%,1390090,0
12/01/2021,113.08,119.68,108.68,117.04,4.34,+3.85%,1143927,0
11/01/2021,105.44,115.48,103.38,112.7,7.24,+6.87%,1654976,0
10/01/2021,104.56,109.9431,101.3262,105.46,0.87,+0.83%,1135438,0
09/01/2021,113.84,114.78,104.38,104.59,-8.66,-7.65%,1220042,0
08/01/2021,119.86,120.28,110.2703,113.25,-6.67,-5.56%,1184168,0
07/01/2021,116.82,120.675,115.02,119.92,3.32,+2.85%,963171,0
06/01/2021,114.08,119.3,113.21,116.6,2.39,+2.09%,1134127,0
05/01/2021,108.98,115.78,104.1,114.21,5.51,+5.07%,1447920,0
04/01/2021,102.31,113.99,102.07,108.7,6.8,+6.67%,1603400,0
03/01/2021,96.2932,103.775,92.64,101.9,7.4,+7.83%,1937986,0
02/01/2021,112.8,118.63,94.13,94.5,-16.53,-14.89%,2586310,0
01/01/2021,105.17,124.91,100.7,111.03,6.04,+5.75%,2190431,0
12/01/2020,103.17,108.94,101.955,104.99,1.48,+1.43%,1402718,0
11/01/2020,96,105.31,94.14,103.51,8.39,+8.82%,1530165,0
10/01/2020,110.95,115.84,94.12,95.12,-15.42,-13.95%,1742859,0
09/01/2020,117.3,120,104.08,110.54,-5.89,-5.06%,1556080,0
08/01/2020,112.85,117.84,105.8749,116.43,3.99,+3.55%,1403600,0
07/01/2020,106.55,116.39,104.89,112.44,5.35,+5.00%,1768822,0
06/01/2020,105.05,107.53,98.14,107.09,1.29,+1.22%,1953140,0
05/01/2020,96.36,106.27,94.21,105.8,8.09,+8.28%,2006150,0
04/01/2020,89.24,108.25,88.75,97.71,6.22,+6.80%,2697409,0
03/01/2020,87.31,98.255,75.1801,91.49,4.98,+5.76%,2603427,0
