Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,145.74,154.66,141.6,153.46,15.77,+11.45%,4136300,0
02/01/2023,145.05,160.88,130.99,137.69,3.01,+2.23%,5582457,0
01/01/2023,118.86,142.41,118.04,134.68,20.3,+17.75%,2739060,0
12/01/2022,107.5,124.11,106.58,114.38,5.78,+5.32%,3406090,0
11/01/2022,81.72,109.88,75.75,108.6,32.03,+41.83%,3601214,0
10/01/2022,117.2,125.23,73.5801,76.57,-40.92,-34.83%,3975109,0
09/01/2022,144.15,145.91,115.1608,117.49,-26.48,-18.39%,2257352,0
08/01/2022,133.04,155.48,127.05,143.97,7.4,+5.42%,2556886,0
07/01/2022,148.09,156.69,131.05,136.57,-12.16,-8.18%,2078280,0
06/01/2022,141.81,156.77,130.51,148.73,8.38,+5.97%,3442671,0
05/01/2022,123.01,146.99,101.6166,140.35,16.18,+13.03%,3322095,0
04/01/2022,144.01,154.295,110.3,124.17,-8.13,-6.15%,3579215,0
03/01/2022,160.87,170.35,102.18,132.3,-20.14,-13.21%,6412795,0
02/01/2022,158.88,171.87,137.07,152.44,-7.3,-4.57%,2688852,0
01/01/2022,148.91,165.02,139.1,159.74,10.95,+7.36%,3498485,0
12/01/2021,150.66,154.28,132.14,148.79,-1.05,-0.70%,3856131,0
11/01/2021,162.54,173.6,146.89,149.84,-12.4,-7.64%,3593942,0
10/01/2021,153.59,182.6,144.51,162.24,8.49,+5.52%,3714361,0
09/01/2021,158.88,169.8,151.75,153.75,-3.27,-2.08%,4315752,0
08/01/2021,166,169,135.89,157.02,-6.99,-4.26%,5216622,0
07/01/2021,203.91,205.41,153.14,164.01,-39.89,-19.56%,5281728,0
06/01/2021,200.71,209.17,182.6,203.9,7.63,+3.89%,4354790,0
05/01/2021,210.55,212.7099,176.9,196.27,-14.06,-6.68%,6661430,0
04/01/2021,224,228.53,204.88,210.33,-7.22,-3.32%,6972228,0
03/01/2021,303.34,311.18,174.05,217.55,-65.91,-23.25%,20475956,0
02/01/2021,239.35,354.82,235.88,283.46,48.44,+20.61%,10688447,0
01/01/2021,219.51,264.94,203.62,235.02,18.78,+8.68%,11077342,0
12/01/2020,139.06,225.35,137.565,216.24,77.25,+55.58%,9047863,0
11/01/2020,134.31,151.18,131,138.99,5.94,+4.46%,4092420,0
10/01/2020,126.53,138.98,123.5,133.05,6.46,+5.10%,3347968,0
09/01/2020,125.37,129.03,116.41,126.59,2.02,+1.62%,2816271,0
08/01/2020,120.29,129.03,115.59,124.57,5.17,+4.33%,3633580,0
07/01/2020,119.89,135.44,114.75,119.4,-0.49,-0.41%,3126677,0
06/01/2020,106.02,128.28,105.31,119.89,13.34,+12.52%,3648331,0
05/01/2020,98.2,120.85,90.94,106.55,5.62,+5.57%,6063035,0
