Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/01/2023,2.89,3.0794,2.8,2.96,-0.04,-1.33%,19333,0
01/01/2023,3.47,3.58,2.7,3,-0.35,-10.45%,31595,0
12/01/2022,3.45,4.04,3.275,3.35,-0.13,-3.74%,25247,0
11/01/2022,3.3,4.17,3.025,3.48,0.19,+5.78%,23942,0
10/01/2022,3.96,5.25,2.93,3.29,-0.64,-16.28%,186861,0
09/01/2022,3.45,4.1,3.2,3.93,0.39,+11.02%,63123,0
08/01/2022,2.75,3.68,2.622,3.54,0.77,+27.80%,63647,0
07/01/2022,2.9,3.92,2.5601,2.77,-0.12,-4.15%,864610,0
06/01/2022,3.47,3.8,2.77,2.89,-0.61,-17.43%,21214,0
05/01/2022,3.89,3.89,2.65,3.5,-0.43,-10.94%,29590,0
04/01/2022,4.38,4.73,3.8001,3.93,-0.54,-12.08%,26165,0
03/01/2022,4.28,4.59,3.5383,4.47,0.13,+3.00%,43813,0
02/01/2022,4.23,4.64,3.76,4.34,0.08,+1.88%,64689,0
01/01/2022,3.98,4.71,3.77,4.26,0.37,+9.51%,106580,0
12/01/2021,4.89,4.89,3.72,3.89,-0.96,-19.79%,230504,0
11/01/2021,4.61,5.39,4.14,4.85,0.26,+5.66%,246847,0
10/01/2021,6.26,7.38,4.27,4.59,0.09,+2.00%,6091280,0
09/01/2021,4.48,5.38,4.05,4.5,0.02,+0.45%,55504,0
08/01/2021,3.66,4.74,3.58,4.48,0.73,+19.47%,105581,0
07/01/2021,4.04,4.54,3.5,3.75,-0.26,-6.48%,198133,0
06/01/2021,3.66,5.05,3.5,4.01,0.36,+9.86%,205704,0
05/01/2021,4.63,4.93,3.3,3.65,-1.01,-21.67%,566650,0
04/01/2021,5.53,7.05,4.22,4.66,-0.8,-14.65%,189519,0
03/01/2021,6.28,6.78,5.175,5.46,-0.67,-10.93%,74130,0
02/01/2021,6.79,8.15,5.96,6.13,-0.67,-9.85%,152442,0
01/01/2021,5,7.79,4.95,6.8,1.82,+36.55%,1021842,0
12/01/2020,7.02,7.3,4.6,4.98,-1.97,-28.35%,126931,0
11/01/2020,5.46,7.3,5.31,6.95,1.49,+27.29%,115815,0
10/01/2020,6.93,7.97,4.41,5.46,-1.47,-21.21%,195822,0
09/01/2020,6.77,7.74,5.5,6.93,-0.33,-4.55%,194919,0
08/01/2020,9.14,9.74,7.07,7.26,-1.85,-20.31%,498071,0
07/01/2020,7.17,12.75,7.11,9.11,1.86,+25.66%,1073972,0
06/01/2020,6.48,8.445,4.93,7.25,0.78,+12.06%,934159,0
05/01/2020,7.38,8.3,6.3109,6.47,-1.04,-13.85%,557015,0
04/01/2020,7.15,11.47,6.3,7.51,0.36,+5.03%,1316957,0
03/01/2020,2.966,23.39,2.05,7.15,4.3456,+154.96%,3434563,0
02/01/2020,3.05,3.14,2.69,2.8044,-0.2456,-8.05%,44010,0
01/01/2020,2.94,3.4,2.71,3.05,0.026,+0.86%,35828,0
12/01/2019,2.9974,3.07,2.65,3.024,0.004,+0.13%,11123,0
11/01/2019,3.14,3.14,2.8301,3.02,-0.09,-2.89%,14520,0
10/01/2019,3.28,3.3428,2.9,3.11,-0.14,-4.31%,14486,0
09/01/2019,2.8426,3.3899,2.76,3.25,0.43,+15.25%,24245,0
08/01/2019,3.55,3.63,2.46,2.82,-0.71,-20.11%,32800,0
07/01/2019,2.6432,3.69,2.54,3.53,0.93,+35.77%,44481,0
06/01/2019,2.25,2.77,2.16,2.6,0.35,+15.56%,46420,0
05/01/2019,2.32,2.46,2.15,2.25,-0.06,-2.60%,9436,0
04/01/2019,2.71,3.43,2.31,2.31,-0.18,-7.23%,70976,0
03/01/2019,2.685,2.94,2.35,2.49,-0.19,-7.09%,5328,0
02/01/2019,2.48,2.84,2.26,2.68,0.15,+5.93%,6611,0
01/01/2019,1.7,2.75,1.7,2.53,0.83,+48.82%,8295,0
12/01/2018,2.81,2.9,1.6,1.7,-1.11,-39.50%,18815,0
11/01/2018,2.8,3.23,2.51,2.81,0.03,+1.08%,25223,0
10/01/2018,3.6,3.63,2.6,2.78,-0.8,-22.35%,17772,0
09/01/2018,3.6,3.78,3.32,3.58,-0.02,-0.56%,8205,0
08/01/2018,3.85,3.94,3.55,3.6,-0.03,-0.83%,8995,0
07/01/2018,3.9,4.2,3.63,3.63,-0.26,-6.68%,9119,0
06/01/2018,4.04,4.3,3.37,3.89,-0.18,-4.42%,13533,0
05/01/2018,3.58,4.12,3.33,4.07,0.51,+14.33%,24595,0
04/01/2018,4.07,4.33,3.51,3.56,-0.48,-11.88%,27076,0
03/01/2018,4.52,4.731,4.04,4.04,-0.5,-11.01%,22128,0
02/01/2018,4.2,4.685,3.8,4.54,0.35,+8.35%,36263,0
01/01/2018,3.81,9.32,3.75,4.19,0.45,+12.03%,252485,0
12/01/2017,3.44,4.44,3.3,3.74,0.3,+8.72%,22835,0
11/01/2017,2.74,3.85,2.74,3.44,0.67,+24.19%,18052,0
10/01/2017,2.84,2.95,2.69,2.77,-0.01,-0.36%,7913,0
09/01/2017,2.661,2.95,2.62,2.78,0.13,+4.91%,10245,0
08/01/2017,2.75,2.85,2.58,2.65,-0.13,-4.68%,8390,0
07/01/2017,2.62,2.9,2.52,2.78,0.15,+5.70%,12360,0
06/01/2017,2.43,2.89,2.3,2.63,0.13,+5.20%,21350,0
05/01/2017,2.69,2.75,2.43,2.5,-0.12,-4.58%,10090,0
04/01/2017,2.18,2.65,2.02,2.62,0.43,+19.63%,15550,0
03/01/2017,2.51,2.59,1.93,2.19,-0.27,-10.98%,18439,0
02/01/2017,2.79,2.88,2.41,2.46,-0.31,-11.19%,16647,0
01/01/2017,2.26,2.9,2.1,2.77,0.47,+20.43%,25345,0
