Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,130.07,133.23,125.79,130.58,-0.17,-0.13%,2138411,0
02/01/2023,147.14,153.98,130.21,130.75,-17.36,-11.72%,1742391,0
01/01/2023,136.91,152.01,135.63,148.11,12.47,+9.19%,2080320,0
12/01/2022,143.47,148.555,131.31,135.64,-5.79,-4.09%,2184038,0
11/01/2022,134.57,142.28,126.75,141.43,8.17,+6.13%,2360590,0
10/01/2022,146.32,152.7,121.71,133.26,-11.29,-7.81%,2981461,0
09/01/2022,170.14,177.78,143.18,144.55,-26.28,-15.38%,1765233,0
08/01/2022,180.1,184.92,169.43,170.83,-9.83,-5.44%,1162247,0
07/01/2022,167.73,182.21,167.15,180.66,12.28,+7.29%,1379425,0
06/01/2022,190.06,190.06,153.7,168.38,-21.27,-11.22%,2041876,0
05/01/2022,186.46,193.95,169.05,189.65,4.44,+2.40%,1629266,0
04/01/2022,185.05,199.97,182.93,185.21,0.61,+0.33%,1526975,0
03/01/2022,167.6,187.67,166.47,184.6,18.01,+10.81%,1849930,0
02/01/2022,181.96,184.63,157.16,166.59,-15.92,-8.72%,2205168,0
01/01/2022,209,209,170.08,182.51,-26.23,-12.57%,2025875,0
12/01/2021,182,209.865,180.47,208.74,27.09,+14.91%,1481318,0
11/01/2021,181.03,187.84,177.1601,181.65,1.35,+0.75%,1433485,0
10/01/2021,173.83,182.95,166.3053,180.3,6.98,+4.03%,1942880,0
09/01/2021,194.87,198.64,173.14,173.32,-21.37,-10.98%,1648638,0
08/01/2021,193.81,200.385,189.35,194.69,1.6,+0.83%,1226927,0
07/01/2021,194.86,204.6179,189.4,193.09,-2.01,-1.03%,1518904,0
06/01/2021,190.72,200.47,189.52,195.1,5.6,+2.96%,1516250,0
05/01/2021,189.08,191.56,178.14,189.5,0.44,+0.23%,1704115,0
04/01/2021,173.01,189.59,171.68,189.06,16.93,+9.84%,1578128,0
03/01/2021,156.34,175.34,146.145,172.13,16.38,+10.52%,2448291,0
02/01/2021,160,167.11,155.63,155.75,-3.51,-2.20%,2435205,0
01/01/2021,158.35,164.3,149.1372,159.26,0.07,+0.04%,2206868,0
12/01/2020,168,170.9,151.21,159.19,-8.38,-5.00%,2522890,0
11/01/2020,157.45,172.13,156.93,167.57,11.37,+7.28%,1861280,0
10/01/2020,166.75,169.31,154.08,156.2,-10.3,-6.19%,1686159,0
09/01/2020,162.51,167.79,155.01,166.5,3.25,+1.99%,1977123,0
08/01/2020,165.93,169.36,158.89,163.25,-3.45,-2.07%,1594333,0
07/01/2020,167.35,180,164.6,166.7,-0.65,-0.39%,2157018,0
06/01/2020,171.74,176.8472,159.15,167.35,-4.81,-2.79%,2415613,0
05/01/2020,156.98,172.54,147.5635,172.16,12.73,+7.98%,2012815,0
04/01/2020,137.67,167.83,133.8,159.43,15.03,+10.41%,2408014,0
03/01/2020,143.93,164.22,114.18,144.4,1.11,+0.77%,3676645,0
02/01/2020,150.68,168.75,140.71,143.29,-6.55,-4.37%,2192984,0
01/01/2020,142.33,151.97,138.16,149.84,7.69,+5.41%,1622704,0
12/01/2019,133.45,142.83,130.86,142.15,8.49,+6.35%,1821176,0
11/01/2019,139.56,139.74,129.86,133.66,-5.13,-3.70%,2323355,0
10/01/2019,138.89,144.99,133.48,138.79,-0.22,-0.16%,1961243,0
09/01/2019,145.09,149.47,135.67,139.01,-6.16,-4.24%,1796690,0
08/01/2019,134.63,148.7,132.11,145.17,11.91,+8.94%,1556959,0
07/01/2019,130.84,136.63,123.87,133.26,2.91,+2.23%,2017645,0
06/01/2019,130.11,137.85,129.337,130.35,0.34,+0.26%,1939400,0
05/01/2019,125.63,131.9,122.37,130.01,4.23,+3.36%,1615300,0
04/01/2019,128.37,130.6,119.8056,125.78,-2.22,-1.73%,1841076,0
03/01/2019,118.85,128.2,117.4,128,9.25,+7.79%,1943114,0
02/01/2019,117.22,120.56,114.86,118.75,1.69,+1.44%,1761305,0
01/01/2019,107.62,117.2,104.22,117.06,8.43,+7.76%,2178933,0
12/01/2018,114.68,117.6,103.21,108.63,-6.27,-5.46%,2446094,0
11/01/2018,109.24,114.95,107.88,114.9,6.16,+5.66%,2163461,0
10/01/2018,111.33,112.07,103.29,108.74,-2.59,-2.33%,2707747,0
09/01/2018,113.7,114.45,108.31,111.33,-2.7,-2.37%,1781736,0
08/01/2018,110.16,114.81,109.42,114.03,3.2,+2.89%,1896847,0
07/01/2018,107.85,112.25,106.91,110.83,3.01,+2.79%,2273428,0
06/01/2018,104.3,108.34,99.99,107.82,3.67,+3.52%,2427223,0
05/01/2018,101.25,105.98,99.77,104.15,3.28,+3.25%,2139027,0
04/01/2018,109.59,110.44,98.85,100.87,-8.74,-7.97%,3192990,0
