Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,365.28,371.36,359.48,363.09,-4.52,-1.23%,1049450,0
02/01/2023,381.23,415.29,362.525,367.61,-16.7,-4.35%,1006805,0
01/01/2023,342.06,412.65,337.18,384.31,45.21,+13.33%,1385533,0
12/01/2022,389.3,402.9,302.21,339.1,-52.19,-13.34%,1730849,0
11/01/2022,374.13,403.49,335.2498,391.29,23.67,+6.44%,1233833,0
10/01/2022,307.99,376.955,297.66,367.62,64.27,+21.19%,1613370,0
09/01/2022,412.52,422.02,302.94,303.35,-109.28,-26.48%,1638449,0
08/01/2022,424.55,484.27,409.25,412.63,-19.47,-4.51%,1105334,0
07/01/2022,465.45,496.37,425,432.1,-36.43,-7.78%,1188315,0
06/01/2022,508.33,514.21,407.75,468.53,-38.4,-7.58%,1361523,0
05/01/2022,431.49,515.66,410.33,506.93,78.44,+18.31%,1538109,0
04/01/2022,549.11,574.65,415.01,428.49,-117.03,-21.45%,1569115,0
03/01/2022,590.99,603.16,544.59,545.52,-56.26,-9.35%,1523353,0
02/01/2022,590.73,621,566.05,601.78,8.44,+1.42%,1963878,0
01/01/2022,642.75,653.0901,549.59,593.34,-58.63,-8.99%,1368506,0
12/01/2021,653.67,693.09,599.34,651.97,5.69,+0.88%,1360036,0
11/01/2021,675,706.93,644.42,646.28,-28.61,-4.24%,928842,0
10/01/2021,735.11,753.69,660,674.89,-52.67,-7.24%,864585,0
09/01/2021,818.71,825.62,725,727.56,-89.1,-10.91%,1011676,0
08/01/2021,748.73,820.7299,738.75,816.66,72.61,+9.76%,798586,0
07/01/2021,721.52,749.31,700.62,744.05,22.6,+3.13%,734947,0
06/01/2021,697.53,726.66,670.24,721.45,26.9199,+3.88%,849081,0
05/01/2021,679.1,712.41,669.55,694.5301,21.0801,+3.13%,890485,0
04/01/2021,618,683.05,600.16,673.45,56.43,+9.15%,921366,0
03/01/2021,618.39,657.84,598.01,617.02,3.6,+0.59%,1291834,0
02/01/2021,611.01,628.3,585.45,613.42,5.86,+0.96%,1127331,0
01/01/2021,666.59,671,604.0901,607.56,-53.99,-8.16%,1245536,0
12/01/2020,656.7,681.71,634.47,661.55,9.56,+1.47%,1153300,0
