Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,38.95,42.72,36.05,36.46,-2.3,-5.93%,1290775,0
02/01/2023,42.5,42.5,34.07,38.76,-3.79,-8.91%,1481705,0
01/01/2023,36.51,44.4892,33.58,42.55,5.46,+14.72%,936140,0
12/01/2022,42.4,42.94,33.69,37.09,-4.83,-11.52%,1258619,0
11/01/2022,45.06,50.19,38.71,41.92,-2.04,-4.64%,1433619,0
10/01/2022,36.9,47.25,36.74,43.96,8.95,+25.56%,1314214,0
09/01/2022,41.66,45.31,31.23,35.01,-7.55,-17.74%,1628857,0
08/01/2022,44.66,45.41,35.95,42.56,-3.48,-7.56%,1429360,0
07/01/2022,39.47,46.63,33.85,46.04,6.84,+17.45%,1679520,0
06/01/2022,59.89,64.0787,38.68,39.2,-19.26,-32.95%,2666695,0
05/01/2022,50.3,62.55,42.44,58.46,7.19,+14.02%,1831442,0
04/01/2022,59.2,66.48,49.88,51.27,-7.81,-13.22%,1842475,0
03/01/2022,57,66.12,51.3247,59.08,2.72,+4.83%,2094299,0
02/01/2022,48.87,58.42,47.82,56.36,6.92,+14.00%,2128305,0
01/01/2022,48.1,59.5513,43.57,49.44,2.19,+4.63%,1827830,0
12/01/2021,53.45,54.81,41.26,47.25,-3.59,-7.06%,1842913,0
11/01/2021,53.03,65.45,48.69,50.84,-0.89,-1.72%,2011042,0
10/01/2021,49.35,61.49,49.02,51.73,2.65,+5.40%,1852585,0
09/01/2021,33.76,49.99,31.751,49.08,14.91,+43.63%,1915195,0
08/01/2021,39.36,41.11,25.32,34.17,-5.19,-13.19%,1641877,0
07/01/2021,60,60.49,37.5,39.36,-18.33,-31.77%,1632090,0
06/01/2021,40.08,60.51,40.05,57.69,19.22,+49.96%,2100081,0
05/01/2021,38.06,46,32.9,38.47,1.08,+2.89%,1991915,0
04/01/2021,39.13,41.98,32.01,37.39,-1.16,-3.01%,1632809,0
03/01/2021,26.34,42.31,26.12,38.55,12.98,+50.76%,3337395,0
02/01/2021,14.35,28.69,13.44,25.57,11.73,+84.75%,3234263,0
01/01/2021,13.32,16.99,12.22,13.84,0.68,+5.17%,3298578,0
12/01/2020,9.81,16.59,9.35,13.16,3.65,+38.38%,4815909,0
11/01/2020,5.22,10.92,5.11,9.51,4.28,+81.84%,4276310,0
10/01/2020,5.31,5.75,4.5,5.23,0.41,+8.51%,2570027,0
09/01/2020,6.51,6.6,4.78,4.82,-1.81,-27.30%,3051552,0
08/01/2020,11.3,13,6.52,6.63,-4.77,-41.84%,2850351,0
07/01/2020,11.8,14.5,9.998,11.4,-0.1,-0.87%,1604229,0
06/01/2020,6.9,27.5,6.7,11.5,4.813,+71.98%,5559731,0
05/01/2020,8.8,9.397,6,6.687,-2.71,-28.84%,3757787,0
04/01/2020,5.3,10.95,3.9,9.397,3.918,+71.51%,4689606,0
03/01/2020,23.4,23.5,3.8,5.479,-17.221,-75.86%,3416984,0
02/01/2020,29.9,32.3,19,22.7,-7.3,-24.33%,1429226,0
01/01/2020,49.2,49.8,29.5,30,-18.3,-37.89%,1765206,0
12/01/2019,37.1,49.7,35.7,48.3,11.8,+32.33%,1431942,0
11/01/2019,40.1,48.4,35.1,36.5,-1.5,-3.95%,2298985,0
10/01/2019,43.9,44.8,36.85,38,-5.4,-12.44%,1582986,0
09/01/2019,40,53.6,37.5,43.4,2.3,+5.60%,1959972,0
08/01/2019,48,52.2,39.55,41.1,-8.1,-16.46%,1486647,0
07/01/2019,69.6,70.1,46.65,49.2,-16.7,-25.34%,1728569,0
06/01/2019,63,67.5,58.65,65.9,3.4,+5.44%,677223,0
05/01/2019,75,84.7,62.1,62.5,-12.6,-16.78%,727533,0
04/01/2019,76.5,85.2,70.85,75.1,-0.4,-0.53%,578013,0
03/01/2019,77.4,79.5,66.75,75.5,-1,-1.31%,475968,0
02/01/2019,81.9,85.5,69.8,76.5,-4.9,-6.02%,743367,0
01/01/2019,63.2,86.8,61.85,81.4,16.5,+25.42%,609016,0
12/01/2018,91.5,91.9,55.7,64.9,-20.6,-24.09%,563274,0
11/01/2018,100.7,114.7,85,85.5,-14.2,-14.24%,528260,0
10/01/2018,120.2,130.9,92.3,99.7,-20.2,-16.85%,459770,0
09/01/2018,113.3,125,105.3,119.9,6.9,+6.11%,375393,0
08/01/2018,106.3,116.6,101.2,113,5.4,+5.02%,395836,0
07/01/2018,106.1,115.2,103.1,107.6,0.2,+0.19%,387009,0
06/01/2018,118.9,118.9,98.1,107.4,-11,-9.29%,844566,0
05/01/2018,138.6,146.5,117,118.4,-20.7,-14.88%,688864,0
04/01/2018,131.4,144.35,117,139.1,6.7,+5.06%,424374,0
03/01/2018,106.4,133,105,132.4,26.7,+25.26%,395860,0
