Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,70.3,71.3,69.83,71.22,0.56,+0.79%,1984350,0
02/01/2023,77.88,80.35,69.62,70.66,-7.24,-9.29%,2840868,0
01/01/2023,78.29,81.15,74.1601,77.9,0.62,+0.80%,1695650,0
12/01/2022,81.15,85.06,75.605,77.28,-3.76,-4.64%,3024266,0
11/01/2022,83.7,85.37,77.81,81.04,-1.68,-2.03%,2406928,0
10/01/2022,70.16,83.441,68.86,82.72,13.07,+18.77%,2417214,0
09/01/2022,69.04,79.255,67.52,69.65,0.01,+0.01%,5869914,0
08/01/2022,71.92,75.96,69.08,69.64,-2.95,-4.06%,1196995,0
07/01/2022,60.31,72.74,57.54,72.59,12.18,+20.16%,1783075,0
06/01/2022,61.24,64,54.02,60.41,-0.53,-0.87%,2102685,0
05/01/2022,63.72,64.66,53.505,60.94,-2.68,-4.21%,2030942,0
04/01/2022,66.7,68.39,59.89,63.62,-2.99,-4.49%,2008145,0
03/01/2022,61.11,70.18,53.25,66.61,5.6,+9.18%,2851000,0
02/01/2022,70.43,71.5,49,61.01,-9.15,-13.04%,3387921,0
01/01/2022,79.35,79.73,64.78,70.16,-8.87,-11.22%,2084858,0
12/01/2021,79.44,80.83,75.09,79.03,1.27,+1.63%,1965118,0
11/01/2021,86.13,86.26,77.37,77.76,-8.29,-9.63%,1632857,0
10/01/2021,86.52,101.05,85.27,86.05,-0.01,-0.01%,1369124,0
09/01/2021,84.97,90.845,84.68,86.06,1.32,+1.56%,1503705,0
08/01/2021,89.13,89.62,80.2863,84.74,-4.11,-4.63%,1378577,0
07/01/2021,83.42,90.26,80,88.85,6.03,+7.28%,2136700,0
06/01/2021,85.816,91.0215,82.44,82.82,-2.58,-3.02%,2631309,0
05/01/2021,86.616,86.859,80.516,85.4,-0.043,-0.05%,2036649,0
04/01/2021,82.955,94.349,82.955,85.443,3.254,+3.96%,2190237,0
03/01/2021,81.935,84.84,74.306,82.189,-0.187,-0.23%,4082739,0
02/01/2021,91.265,95.276,80.957,82.376,-7.595,-8.44%,3765578,0
01/01/2021,93.219,93.6765,85.124,89.971,-2.457,-2.66%,2573473,0
12/01/2020,91.972,95.118,84.022,92.428,1.371,+1.51%,1935999,0
11/01/2020,83.477,93.5499,83.087,91.057,8.696,+10.56%,1478100,0
10/01/2020,85.98,89,78.101,82.361,-2.49,-2.93%,1667409,0
09/01/2020,85.398,88.2945,77.728,84.851,-0.009,-0.01%,2049476,0
08/01/2020,85.639,87.9385,80.3805,84.86,-0.116,-0.14%,1683333,0
07/01/2020,71.01,93.9,66.204,84.976,13.909,+19.57%,3415954,0
06/01/2020,65.216,74.711,64.398,71.067,5.387,+8.20%,2635817,0
05/01/2020,64.312,68.7665,60.496,65.68,0.854,+1.32%,3581849,0
04/01/2020,56.879,65.662,52.017,64.826,6.105,+10.40%,3477809,0
03/01/2020,66.243,73.593,50.024,58.721,-8.038,-12.04%,3625772,0
02/01/2020,65.848,74.67,64.302,66.759,1.46,+2.24%,3452684,0
01/01/2020,60.504,67.06,60.354,65.299,5.469,+9.14%,2135047,0
12/01/2019,61.146,61.369,56.663,59.83,-1.456,-2.38%,2955428,0
11/01/2019,55.338,61.98,54.018,61.286,6.334,+11.53%,2934499,0
10/01/2019,59.04,62.3535,51.003,54.952,-4.368,-7.36%,3490913,0
09/01/2019,61.055,62.497,56.1235,59.32,-2.167,-3.52%,2956799,0
08/01/2019,61.754,63.941,57.958,61.487,-0.053,-0.09%,2235409,0
07/01/2019,56.024,63.8165,55.566,61.54,6.134,+11.07%,2796545,0
06/01/2019,51.191,56.265,49.611,55.406,4.442,+8.72%,2609099,0
05/01/2019,49.727,53.222,48.21,50.964,1.339,+2.70%,2443499,0
04/01/2019,46.983,51.185,46.8975,49.625,2.983,+6.40%,2236999,0
03/01/2019,45.748,48.492,45.041,46.642,0.889,+1.94%,2034523,0
02/01/2019,39.09,46.35,38.91,45.753,6.679,+17.09%,1839473,0
01/01/2019,33.276,39.726,32.507,39.074,5.34,+15.83%,1814904,0
12/01/2018,37.65,39.53,31.585,33.734,-3.205,-8.68%,2175157,0
11/01/2018,36.231,37.6635,34.263,36.939,0.797,+2.21%,2392666,0
10/01/2018,42.317,42.501,34.244,36.142,-5.942,-14.12%,3635347,0
09/01/2018,44.186,44.835,41.337,42.084,-2.132,-4.82%,1811105,0
