Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,63.32,66.96,61.7,64.48,1.23,+1.94%,477828,0
02/01/2023,62.13,64.36,61.84,63.25,0.9,+1.44%,353442,0
01/01/2023,59.13,62.645,58.22,62.35,3.48,+5.91%,364040,0
12/01/2022,61.9,61.94,58.1,58.87,-2.05,-3.37%,458082,0
11/01/2022,57.76,61.5,55.31,60.92,3.47,+6.04%,439690,0
10/01/2022,49.74,57.89,49.02,57.45,8.44,+17.22%,438219,0
09/01/2022,50.94,53.54,48.17,49.01,-2.34,-4.56%,401971,0
08/01/2022,54.45,57.165,50.78,51.35,-3.06,-5.62%,288074,0
07/01/2022,48.2,54.54,46.98,54.41,6.27,+13.02%,345915,0
06/01/2022,50.79,54.11,46,48.14,-4.14,-7.92%,515481,0
05/01/2022,48.95,52.86,48.135,52.28,3.24,+6.61%,366166,0
04/01/2022,52.46,53.17,48.81,49.04,-2.89,-5.57%,514575,0
03/01/2022,54.27,54.62,48.52,51.93,-2.34,-4.31%,441026,0
02/01/2022,55.6,56.11,51.02,54.27,-1.39,-2.50%,344905,0
01/01/2022,59.52,60.78,52.94,55.66,-3.6,-6.07%,489665,0
12/01/2021,58.54,59.59,55.09,59.26,2.83,+5.02%,620081,0
11/01/2021,60.11,63.15,56.19,56.43,-3.58,-5.97%,392395,0
10/01/2021,57.83,61.03,56.025,60.01,2.6,+4.53%,344142,0
09/01/2021,67.83,67.83,57.4,57.41,-10.34,-15.26%,658219,0
08/01/2021,66.69,69.35,66.13,67.75,1.56,+2.36%,377340,0
07/01/2021,64.04,66.71,62.965,66.19,2.66,+4.19%,375833,0
06/01/2021,62.23,64.75,60.52,63.53,1.94,+3.15%,433100,0
05/01/2021,63.41,65.47,60.05,61.59,-1.29,-2.05%,450845,0
04/01/2021,58.55,63.68,58.125,62.88,4.72,+8.12%,533495,0
03/01/2021,59.57,61.77,56.82,58.16,-0.75,-1.27%,470643,0
02/01/2021,59.93,62.7,58.86,58.91,-0.53,-0.89%,446773,0
01/01/2021,56.29,60.93,54.76,59.44,3.56,+6.37%,514205,0
12/01/2020,53.99,57.65,52.5,55.88,2.64,+4.96%,444240,0
11/01/2020,48.24,55.21,47.74,53.24,5.74,+12.08%,531395,0
10/01/2020,46.71,52.35,46.71,47.5,1.08,+2.33%,514090,0
09/01/2020,50.23,51.72,45.2,46.42,-3.94,-7.82%,517328,0
08/01/2020,48.64,52.75,48.38,50.36,2.02,+4.18%,357585,0
07/01/2020,46.64,49.45,44.88,48.34,1.82,+3.91%,381500,0
06/01/2020,47.58,52.23,42.585,46.52,-0.93,-1.96%,728054,0
05/01/2020,43.13,48.99,39.84,47.45,3.62,+8.26%,523155,0
04/01/2020,36.7,46.045,35.39,43.83,5.2,+13.46%,509695,0
03/01/2020,45.36,48.9,31.08,38.63,-6.45,-14.31%,868377,0
02/01/2020,52.14,54.54,43.84,45.08,-6.77,-13.06%,353215,0
01/01/2020,57.87,58.18,51.7,51.85,-5.77,-10.01%,386438,0
12/01/2019,56.37,58.32,49.3301,57.62,1.54,+2.75%,517514,0
11/01/2019,53.36,56.56,53.04,56.08,3.34,+6.33%,358960,0
