Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,10.08,11.55,9.94,10.23,0.44,+4.49%,1655338,0
02/01/2023,10.83,12.67,9.7367,9.79,-1.07,-9.85%,1263431,0
01/01/2023,7.6,10.96,7.295,10.86,3.46,+46.76%,1143390,0
12/01/2022,10.13,10.3627,7.02,7.4,-2.74,-27.02%,1494180,0
11/01/2022,9,10.995,7.63,10.14,1.31,+14.84%,1526990,0
10/01/2022,8.17,9.4,7.605,8.83,0.85,+10.65%,1016500,0
09/01/2022,10,10.5,7.8,7.98,-2.15,-21.22%,1374542,0
08/01/2022,11.36,13.5189,10.01,10.13,-1.31,-11.45%,1495356,0
07/01/2022,9.66,11.47,9.23,11.44,1.74,+17.94%,1066930,0
06/01/2022,10.91,11.12,9.11,9.7,-1.11,-10.27%,1560542,0
05/01/2022,11.24,12.36,8.785,10.81,-0.53,-4.67%,1953209,0
04/01/2022,16.91,17.83,11.141,11.34,-5.34,-32.01%,1431230,0
03/01/2022,20.48,20.51,13.3337,16.68,-1.14,-6.40%,2108643,0
02/01/2022,18.07,19.73,15.38,17.82,-0.08,-0.45%,1585473,0
01/01/2022,22.06,22.67,15.33,17.9,-3.64,-16.90%,2088195,0
12/01/2021,23.22,24.15,20.18,21.54,-1.24,-5.44%,2040909,0
11/01/2021,28.4,34.97,21.3946,22.78,-5.38,-19.11%,3939519,0
10/01/2021,27.73,29.5899,25.05,28.16,0.59,+2.14%,1743309,0
09/01/2021,30.91,33.4,27.26,27.57,-2.87,-9.43%,2064466,0
08/01/2021,27.91,40.4,25.855,30.44,2.9,+10.53%,4984290,0
07/01/2021,40.42,40.53,23.24,27.54,-12.43,-31.10%,3487833,0
06/01/2021,29.93,41.48,26.85,39.97,10.56,+35.91%,6408522,0
05/01/2021,21.43,32.5,17.47,29.41,7.87,+36.54%,9463280,0
04/01/2021,28.49,28.97,18.46,21.54,-5.9,-21.50%,3083428,0
03/01/2021,38.7,39.23,22,27.44,-8.4,-23.44%,5057500,0
02/01/2021,36,56.5,32.59,35.84,0.3,+0.84%,5895852,0
01/01/2021,10.73,44.1698,10.28,35.54,25.06,+239.12%,30680731,0
12/01/2020,9.3,12.765,8.79,10.48,1.33,+14.54%,4112936,0
11/01/2020,5.81,9.38,5.61,9.15,3.46,+60.81%,3617845,0
10/01/2020,4.94,8.58,4.6716,5.69,0.78,+15.89%,5195672,0
09/01/2020,5.47,5.69,4.6,4.91,-0.58,-10.56%,2415366,0
08/01/2020,6.59,7.06,5.19,5.49,-1.1,-16.69%,2947309,0
07/01/2020,6.93,7.07,6.37,6.59,-0.4,-5.72%,1573272,0
06/01/2020,7.42,8.35,6.34,6.99,-0.38,-5.16%,2261386,0
05/01/2020,8.22,8.9,6.41,7.37,-1.12,-13.19%,2641245,0
04/01/2020,7.39,9.06,5.835,8.49,0.78,+10.12%,2183166,0
