Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,40.92,46.15,40.08,40.445,1.725,+4.46%,1710493,0
02/01/2023,44.38,45.95,37.22,38.72,-3.92,-9.19%,2160178,0
01/01/2023,34.57,46.63,33.63,42.64,7.82,+22.46%,2587460,0
12/01/2022,27.67,42.19,27.34,34.82,6.08,+21.16%,3056695,0
11/01/2022,25.25,29.89,24.17,28.74,5,+21.06%,2276347,0
10/01/2022,24.12,27.9,17.01,23.74,-0.23,-0.96%,2344576,0
09/01/2022,27.8,28.54,21.4,23.97,-4.43,-15.60%,1762780,0
08/01/2022,26.6,29.8,23.38,28.4,0.99,+3.61%,1894539,0
07/01/2022,20.2,29.73,19.67,27.41,7.05,+34.63%,4013610,0
06/01/2022,13.1,23.6,12.54,20.36,7.3,+55.90%,7972814,0
05/01/2022,12.8,13.705,9.29,13.06,0.51,+4.06%,3589485,0
04/01/2022,12.3,13.1,9.69,12.55,1.05,+9.13%,7606676,0
03/01/2022,15,15.4,8.4,11.5,-3.6,-23.84%,3856815,0
02/01/2022,14,17,13.3,15.1,0.8,+5.59%,2006598,0
01/01/2022,21.1,21.3,12.2,14.3,-6.7,-31.90%,2364565,0
12/01/2021,21.9,24.7,18,21,-1.1,-4.98%,3496749,0
11/01/2021,20.7,24.8,20,22.1,1.6,+7.80%,3811129,0
10/01/2021,20.3,25.6,19.5,20.5,0,0.00%,3611644,0
09/01/2021,22.8,25.4,17.8,20.5,-2.1,-9.29%,4859201,0
08/01/2021,22.6,23.8,16.8,22.6,0.9,+4.15%,6841477,0
07/01/2021,81.9,83,19.4,21.7,-60.2,-73.50%,13370255,0
06/01/2021,109.2,112,72.7,81.9,-20.4,-19.94%,4075331,0
05/01/2021,152,153.4,90.5,102.3,-50.3,-32.96%,3188859,0
04/01/2021,144.2,168.8,141,152.6,12.6,+9.00%,1190612,0
03/01/2021,180.94,189.53,122.7,140,-37.62,-21.18%,1843769,0
02/01/2021,169.87,199.74,168.83,177.62,10.12,+6.04%,945121,0
01/01/2021,185.27,187.43,158.285,167.5,-18.31,-9.85%,1276621,0
12/01/2020,165.32,186.4,156.51,185.81,20.96,+12.71%,987040,0
11/01/2020,164.22,184.6,158.16,164.85,4.47,+2.79%,1182110,0
10/01/2020,151.53,179.72,150.64,160.38,10.88,+7.28%,938527,0
09/01/2020,147.92,157.1465,143.55,149.5,2.87,+1.96%,832423,0
08/01/2020,140.32,150.2,134.54,146.63,6.43,+4.59%,941366,0
07/01/2020,130.18,153.02,128.94,140.2,9.97,+7.66%,1139527,0
06/01/2020,119.3,141.37,119.0746,130.23,10.27,+8.56%,1122068,0
05/01/2020,123.5,129.65,112.64,119.96,-7.7,-6.03%,1322450,0
04/01/2020,106.6,128.17,102.66,127.66,19.42,+17.94%,2007095,0
03/01/2020,130.03,136.73,102.01,108.24,-19.65,-15.36%,2071136,0
02/01/2020,122.66,142.38,122.1,127.89,6.34,+5.22%,1370147,0
01/01/2020,124.15,141.6,115.31,121.55,0.3,+0.25%,1680800,0
12/01/2019,121.28,128.8,116.45,121.25,0.17,+0.14%,716847,0
11/01/2019,123,124.78,116.2,121.08,-0.98,-0.80%,803415,0
10/01/2019,110.79,123.61,107.77,122.06,11.3,+10.20%,1073039,0
09/01/2019,109.86,115.6088,104.04,110.76,-2.64,-2.33%,1176670,0
08/01/2019,104.67,115.88,97.5,113.4,9.09,+8.71%,1134131,0
07/01/2019,99.56,109.9,89.88,104.31,7.73,+8.00%,1299686,0
06/01/2019,85.65,97.83,85.12,96.58,10.93,+12.76%,1080905,0
05/01/2019,96.11,97.9899,80.18,85.65,-9.81,-10.28%,1408668,0
04/01/2019,90.78,96.3,86.75,95.46,5.37,+5.96%,1475857,0
03/01/2019,82.33,90.86,74.5,90.09,8.03,+9.79%,1274476,0
02/01/2019,76.49,84.94,73.63,82.06,5.02,+6.52%,1369636,0
01/01/2019,53.86,79.64,53.62,77.04,22.23,+40.56%,2016228,0
12/01/2018,59.65,62.825,50.3,54.81,-2.35,-4.11%,1649478,0
11/01/2018,58,64.94,52.06,57.16,-1.35,-2.31%,1824938,0
10/01/2018,74.39,74.78,51.21,58.51,-15.5,-20.94%,2695147,0
09/01/2018,77.77,78.57,67.23,74.01,-4.59,-5.84%,1963963,0
08/01/2018,85.5,88.73,73.51,78.6,-7.44,-8.65%,2070913,0
07/01/2018,92.52,99.47,85.34,86.04,-8.62,-9.11%,1382204,0
06/01/2018,99.42,108.235,90.88,94.66,-4.81,-4.84%,1382571,0
05/01/2018,90.23,105.66,88.2,99.47,9.63,+10.72%,1114900,0
04/01/2018,87.73,96.55,83,89.84,2.19,+2.50%,1595400,0
03/01/2018,91.93,97.35,84.273,87.65,-3.74,-4.09%,1702628,0
02/01/2018,91,96.73,82.545,91.39,-0.7,-0.76%,1822200,0
01/01/2018,95.74,108.4,87.75,92.09,-1.91,-2.03%,2351614,0
12/01/2017,83.81,95.47,82.07,94,9.14,+10.77%,1072895,0
11/01/2017,83.53,91.4,81.4,84.86,1.62,+1.95%,1482228,0
10/01/2017,87.54,94.63,81.58,83.24,-5.02,-5.69%,1903227,0
09/01/2017,82.11,94.3,80.59,88.26,6.51,+7.96%,1687345,0
08/01/2017,80.3,86.88,74.66,81.75,2.09,+2.62%,1203434,0
07/01/2017,70.63,83.91,70.37,79.66,9.17,+13.01%,1398150,0
06/01/2017,72.44,83.21,69.91,70.49,-1.18,-1.65%,1449418,0
05/01/2017,64.76,76.18,63.25,71.67,7.13,+11.05%,1359754,0
04/01/2017,60.51,68.51,58.47,64.54,4.16,+6.89%,1072600,0
03/01/2017,48.95,60.91,48.95,60.38,11.97,+24.73%,1010682,0
02/01/2017,47.8,52.37,46.35,48.41,0.86,+1.81%,1015989,0
01/01/2017,42.75,51.69,42.31,47.55,5.45,+12.95%,1292815,0
12/01/2016,50.19,50.22,37.16,42.1,-8.07,-16.09%,2007852,0
11/01/2016,50.43,52.95,46.81,50.17,0.04,+0.08%,1049876,0
10/01/2016,46.58,53.38,45.02,50.13,3.77,+8.13%,980361,0
09/01/2016,39.5,48.41,39.31,46.36,6.88,+17.43%,1449614,0
08/01/2016,44.16,44.5,39.38,39.48,-4.58,-10.39%,1044334,0
07/01/2016,42,45.37,40.01,44.06,2.18,+5.21%,1579080,0
06/01/2016,42.19,43.54,38.11,41.88,-0.37,-0.88%,1485286,0
05/01/2016,39.65,43.58,38.68,42.25,3.09,+7.89%,1797200,0
04/01/2016,34.46,40.71,33.47,39.16,4.57,+13.21%,1511014,0
03/01/2016,31.39,36.75,30.01,34.59,3.46,+11.11%,1177177,0
02/01/2016,31.4,32.91,28.43,31.13,-0.28,-0.89%,1340335,0
01/01/2016,30.79,31.64,27.4,31.41,0.04,+0.13%,2059400,0
12/01/2015,29.02,33.56,28.99,31.37,2.35,+8.10%,1439754,0
11/01/2015,27.49,30.98,27.13,29.02,1.51,+5.49%,1697645,0
10/01/2015,20.29,28.69,19.73,27.51,7.3,+36.12%,1075027,0
09/01/2015,19.94,20.58,18.22,20.21,-0.28,-1.37%,658938,0
08/01/2015,22.41,23.31,18.09,20.49,-1.91,-8.53%,737819,0
07/01/2015,24.61,24.9,21.78,22.4,-2.12,-8.65%,1527704,0
06/01/2015,23.99,26.46,23.24,24.52,0.69,+2.90%,1841854,0
05/01/2015,25.63,25.95,23.44,23.83,-1.76,-6.88%,1167560,0
04/01/2015,22.19,27.18,22.17,25.59,3.42,+15.43%,1165080,0
