Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,37.61,38.97,37.42,38.23,0.71,+1.89%,4151100,0
02/01/2023,41.05,41.14,37.39,37.52,-3.45,-8.42%,4076873,0
01/01/2023,38.91,42.11,38.705,40.97,1.87,+4.78%,2777580,0
12/01/2022,41.53,41.605,37.715,39.1,-2.19,-5.30%,3980728,0
11/01/2022,39.64,42.12,38.13,41.29,2.34,+6.01%,3915938,0
10/01/2022,37.97,39.6,35.02,38.95,1.85,+4.99%,3594571,0
09/01/2022,41,43.035,36.93,37.1,-4.12,-10.00%,3414304,0
08/01/2022,44.47,44.81,41.22,41.22,-3.71,-8.26%,2986165,0
07/01/2022,42.33,45.21,40.04,44.93,2.67,+6.32%,2831905,0
06/01/2022,46.53,47.67,39.41,42.26,-3.89,-8.43%,4005033,0
05/01/2022,43.5,46.7,42.02,46.15,2.51,+5.75%,4673276,0
04/01/2022,46.22,47.42,43.175,43.64,-2.45,-5.32%,3270090,0
03/01/2022,43.43,46.4964,42.97,46.09,2.91,+6.74%,4633630,0
02/01/2022,42.18,43.72,40.67,43.18,0.91,+2.15%,5587263,0
01/01/2022,39.13,42.415,38.935,42.27,3.19,+8.16%,5611845,0
12/01/2021,38.18,39.13,36.205,39.08,1.54,+4.10%,6416850,0
11/01/2021,42,43.345,37.22,37.54,-4.32,-10.32%,5681104,0
10/01/2021,39.91,43.2058,39.63,41.86,2.06,+5.18%,4318504,0
09/01/2021,39.31,40.57,38.56,39.8,0.49,+1.25%,3227071,0
08/01/2021,39.52,40.315,37.06,39.31,-0.04,-0.10%,3761804,0
07/01/2021,40.25,40.7,37.34,39.35,-0.69,-1.72%,3019438,0
06/01/2021,38.92,41.13,38.54,40.04,1.56,+4.05%,4407068,0
05/01/2021,38.77,40.42,37.835,38.48,-0.09,-0.23%,5062990,0
04/01/2021,36.71,38.65,36.33,38.57,2.17,+5.96%,2908128,0
03/01/2021,34.41,37.305,34.14,36.4,2.59,+7.66%,4574860,0
02/01/2021,33.86,36.1483,33.52,33.81,0.21,+0.63%,6222131,0
01/01/2021,32.35,35.68,31.77,33.6,1.61,+5.03%,4980673,0
12/01/2020,31.75,34.29,31.15,31.99,0.78,+2.50%,3853009,0
11/01/2020,27.84,32.4,27.3017,31.21,3.65,+13.24%,5940260,0
10/01/2020,29.22,30.57,26.97,27.56,-1.64,-5.62%,3406890,0
09/01/2020,32.04,32.935,29.071,29.2,-2.82,-8.81%,2796461,0
08/01/2020,32.05,34.25,31.72,32.02,0.02,+0.06%,2615090,0
07/01/2020,30.42,32.65,29.41,32,1.58,+5.19%,2730486,0
06/01/2020,32.57,33.99,29.53,30.42,-2.03,-6.26%,3497486,0
05/01/2020,30,33.37,29.2313,32.45,1.77,+5.77%,4235830,0
04/01/2020,27.98,32.18,26.9,30.68,1.59,+5.47%,5876176,0
03/01/2020,37.72,38.97,22.57,29.09,-8.34,-22.28%,8269977,0
02/01/2020,40.63,43.15,35.47,37.43,-3.24,-7.97%,5361010,0
01/01/2020,39.8,41.26,39.425,40.67,0.9,+2.26%,2787019,0
12/01/2019,37.93,39.86,37.5,39.77,1.77,+4.66%,2822942,0
11/01/2019,36.49,38.77,36.48,38,1.59,+4.37%,3535980,0
10/01/2019,35.07,36.8299,33.79,36.41,1.33,+3.79%,3013386,0
09/01/2019,33.28,36.12,33.085,35.08,1.62,+4.84%,3158540,0
08/01/2019,33.36,34.45,32.23,33.46,0.07,+0.21%,3350609,0
07/01/2019,36.32,37,33.14,33.39,-2.69,-7.46%,2401345,0
06/01/2019,37.06,37.15,34.02,36.08,-0.79,-2.14%,3961400,0
05/01/2019,36.99,38.04,36.1,36.87,-0.07,-0.19%,3192059,0
04/01/2019,36.47,37.96,35.85,36.94,0.68,+1.88%,2686685,0
03/01/2019,37.06,37.44,34.82,36.26,-0.73,-1.97%,3837438,0
02/01/2019,36.76,37.69,35.16,36.99,0.37,+1.01%,3860573,0
01/01/2019,30.74,36.9,30.54,36.62,5.54,+17.82%,3922190,0
12/01/2018,33.29,33.84,28.82,31.08,-1.65,-5.04%,7957831,0
11/01/2018,31.29,33.73,30.95,32.73,1.62,+5.21%,5118457,0
10/01/2018,32.58,34,29.98,31.11,-1.18,-3.65%,3850360,0
09/01/2018,34.02,34.78,32.15,32.29,-1.88,-5.50%,3038515,0
08/01/2018,35.16,36.57,34.05,34.17,-1.26,-3.56%,2977078,0
07/01/2018,35.51,36.17,34,35.43,-0.26,-0.73%,3117400,0
06/01/2018,31.18,36.11,30.66,35.69,4.62,+14.87%,4638385,0
05/01/2018,30.25,33.795,30.24,31.07,0.8,+2.64%,3745159,0
04/01/2018,31.41,33.61,29,30.27,-1.2,-3.81%,3886771,0
03/01/2018,31.8,33.62,29.54,31.47,-0.35,-1.10%,4078490,0
