Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,109.83,110.31,104.34,105.78,-3.19,-2.93%,2339900,0
02/01/2023,113.95,124.95,103.52,108.97,-5.33,-4.66%,3059336,0
01/01/2023,88.63,118.63,86.31,114.3,26.7,+30.48%,2335280,0
12/01/2022,107.02,109.5,82.39,87.6,-19.24,-18.01%,2456580,0
11/01/2022,96.5,106.93,85.02,106.84,13.37,+14.30%,2721447,0
10/01/2022,95.33,102.15,88.81,93.47,-0.22,-0.23%,2225895,0
09/01/2022,100.96,113.59,89.27,93.69,-8.96,-8.73%,2627219,0
08/01/2022,103.69,117.31,100.275,102.65,-3.4,-3.21%,2875082,0
07/01/2022,94.74,106.54,88.7,106.05,11.22,+11.83%,2230170,0
06/01/2022,129.77,135.42,90.37,94.83,-34.5,-26.68%,3436147,0
05/01/2022,174.88,178.02,115.76,129.33,-45.42,-25.99%,5207880,0
04/01/2022,196.94,200.45,173.61,174.75,-20.92,-10.69%,2243015,0
03/01/2022,195.01,203.98,151.93,195.67,-0.44,-0.22%,3404269,0
02/01/2022,182,217.72,180.76,196.11,12.82,+6.99%,3841494,0
01/01/2022,181.3,190.78,159.89,183.29,2.57,+1.42%,2144775,0
12/01/2021,165,185.64,150.835,180.72,19.63,+12.19%,2405218,0
11/01/2021,165.79,191.85,155.59,161.09,-3.32,-2.02%,3327333,0
10/01/2021,169.3,174.85,159.0101,164.41,0.51,+0.31%,1599909,0
09/01/2021,146,175.37,141.8,163.9,19.4,+13.43%,2316971,0
08/01/2021,162.27,166.2,136.77,144.5,-16.37,-10.18%,2643122,0
07/01/2021,164.39,169.29,150.02,160.87,-2.84,-1.73%,1960595,0
06/01/2021,178.81,179.59,158.89,163.71,-13.24,-7.48%,2124400,0
05/01/2021,178.25,180.05,161.64,176.95,0.72,+0.41%,2754370,0
04/01/2021,172.89,181.52,166.75,176.23,4.11,+2.39%,2144752,0
03/01/2021,164,187.93,154.8325,172.12,11.12,+6.91%,3540095,0
02/01/2021,126.15,166.57,125.645,161,36.9,+29.73%,3666631,0
01/01/2021,134.57,147.55,118.3,124.1,-8.3,-6.27%,3401247,0
12/01/2020,126.79,134.085,120.15,132.4,7.91,+6.35%,2566531,0
11/01/2020,95.05,130.57,92.555,124.49,30.34,+32.23%,3732325,0
10/01/2020,92.55,103.06,87.9,94.15,2.46,+2.68%,2113940,0
09/01/2020,97.6,104.05,89.72,91.69,-6.46,-6.58%,2470419,0
08/01/2020,81.1,101.45,79.07,98.15,17.14,+21.16%,2673947,0
07/01/2020,83.21,91.29,76.75,81.01,-1.19,-1.45%,3351440,0
06/01/2020,79.5,97.59,75.75,82.2,2.72,+3.42%,4511718,0
05/01/2020,68.14,86.88,58.3884,79.48,8.5,+11.98%,5094115,0
04/01/2020,52.86,76.54,46.145,70.98,14.71,+26.14%,4782757,0
03/01/2020,97.72,98.98,40.76,56.27,-42.35,-42.94%,5754272,0
02/01/2020,108.96,124.74,94.62,98.62,-9.83,-9.06%,3431200,0
01/01/2020,108.87,114.28,106.28,108.45,0.31,+0.29%,2062576,0
