Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,140.29,146.88,139.225,146.76,6.18,+4.40%,3099900,0
02/01/2023,145,150.73,133.3,140.58,-5.54,-3.79%,2582331,0
01/01/2023,134.97,152.79,128.08,146.12,9.34,+6.83%,1937100,0
12/01/2022,149.2,149.9,129.49,136.78,-11.24,-7.59%,2963904,0
11/01/2022,160,168.95,142.14,148.02,-9.09,-5.79%,2669910,0
10/01/2022,126.4,158.88,125.62,157.11,36.65,+30.43%,2273704,0
09/01/2022,130.5,141.13,110.97,120.46,-12.82,-9.62%,2358090,0
08/01/2022,125.82,141.77,114.355,133.28,5.26,+4.11%,2679695,0
07/01/2022,121.84,128.67,103.71,128.02,6.87,+5.67%,2443025,0
06/01/2022,154,162.2409,117.37,121.15,-30.87,-20.31%,3669776,0
05/01/2022,124,159.69,121.83,152.02,25.79,+20.43%,3162885,0
04/01/2022,137.18,145.97,119.76,126.23,-10.85,-7.92%,1900885,0
03/01/2022,139.67,147.99,119.4335,137.08,-1.02,-0.74%,3032353,0
02/01/2022,124.82,138.47,122.08,138.1,11.94,+9.46%,2933063,0
01/01/2022,107.58,134.06,107.55,126.16,18.31,+16.98%,2974300,0
12/01/2021,109.53,116.8682,95.02,107.85,1.12,+1.05%,2373613,0
11/01/2021,109.82,117.71,100.775,106.73,-0.46,-0.43%,3330833,0
10/01/2021,95.27,114.73,94.8092,107.19,12.52,+13.22%,2596723,0
09/01/2021,77.16,97.69,73.26,94.67,17.53,+22.72%,2748904,0
08/01/2021,77.64,82.29,65.9304,77.14,0.01,+0.01%,2277195,0
07/01/2021,97,102.53,71.35,77.13,-16.76,-17.85%,2535657,0
06/01/2021,82.88,96.64,82.4,93.89,13.82,+17.26%,2459340,0
05/01/2021,83.48,87.18,74.6,80.07,-1.66,-2.03%,2577095,0
04/01/2021,74.18,87.595,72.34,81.73,8.24,+11.21%,2187347,0
03/01/2021,70.96,88.75,69.53,73.49,4.21,+6.08%,3446786,0
02/01/2021,58.37,74.87,56.3538,69.28,12.59,+22.21%,2628678,0
01/01/2021,49,64.9,47.56,56.69,8.29,+17.13%,3393994,0
12/01/2020,41.52,51.53,39.3,48.4,8.44,+21.12%,3688327,0
11/01/2020,26.45,47.25,24.57,39.96,14,+53.93%,5231965,0
10/01/2020,30.01,32.43,23.63,25.96,-4.16,-13.81%,3270718,0
09/01/2020,38.8,39.17,28.8399,30.12,-8.84,-22.69%,3098414,0
08/01/2020,39.87,46.95,38.83,38.96,-0.9,-2.26%,1889961,0
07/01/2020,42.36,43.129,36.801,39.86,-1.96,-4.69%,2359040,0
06/01/2020,42.3,59.89,39.84,41.82,-0.76,-1.78%,3065781,0
05/01/2020,42.11,46.18,35.81,42.58,-0.96,-2.20%,2874700,0
04/01/2020,25.19,44.65,23.7,43.54,17.34,+66.18%,5770580,0
03/01/2020,62.75,64.24,14.55,26.2,-35.8,-57.74%,6569627,0
02/01/2020,74.2,81.59,57,62,-12.4,-16.67%,2768689,0
01/01/2020,93.35,96.92,73.55,74.4,-18.46,-19.88%,2085952,0
12/01/2019,77.59,93.12,76.215,92.86,15.52,+20.07%,1956852,0
11/01/2019,86.54,92.79,73.175,77.34,-8.42,-9.82%,2899800,0
10/01/2019,88.95,89.49,80.75,85.76,-4.15,-4.62%,1599869,0
09/01/2019,95.29,105.95,88.6,89.91,-8.17,-8.33%,1990420,0
08/01/2019,99.7,101.55,86.68,98.08,-5.35,-5.17%,2001122,0
07/01/2019,111.05,111.84,98.92,103.43,-5.54,-5.08%,1171663,0
06/01/2019,98.71,110.23,94.45,108.97,10.91,+11.13%,1556365,0
05/01/2019,105.69,114.14,95.82,98.06,-8.33,-7.83%,1978345,0
04/01/2019,102.9,112.97,98.8,106.39,4.86,+4.79%,1885452,0
03/01/2019,103.21,106.36,92.87,101.53,-1.4,-1.36%,1618023,0
02/01/2019,103.4,108.24,94.86,102.93,-0.19,-0.18%,1961978,0
01/01/2019,90.64,108.94,89.855,103.12,10.42,+11.24%,1962538,0
12/01/2018,113.83,115.97,85.19,92.7,-17.68,-16.02%,3508021,0
11/01/2018,112.8,119.55,103.51,110.38,-1.98,-1.76%,3969571,0
10/01/2018,135.45,140.78,105.93,112.36,-22.83,-16.89%,1617643,0
09/01/2018,122.15,137.84,111.31,135.19,14.11,+11.65%,1890089,0
08/01/2018,131.47,136.25,115.28,121.08,-10.87,-8.24%,1992347,0
07/01/2018,130.87,138.25,128.1,131.95,0.38,+0.29%,909747,0
06/01/2018,120.3,132.85,107.78,131.57,10.81,+8.95%,2094247,0
05/01/2018,127.44,138.14,118.06,120.76,-7.69,-5.99%,1994404,0
04/01/2018,125.86,130.7,113.06,128.45,1.93,+1.53%,1862514,0
03/01/2018,125.03,134.6,121.98,126.52,1.88,+1.51%,1320466,0
02/01/2018,125.57,129.15,105.66,124.64,-0.86,-0.69%,1552331,0
01/01/2018,125,134.52,124.6,125.5,-0.75,-0.59%,1195619,0
12/01/2017,110.16,127.45,105.97,126.25,16.94,+15.50%,1092550,0
11/01/2017,108.23,114.93,105.79,109.31,2.15,+2.01%,1086919,0
10/01/2017,96.98,107.56,95.69,107.16,9.2,+9.39%,925986,0
09/01/2017,91.07,98.36,87.84,97.96,7.17,+7.90%,1178380,0
08/01/2017,96.19,97.99,85.73,90.79,-5.09,-5.31%,1487382,0
07/01/2017,89.55,97.83,82.77,95.88,7.07,+7.96%,1109580,0
06/01/2017,93.68,94.83,83.22,88.81,-3.95,-4.26%,1656636,0
05/01/2017,99.87,105,91.2,92.76,-7.08,-7.09%,1549304,0
04/01/2017,103.5,108.17,98.93,99.84,-3.87,-3.73%,1373426,0
03/01/2017,102.58,106.92,96.98,103.71,2.85,+2.83%,1630582,0
02/01/2017,106.07,114,96.05,100.86,-4.31,-4.10%,1674642,0
01/01/2017,102.5,108.5,99.13,105.17,4.11,+4.07%,1183065,0
12/01/2016,111.18,113.23,96.5,101.06,-6.79,-6.30%,1718504,0
11/01/2016,92.27,108.51,88.74,107.85,16.56,+18.14%,1492414,0
10/01/2016,95.15,106.84,90.51,91.29,-5.25,-5.44%,1440166,0
09/01/2016,95.23,99.69,86.93,96.54,1.29,+1.35%,1050180,0
08/01/2016,87.64,98.94,83.9,95.25,7.46,+8.50%,937439,0
07/01/2016,91.79,92.82,84.2,87.79,-3.42,-3.75%,1261550,0
06/01/2016,90.27,96.01,82.8,91.21,0.26,+0.29%,1053831,0
05/01/2016,87.08,93.92,82.19,90.95,4.37,+5.05%,1149157,0
04/01/2016,76,89.22,73.12,86.58,9.4,+12.18%,979257,0
03/01/2016,71.76,79.87,68.96,77.18,5.93,+8.32%,1350086,0
02/01/2016,74.41,76.86,63.76,71.25,-4.3,-5.69%,1654500,0
01/01/2016,66.45,75.66,55.48,75.55,8.65,+12.93%,2039447,0
12/01/2015,78.33,80,61.51,66.9,-11.12,-14.25%,1271250,0
11/01/2015,73.83,82.19,73.29,78.02,4.18,+5.66%,1114420,0
10/01/2015,66.09,77.98,63.36,73.84,9.24,+14.30%,1151472,0
09/01/2015,66.39,71.64,62.11,64.6,-3.69,-5.40%,1016961,0
08/01/2015,66.8,74.19,60.28,68.29,0.99,+1.47%,1461109,0
07/01/2015,76.41,77.36,62.23,67.3,-8.08,-10.72%,1282890,0
06/01/2015,78.52,82.49,73.36,75.38,-2.43,-3.12%,1128995,0
05/01/2015,82.62,84.76,74.25,77.81,-4.76,-5.76%,1260645,0
04/01/2015,77.6,85.82,76.47,82.57,5.73,+7.46%,949485,0
03/01/2015,71,78.75,67.52,76.84,5.63,+7.91%,1078600,0
02/01/2015,69.73,76.93,65.55,71.21,2.22,+3.22%,1226768,0
01/01/2015,60.05,70.83,55.53,68.99,9.21,+15.41%,1508070,0
12/01/2014,56.34,63.11,51.69,59.78,3.38,+5.99%,1474127,0
11/01/2014,69.89,71.54,54.48,56.4,-12.04,-17.59%,1448200,0
10/01/2014,75.3,76.94,56.34,68.44,-6.34,-8.48%,1642626,0
09/01/2014,86.49,86.72,70.66,74.78,-11.57,-13.40%,1262285,0
08/01/2014,82.33,86.82,74.65,86.35,4.12,+5.01%,1073723,0
07/01/2014,90,90.48,81.02,82.23,-6.57,-7.40%,1185440,0
06/01/2014,76.99,93.33,75.35,88.8,13.32,+17.65%,1373538,0
05/01/2014,72.04,76.5,67.64,75.48,3.54,+4.92%,1016385,0
04/01/2014,67.3,76.72,64.05,71.94,4.63,+6.88%,971500,0
03/01/2014,63.89,70.99,60.41,67.31,2.98,+4.63%,809880,0
02/01/2014,52.44,68,49.54,64.33,12.35,+23.76%,1116368,0
01/01/2014,52.63,53.58,44.02,51.98,-0.9,-1.70%,851500,0
12/01/2013,49.92,53.83,43.47,52.88,3.14,+6.31%,748038,0
11/01/2013,51.42,58.71,48.19,49.74,-1.91,-3.70%,936225,0
10/01/2013,42.61,56.16,42.18,51.65,9.01,+21.13%,695456,0
09/01/2013,40.81,47.22,40.81,42.64,2.4,+5.96%,459220,0
08/01/2013,39.28,44.11,38.1,40.24,2.06,+5.40%,521995,0
07/01/2013,33.49,40,33.42,38.18,4.86,+14.59%,227454,0
06/01/2013,33.66,35.87,30.75,33.32,-0.45,-1.33%,528785,0
05/01/2013,26.1,35.91,25.95,33.77,7.51,+28.60%,545595,0
04/01/2013,27.52,27.97,23.83,26.26,-0.58,-2.16%,204604,0
03/01/2013,22.5,27.21,21.83,26.84,4.13,+18.19%,122680,0
02/01/2013,22.56,23.31,19.57,22.71,0.29,+1.29%,147489,0
01/01/2013,19.46,22.9,18.6,22.42,3.3,+17.26%,158838,0
12/01/2012,18.08,19.89,17.2,19.12,1.12,+6.22%,187530,0
11/01/2012,17.1,18.48,15.65,18,0.97,+5.70%,130042,0
"Downloaded from Barchart.com as of 03-04-2023 08:43am CST"
