Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,46.64,52.27,45.18,51.96,5.31,+11.38%,214761,0
02/01/2023,44.2,47.5,43.54,46.65,2.45,+5.54%,108463,0
01/01/2023,46.98,47.55,42.09,44.2,-2.33,-5.01%,132190,0
12/01/2022,51.82,54.14,46.46,46.53,-5,-9.70%,152447,0
11/01/2022,47.6,54.05,45.36,51.53,4.11,+8.67%,133019,0
10/01/2022,38.71,48.44,38.57,47.42,8.88,+23.04%,143485,0
09/01/2022,55.21,55.6,38.4,38.54,-16.92,-30.51%,244776,0
08/01/2022,53.98,57.65,53.27,55.46,1.28,+2.36%,106239,0
07/01/2022,49.13,54.39,47.22,54.18,5.24,+10.71%,141750,0
06/01/2022,49.82,50.375,43.68,48.94,-0.69,-1.39%,169771,0
05/01/2022,44.23,51.2,42.58,49.63,5.55,+12.59%,288994,0
04/01/2022,43.52,48.09,43.38,44.08,0.58,+1.33%,154015,0
03/01/2022,43.91,44.82,38.1001,43.5,-0.51,-1.16%,198691,0
02/01/2022,44.9,46.33,39.63,44.01,-0.66,-1.48%,161584,0
01/01/2022,45.42,47.39,41.36,44.67,-0.66,-1.46%,202425,0
12/01/2021,53.19,54.13,41.6206,45.33,-6.61,-12.73%,362981,0
11/01/2021,55.83,64.67,51.73,51.94,-4.46,-7.91%,222919,0
10/01/2021,52.61,57.94,52.36,56.4,3.91,+7.45%,198361,0
09/01/2021,46.77,55.44,45.31,52.49,5.94,+12.76%,426157,0
08/01/2021,45.35,46.66,41.73,46.55,1.17,+2.58%,226436,0
07/01/2021,47.17,47.515,42.92,45.38,-1.85,-3.92%,320495,0
06/01/2021,49.75,54.02,45.06,47.23,-2.7,-5.41%,408250,0
05/01/2021,48.68,51.34,43.71,49.93,1.34,+2.76%,349910,0
04/01/2021,49.5,55.33,47.42,48.59,-0.32,-0.65%,556523,0
03/01/2021,48.33,58.13,45.925,48.91,1.25,+2.62%,920291,0
02/01/2021,75.725,76.06,46.0038,47.66,-28.11,-37.10%,1241152,0
01/01/2021,43.065,98.215,38.73,75.77,33.32,+78.49%,1969578,0
12/01/2020,48.995,50.11,40.3429,42.45,-6.565,-13.39%,686818,0
11/01/2020,39.67,49.63,38.8865,49.015,9.87,+25.21%,612989,0
10/01/2020,34.385,46.705,34.01,39.145,5.14,+15.12%,641390,0
09/01/2020,40.395,43.1325,33.9725,34.005,-6.655,-16.37%,735171,0
08/01/2020,32.615,42.425,29.7,40.66,8.585,+26.77%,581838,0
07/01/2020,30.675,35.32,30.35,32.075,1.565,+5.13%,553090,0
06/01/2020,28.58,32.7491,27.575,30.51,2.02,+7.09%,467790,0
05/01/2020,24.92,29.72,24.42,28.49,3.375,+13.44%,434130,0
04/01/2020,21.045,27.2432,19.825,25.115,3.79,+17.77%,574942,0
03/01/2020,21.14,23.51,17.855,21.325,0.18,+0.85%,979099,0
02/01/2020,21.555,23.425,20.625,21.145,-0.31,-1.44%,513178,0
01/01/2020,25.675,25.73,21.34,21.455,-4.055,-15.90%,564628,0
12/01/2019,24.775,29.05,23.5501,25.51,0.69,+2.78%,1115980,0
11/01/2019,21.975,25.1,19.66,24.82,2.84,+12.92%,1127879,0
10/01/2019,22.28,25.555,21.2575,21.98,-0.2,-0.90%,957982,0
09/01/2019,20.275,24.165,19.14,22.18,1.73,+8.46%,842450,0
08/01/2019,21.855,23.49,19.86,20.45,-1.315,-6.04%,1042072,0
07/01/2019,22.41,23.1,20.31,21.765,-0.55,-2.46%,805236,0
06/01/2019,22.67,25.14,20.025,22.315,-0.26,-1.15%,1285979,0
05/01/2019,27.925,29.14,22.3,22.575,-5.425,-19.38%,690436,0
04/01/2019,28.935,29.38,26.075,28,-0.865,-3.00%,603580,0
03/01/2019,34.365,35.05,25.2655,28.865,-5.43,-15.83%,1376285,0
02/01/2019,41.89,42.385,33.285,34.295,-7.625,-18.19%,731610,0
01/01/2019,35.505,42.44,35.285,41.92,6.035,+16.82%,528304,0
12/01/2018,43.87,44.35,35.305,35.885,-7.75,-17.76%,589557,0
11/01/2018,46.22,51.805,41.755,43.635,-2.59,-5.60%,418857,0
10/01/2018,58.42,58.42,45.125,46.225,-12.085,-20.73%,496486,0
09/01/2018,58.955,63.66,54.85,58.31,-0.61,-1.04%,466789,0
08/01/2018,52.915,60.615,51.375,58.92,6.165,+11.69%,305869,0
07/01/2018,53.405,55.75,51.065,52.755,-0.695,-1.30%,456809,0
06/01/2018,47.125,58.1425,46.22,53.45,6.31,+13.39%,812657,0
05/01/2018,44.04,48.355,42.76,47.14,2.96,+6.70%,363863,0
04/01/2018,44.675,47.07,42.215,44.18,-0.33,-0.74%,483199,0
03/01/2018,48.725,50.165,41.89,44.51,-4.46,-9.11%,707714,0
02/01/2018,54.9,55.68,46.5,48.97,-6.265,-11.34%,462715,0
01/01/2018,49.18,57.385,46.765,55.235,6.515,+13.37%,658238,0
12/01/2017,54.565,56.85,48.26,48.72,-5.84,-10.70%,664259,0
11/01/2017,49.33,56.745,46.505,54.56,5.61,+11.46%,706514,0
10/01/2017,62.03,62.2325,45.75,48.95,-13.075,-21.08%,867972,0
09/01/2017,58.26,64.91,55.87,62.025,3.92,+6.75%,577999,0
08/01/2017,51.41,58.94,51.225,58.105,7.045,+13.80%,451686,0
07/01/2017,46.985,55.32,46.16,51.06,4.28,+9.15%,860079,0
06/01/2017,47.7,47.79,41.905,46.78,-1.195,-2.49%,438045,0
05/01/2017,44.5,48.025,40.825,47.975,3.68,+8.31%,752345,0
04/01/2017,42.16,46.425,41.78,44.295,2.03,+4.80%,677978,0
03/01/2017,29.4,42.75,29.265,42.265,13.06,+44.72%,755617,0
