Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,52.3,54.6,50.28,50.58,-2.17,-4.11%,696875,0
02/01/2023,53.07,55.51,52.46,52.75,-0.6,-1.12%,944357,0
01/01/2023,48.73,53.52,47.305,53.35,5.09,+10.55%,937995,0
12/01/2022,51.08,51.38,46.96,48.26,-2.29,-4.53%,882323,0
11/01/2022,48.07,50.68,45.195,50.55,2.92,+6.13%,852628,0
10/01/2022,45.46,47.85,42.91,47.63,2.82,+6.29%,1529433,0
09/01/2022,50.4,53.72,43.695,44.81,-5.87,-11.58%,1444772,0
08/01/2022,51.88,55.88,50.55,50.68,-1.27,-2.44%,769321,0
07/01/2022,47.65,52.17,46.38,51.95,4.47,+9.41%,1031080,0
06/01/2022,53.44,53.86,45.795,47.48,-5.67,-10.67%,932161,0
05/01/2022,58.46,58.46,50.355,53.15,-4.85,-8.36%,1187885,0
04/01/2022,61.98,65.92,57.83,58,-3.91,-6.32%,765225,0
03/01/2022,57.4,63.24,56.88,61.91,4.33,+7.52%,761395,0
02/01/2022,60.8,61.51,55.31,57.58,-3.2,-5.26%,752484,0
01/01/2022,66.3,66.32,58.24,60.78,-5.42,-8.19%,1403575,0
12/01/2021,61.12,66.735,60.45,66.2,5.79,+9.58%,1217031,0
11/01/2021,58.39,61.81,57.43,60.41,2.18,+3.74%,679731,0
10/01/2021,52.44,59.18,52.15,58.23,6.15,+11.81%,709814,0
09/01/2021,56.26,56.9,51.93,52.08,-3.91,-6.98%,1200153,0
08/01/2021,55.01,56.69,53.88,55.99,1.21,+2.21%,771936,0
07/01/2021,52.22,55.43,51.96,54.78,2.55,+4.88%,1038552,0
06/01/2021,50.91,53.92,50.5,52.23,1.59,+3.14%,1146977,0
05/01/2021,49.98,51.52,47.92,50.64,0.87,+1.75%,1285180,0
04/01/2021,46.1,50.35,45.87,49.77,3.98,+8.69%,819114,0
03/01/2021,43.31,47.47,41.15,45.79,3.08,+7.21%,1204682,0
02/01/2021,40.91,44.68,40.39,42.71,2.07,+5.09%,947447,0
01/01/2021,42.24,42.855,40.08,40.64,-1.49,-3.54%,865300,0
12/01/2020,42.22,42.72,40.19,42.13,0.25,+0.60%,736086,0
11/01/2020,40.26,44.79,39.82,41.88,2.07,+5.20%,621820,0
10/01/2020,40.12,44.465,39.24,39.81,0.01,+0.03%,627836,0
