Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,2.77,2.825,2.77,2.78,0,0.00%,3020400,0
02/01/2023,3.31,3.4186,2.605,2.78,-0.52,-15.76%,4621952,0
01/01/2023,2.51,3.84,2.34,3.3,0.88,+36.36%,17375060,0
12/01/2022,2.35,2.45,1.99,2.42,0.1,+4.31%,5018552,0
11/01/2022,2.25,2.41,1.96,2.32,0.1,+4.50%,3053523,0
10/01/2022,2.38,2.5,2.035,2.22,-0.12,-5.13%,3586300,0
09/01/2022,2.61,3.06,2.19,2.34,-0.3,-11.36%,4043804,0
08/01/2022,1.88,2.67,1.84,2.64,0.74,+38.95%,4727343,0
07/01/2022,1.55,2,1.54,1.9,0.35,+22.58%,2497020,0
06/01/2022,1.37,1.55,1.18,1.55,0.17,+12.32%,3018895,0
05/01/2022,1.39,1.57,1.21,1.38,-0.03,-2.13%,2373285,0
04/01/2022,1.38,1.68,1.35,1.41,0.05,+3.68%,2321030,0
03/01/2022,1.13,1.63,1.01,1.36,0.27,+24.77%,2688613,0
02/01/2022,1.1,1.15,0.9899,1.09,-0.03,-2.68%,1898984,0
01/01/2022,1.23,1.31,0.9904,1.12,-0.1,-8.20%,2177845,0
12/01/2021,1.51,1.51,1.19,1.22,-0.26,-17.57%,2338681,0
11/01/2021,1.5,1.74,1.41,1.48,-0.06,-3.90%,2072966,0
10/01/2021,1.38,1.5899,1.31,1.54,0.17,+12.41%,1517852,0
09/01/2021,1.45,1.5,1.305,1.37,-0.08,-5.52%,1779533,0
08/01/2021,1.24,1.46,1.2,1.45,0.23,+18.85%,1828445,0
07/01/2021,1.42,1.48,1.2,1.22,-0.19,-13.48%,2255328,0
06/01/2021,1.43,2.23,1.36,1.41,0.03,+2.17%,20709617,0
05/01/2021,1.46,1.48,1.22,1.38,-0.07,-4.83%,1651270,0
04/01/2021,1.6,1.65,1.365,1.45,-0.13,-8.23%,1830985,0
03/01/2021,1.82,1.91,1.49,1.58,-0.21,-11.73%,3788647,0
02/01/2021,1.84,2.355,1.73,1.79,0.01,+0.56%,5384452,0
01/01/2021,1.58,1.89,1.56,1.78,0.19,+11.95%,2832289,0
12/01/2020,1.87,1.89,1.53,1.59,-0.275,-14.75%,2764618,0
11/01/2020,1.75,2.035,1.695,1.865,0.125,+7.18%,2192025,0
10/01/2020,1.77,2.15,1.73,1.74,0,0.00%,2608663,0
09/01/2020,2.07,2.08,1.62,1.74,-0.31,-15.12%,3505019,0
08/01/2020,1.73,2.07,1.56,2.05,0.46,+28.93%,2733271,0
07/01/2020,2.26,2.34,1.59,1.59,-0.59,-27.06%,2462931,0
06/01/2020,1.65,2.1981,1.5,2.18,0.57,+35.40%,4684118,0
05/01/2020,1.2,2.4,1.12,1.61,0.42,+35.29%,4485105,0
04/01/2020,1.16,1.24,0.95,1.19,0,0.00%,1371023,0
03/01/2020,1.2,1.2,0.75,1.19,0.04,+3.48%,1928877,0
02/01/2020,1.3,1.35,0.985,1.15,-0.16,-12.21%,1220121,0
01/01/2020,1.36,1.5,1.25,1.31,-0.05,-3.68%,1269966,0
12/01/2019,1.42,1.57,1.32,1.36,-0.07,-4.90%,1363742,0
11/01/2019,1.44,1.55,1.236,1.43,0,0.00%,1326310,0
10/01/2019,1.51,1.58,1.37,1.43,0.1,+7.52%,1724930,0
09/01/2019,1.44,1.64,1.29,1.33,-0.07,-5.00%,1405855,0
08/01/2019,1.2,1.46,1.11,1.4,0.2,+16.67%,1250950,0
07/01/2019,1.43,1.46,1.08,1.2,-0.21,-14.89%,1723159,0
06/01/2019,1.46,1.65,1.29,1.41,-0.04,-2.76%,1728125,0
05/01/2019,1.82,1.89,1.38,1.45,-0.37,-20.33%,1775736,0
04/01/2019,1.65,2.14,1.62,1.82,0.16,+9.64%,3193104,0
03/01/2019,1.52,1.9,1.31,1.66,0.2,+13.70%,3009457,0
02/01/2019,1.22,1.62,1.16,1.46,0.31,+26.96%,4595768,0
01/01/2019,0.98,1.24,0.98,1.15,0.15,+15.00%,2094014,0
12/01/2018,1.68,1.685,0.955,1,-0.61,-37.89%,4331700,0
11/01/2018,1.65,1.88,1.46,1.61,0.08,+5.23%,3504723,0
10/01/2018,1.57,1.92,1.46,1.53,-0.23,-13.07%,5274343,0
09/01/2018,6.01,6.99,1.5,1.76,-3.97,-69.28%,15371521,0
08/01/2018,3.25,5.87,3.25,5.73,2.14,+59.61%,6540660,0
07/01/2018,3.52,3.935,3.13,3.59,0.16,+4.66%,3617452,0
06/01/2018,4.12,4.59,3.32,3.43,-0.62,-15.31%,5394319,0
05/01/2018,3.72,5.17,3.23,4.05,0.33,+8.87%,4230300,0
04/01/2018,4.25,4.62,3.26,3.72,-0.53,-12.47%,6472557,0
03/01/2018,2.34,6.68,2.3,4.25,1.94,+83.98%,12792409,0
02/01/2018,2.45,2.75,2.025,2.31,-0.14,-5.71%,2426405,0
01/01/2018,1.84,2.75,1.78,2.45,0.65,+36.11%,2606057,0
12/01/2017,1.98,2.15,1.8,1.8,-0.19,-9.55%,1853060,0
11/01/2017,2.3,2.33,1.74,1.99,-0.26,-11.56%,1417723,0
10/01/2017,2.15,2.36,2,2.25,0.07,+3.21%,1189568,0
09/01/2017,2.19,2.27,2.07,2.18,0.01,+0.46%,721170,0
08/01/2017,2.52,2.53,1.95,2.17,-0.48,-18.11%,1418086,0
07/01/2017,2.77,3.01,2.65,2.65,-0.12,-4.33%,845880,0
06/01/2017,2.65,2.99,2.5,2.77,0.11,+4.14%,1174404,0
