Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,5.03,5.47,5.03,5.3,0.31,+6.21%,2422300,0
02/01/2023,4.72,5.45,4.1712,4.99,0.24,+5.05%,1571468,0
01/01/2023,3.9,4.99,3.66,4.75,0.9,+23.38%,1428345,0
12/01/2022,4.67,4.745,3.64,3.85,-0.78,-16.85%,1814480,0
11/01/2022,6.01,6.36,4.22,4.63,-1.2,-20.58%,2298085,0
10/01/2022,5.43,6.37,5.075,5.83,0.55,+10.42%,1401914,0
09/01/2022,6.86,7.3515,5.06,5.28,-1.72,-24.57%,1330709,0
08/01/2022,6,7.69,5.79,7,0.85,+13.82%,1332426,0
07/01/2022,5.89,6.29,4.81,6.15,0.21,+3.54%,1012855,0
06/01/2022,7.2,8.12,5.39,5.94,-1.24,-17.27%,907895,0
05/01/2022,6.48,8.08,5.86,7.18,0.73,+11.32%,1373214,0
04/01/2022,7.78,8.65,6.325,6.45,-1.25,-16.23%,871295,0
03/01/2022,7.85,9.81,7.04,7.7,-0.13,-1.66%,1834091,0
02/01/2022,5.14,8.16,4.99,7.83,2.75,+54.13%,1516015,0
01/01/2022,6.27,6.545,4.53,5.08,-1.13,-18.20%,1156735,0
12/01/2021,6.2,6.99,5.45,6.21,0.2,+3.33%,1234954,0
11/01/2021,6.7,7.475,5.72,6.01,-0.62,-9.35%,2039528,0
10/01/2021,8.77,9.94,6.53,6.63,-2.07,-23.79%,2177776,0
09/01/2021,8.6,11.25,7.06,8.7,0.39,+4.69%,5779271,0
08/01/2021,6.2,8.36,5.49,8.31,2.27,+37.58%,1690863,0
07/01/2021,6.11,6.398,4.7,6.04,-0.08,-1.31%,1036285,0
06/01/2021,5.29,6.435,5.01,6.12,0.96,+18.60%,1488340,0
05/01/2021,4.18,5.18,3.66,5.16,1.06,+25.85%,1737000,0
04/01/2021,3.95,4.69,3.105,4.1,0.32,+8.47%,1639800,0
03/01/2021,4.01,4.15,2.6808,3.78,0.04,+1.07%,1828600,0
02/01/2021,2.0535,4.49,2.0201,3.74,1.97,+111.30%,5673505,0
01/01/2021,1.68,2.5484,1.52,1.77,0.13,+7.93%,1465357,0
12/01/2020,1.32,2.22,1.23,1.64,0.37,+29.13%,1426063,0
11/01/2020,0.61,1.82,0.6002,1.27,0.6526,+105.70%,1892190,0
10/01/2020,0.6597,0.81,0.59,0.6174,-0.0516,-7.71%,668722,0
09/01/2020,0.525,0.83,0.404,0.669,0.1789,+36.50%,901519,0
08/01/2020,0.49,0.65,0.4601,0.4901,0.0051,+1.05%,1303157,0
07/01/2020,0.5,0.62,0.4513,0.485,-0.0109,-2.20%,1833250,0
06/01/2020,0.7208,0.8798,0.48,0.4959,-0.2156,-30.30%,450631,0
05/01/2020,0.5301,0.8375,0.481,0.7115,0.1964,+38.13%,266665,0
04/01/2020,0.455,0.545,0.4006,0.5151,0.0601,+13.21%,226923,0
03/01/2020,0.8,0.9,0.35,0.455,-0.3473,-43.29%,565527,0
02/01/2020,0.86,1.13,0.78,0.8023,-0.05,-5.87%,398336,0
01/01/2020,0.94,1.2,0.7801,0.8523,-0.0877,-9.33%,440047,0
12/01/2019,0.67,1.05,0.5835,0.94,0.3013,+47.17%,444261,0
11/01/2019,0.66,0.68,0.5052,0.6387,0.0205,+3.32%,499515,0
10/01/2019,1.14,1.17,0.6121,0.6182,-0.5118,-45.29%,796065,0
09/01/2019,1.31,1.42,1.12,1.13,-0.18,-13.74%,754870,0
08/01/2019,1.53,1.56,1.11,1.31,-0.2,-13.25%,372118,0
07/01/2019,1.9,2,1.45,1.51,-0.19,-11.18%,340404,0
06/01/2019,1.48,1.76,1.44,1.7,0.22,+14.86%,785635,0
05/01/2019,2.14,2.19,1.46,1.48,-0.67,-31.16%,439081,0
04/01/2019,2.09,2.48,2.02,2.15,0.1,+4.88%,357619,0
03/01/2019,2.78,2.91,2.01,2.05,-0.7,-25.45%,770371,0
02/01/2019,2.3,3.01,1.98,2.75,0.46,+20.09%,1599842,0
01/01/2019,1.56,2.7,1.5,2.29,0.7,+44.03%,1238895,0
12/01/2018,2.29,2.34,1.47,1.59,-0.62,-28.05%,1642857,0
11/01/2018,6.18,6.87,1.77,2.21,-3.88,-63.71%,3535871,0
10/01/2018,8.19,8.26,5.77,6.09,-2.08,-25.46%,648121,0
09/01/2018,8.24,8.59,7.76,8.17,-0.11,-1.33%,636184,0
08/01/2018,8.15,8.64,6.75,8.28,0.13,+1.60%,1118413,0
07/01/2018,8.49,8.62,7.85,8.15,-0.42,-4.90%,824038,0
06/01/2018,10.29,10.8,8.38,8.57,-1.66,-16.23%,862976,0
05/01/2018,11.24,13,10.205,10.23,-1.07,-9.47%,842281,0
04/01/2018,10.63,11.49,10,11.3,0.57,+5.31%,618747,0
03/01/2018,16.23,17.4,10.3,10.73,-5.43,-33.60%,1377690,0
02/01/2018,14.43,16.63,14,16.16,1.7,+11.76%,524300,0
01/01/2018,16.27,16.9,14.4,14.46,-1.74,-10.74%,465904,0
12/01/2017,16.45,17.61,15.26,16.2,-0.12,-0.74%,568390,0
11/01/2017,16.2,16.5,13.761,16.32,0.33,+2.06%,566095,0
10/01/2017,13.16,16.48,13.15,15.99,2.83,+21.50%,758322,0
09/01/2017,13.58,14.46,12.87,13.16,-0.33,-2.45%,659905,0
08/01/2017,12.77,14,12.57,13.49,0.71,+5.56%,682547,0
07/01/2017,12,13.11,11.89,12.78,0.83,+6.95%,614305,0
06/01/2017,10.6,12.2,10.2,11.95,1.41,+13.38%,1315527,0
05/01/2017,9.5,10.78,8.54,10.54,0.89,+9.22%,950536,0
04/01/2017,10.39,10.72,9.04,9.65,-0.68,-6.58%,756768,0
03/01/2017,10.98,11.64,9.4,10.33,-0.46,-4.26%,678552,0
02/01/2017,11.03,12.53,10.64,10.79,0.28,+2.66%,712421,0
01/01/2017,11.04,11.19,9.22,10.51,-0.32,-2.95%,963200,0
12/01/2016,11.48,11.97,10.74,10.83,-0.58,-5.08%,558014,0
11/01/2016,9.29,12.16,8.75,11.41,2.16,+23.35%,763052,0
10/01/2016,9.1,9.27,8.59,9.25,0.22,+2.44%,408390,0
09/01/2016,8.27,9.34,7.67,9.03,0.78,+9.45%,872495,0
08/01/2016,9.3,10.2,8.07,8.25,-1.07,-11.48%,714686,0
07/01/2016,8.57,9.35,8.05,9.32,0.71,+8.25%,451720,0
06/01/2016,9.03,9.5,7.91,8.61,-0.51,-5.59%,1572500,0
05/01/2016,10.22,10.63,8.12,9.12,-1.07,-10.50%,889204,0
04/01/2016,8.65,10.68,8.48,10.19,1.38,+15.66%,515666,0
03/01/2016,8,10.37,7.97,8.81,0.95,+12.09%,1095254,0
02/01/2016,8.39,9.23,6.9,7.86,-0.64,-7.53%,953740,0
01/01/2016,10.58,11.48,7.61,8.5,-2.25,-20.93%,1128763,0
12/01/2015,10.21,13.17,8.88,10.75,0.58,+5.70%,1352268,0
11/01/2015,12.59,13,9.45,10.17,-2.45,-19.41%,476360,0
10/01/2015,12.15,14.48,11.78,12.62,0.49,+4.04%,346650,0
09/01/2015,13.43,15.3,11.86,12.13,-1.61,-11.72%,483490,0
08/01/2015,15.43,15.55,12,13.74,-1.7,-11.01%,487390,0
07/01/2015,17.81,18,14.83,15.44,-2.26,-12.77%,387536,0
06/01/2015,19.49,20,17.41,17.7,-1.63,-8.43%,288663,0
05/01/2015,19.98,21.74,18.88,19.33,-0.59,-2.96%,545705,0
04/01/2015,18.94,21.99,18.92,19.92,1,+5.29%,568809,0
03/01/2015,16.56,19.43,16.34,18.92,2.27,+13.63%,594713,0
02/01/2015,15.53,17.18,15.11,16.65,1.23,+7.98%,552547,0
01/01/2015,17.38,17.49,15.31,15.42,-1.81,-10.50%,382150,0
12/01/2014,17.34,18.22,15.41,17.23,-0.1,-0.58%,406100,0
11/01/2014,18.91,18.91,16.94,17.33,-1.48,-7.87%,341242,0
10/01/2014,18.12,19.01,16.17,18.81,0.62,+3.41%,353465,0
09/01/2014,20.62,20.96,17.84,18.19,-2.35,-11.44%,375085,0
08/01/2014,18.75,20.59,18.75,20.54,1.51,+7.93%,231328,0
07/01/2014,20.89,21.41,19.03,19.03,-1.75,-8.42%,296359,0
06/01/2014,19.97,21.97,19.44,20.78,0.79,+3.95%,380852,0
05/01/2014,19.28,20.37,18.42,19.99,0.61,+3.15%,372552,0
04/01/2014,20.89,21.36,18.52,19.38,-1.44,-6.92%,354509,0
03/01/2014,19.7,22,19.6,20.82,0.95,+4.78%,348085,0
02/01/2014,17.44,20.16,16.8,19.87,2.39,+13.67%,328136,0
01/01/2014,17.92,18.84,17.01,17.48,-0.53,-2.94%,334004,0
12/01/2013,17.79,18.3,16.83,18.01,0.21,+1.18%,367600,0
11/01/2013,17.4,18.13,16.21,17.8,0.3,+1.71%,510035,0
10/01/2013,15.38,18.37,15.21,17.5,2.09,+13.56%,505973,0
09/01/2013,12.99,15.69,12.86,15.41,2.56,+19.92%,423505,0
08/01/2013,12,13.44,11.77,12.85,0.92,+7.71%,281254,0
