Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,36.29,39.055,34.35,34.53,-1.7,-4.69%,6385325,0
02/01/2023,40.84,41.17,35.28,36.23,-4.99,-12.11%,8773200,0
01/01/2023,38.96,43.42,36.89,41.22,1.87,+4.75%,9400340,0
12/01/2022,38.45,39.79,32.97,39.35,1.46,+3.85%,8882666,0
11/01/2022,37.2,39.99,33.395,37.89,1.47,+4.04%,9255219,0
10/01/2022,25.99,37.46,25.86,36.42,11.8,+47.93%,13170942,0
09/01/2022,29.45,30.66,23.3,24.62,-5.51,-18.29%,9509704,0
08/01/2022,28.55,32.3384,26.69,30.13,0.83,+2.83%,9467200,0
07/01/2022,31.54,31.73,26.32,29.3,-2.06,-6.57%,10612170,0
06/01/2022,40.95,43.99,29.68,31.36,-9.14,-22.57%,12393890,0
05/01/2022,35.27,42.09,33.3,40.5,4.88,+13.70%,10997238,0
04/01/2022,37.98,42.6,33.78,35.62,-2.25,-5.94%,11654970,0
03/01/2022,33.98,39.38,31.01,37.87,4.34,+12.94%,15604270,0
02/01/2022,30.46,34.32,30.3,33.53,2.79,+9.08%,12857842,0
01/01/2022,23.14,32.13,23.01,30.74,7.87,+34.41%,13828455,0
12/01/2021,22.25,23.98,20.77,22.87,1.28,+5.93%,7981236,0
11/01/2021,25.29,25.685,21.23,21.59,-3.4,-13.61%,9213580,0
10/01/2021,21.84,26.75,21.61,24.99,3.37,+15.59%,11245895,0
09/01/2021,19.97,23.205,19.09,21.62,1.64,+8.21%,7604161,0
08/01/2021,20.7,21.37,17.818,19.98,-0.7,-3.38%,7952659,0
07/01/2021,23.95,24.17,18.89,20.68,-2.44,-10.55%,9844585,0
06/01/2021,23,25,21.92,23.12,0.67,+2.98%,8190690,0
05/01/2021,20.13,23.975,19.96,22.45,2.89,+14.78%,8663910,0
04/01/2021,21.66,22,18.35,19.56,-1.9,-8.85%,8590657,0
03/01/2021,22.33,24.74,20.03,21.46,-0.37,-1.69%,11306626,0
02/01/2021,18.02,22.73,17.57,21.83,4.2,+23.82%,10740794,0
01/01/2021,19.22,22.23,17.23,17.63,-1.27,-6.72%,12702894,0
12/01/2020,17.24,20.54,16.78,18.9,2.31,+13.92%,10642222,0
11/01/2020,12.35,18.28,11.98,16.59,4.53,+37.56%,13014240,0
10/01/2020,11.86,13.5,10.6,12.06,0.01,+0.08%,15454045,0
09/01/2020,15.93,16.68,11.95,12.05,-4.13,-25.53%,14009566,0
08/01/2020,14.33,16.89,14.25,16.18,1.85,+12.91%,12651685,0
07/01/2020,13.19,15.105,11.63,14.33,1.35,+10.40%,16860427,0
06/01/2020,11.79,16.45,11.51,12.98,1.23,+10.47%,21203372,0
05/01/2020,10.18,12.565,9.05,11.75,1.25,+11.90%,24106115,0
04/01/2020,6.61,11.11,6.23,10.5,3.65,+53.28%,38001709,0
03/01/2020,17.25,17.27,4.25,6.85,-10.11,-59.61%,38894745,0
02/01/2020,21.81,22.865,16.3,16.96,-4.85,-22.24%,12043805,0
01/01/2020,24.69,25.47,21.2,21.81,-2.66,-10.87%,12431152,0
12/01/2019,21.1,25.34,20.445,24.47,3.48,+16.58%,12873919,0
11/01/2019,19.42,21.52,19.35,20.99,1.74,+9.04%,9568975,0
10/01/2019,19,20.64,18.02,19.25,0.4,+2.12%,12583691,0
09/01/2019,18.2,22.75,18.13,18.85,0.01,+0.05%,14769400,0
08/01/2019,22.71,22.76,16.97,18.84,-4.16,-18.09%,13932140,0
07/01/2019,23.26,24.075,21.2245,23,0.26,+1.14%,13434195,0
06/01/2019,21.35,23.54,20.98,22.74,1.45,+6.81%,15240645,0
05/01/2019,28.37,28.5699,21.14,21.29,-7.04,-24.85%,11355754,0
04/01/2019,29.63,32.3,28.205,28.33,-0.97,-3.31%,9342957,0
03/01/2019,30.89,31.48,27.01,29.3,-1.39,-4.53%,10624942,0
02/01/2019,31.5,32.71,29.4,30.69,-0.67,-2.14%,8082173,0
01/01/2019,26.11,32.37,26.01,31.36,4.78,+17.98%,10772676,0
12/01/2018,32.35,33.11,24.7,26.58,-4.85,-15.43%,14014115,0
11/01/2018,34.9,36.51,30.47,31.43,-3.25,-9.37%,10812471,0
10/01/2018,40.72,42.57,33.73,34.68,-5.85,-14.43%,10767008,0
09/01/2018,39.92,41.68,35.75,40.53,0.64,+1.60%,9985363,0
08/01/2018,41.99,42.48,38.93,39.89,-2.53,-5.96%,6193847,0
07/01/2018,44.88,47.03,39.47,42.42,-2.64,-5.86%,10454252,0
06/01/2018,50,50.12,44.41,45.06,-4.68,-9.41%,9267142,0
05/01/2018,52.66,54.91,49.04,49.74,-3.25,-6.13%,7006622,0
04/01/2018,46.69,53.71,45.2,52.99,6.05,+12.89%,8616361,0
03/01/2018,45.93,48.08,44.21,46.94,0.52,+1.12%,8630438,0
02/01/2018,53.63,54.695,45.1,46.42,-7.28,-13.56%,10606084,0
01/01/2018,48.92,57.86,48.72,53.7,4.83,+9.88%,9876400,0
12/01/2017,41.87,49.29,41.85,48.87,7.09,+16.97%,8581260,0
11/01/2017,43.15,45.93,40.72,41.78,-0.96,-2.25%,7390557,0
10/01/2017,45.23,45.87,40.96,42.74,-3.29,-7.15%,7984577,0
09/01/2017,38.99,46.18,38.81,46.03,7.06,+18.12%,9608515,0
08/01/2017,42.5,42.95,38.18,38.97,-3.47,-8.18%,7244221,0
07/01/2017,42.94,46.06,41.03,42.44,-0.27,-0.63%,9657655,0
06/01/2017,45.3,46.22,41.36,42.71,-2.48,-5.49%,10594177,0
05/01/2017,45.94,48.32,43.7,45.19,-0.69,-1.50%,9973277,0
04/01/2017,49.46,51.26,45.1,45.88,-3.33,-6.77%,7949336,0
03/01/2017,53.97,55.21,47.52,49.21,-4.25,-7.95%,8882826,0
02/01/2017,57.18,57.38,52.35,53.46,-3.11,-5.50%,7535942,0
01/01/2017,54.96,58.78,53.92,56.57,2.48,+4.58%,9065600,0
12/01/2016,54.08,56.08,52.89,54.09,1,+1.88%,7637785,0
11/01/2016,46.37,54.92,45.08,53.09,7.09,+15.41%,8961476,0
10/01/2016,45.11,50.23,44.23,46,1.12,+2.50%,8314738,0
09/01/2016,43.01,45.08,40.12,44.88,1.87,+4.35%,8334423,0
08/01/2016,43.42,46.9,41.48,43.01,-0.65,-1.49%,6880026,0
07/01/2016,45.2,46.48,42.17,43.66,-1.63,-3.60%,8816185,0
06/01/2016,41.8,46.69,41.46,45.29,3.11,+7.37%,9957654,0
05/01/2016,41.53,43.2,38.24,42.18,0.87,+2.11%,10858690,0
04/01/2016,35.07,41.93,33.26,41.31,5.59,+15.65%,11990695,0
03/01/2016,32.57,36.74,32.24,35.72,3.44,+10.66%,10523640,0
02/01/2016,31.29,33.49,27.96,32.28,0.49,+1.54%,11202065,0
01/01/2016,33.86,34.73,27.64,31.79,-2.25,-6.61%,14681894,0
12/01/2015,39.5,40.52,32.13,34.04,-5.81,-14.58%,13576472,0
11/01/2015,38.21,40.31,36.77,39.85,1.47,+3.83%,10200490,0
10/01/2015,35.87,41.28,34.41,38.38,3.03,+8.57%,12103090,0
09/01/2015,38.1,39.52,34.36,35.35,-4,-10.17%,12176214,0
08/01/2015,41.3,43.02,30.93,39.35,-2.44,-5.84%,15178376,0
07/01/2015,43.23,43.71,39.31,41.79,-1.28,-2.97%,15579963,0
06/01/2015,45.33,46.69,42.46,43.07,-2.33,-5.13%,11029172,0
