Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,470.86,496.69,447.56,485.51,12.27,+2.59%,387122,0
02/01/2023,482.01,515.79,462.29,473.24,-7.26,-1.51%,560127,0
01/01/2023,409.92,497.48,399.27,480.5,72.54,+17.78%,563651,0
12/01/2022,426.1,448.01,395.1047,407.96,-17.91,-4.21%,399057,0
11/01/2022,375.06,446.74,354.8095,425.87,66.19,+18.40%,544709,0
10/01/2022,328,367.42,317.06,359.68,33.88,+10.40%,460745,0
09/01/2022,345.01,379.605,321.79,325.8,-21.82,-6.28%,545076,0
08/01/2022,393.51,417.77,345.6594,347.62,-51.56,-12.92%,561956,0
07/01/2022,352.33,408.595,348.57,399.18,48.45,+13.81%,549836,0
06/01/2022,390.31,393.49,318.5,350.73,-40.89,-10.44%,634580,0
05/01/2022,429.37,441.01,330.66,391.62,-38.86,-9.03%,942666,0
04/01/2022,546.54,558.012,429.13,430.48,-116.58,-21.31%,513335,0
03/01/2022,527.66,560.92,484.57,547.06,14.71,+2.76%,495278,0
02/01/2022,512.15,574.33,468.53,532.35,25.05,+4.94%,546068,0
01/01/2022,655.66,656.31,460.36,507.3,-151.16,-22.96%,591570,0
12/01/2021,612.99,664.7,575.5901,658.46,50.39,+8.29%,353141,0
11/01/2021,665.08,670.925,597.84,608.07,-58.07,-8.72%,378823,0
10/01/2021,623.15,672.93,597.69,666.14,44.24,+7.11%,305157,0
09/01/2021,671.64,695.18,620.86,621.9,-51.86,-7.70%,469671,0
08/01/2021,687.41,706.51,657.12,673.76,-4.77,-0.70%,349981,0
07/01/2021,628.81,706.95,627.23,678.53,46.98,+7.44%,368619,0
06/01/2021,565.64,639.65,539.49,631.55,73.44,+13.16%,339427,0
05/01/2021,552.77,565.93,507.6601,558.11,9.12,+1.66%,394170,0
04/01/2021,487.49,561.52,482.9,548.99,59.68,+12.20%,324780,0
03/01/2021,529.68,543.2837,462,489.31,-30.86,-5.93%,505821,0
02/01/2021,483.02,573.99,479.37,520.17,41.49,+8.67%,541621,0
01/01/2021,503,516.865,455.23,478.68,-21.19,-4.24%,399778,0
12/01/2020,461.99,503.83,447.82,499.87,38.89,+8.44%,364045,0
11/01/2020,430.48,485,421.15,460.98,36.16,+8.51%,466575,0
10/01/2020,396.29,453.2,382.68,424.82,31.71,+8.07%,347540,0
09/01/2020,393.95,407.45,347.54,393.11,2.05,+0.52%,467838,0
08/01/2020,398.02,399.84,372.18,391.06,-6.69,-1.68%,461361,0
07/01/2020,331.74,407.86,329.69,397.75,67.59,+20.47%,370954,0
06/01/2020,308.65,332.68,294.17,330.16,21.28,+6.89%,559063,0
05/01/2020,277.51,311.97,266,308.88,31.28,+11.27%,583640,0
04/01/2020,237.81,289,226.02,277.6,35.36,+14.60%,597861,0
03/01/2020,254.93,263.73,168.65,242.24,-12.27,-4.82%,1026736,0
