Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,198.31,207.57,195.23,206.52,7.32,+3.67%,1531500,0
02/01/2023,211.73,225.38,191.82,199.2,-15,-7.00%,1318342,0
01/01/2023,204.93,217.98,182,214.2,12,+5.93%,1311190,0
12/01/2022,218.38,225.51,185.75,202.2,-15.88,-7.28%,1139347,0
11/01/2022,229.94,248.87,203.32,218.08,-10.74,-4.69%,1211309,0
10/01/2022,193.82,241.83,179.75,228.82,38.03,+19.93%,1757385,0
09/01/2022,200,214.245,182.3901,190.79,-10.85,-5.38%,1784895,0
08/01/2022,215.02,236.29,191.8,201.64,-15.04,-6.94%,1685465,0
07/01/2022,183.35,217.575,173.45,216.68,32.32,+17.53%,1128710,0
06/01/2022,239.48,248.88,180,184.36,-55.12,-23.02%,1827266,0
05/01/2022,295.02,309.12,208.35,239.48,-57.17,-19.27%,1404900,0
04/01/2022,351.9,371.16,292.595,296.65,-52.75,-15.10%,768845,0
03/01/2022,325.88,358.8993,302.79,349.4,22.8,+6.98%,770800,0
02/01/2022,352.89,369.87,306.66,326.6,-22.22,-6.37%,979989,0
01/01/2022,381.11,427.9999,318.0738,348.82,-31.62,-8.31%,1227850,0
12/01/2021,365.7,397.44,341.03,380.44,15.11,+4.14%,1032436,0
11/01/2021,415.48,425,361.1,365.33,-49.73,-11.98%,864485,0
10/01/2021,403.42,424.38,378.5,415.06,9.45,+2.33%,810576,0
09/01/2021,456.55,471.1,405.11,405.61,-51.55,-11.28%,816023,0
08/01/2021,498.07,526,448.68,457.16,-38.59,-7.78%,788863,0
07/01/2021,472,497.73,455.92,495.75,22.54,+4.76%,538100,0
06/01/2021,410.49,487,399.15,473.21,67.57,+16.66%,625572,0
05/01/2021,394.67,416.49,368.07,405.64,12.8,+3.26%,866265,0
04/01/2021,393.21,426.44,379.26,392.84,8.78,+2.29%,948938,0
03/01/2021,450.06,451.74,364.241,384.06,-55.35,-12.60%,1198169,0
02/01/2021,427.14,555.77,419.3,439.41,12.97,+3.04%,1180652,0
01/01/2021,370.84,453.68,356,426.44,56.44,+15.25%,1281410,0
12/01/2020,323.86,378.33,322.595,370,47.91,+14.87%,1033945,0
11/01/2020,298,322.55,288.88,322.09,29.39,+10.04%,1144875,0
10/01/2020,312.77,356,288.01,292.7,-16.38,-5.30%,1332781,0
09/01/2020,355.35,376.67,260.42,309.08,-48.14,-13.48%,2253361,0
08/01/2020,385.19,404.2,339.2925,357.22,-24.94,-6.53%,920361,0
07/01/2020,369.26,402.14,361.53,382.16,11.81,+3.19%,805654,0
06/01/2020,361.14,372.63,333.44,370.35,7.3,+2.01%,841136,0
05/01/2020,317.16,377.8,303.31,363.05,44.02,+13.80%,1074780,0
04/01/2020,265.92,324.95,251.14,319.03,45.91,+16.81%,1194766,0
03/01/2020,268.02,285.34,196.78,273.12,7.45,+2.80%,1754509,0
02/01/2020,293.1,305.45,252.431,265.67,-24.4,-8.41%,1536552,0
01/01/2020,329.05,339.63,288.86,290.07,-41.67,-12.56%,1232547,0
12/01/2019,320.33,336.63,315.515,331.74,10.98,+3.42%,774461,0
11/01/2019,297.28,322.784,290.26,320.76,25.24,+8.54%,761030,0
10/01/2019,304.22,317.71,279.76,295.52,-8.7,-2.86%,1045330,0
09/01/2019,279.88,310.43,263.3,304.22,22.88,+8.13%,1198905,0
08/01/2019,300,306.07,278.12,281.34,-18.04,-6.03%,826568,0
07/01/2019,371.29,380.76,291,299.38,-68.77,-18.68%,1655336,0
06/01/2019,306.88,369,302.72,368.15,61.24,+19.95%,885985,0
05/01/2019,311.77,326.3,300.35,306.91,-5.09,-1.63%,863631,0
04/01/2019,314.45,340.4,305.185,312,1.31,+0.42%,1080380,0
03/01/2019,313.93,322.32,285.4965,310.69,-2.08,-0.67%,860266,0
02/01/2019,280.11,314.68,274.35,312.77,32.98,+11.79%,863378,0
01/01/2019,294.71,314.745,268.62,279.79,-20.14,-6.71%,1151166,0
12/01/2018,343.57,356.88,271,299.93,-37.57,-11.13%,1152747,0
11/01/2018,311.86,349.32,292.04,337.5,26.35,+8.47%,1079690,0
10/01/2018,369.15,371.91,286.14,311.15,-55.91,-15.23%,1347486,0
09/01/2018,354.18,372.61,342.99,367.06,12.23,+3.45%,676168,0
08/01/2018,324.14,357.93,318.79,354.83,30.47,+9.39%,987056,0
07/01/2018,278.9,325.22,274.66,324.36,45.07,+16.14%,970909,0
06/01/2018,274.61,293.15,268.92,279.29,6.85,+2.51%,819052,0
05/01/2018,240.03,275.34,235.74,272.44,31.51,+13.08%,680322,0
04/01/2018,235.83,252.82,225.815,240.93,4.51,+1.91%,964061,0
03/01/2018,227.41,256.64,221.49,236.42,8.4,+3.68%,757342,0
02/01/2018,232,235.43,207.51,228.02,-4.62,-1.99%,951363,0
01/01/2018,224.78,248.97,222.13,232.64,14.15,+6.48%,1016947,0
12/01/2017,226.55,230.24,210.05,218.49,-11.54,-5.02%,768870,0
11/01/2017,206.49,230.72,203.83,230.03,24.84,+12.11%,657561,0
10/01/2017,199.45,214.5,198.21,205.19,5.99,+3.01%,804809,0
09/01/2017,205,214.34,196,199.2,-5.26,-2.57%,767220,0
08/01/2017,173.96,205.21,170.31,204.46,30.61,+17.61%,1052030,0
07/01/2017,174.24,177.8,167.98,173.85,0.33,+0.19%,936145,0
06/01/2017,177.61,186,168.87,173.52,-3.84,-2.17%,836313,0
05/01/2017,186.32,189.48,172.34,177.36,-7.5,-4.06%,1009454,0
04/01/2017,171,185.95,167.16,184.86,14.22,+8.33%,1118147,0
03/01/2017,168.58,174.32,158.02,170.64,3.24,+1.94%,920813,0
02/01/2017,158,168.61,156.5,167.4,7.3,+4.56%,890057,0
01/01/2017,129.17,167.1,128.16,160.1,32.06,+25.04%,1563095,0
12/01/2016,133.3,133.3,119.37,128.04,-5.1,-3.83%,1358690,0
11/01/2016,136.39,145.43,129,133.14,-3,-2.20%,1495466,0
10/01/2016,184.49,186.88,133.8,136.14,-45.52,-25.06%,1875128,0
09/01/2016,168.72,182.61,164.75,181.66,13.32,+7.91%,821209,0
08/01/2016,166.77,182.67,163.6,168.34,1.99,+1.20%,1146308,0
07/01/2016,140.04,167.03,132.65,166.35,25.97,+18.50%,1182620,0
06/01/2016,144.42,148.84,133.58,140.38,-4.45,-3.07%,1223122,0
05/01/2016,134.72,145.8,127.1,144.83,9.84,+7.29%,1214766,0
04/01/2016,161.72,178.77,132,134.99,-27.12,-16.73%,1890833,0
03/01/2016,152.2,163.98,142.41,162.11,11.87,+7.90%,1190886,0
02/01/2016,156.73,160.26,130.37,150.24,-7.71,-4.88%,1584765,0
01/01/2016,187.65,188.25,152.46,157.95,-34,-17.71%,2014942,0
12/01/2015,185.09,196.47,171.75,191.95,8.05,+4.38%,1491259,0
11/01/2015,144.42,186.26,142.93,183.9,40.62,+28.35%,3030620,0
10/01/2015,168.1,168.6,130,143.28,-32.54,-18.51%,2817404,0
09/01/2015,194.56,213.27,161.21,175.82,-21.79,-11.03%,1549038,0
08/01/2015,219.97,220.52,179.2,197.61,-21.69,-9.89%,1399557,0
07/01/2015,220.7,242.37,207.02,219.3,0.94,+0.43%,1639468,0
06/01/2015,206.51,223.08,202.75,218.36,12.28,+5.96%,1290159,0
05/01/2015,185.83,210.45,185.1,206.08,21.83,+11.85%,1191105,0
04/01/2015,185.64,200.58,178.68,184.25,-1.39,-0.75%,1337376,0
03/01/2015,194.11,202.85,178.52,185.64,-9.82,-5.02%,1029300,0
02/01/2015,195.37,203.88,187.2,195.46,0.27,+0.14%,885221,0
01/01/2015,186.17,213.33,179.3,195.19,10.61,+5.75%,1726340,0
12/01/2014,189.9,196,172.09,184.58,-6.31,-3.31%,948045,0
11/01/2014,192.74,196.83,176.93,190.89,-1.69,-0.88%,1006568,0
10/01/2014,164.36,197.37,145.12,192.58,28.66,+17.48%,1494113,0
09/01/2014,180.26,182.27,162.03,163.92,-15.44,-8.61%,1065780,0
08/01/2014,160.42,180.99,156.85,179.36,19.45,+12.16%,1002214,0
07/01/2014,178.59,185,159.52,159.91,-18.63,-10.43%,1304600,0
06/01/2014,159.58,180.8,153.18,178.54,20.29,+12.82%,1843547,0
05/01/2014,135.88,161,133.72,158.25,22.4,+16.49%,1267090,0
04/01/2014,150.67,162.21,127.69,135.85,-12.81,-8.62%,2498609,0
03/01/2014,171.49,183.3,133.82,148.66,-22.83,-13.31%,2386204,0
02/01/2014,151.53,181.6,148.52,171.49,19.49,+12.82%,1859884,0
01/01/2014,110.48,154.99,106.79,152,41.41,+37.44%,2505633,0
12/01/2013,97.87,115,96.51,110.59,12.59,+12.85%,1185200,0
11/01/2013,93.48,100.99,91.03,98,4.49,+4.80%,998130,0
10/01/2013,81.05,94.86,72.77,93.51,12.68,+15.69%,1322047,0
09/01/2013,78.49,85.81,75.8,80.83,2.99,+3.84%,905065,0
08/01/2013,80.49,81.9,76.01,77.84,-1.98,-2.48%,737790,0
07/01/2013,75.21,83.23,72.13,79.82,4.98,+6.65%,1233113,0
06/01/2013,70.94,76.08,66.11,74.84,4.52,+6.43%,1155650,0
05/01/2013,64.63,77.11,63.78,70.32,5.63,+8.70%,1569809,0
04/01/2013,54.18,65,53.77,64.69,10.71,+19.84%,1445863,0
03/01/2013,50.65,54.32,50.3,53.98,3.85,+7.68%,994930,0
02/01/2013,50.63,52.29,48,50.13,-0.5,-0.99%,1166110,0
01/01/2013,56.1,56.58,49.16,50.63,-4.96,-8.92%,1742323,0
12/01/2012,53.19,57,50.81,55.59,1.88,+3.50%,1539955,0
11/01/2012,48.06,53.91,47.02,53.71,6.21,+13.07%,1541204,0
10/01/2012,48.22,52.97,44.78,47.5,-0.69,-1.43%,2386252,0
09/01/2012,41.97,49.27,40.71,48.19,6.11,+14.52%,1608526,0
08/01/2012,41.53,44.62,40.42,42.08,0.61,+1.47%,933700,0
07/01/2012,40.41,43.2,38.92,41.47,1.08,+2.67%,1077028,0
06/01/2012,42.58,42.95,37.77,40.39,-2.67,-6.20%,1171919,0
05/01/2012,44.55,46.69,42.27,43.06,-1.47,-3.30%,1606922,0
04/01/2012,52.01,53,40.35,44.53,-8.08,-15.36%,4979230,0
03/01/2012,51.18,53.21,49.04,52.61,1.36,+2.65%,2253445,0
02/01/2012,51.64,54.8,50.53,51.25,-0.61,-1.18%,2112865,0
01/01/2012,31,55.39,28.72,51.86,21.38,+70.14%,5833605,0
12/01/2011,27.79,32,25.65,30.48,2.66,+9.56%,2801719,0
11/01/2011,29.77,33.94,26.83,27.82,-2.8,-9.14%,1835719,0
10/01/2011,40.43,40.53,25.57,30.62,-10.3,-25.17%,4714114,0
09/01/2011,52.28,52.44,39.82,40.92,-11.18,-21.46%,2332123,0
08/01/2011,62.78,63.69,45.51,52.1,-10.35,-16.57%,2515856,0
07/01/2011,75.16,79.4,57,62.45,-12.7,-16.90%,2499150,0
06/01/2011,71.85,76.68,70.32,75.15,3.07,+4.26%,1431659,0
05/01/2011,70.85,76.81,69.02,72.08,1.1,+1.55%,1412485,0
04/01/2011,70.26,72.79,65.41,70.98,0.91,+1.30%,1859055,0
03/01/2011,69.7,70.35,61.87,70.07,0.67,+0.97%,2177939,0
02/01/2011,69.35,74.12,67,69.4,0.06,+0.09%,1941173,0
01/01/2011,64.05,71.36,63.61,69.34,6,+9.47%,1457735,0
12/01/2010,60.8,66.59,59.99,63.34,3.22,+5.36%,986713,0
11/01/2010,54.45,61.77,53.76,60.12,5.81,+10.70%,1186995,0
10/01/2010,49.43,57.19,47.7,54.31,5.11,+10.39%,1519990,0
09/01/2010,43.2,50.93,42.9,49.2,6.31,+14.71%,1090861,0
08/01/2010,45,47.44,42.6,42.89,-1.94,-4.33%,926022,0
07/01/2010,44.1,45.62,41.15,44.83,1.3,+2.99%,1333066,0
06/01/2010,42,45.72,41.08,43.53,1.49,+3.54%,1288100,0
05/01/2010,40.92,42.94,38.09,42.04,0.21,+0.50%,1659115,0
04/01/2010,39.54,43.11,36.7,41.83,2.93,+7.53%,1816476,0
03/01/2010,36.59,40.72,36.31,38.9,2.58,+7.10%,1195191,0
