Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,4.12,4.14,3.68,4.02,0.14,+3.61%,8537400,0
02/01/2023,4.58,4.93,3.655,3.88,-0.72,-15.65%,3823678,0
01/01/2023,4.97,5.04,4.11,4.6,-0.36,-7.26%,3237835,0
12/01/2022,5.17,5.49,4.415,4.96,-0.23,-4.43%,3139261,0
11/01/2022,5.9,6.38,4.9601,5.19,-0.75,-12.63%,4529933,0
10/01/2022,4.87,6.5,4.67,5.94,1.16,+24.27%,3550409,0
09/01/2022,5.73,5.8,4.43,4.78,-1.03,-17.73%,2732952,0
08/01/2022,4.76,6.63,4.4,5.81,1.07,+22.57%,3198365,0
07/01/2022,4.42,5.54,4.4,4.74,0.24,+5.33%,2984550,0
06/01/2022,3.7,4.54,3.095,4.5,0.84,+22.95%,3563733,0
05/01/2022,4.83,5.19,3.36,3.66,-1.17,-24.22%,4746914,0
04/01/2022,4.76,5.88,4.55,4.83,0.07,+1.47%,2880065,0
03/01/2022,5.64,5.78,3.83,4.76,-0.88,-15.60%,4636252,0
02/01/2022,5.68,6.18,4.58,5.64,-0.01,-0.18%,2991068,0
01/01/2022,7.5,7.63,4.905,5.65,-1.77,-23.85%,2480890,0
12/01/2021,6.19,7.77,6.0911,7.42,1.25,+20.26%,5500886,0
11/01/2021,6.1,7.045,4.725,6.17,0.14,+2.32%,4663804,0
10/01/2021,5.72,6.44,5.58,6.03,0.36,+6.35%,1338690,0
09/01/2021,6.04,6.3,5.415,5.67,-0.38,-6.28%,1411061,0
08/01/2021,5.73,6.165,4.97,6.05,0.44,+7.84%,1324650,0
07/01/2021,6.66,6.69,5.355,5.61,-0.98,-14.87%,1304838,0
06/01/2021,6.26,7.107,5.63,6.59,0.41,+6.63%,2043972,0
05/01/2021,8.16,8.22,5.981,6.18,-1.88,-23.33%,2260495,0
04/01/2021,8.2,8.75,7.02,8.06,-0.04,-0.49%,1531847,0
03/01/2021,8.92,9.62,7.765,8.1,-0.65,-7.43%,2050278,0
02/01/2021,7.3,10.88,7.09,8.75,1.62,+22.72%,3450857,0
01/01/2021,6.52,8.1,6.265,7.13,0.68,+10.54%,2345352,0
12/01/2020,5.53,7.87,5.44,6.45,1,+18.35%,2716636,0
11/01/2020,5.62,6.51,5.18,5.45,-0.19,-3.37%,2297600,0
10/01/2020,3.57,5.9956,3.57,5.64,2.04,+56.67%,3693831,0
09/01/2020,3.68,4.29,3.38,3.6,-0.1,-2.70%,2306604,0
08/01/2020,4.19,4.2,3.48,3.7,-0.41,-9.98%,1893623,0
07/01/2020,4.58,4.978,3.93,4.11,-0.49,-10.65%,2339140,0
06/01/2020,4.76,5.18,4.19,4.6,-0.08,-1.71%,2296204,0
05/01/2020,4,5.39,3.56,4.68,0.6,+14.71%,2520220,0
