Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/01/2023,27.89,30.3,27.68,30.19,1.93,+6.83%,62780550,0
01/01/2023,27.05,30.49,26.37,28.26,1.83,+6.92%,42042100,0
12/01/2022,30.24,30.48,25.35,26.43,-3.64,-12.11%,36121361,0
11/01/2022,28.8,31.335,27.17,30.07,1.64,+5.77%,37568519,0
10/01/2022,26.33,29.2186,24.59,28.43,2.66,+10.32%,46718347,0
09/01/2022,31.57,32.375,25.74,25.77,-6.15,-19.27%,42337414,0
08/01/2022,36.05,37.69,31.77,31.92,-4.39,-12.09%,39120986,0
07/01/2022,37.09,40.73,35.24,36.31,-1.1,-2.94%,39648515,0
06/01/2022,44.77,44.93,36.6,37.41,-7.01,-15.78%,37305195,0
05/01/2022,43.72,46.64,40.31,44.42,0.83,+1.90%,36820738,0
04/01/2022,49.83,49.9,43.5,43.59,-5.97,-12.05%,31974880,0
03/01/2022,47.54,52.51,44.07,49.56,1.86,+3.90%,36927119,0
02/01/2022,48.78,49.97,43.625,47.7,-1.12,-2.29%,39833357,0
01/01/2022,51.65,56.28,46.3,48.82,-2.68,-5.20%,44533555,0
12/01/2021,49.84,55,48.33,51.5,2.3,+4.67%,32490181,0
11/01/2021,49.4,51.99,48.115,49.2,0.2,+0.41%,29385009,0
10/01/2021,53.65,56.07,47.87,49,-4.28,-8.03%,32001938,0
09/01/2021,54.11,55.485,52.32,53.28,-0.78,-1.44%,19684428,0
08/01/2021,53.99,54.87,51.42,54.06,0.34,+0.63%,18290009,0
07/01/2021,56.13,57.455,52.31,53.72,-2.42,-4.31%,24616971,0
06/01/2021,57.61,58.415,55.1,56.14,-0.98,-1.72%,23266900,0
05/01/2021,57.85,58.01,53.42,57.12,-0.41,-0.71%,24769430,0
04/01/2021,64.725,68.49,57.07,57.53,-6.47,-10.11%,31189247,0
03/01/2021,61.72,67.44,57.905,64,3.22,+5.30%,33514269,0
02/01/2021,55.95,63.54,55.71,60.78,5.27,+9.49%,26913052,0
01/01/2021,49.89,63.95,49.33,55.51,5.69,+11.42%,50694720,0
12/01/2020,48.75,52.65,45.24,49.82,1.47,+3.04%,40174745,0
11/01/2020,44.96,48.5,44.24,48.35,4.07,+9.19%,33808795,0
10/01/2020,52.4,56.23,43.61,44.28,-7.5,-14.48%,33566686,0
09/01/2020,50.91,52.68,48.42,51.78,0.83,+1.63%,32411038,0
08/01/2020,48.27,51.5,47.7,50.95,3.22,+6.75%,31765500,0
07/01/2020,59.91,61.9275,46.97,47.73,-12.1,-20.22%,36759722,0
06/01/2020,62.49,65.11,56.76,59.83,-3.1,-4.93%,25935054,0
05/01/2020,58.83,64.14,56.1,62.93,2.95,+4.92%,20464325,0
04/01/2020,52.5,62.13,51.22,59.98,5.86,+10.83%,29414266,0
03/01/2020,55.79,59.02,43.63,54.12,-1.4,-2.52%,43684872,0
02/01/2020,64.46,68.09,53.6,55.52,-8.41,-13.16%,23239778,0
01/01/2020,60.24,69.29,58.52,63.93,4.08,+6.82%,25426090,0
12/01/2019,58.55,60.48,55.75,59.85,1.8,+3.10%,20035971,0
11/01/2019,55.94,59.13,55.62,58.05,1.52,+2.69%,15996190,0
10/01/2019,51.97,57.24,48.532,56.53,5,+9.70%,19511182,0
09/01/2019,47.12,53.33,46.495,51.53,4.12,+8.69%,19722680,0
08/01/2019,50.52,51.89,44.8,47.41,-3.14,-6.21%,24206472,0
07/01/2019,49.29,53.5,47.07,50.55,2.68,+5.60%,19596581,0
06/01/2019,44.25,48.48,43.2,47.87,3.83,+8.70%,20802235,0
05/01/2019,51.1,51.82,42.86,44.04,-7,-13.71%,28993640,0
04/01/2019,54.34,59.59,50.87,51.04,-2.66,-4.95%,22496404,0
03/01/2019,53.44,54.99,51.7,53.7,0.74,+1.40%,20714047,0
02/01/2019,47.06,53.61,47.01,52.96,5.84,+12.39%,21591605,0
