Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,46.54,48.24,45.3,47.46,3.02,+6.80%,8361533,0
02/01/2023,60.13,61.76,43.97,44.44,-15.09,-25.35%,8931989,0
01/01/2023,57.97,67.095,56.87,59.53,3.4,+6.06%,7268535,0
12/01/2022,55.33,61.4,54.68,56.13,-1.05,-1.84%,7101052,0
11/01/2022,40.47,58.78,38.09,57.18,19.89,+53.34%,11546109,0
10/01/2022,49.38,54.38,33.17,37.29,-13.01,-25.86%,11255414,0
09/01/2022,61.75,63.2,49.81,50.3,-13.19,-20.77%,5440195,0
08/01/2022,57.58,67.87,53.05,63.49,3.99,+6.71%,8343395,0
07/01/2022,63.91,66.36,58.37,59.5,-4.72,-7.35%,6055055,0
06/01/2022,56.83,68.29,54.64,64.22,8.1,+14.43%,13824595,0
05/01/2022,61.64,63.96,46.83,56.12,-5.54,-8.98%,14219542,0
04/01/2022,61.25,65.29,50.25,61.66,3.79,+6.55%,10760830,0
03/01/2022,72.42,74.99,41.56,57.87,-13.76,-19.21%,23722401,0
02/01/2022,74.26,78.67,66.11,71.63,-3.25,-4.34%,7136226,0
01/01/2022,68.9,81.24,62.17,74.88,4.81,+6.86%,13848090,0
12/01/2021,86.88,88.22,64.7,70.07,-14.04,-16.69%,11500472,0
11/01/2021,78.66,92.69,76.6301,84.11,5.83,+7.45%,9391652,0
10/01/2021,72.09,87.83,68.46,78.28,6.04,+8.36%,8226728,0
09/01/2021,79.48,84.08,71.451,72.24,-6.32,-8.04%,9392828,0
08/01/2021,71.07,80.56,61.76,78.56,7.68,+10.84%,11257831,0
07/01/2021,79.3,80.15,61.65,70.88,-8.93,-11.19%,14601323,0
06/01/2021,76.1,80.27,70.41,79.81,5.87,+7.94%,11387554,0
05/01/2021,77.2,78.89,66.55,73.94,-3.42,-4.42%,11899025,0
04/01/2021,86.5,86.88,72.81,77.36,-6.97,-8.27%,10106295,0
03/01/2021,96.73,98.7,76.11,84.33,-9.54,-10.16%,13062434,0
02/01/2021,90.15,108.29,89.085,93.87,5.18,+5.84%,8808315,0
01/01/2021,87.56,101.68,85.16,88.69,0.79,+0.90%,12454663,0
12/01/2020,86.25,89.56,79.07,87.9,2.55,+2.99%,10650290,0
11/01/2020,82.84,92.77,78.181,85.35,3.83,+4.70%,16086105,0
10/01/2020,78.75,85.385,75.59,81.52,3.91,+5.04%,9745781,0
09/01/2020,79.49,86.58,71.76,77.61,-1.03,-1.31%,10969261,0
08/01/2020,64,81.45,59.9,78.64,14.85,+23.28%,14115023,0
07/01/2020,60.16,69.18,58.76,63.79,3.61,+6.00%,10992250,0
06/01/2020,54.2,62.42,53.38,60.18,5.85,+10.77%,14985254,0
05/01/2020,41.98,56.5,40.585,54.33,11.23,+26.06%,19006955,0
04/01/2020,39.91,47.98,39.255,43.1,2.6,+6.42%,15888185,0
03/01/2020,41.38,45.34,32.7,40.5,1.99,+5.17%,23720486,0
02/01/2020,38,43.09,36.815,38.51,0.82,+2.18%,13211410,0
01/01/2020,35.96,42,35.9,37.69,2.46,+6.98%,13487276,0
12/01/2019,32.69,36.8,30.84,35.23,2.58,+7.90%,9222457,0
11/01/2019,31.64,35.43,31.17,32.65,1.5,+4.82%,12330810,0
10/01/2019,28.22,31.95,27.53,31.15,2.94,+10.42%,9474104,0
09/01/2019,30.1,32,27.47,28.21,-2.29,-7.51%,10870500,0
08/01/2019,29.91,32.28,25.77,30.5,0.59,+1.97%,16967868,0
07/01/2019,31.36,32.38,29.35,29.91,-0.38,-1.25%,9155754,0
06/01/2019,25.81,30.68,25.5,30.29,4.53,+17.59%,11738845,0
05/01/2019,30.34,31,25.48,25.76,-4.51,-14.90%,20163113,0
04/01/2019,30.93,31.625,28.255,30.27,0.12,+0.40%,14923990,0
03/01/2019,28.03,30.53,26.37,30.15,2.44,+8.81%,18542333,0
02/01/2019,24.74,28.62,23.52,27.71,2.86,+11.51%,17624657,0
01/01/2019,20.31,25.45,20.18,24.85,3.92,+18.73%,16469038,0
12/01/2018,22.36,23.35,19.26,20.93,-0.3,-1.41%,20724831,0
11/01/2018,23.72,25.76,19.21,21.23,-2.29,-9.74%,19851538,0
10/01/2018,26.03,26.26,21.58,23.52,-2.57,-9.85%,16017186,0
09/01/2018,30.01,30.03,24.38,26.09,-5.21,-16.65%,27057942,0
08/01/2018,35.58,36.89,30.52,31.3,-4.56,-12.72%,16794330,0
07/01/2018,38.01,40.04,34.86,35.86,-3.09,-7.93%,11728057,0
06/01/2018,35.57,45.23,35.54,38.95,3.77,+10.72%,17705295,0
05/01/2018,36.3,38.91,34.76,35.18,-1.33,-3.64%,12320750,0
04/01/2018,40.09,41.3,34.88,36.51,-3.98,-9.83%,11042323,0
03/01/2018,47.1,47.65,39.12,40.49,-6.66,-14.13%,15890109,0
02/01/2018,46.89,49.25,40.93,47.15,-2.08,-4.23%,13583315,0
01/01/2018,42.14,50.68,41.9,49.23,7.81,+18.86%,14031909,0
12/01/2017,37.02,43.48,35.81,41.42,3.97,+10.60%,14559170,0
11/01/2017,38,42.77,37.1,37.45,-0.07,-0.19%,17551514,0
10/01/2017,38.4,40.77,35.79,37.52,-0.68,-1.78%,16016613,0
09/01/2017,41.93,45.93,37.82,38.2,-3.71,-8.85%,13293530,0
08/01/2017,45.82,48.99,39.33,41.91,-3.26,-7.22%,14474434,0
07/01/2017,39.83,46.85,38.51,45.17,5.95,+15.17%,8864615,0
06/01/2017,40.2,44.18,36.77,39.22,-0.81,-2.02%,13657636,0
05/01/2017,35.14,41.97,34.51,40.03,4.96,+14.14%,11992636,0
04/01/2017,31.43,35.5,31.23,35.07,3.96,+12.73%,6675752,0
03/01/2017,30.83,32.47,29.88,31.11,0.54,+1.77%,7039595,0
02/01/2017,28.59,31.16,27.88,30.57,2.17,+7.64%,5711557,0
01/01/2017,25.95,28.91,25.58,28.4,2.96,+11.64%,7845585,0
12/01/2016,26.79,27.38,25.25,25.44,-1.43,-5.32%,7026061,0
11/01/2016,25.9,27.7,23.38,26.87,0.92,+3.55%,11457138,0
10/01/2016,26.03,29.24,25.38,25.95,-0.14,-0.54%,9876780,0
09/01/2016,25.41,27.29,25.33,26.09,0.68,+2.68%,11705328,0
08/01/2016,21.69,26.3,21.22,25.41,3.76,+17.37%,12495852,0
07/01/2016,21.23,22.9,20.03,21.65,0.42,+1.98%,9618365,0
06/01/2016,24.35,24.37,19.51,21.23,-3.38,-13.73%,16866009,0
05/01/2016,25.52,25.65,22.02,24.61,-0.95,-3.72%,20303204,0
04/01/2016,26.26,30.01,24.55,25.56,-0.94,-3.55%,11437809,0
03/01/2016,26.89,28.25,25.21,26.5,0.79,+3.07%,10528954,0
02/01/2016,25.62,26.47,22.14,25.71,-0.32,-1.23%,14564265,0
01/01/2016,30.66,30.66,24.97,26.03,-6.23,-19.31%,13691084,0
12/01/2015,30.38,33.48,30.03,32.26,1.58,+5.15%,7301736,0
11/01/2015,27.5,31.18,26.53,30.68,3.06,+11.08%,13459430,0
10/01/2015,26.75,29.4,25.1,27.62,1.56,+5.99%,12406118,0
09/01/2015,25.17,27.96,22.64,26.06,0.18,+0.70%,12195952,0
08/01/2015,32.53,34.99,21.55,25.88,-7.15,-21.65%,13523728,0
07/01/2015,34.08,35.56,28.13,33.03,-1.07,-3.14%,9350072,0
06/01/2015,33.88,38,31.72,34.1,0.42,+1.25%,9320468,0
05/01/2015,33.88,35.37,32.1,33.68,0.12,+0.36%,8183490,0
04/01/2015,29.4,36.75,29.01,33.56,4.18,+14.23%,9008519,0
03/01/2015,27.84,30.6,27.05,29.38,1.71,+6.18%,9497295,0
02/01/2015,24.99,28.49,24.35,27.67,2.83,+11.39%,6268163,0
01/01/2015,23.37,26.33,22.96,24.84,1.7,+7.35%,7483800,0
12/01/2014,23.53,25.95,21.78,23.14,-0.38,-1.62%,8492263,0
11/01/2014,23.6,28.4,23.27,23.52,-0.37,-1.55%,5120242,0
10/01/2014,25.52,26.79,22.6,23.89,-1.93,-7.47%,4380947,0
09/01/2014,32.1,32.35,25.3,25.82,-6.1,-19.11%,5462461,0
08/01/2014,28.55,33.1,27.3,31.92,3.34,+11.69%,5181995,0
07/01/2014,29,31.22,25.28,28.58,0.07,+0.25%,4079209,0
06/01/2014,25.4,29.6,24.03,28.51,3.51,+14.04%,5237766,0
"Downloaded from Barchart.com as of 03-06-2023 05:39am CST"
