Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,85.58,86.19,84.922,85.57,0.61,+0.72%,860600,0
02/01/2023,76.12,92.55,75.97,84.96,9.17,+12.10%,2142936,0
01/01/2023,66.87,77.6599,63.49,75.79,10.91,+16.82%,1134410,0
12/01/2022,73.09,76.47,62.285,64.88,-7.95,-10.92%,1185604,0
11/01/2022,52.43,72.91,49.03,72.83,24.32,+50.13%,2083519,0
10/01/2022,49.68,56.67,44.525,48.51,-0.7,-1.42%,1313507,0
09/01/2022,52.49,55.57,47.708,49.21,-4.69,-8.70%,1443923,0
08/01/2022,60.9,65.42,53.53,53.9,-7.6,-12.36%,1248956,0
07/01/2022,47.92,61.625,43.41,61.5,13,+26.80%,1385610,0
06/01/2022,52.22,54.365,44.33,48.5,-3.52,-6.77%,2360414,0
05/01/2022,48.37,53.14,43.59,52.02,3.98,+8.28%,1896338,0
04/01/2022,61.29,62.07,46.4698,48.04,-12.91,-21.18%,1538955,0
03/01/2022,62.26,66.03,50.71,60.95,-1.67,-2.67%,1083200,0
02/01/2022,55.67,65.5,53.44,62.62,7.4,+13.40%,1384531,0
01/01/2022,77.54,79.2194,47.04,55.22,-21.84,-28.34%,1375837,0
12/01/2021,78.18,81.47,68.65,77.06,1.13,+1.49%,934813,0
11/01/2021,69.69,85.448,69.17,75.93,6.49,+9.35%,1102871,0
10/01/2021,64.94,70.94,62.57,69.44,4.79,+7.41%,676652,0
09/01/2021,62.65,68.76,61.69,64.65,2.53,+4.07%,905042,0
08/01/2021,57.36,62.8,55.07,62.12,5.37,+9.46%,832831,0
07/01/2021,56.04,56.84,49.05,56.75,0.57,+1.01%,733061,0
06/01/2021,53.42,57.6,49.425,56.18,3.11,+5.86%,1143250,0
05/01/2021,50.81,53.565,42.94,53.07,2.76,+5.49%,1390325,0
04/01/2021,45.84,58.3799,45.84,50.31,5.29,+11.75%,2816595,0
03/01/2021,48.92,51.495,39.08,45.02,-3.1,-6.44%,1359547,0
02/01/2021,40.68,50.05,40.415,48.12,8.01,+19.97%,1024315,0
01/01/2021,46.05,46.89,37.38,40.11,-5.71,-12.46%,998410,0
12/01/2020,42.49,46.367,40.55,45.82,3.97,+9.49%,750827,0
11/01/2020,35,41.9799,34.65,41.85,6.95,+19.91%,891250,0
10/01/2020,29.47,35.9,28.06,34.9,5.94,+20.51%,1056877,0
09/01/2020,28.89,31.1,26.1407,28.96,0.36,+1.26%,1010395,0
08/01/2020,31.14,31.9283,28.46,28.6,-2.49,-8.01%,900504,0
07/01/2020,28.22,31.79,27.82,31.09,2.7,+9.51%,1504868,0
06/01/2020,24.83,28.8893,24.6,28.39,3.52,+14.15%,1546322,0
05/01/2020,21.57,25.5667,20.59,24.87,2.36,+10.48%,1392415,0
04/01/2020,17.03,23,16.42,22.51,4.69,+26.32%,1493876,0
03/01/2020,18.18,19.97,13.54,17.82,-0.13,-0.72%,2529809,0
02/01/2020,18.73,21.76,16.1,17.95,-0.65,-3.49%,2492921,0
01/01/2020,19.46,24.2,18.45,18.6,-0.54,-2.82%,2362695,0
12/01/2019,19,20.56,18.2,19.14,0.25,+1.32%,1136476,0
11/01/2019,19.76,21.176,18.35,18.89,-0.7,-3.57%,1121195,0
10/01/2019,18.42,20.0885,17.06,19.59,1.305,+7.14%,1441647,0
09/01/2019,19.67,21.58,17.77,18.285,-1.405,-7.14%,1910345,0
08/01/2019,19.6,20.9,17.94,19.69,0.35,+1.81%,1897081,0
07/01/2019,15.13,20.25,14.47,19.34,4.75,+32.56%,2280931,0
06/01/2019,12.93,15.37,12.66,14.59,1.79,+13.98%,1468075,0
05/01/2019,13.78,14.93,11.06,12.8,-0.15,-1.16%,2097540,0
04/01/2019,12.07,13.58,11.19,12.95,1.02,+8.55%,1765685,0
03/01/2019,11.93,13.17,11.72,11.93,0.13,+1.10%,1662157,0
02/01/2019,7.8,12.5,7.68,11.8,4,+51.28%,3164336,0
01/01/2019,6.86,7.93,6.71,7.8,0.88,+12.72%,1203533,0
12/01/2018,5.99,7.19,5.93,6.92,1.06,+18.09%,1514005,0
11/01/2018,6.03,6.26,5.383,5.86,-0.15,-2.50%,709861,0
10/01/2018,8.06,8.9,5.58,6.01,-1.99,-24.88%,1528643,0
09/01/2018,8.2,8.325,7.23,8,-0.19,-2.32%,953431,0
08/01/2018,7.66,8.395,7.2,8.19,0.5,+6.50%,1461986,0
07/01/2018,6.51,7.98,6.276,7.69,1.13,+17.23%,1281257,0
06/01/2018,5.75,6.69,5.68,6.56,0.81,+14.09%,1070580,0
05/01/2018,5.43,5.815,5.29,5.75,0.33,+6.09%,599718,0
04/01/2018,5.57,5.68,5.05,5.42,-0.15,-2.69%,735752,0
03/01/2018,6,6.56,5.505,5.57,-0.44,-7.32%,903533,0
02/01/2018,6.47,6.62,5.39,6.01,-0.5,-7.68%,1544889,0
01/01/2018,5.78,6.715,5.78,6.51,0.73,+12.63%,1373957,0
12/01/2017,5.83,5.97,5.53,5.78,-0.09,-1.53%,672675,0
11/01/2017,5.9,6.6,5.69,5.87,0.02,+0.34%,1219252,0
10/01/2017,5.25,6.01,5.14,5.85,0.64,+12.28%,1419459,0
09/01/2017,5.69,5.89,5.05,5.21,-0.44,-7.79%,987470,0
08/01/2017,6.95,7.03,5.59,5.65,-1.31,-18.82%,560104,0
07/01/2017,6.7,6.99,6.51,6.96,0.3,+4.50%,546015,0
06/01/2017,6.95,7.1,6.51,6.66,-0.29,-4.17%,498600,0
05/01/2017,6.82,7.09,6.6,6.95,0.09,+1.31%,643586,0
04/01/2017,6.94,7.01,6.66,6.86,-0.06,-0.87%,559621,0
03/01/2017,7.14,7.55,6.78,6.92,-0.15,-2.12%,824004,0
02/01/2017,7.2,7.35,6.76,7.07,-0.12,-1.67%,987647,0
01/01/2017,7.39,7.42,6.93,7.19,-0.17,-2.31%,911180,0
12/01/2016,7.05,7.36,6.72,7.36,0.35,+4.99%,1082152,0
11/01/2016,6.1,7.99,6.09,7.01,0.94,+15.49%,4664280,0
10/01/2016,6.45,6.65,5.91,6.07,-0.42,-6.47%,1241542,0
09/01/2016,6.13,6.69,5.8,6.49,0.34,+5.53%,1608085,0
08/01/2016,6.03,6.29,5.63,6.15,0.14,+2.33%,1263960,0
07/01/2016,5.36,6.3,5.21,6.01,0.66,+12.34%,1018635,0
06/01/2016,5.8,6.02,4.89,5.35,-0.47,-8.08%,1169300,0
05/01/2016,5.57,5.9,4.98,5.82,0.25,+4.49%,1427833,0
04/01/2016,5.62,6.47,5.14,5.57,-0.11,-1.94%,2015814,0
03/01/2016,6.4,6.41,5.27,5.68,-0.65,-10.27%,2465922,0
02/01/2016,4.69,6.67,4.18,6.33,1.47,+30.25%,3247940,0
01/01/2016,6.4,6.4,4.02,4.86,-1.61,-24.88%,3073957,0
12/01/2015,6.26,7.07,5.62,6.47,0.18,+2.86%,2640304,0
11/01/2015,4.55,6.38,4.5,6.29,1.71,+37.34%,2847360,0
10/01/2015,3.83,4.88,3.57,4.58,0.73,+18.96%,3128440,0
09/01/2015,4.13,4.48,3.78,3.85,-0.33,-7.89%,1082104,0
08/01/2015,4.89,4.89,3.25,4.18,-0.74,-15.04%,1485309,0
07/01/2015,5.93,6.14,4.51,4.92,-0.97,-16.47%,1144113,0
06/01/2015,6.26,6.98,5.88,5.89,-0.37,-5.91%,1428672,0
05/01/2015,5.98,6.45,5.95,6.26,0.33,+5.56%,1214350,0
04/01/2015,6.34,6.58,5.9,5.93,-0.41,-6.47%,1022547,0
03/01/2015,6.75,7,6.24,6.34,-0.38,-5.65%,1332309,0
02/01/2015,7.19,7.3,5.87,6.72,-0.41,-5.75%,2002410,0
01/01/2015,6.92,7.66,6.45,7.13,0.24,+3.48%,1550715,0
12/01/2014,6.52,7,6.05,6.89,0.34,+5.19%,1014595,0
11/01/2014,6.72,6.85,6.36,6.55,-0.16,-2.38%,697278,0
10/01/2014,7.47,7.53,5.94,6.71,-0.79,-10.53%,1608265,0
09/01/2014,7.52,7.79,7.12,7.5,-0.01,-0.13%,1066800,0
08/01/2014,6.81,7.57,6.73,7.51,0.67,+9.80%,1014880,0
07/01/2014,8.3,8.5,6.03,6.84,-1.41,-17.09%,2199600,0
06/01/2014,7.91,8.49,7.7,8.25,0.34,+4.30%,1243966,0
05/01/2014,8.44,8.57,7.65,7.91,-0.51,-6.06%,1254566,0
04/01/2014,7.89,9.19,7.37,8.42,0.58,+7.40%,1636661,0
03/01/2014,7.55,8.09,7.4,7.84,0.27,+3.57%,994395,0
02/01/2014,5.73,7.86,5.52,7.57,1.79,+30.97%,2060810,0
01/01/2014,5.5,6.07,5.3,5.78,0.29,+5.28%,1029252,0
12/01/2013,5.61,5.75,5.34,5.49,-0.08,-1.44%,734280,0
11/01/2013,5.12,5.77,5.05,5.57,0.44,+8.58%,815190,0
10/01/2013,4.47,5.25,4.17,5.13,0.67,+15.02%,1413508,0
09/01/2013,4.79,4.96,4.39,4.46,-0.3,-6.30%,677110,0
08/01/2013,5.23,5.34,4.71,4.76,-0.4,-7.75%,649831,0
07/01/2013,5.14,5.44,4.88,5.16,0.09,+1.78%,792886,0
06/01/2013,5.19,5.37,4.68,5.07,-0.11,-2.12%,864115,0
05/01/2013,4.64,5.34,4.5,5.18,0.53,+11.40%,1073590,0
04/01/2013,5.49,5.5,4.52,4.65,-0.8,-14.68%,1469336,0
03/01/2013,4.63,5.7,4.45,5.45,0.77,+16.45%,1051970,0
02/01/2013,4.37,5.15,4.37,4.68,0.23,+5.17%,897531,0
01/01/2013,4.06,4.75,3.89,4.45,0.46,+11.53%,1422219,0
12/01/2012,4,4.38,3.71,3.99,0.03,+0.76%,995145,0
11/01/2012,3.89,4.17,3.55,3.96,0.08,+2.06%,1120361,0
10/01/2012,3.86,3.92,3.46,3.88,0.04,+1.04%,1364785,0
09/01/2012,3.88,4.53,3.67,3.84,-0.05,-1.29%,1418815,0
08/01/2012,3.72,4.12,3.45,3.89,0.18,+4.85%,981852,0
07/01/2012,3.82,4.11,3.16,3.71,-0.04,-1.07%,1201623,0
06/01/2012,4.46,4.8,3.49,3.75,-0.82,-17.94%,1978080,0
05/01/2012,5.48,5.53,4.42,4.57,-0.89,-16.30%,1972631,0
04/01/2012,6.42,6.6,5.39,5.46,-0.97,-15.09%,2193980,0
03/01/2012,6.64,6.66,5.96,6.43,-0.16,-2.43%,1295131,0
02/01/2012,6.83,7.05,6.44,6.59,-0.21,-3.09%,1232095,0
01/01/2012,6.08,7.12,5.92,6.8,0.86,+14.48%,2011965,0
12/01/2011,6.85,7.18,5.6,5.94,-0.95,-13.79%,1282676,0
11/01/2011,6.03,6.9,6.02,6.89,0.56,+8.85%,1376952,0
10/01/2011,5.17,6.8,4.84,6.33,1.08,+20.57%,1441595,0
09/01/2011,5.62,5.96,4.86,5.25,-0.38,-6.75%,1635457,0
08/01/2011,6.3,6.35,4.7,5.63,-0.57,-9.19%,1351621,0
07/01/2011,6.53,6.82,5.92,6.2,-0.32,-4.91%,1078035,0
06/01/2011,6.52,6.6,5.93,6.52,-0.07,-1.06%,1018040,0
05/01/2011,6.82,7.19,6.16,6.59,-0.2,-2.95%,1371080,0
04/01/2011,6,7.09,5.76,6.79,0.89,+15.08%,1212345,0
03/01/2011,6.65,7.38,5.7,5.9,-0.74,-11.14%,1823500,0
02/01/2011,6.25,6.79,5.87,6.64,0.41,+6.58%,1395368,0
01/01/2011,6.16,6.56,5.51,6.23,0.17,+2.81%,1652480,0
12/01/2010,4.54,6.17,4.51,6.06,1.61,+36.18%,1745172,0
11/01/2010,4.88,5.01,4.32,4.45,-0.41,-8.44%,1319819,0
10/01/2010,4.79,5.3,4.24,4.86,0.11,+2.32%,2339619,0
09/01/2010,4.22,4.9,4.11,4.75,0.61,+14.73%,1956004,0
08/01/2010,5.7,5.75,4.12,4.14,-1.42,-25.54%,1868927,0
07/01/2010,4.33,6.02,4.13,5.56,1.22,+28.11%,2341395,0
06/01/2010,4.94,5.29,4.01,4.34,-0.62,-12.50%,2134704,0
05/01/2010,5.36,5.66,4.28,4.96,-0.3,-5.70%,2479810,0
04/01/2010,3.68,5.97,3.67,5.26,1.59,+43.32%,3166904,0
03/01/2010,2.88,3.8,2.86,3.67,0.8,+27.87%,1948891,0
