Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,309.39,313.595,303.81,311.65,2.45,+0.79%,1076750,0
02/01/2023,306.9,328.42,305.2541,309.2,2.32,+0.76%,1223726,0
01/01/2023,326.88,334.2299,289.48,306.88,-13.5,-4.21%,2124485,0
12/01/2022,380.31,386.7,306.38,320.38,-59.93,-15.76%,2216195,0
11/01/2022,335,380.87,310.52,380.31,51.27,+15.58%,1227309,0
10/01/2022,281.5,332.59,279.1,329.04,49.48,+17.70%,1506923,0
09/01/2022,293.97,355.586,277.5,279.56,-20.4,-6.80%,2170961,0
08/01/2022,308.09,335.71,295.54,299.96,-10.55,-3.40%,926256,0
07/01/2022,269.14,312.25,258.79,310.51,37.9,+13.90%,1076115,0
06/01/2022,297.85,312.899,267.78,272.61,-20.08,-6.86%,1498576,0
05/01/2022,354,365.32,251.51,292.69,-61.94,-17.47%,1689304,0
04/01/2022,364.9,410.7,350.05,354.63,-10.6,-2.90%,1485895,0
03/01/2022,321.11,389.145,278,365.23,45.29,+14.16%,1708349,0
02/01/2022,335.48,353.62,283.21,319.94,-13.82,-4.14%,1137994,0
01/01/2022,392.2,394.49,296.19,333.76,-57.69,-14.74%,1703050,0
12/01/2021,459.55,467.98,366.4535,391.45,-62.96,-13.86%,1454000,0
11/01/2021,468,485.825,446.58,454.41,-11.6,-2.49%,754300,0
10/01/2021,407.52,467.04,383.24,466.01,61.31,+15.15%,749982,0
09/01/2021,400.71,437.32,376.37,404.7,4.53,+1.13%,1445038,0
08/01/2021,402.77,417.85,384.36,400.17,0,0.00%,620840,0
07/01/2021,363.79,406.24,361.51,400.17,35.2,+9.64%,925142,0
06/01/2021,322.44,371,313.06,364.97,41.84,+12.95%,1154522,0
05/01/2021,336.47,337.02,304,323.13,-12.14,-3.62%,925145,0
04/01/2021,308.29,347,295.89,335.27,28.56,+9.31%,1320857,0
03/01/2021,313.09,321.3,269.2801,306.71,-4.97,-1.59%,1742295,0
02/01/2021,329.38,347,304.87,311.68,-17,-5.17%,1172336,0
01/01/2021,351.67,374.2,312.9,328.68,-19.35,-5.56%,1428131,0
12/01/2020,373.21,387.37,337.07,348.03,-22.19,-5.99%,2002704,0
11/01/2020,321.02,371.98,307.8101,370.22,50.93,+15.95%,1079340,0
10/01/2020,334.01,359.235,314.63,319.29,-10.08,-3.06%,1311095,0
