Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,81.37,81.95,80.58,80.78,-0.25,-0.31%,3383600,0
02/01/2023,77.9,87.76,77.88,81.03,3.41,+4.39%,5355484,0
01/01/2023,71.29,78.595,68.405,77.62,7.37,+10.49%,4324975,0
12/01/2022,79.75,80.5,67.69,70.25,-8.94,-11.29%,4172457,0
11/01/2022,63.15,79.28,58.61,79.19,17.45,+28.26%,5490561,0
10/01/2022,62.21,68.39,54.77,61.74,0.71,+1.16%,5286733,0
09/01/2022,63.76,67.91,60.75,61.03,-4.22,-6.47%,4620033,0
08/01/2022,68.1,74.79,63.54,65.25,-3.61,-5.24%,4692008,0
07/01/2022,57.2,69.31,54.33,68.86,10.78,+18.56%,3932915,0
06/01/2022,72.87,73.36,56.24,58.08,-14.57,-20.06%,5249566,0
05/01/2022,65.64,73.3,63.52,72.65,7.45,+11.43%,5668495,0
04/01/2022,75.67,75.99,63.34,65.2,-9.94,-13.23%,4677740,0
03/01/2022,70.13,80.1,64.26,75.14,4.81,+6.84%,5442208,0
02/01/2022,77.44,79.52,66.57,70.33,-7.15,-9.23%,5809226,0
01/01/2022,87.52,88.97,68.77,77.48,-9.58,-11.00%,4569200,0
12/01/2021,84.79,90,81.41,87.06,3.63,+4.35%,3905018,0
11/01/2021,74.6,87.52,74.48,83.43,9.34,+12.61%,4370080,0
10/01/2021,77.3,77.345,69.86,74.09,-2.655,-3.46%,3450057,0
09/01/2021,79.325,83.065,76.46,76.745,-1.935,-2.46%,3790704,0
08/01/2021,73.61,80.18,70.49,78.68,7.12,+9.95%,4111290,0
07/01/2021,74.925,75.44,64.53,71.56,-3.31,-4.42%,3858333,0
06/01/2021,79,79.84,72.035,74.87,-3.605,-4.59%,3224063,0
05/01/2021,76.225,78.825,69.27,78.475,3.33,+4.43%,3790049,0
04/01/2021,78.75,82.24,73.9506,75.145,-2.465,-3.18%,3177371,0
03/01/2021,77.495,79.18,67.7622,77.61,1.295,+1.70%,4513260,0
02/01/2021,69.85,83.335,68.81,76.315,8.26,+12.14%,5027378,0
01/01/2021,69.475,77.68,66.27,68.055,-1,-1.45%,4111810,0
12/01/2020,68.495,72.67,66.935,69.055,1.86,+2.77%,3605481,0
11/01/2020,53.435,67.645,51.995,67.195,14.655,+27.89%,3904470,0
10/01/2020,53.04,58.28,51.1725,52.54,1.16,+2.26%,3023645,0
09/01/2020,54.96,57.5525,47.765,51.38,-3.47,-6.33%,4073419,0
08/01/2020,51.255,55.495,48.755,54.85,3.985,+7.83%,5290342,0
07/01/2020,52.565,55.0613,49.6655,50.865,-1.79,-3.40%,4829199,0
06/01/2020,47.49,56.64,47.025,52.655,4.645,+9.68%,6345818,0
05/01/2020,42.735,49.62,40.06,48.01,4.145,+9.45%,6782410,0
04/01/2020,32.55,46.36,30.81,43.865,9.965,+29.40%,6715476,0
03/01/2020,45.8,48.485,26.575,33.9,-11.455,-25.26%,12833563,0
02/01/2020,49.17,55.775,43,45.355,-3.385,-6.95%,5435252,0
01/01/2020,53.015,56.2352,48.465,48.74,-3.62,-6.91%,6553342,0
12/01/2019,47.575,53.08,45.41,52.36,5.09,+10.77%,3921457,0
11/01/2019,47.79,50.785,45.1455,47.27,0.125,+0.27%,4469820,0
10/01/2019,47.435,48.93,44.545,47.145,0.69,+1.49%,3570173,0
09/01/2019,42.625,48.3705,41.295,46.455,3.29,+7.62%,4783710,0
08/01/2019,47.225,48.34,41.44,43.165,-4.045,-8.57%,4835317,0
07/01/2019,45.13,50.03,43.565,47.21,3.86,+8.90%,3698490,0
06/01/2019,40.195,44.565,39.67,43.35,3.335,+8.33%,4967979,0
05/01/2019,50.335,50.675,38.83,40.015,-9.93,-19.88%,6696827,0
04/01/2019,42.07,50.14,42.055,49.945,8.465,+20.41%,5656857,0
03/01/2019,43.945,44.785,40.015,41.48,-1.955,-4.50%,4084742,0
02/01/2019,40.27,45.91,39.955,43.435,3.25,+8.09%,6712863,0
01/01/2019,35.135,40.865,33.08,40.185,4.225,+11.75%,6233561,0
12/01/2018,39.05,40.305,32.835,35.96,-1.54,-4.11%,5837789,0
11/01/2018,33.125,38.18,32.835,37.5,4.61,+14.02%,7147942,0
10/01/2018,39.65,39.85,30.35,32.89,-6.565,-16.64%,11014826,0
09/01/2018,42.58,43.08,38.935,39.455,-3.56,-8.28%,6674463,0
08/01/2018,46.7,49.13,39.88,43.015,-3.7,-7.92%,8045599,0
07/01/2018,45.11,48.455,44.6,46.715,1.24,+2.73%,3324561,0
06/01/2018,49.18,52.1,44.965,45.475,-3.215,-6.60%,4690809,0
05/01/2018,41.595,49.545,41.32,48.69,6.86,+16.40%,4328527,0
04/01/2018,45.495,45.75,40.64,41.83,-3.85,-8.43%,5612495,0
03/01/2018,44.51,50.74,43.78,45.68,1.215,+2.73%,6783466,0
02/01/2018,47.455,47.945,39.165,44.465,-3.145,-6.61%,8888210,0
01/01/2018,44.29,49.585,44.13,47.61,3.67,+8.35%,4220780,0
12/01/2017,43.2,45.445,42.55,43.94,0.445,+1.02%,3502049,0
11/01/2017,47.15,47.96,42.975,43.495,-3.905,-8.24%,4740352,0
10/01/2017,45.185,47.845,45.01,47.4,2.51,+5.59%,2942045,0
09/01/2017,43.48,45.915,42.5,44.89,1.49,+3.43%,4150939,0
08/01/2017,40.305,43.485,39.57,43.4,3.38,+8.45%,3719947,0
07/01/2017,38.865,41.69,37.9,40.02,1.43,+3.71%,3750759,0
06/01/2017,41.81,43.745,38.155,38.59,-3.06,-7.35%,5753754,0
05/01/2017,37.96,42,37.275,41.65,3.86,+10.21%,5040527,0
04/01/2017,36.97,38.66,35.7,37.79,0.9,+2.44%,4878578,0
03/01/2017,36.62,37.45,35.94,36.89,0.63,+1.74%,4934852,0
02/01/2017,33.855,38.25,33.685,36.26,2.585,+7.68%,12462410,0
01/01/2017,32.255,34.545,31.105,33.675,1.6,+4.99%,4100619,0
12/01/2016,33.165,33.195,30.385,32.075,-1.015,-3.07%,3908076,0
11/01/2016,30.4,33.405,29.69,33.09,2.815,+9.30%,5017352,0
10/01/2016,31.03,31.3,28.76,30.275,-0.795,-2.56%,3359799,0
09/01/2016,31.05,31.555,29.075,31.07,0.115,+0.37%,4300676,0
08/01/2016,28.02,31.12,27.255,30.955,3.135,+11.27%,4181869,0
07/01/2016,25.295,29.37,24.485,27.82,2.44,+9.61%,4706149,0
06/01/2016,25.69,26.585,23.905,25.38,-0.46,-1.78%,4160472,0
05/01/2016,24.43,25.87,23.49,25.84,1.545,+6.36%,3738999,0
04/01/2016,23.955,25.335,23.76,24.295,0.195,+0.81%,4657104,0
03/01/2016,22.3,24.74,22.04,24.1,1.855,+8.34%,4594618,0
02/01/2016,22.23,22.59,19.505,22.245,-0.16,-0.71%,5941629,0
01/01/2016,22.83,23.155,19.82,22.405,-0.865,-3.72%,7226168,0
12/01/2015,24.275,24.34,22.08,23.27,-0.87,-3.60%,4003490,0
11/01/2015,24.1,24.92,22.005,24.14,-0.005,-0.02%,3377310,0
10/01/2015,21.545,24.8,20.675,24.145,2.6,+12.07%,4317072,0
09/01/2015,20.725,22.875,20.045,21.545,0.295,+1.39%,5469019,0
08/01/2015,21.095,22.315,18.885,21.25,-0.17,-0.79%,6010409,0
07/01/2015,23.95,23.98,20.455,21.42,-2.29,-9.66%,5117263,0
06/01/2015,24.625,25.355,22.13,23.71,-0.855,-3.48%,3653309,0
05/01/2015,24.045,25.065,23.36,24.565,0.74,+3.11%,3942979,0
04/01/2015,24.4,25.185,23.51,23.825,-0.625,-2.56%,3666885,0
03/01/2015,25.805,26.22,23.445,24.45,-1.185,-4.62%,5690881,0
