Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,2.64,2.64,2.34,2.36,-0.2,-7.81%,2553500,0
02/01/2023,2.58,3.48,2.46,2.56,0.05,+1.99%,2149573,0
01/01/2023,2.39,2.785,2.25,2.51,0.16,+6.81%,2110765,0
12/01/2022,3.02,3.2,2.11,2.35,-0.68,-22.44%,1652047,0
11/01/2022,3.71,3.8,2.79,3.03,-0.63,-17.21%,1638914,0
10/01/2022,3.63,3.97,3.03,3.66,0.05,+1.39%,1589557,0
09/01/2022,4.73,4.85,3.46,3.61,-1.23,-25.41%,1810609,0
08/01/2022,5.1,5.96,4.43,4.84,-0.31,-6.02%,2512321,0
07/01/2022,3.8,5.5,3.78,5.15,1.31,+34.11%,2809625,0
06/01/2022,3.65,4.3776,3.1001,3.84,0.24,+6.67%,2930609,0
05/01/2022,3.2,3.99,2.5,3.6,0.37,+11.46%,2925485,0
04/01/2022,4.66,4.845,2.83,3.23,-1.44,-30.84%,3589505,0
03/01/2022,3.99,5.86,3.55,4.67,0.66,+16.46%,5747543,0
02/01/2022,3.4,4.17,2.82,4.01,0.6,+17.60%,5081410,0
01/01/2022,5.07,6.16,2.61,3.41,-1.6,-31.94%,7240420,0
12/01/2021,7.27,7.53,5.01,5.01,-2.07,-29.24%,4169086,0
11/01/2021,7.53,9.95,6.56,7.08,-0.53,-6.96%,4684914,0
10/01/2021,11.14,11.17,6.9,7.61,-3.44,-31.13%,5863952,0
09/01/2021,14.7,15.6701,10.8085,11.05,-3.68,-24.98%,4173590,0
08/01/2021,13.94,16.38,12.16,14.73,0.96,+6.97%,5677109,0
07/01/2021,16.84,17.32,12.91,13.77,-2.98,-17.79%,4134219,0
06/01/2021,15.95,24.6899,15.86,16.75,1.15,+7.37%,15558650,0
05/01/2021,14.74,18.48,12.22,15.6,0.35,+2.30%,16981950,0
04/01/2021,17.16,28,10.08,15.25,-3.3,-17.79%,48879632,0
03/01/2021,16.2,19.37,10.12,18.55,3.68,+24.75%,12535730,0
02/01/2021,7.31,24.18,6.85,14.87,7.765,+109.29%,18283863,0
01/01/2021,5.5,8.48,4.86,7.105,1.725,+32.06%,15257289,0
12/01/2020,2.32,9.7376,2.278,5.38,3.07,+132.90%,24481082,0
11/01/2020,1.75,2.38,1.52,2.31,0.58,+33.53%,4018525,0
10/01/2020,1.97,2.89,1.7,1.73,-0.22,-11.28%,6864613,0
09/01/2020,1.56,2.26,1.36,1.95,0.37,+23.42%,4220485,0
08/01/2020,2.07,3.04,1.25,1.58,-0.44,-21.78%,9961461,0
07/01/2020,1.38,3.45,1.37,2.02,0.66,+48.53%,13895245,0
06/01/2020,0.865,1.9,0.8356,1.36,0.4801,+54.56%,11560804,0
05/01/2020,0.437,1.82,0.3798,0.8799,0.53,+151.47%,60352959,0
04/01/2020,0.1726,0.57,0.1725,0.3499,0.1774,+102.84%,10025514,0
03/01/2020,0.26,0.44,0.153,0.1725,-0.0817,-32.14%,1748831,0
02/01/2020,0.65,0.69,0.25,0.2542,-0.3958,-60.89%,1107736,0
01/01/2020,0.7201,0.8,0.6323,0.65,-0.07,-9.72%,450166,0
12/01/2019,0.8,0.82,0.6315,0.72,-0.0704,-8.91%,428990,0
11/01/2019,0.75,1.03,0.65,0.7904,0.0463,+6.22%,911675,0
10/01/2019,0.5991,0.8367,0.57,0.7441,0.145,+24.20%,405852,0
09/01/2019,0.6296,0.6785,0.5601,0.5991,-0.0077,-1.27%,366080,0
08/01/2019,0.65,0.76,0.552,0.6068,-0.0332,-5.19%,493236,0
07/01/2019,0.81,0.92,0.639,0.64,-0.1652,-20.52%,396877,0
06/01/2019,0.81,0.95,0.655,0.8052,-0.0313,-3.74%,389770,0
05/01/2019,1,1.015,0.7,0.8365,-0.1635,-16.35%,494977,0
04/01/2019,0.9824,1.2199,0.8811,1,0.0312,+3.22%,570204,0
03/01/2019,1.21,1.26,0.8656,0.9688,-0.1712,-15.02%,477628,0
02/01/2019,0.9,1.44,0.87,1.14,0.26,+29.55%,496042,0
01/01/2019,0.6,0.88,0.6,0.88,0.28,+46.67%,274852,0
12/01/2018,0.82,0.85,0.51,0.6,-0.19,-24.05%,802352,0
11/01/2018,1.09,1.14,0.7,0.79,-0.29,-26.85%,481438,0
10/01/2018,1.22,1.44,0.99,1.08,-0.13,-10.74%,571708,0
09/01/2018,1.07,1.3,1.03,1.21,0.14,+13.08%,789715,0
08/01/2018,0.99,1.08,0.9,1.07,0.175,+19.55%,479152,0
07/01/2018,1.12,1.14,0.89,0.895,-0.225,-20.09%,599623,0
06/01/2018,1.64,1.64,1.04,1.12,-0.51,-31.29%,1537138,0
05/01/2018,1.28,1.8,1.26,1.63,0.35,+27.34%,538040,0
04/01/2018,1.14,1.45,1,1.28,0.15,+13.27%,435876,0
03/01/2018,1.1,1.33,1.03,1.13,0.03,+2.73%,415280,0
02/01/2018,1.19,1.28,1.05,1.1,-0.09,-7.56%,531947,0
01/01/2018,1.63,1.85,1.12,1.19,-0.44,-26.99%,930176,0
12/01/2017,1.69,1.8,1.5,1.63,-0.06,-3.55%,411610,0
11/01/2017,2.24,2.26,1.36,1.69,-0.52,-23.53%,881128,0
10/01/2017,2.77,2.88,2.2,2.21,-0.57,-20.50%,390354,0
09/01/2017,2.44,3.25,2.26,2.78,0.41,+17.30%,1153665,0
08/01/2017,2.3,2.61,2,2.37,0.1,+4.41%,654121,0
07/01/2017,2.28,2.49,2.11,2.27,0.15,+7.08%,446375,0
06/01/2017,1.99,2.36,1.74,2.12,0.15,+7.61%,1011268,0
05/01/2017,2.25,2.35,1.93,1.97,-0.28,-12.44%,694531,0
04/01/2017,2.49,2.94,2,2.25,-0.24,-9.64%,1494426,0
03/01/2017,1.65,2.75,1.49,2.49,0.89,+55.63%,1363495,0
02/01/2017,1.35,1.94,1.33,1.6,0.25,+18.52%,594800,0
01/01/2017,1.28,1.5,1.15,1.35,0.09,+7.14%,418215,0
12/01/2016,1.65,1.71,1.01,1.26,-0.39,-23.64%,838809,0
11/01/2016,1.02,1.85,0.89,1.65,0.63,+61.76%,427133,0
10/01/2016,1.39,1.41,0.98,1.02,-0.36,-26.09%,183352,0
09/01/2016,1.53,1.55,1.3,1.38,-0.13,-8.61%,194247,0
08/01/2016,1.56,1.65,1.33,1.51,-0.05,-3.21%,213621,0
07/01/2016,1.7,2.07,1.53,1.56,-0.12,-7.14%,272540,0
06/01/2016,1.92,1.98,1.64,1.68,-0.22,-11.58%,146327,0
05/01/2016,2.17,2.21,1.8,1.9,-0.26,-12.04%,194938,0
04/01/2016,1.87,2.21,1.72,2.16,0.29,+15.51%,195371,0
03/01/2016,2.93,3,1.64,1.87,-1.08,-36.61%,439777,0
02/01/2016,2.85,3.08,2.54,2.95,0.11,+3.87%,193790,0
01/01/2016,2.87,2.98,2.28,2.84,-0.02,-0.70%,182042,0
12/01/2015,2.62,3.05,2.49,2.86,0.35,+13.94%,164831,0
11/01/2015,2.84,2.98,2.2,2.51,-0.44,-14.92%,353795,0
10/01/2015,3.17,3.47,2.9,2.95,-0.24,-7.52%,328445,0
09/01/2015,3.12,3.54,3.06,3.19,0.03,+0.95%,256957,0
08/01/2015,3.03,3.42,2.74,3.16,0.11,+3.61%,251580,0
07/01/2015,3.01,3.4,2.56,3.05,0.05,+1.67%,340354,0
06/01/2015,3.25,3.45,2.9,3,-0.23,-7.12%,342750,0
05/01/2015,3.28,3.48,2.86,3.23,-0.02,-0.62%,502345,0
04/01/2015,3.36,3.88,3.05,3.25,-0.18,-5.25%,795285,0
03/01/2015,2.22,4.23,2.03,3.43,1.24,+56.62%,2477768,0
02/01/2015,2.03,2.25,1.92,2.19,0.19,+9.50%,219284,0
01/01/2015,1.76,2.16,1.72,2,0.26,+14.94%,372210,0
12/01/2014,1.8,1.91,1.67,1.74,-0.06,-3.33%,343263,0
11/01/2014,1.78,1.88,1.65,1.8,0.01,+0.56%,205005,0
10/01/2014,1.92,2.04,1.59,1.79,-0.15,-7.73%,269182,0
09/01/2014,2.05,2.25,1.83,1.94,-0.11,-5.37%,619314,0
08/01/2014,1.96,2.15,1.75,2.05,0.09,+4.59%,481271,0
07/01/2014,2.02,2.43,1.94,1.96,-0.05,-2.49%,888731,0
06/01/2014,1.85,2.36,1.7,2.01,0.09,+4.69%,1296342,0
05/01/2014,1.67,2.03,1.55,1.92,0.23,+13.61%,621909,0
04/01/2014,1.97,2.1,1.49,1.69,-0.24,-12.44%,789223,0
03/01/2014,2.02,2.8,1.76,1.93,-0.1,-4.93%,2905295,0
02/01/2014,1.24,3.38,1.12,2.03,0.84,+70.59%,4784505,0
01/01/2014,1.32,1.56,1.17,1.19,-0.13,-9.85%,323747,0
12/01/2013,1.34,1.46,1.03,1.32,0,0.00%,436866,0
11/01/2013,1.6,1.61,1.22,1.32,-0.28,-17.50%,298225,0
10/01/2013,1.76,1.84,1.42,1.6,-0.14,-8.05%,136047,0
09/01/2013,2.17,2.24,1.7,1.74,-0.4,-18.69%,155475,0
08/01/2013,2.3,2.6,1.93,2.14,-0.13,-5.73%,122372,0
07/01/2013,2.52,2.71,2.2,2.27,-0.25,-9.92%,165863,0
06/01/2013,2.95,3.49,2.29,2.52,-0.46,-15.44%,260875,0
05/01/2013,2.08,3.33,1.96,2.98,0.93,+45.37%,297804,0
04/01/2013,1.6,2.59,1.58,2.05,0.46,+28.93%,399040,0
03/01/2013,1.75,1.75,1.52,1.59,-0.12,-7.02%,62805,0
02/01/2013,1.88,1.88,1.55,1.71,-0.14,-7.57%,87652,0
01/01/2013,1.95,2.28,1.84,1.85,-0.06,-3.14%,97400,0
12/01/2012,2.52,2.53,1.84,1.91,-0.65,-25.39%,95670,0
11/01/2012,2.31,2.72,2.18,2.56,0.28,+12.28%,112157,0
10/01/2012,2.39,2.69,2.15,2.28,-0.04,-1.72%,124304,0
09/01/2012,2.74,2.94,1.96,2.32,-0.44,-15.94%,341273,0
08/01/2012,1.66,2.84,1.5,2.76,1.08,+64.29%,356391,0
07/01/2012,1.64,2.14,1.46,1.68,0.07,+4.35%,437671,0
06/01/2012,2.66,3.63,1.57,1.61,-1.04,-39.25%,1307490,0
05/01/2012,1.82,2.96,1.11,2.65,0.79,+42.47%,608277,0
04/01/2012,2.79,3.12,1.62,1.86,-0.87,-31.87%,290565,0
03/01/2012,3.24,3.65,2.28,2.73,-0.5,-15.48%,338872,0
02/01/2012,3.2,5.36,3.04,3.23,0.19,+6.25%,279856,0
01/01/2012,2.8,3.52,2.48,3.04,0.16,+5.56%,121092,0
12/01/2011,3.6,3.76,2.72,2.88,-0.72,-20.00%,137594,0
11/01/2011,5.6,5.92,3.28,3.6,-2.08,-36.62%,130151,0
10/01/2011,5.28,6.8,4.64,5.68,0.24,+4.41%,73231,0
09/01/2011,7.28,8.56,5.28,5.44,-1.76,-24.44%,95337,0
08/01/2011,8.88,9.12,6.56,7.2,-1.52,-17.43%,91263,0
07/01/2011,9.76,11.04,8.4,8.72,-1.04,-10.66%,99152,0
06/01/2011,9.92,12.4,8.16,9.76,-0.16,-1.61%,113946,0
05/01/2011,12.64,13.76,9.68,9.92,-2.56,-20.51%,91074,0
04/01/2011,10.88,12.64,9.92,12.48,1.92,+18.18%,105971,0
03/01/2011,13.36,13.52,9.68,10.56,-2.8,-20.96%,106682,0
02/01/2011,15.2,19.36,11.84,13.36,-1.76,-11.64%,192815,0
01/01/2011,15.04,19.04,14.88,15.12,0.24,+1.61%,188708,0
12/01/2010,11.2,17.12,10.96,14.88,3.6,+31.91%,260599,0
11/01/2010,16.4,16.64,10.24,11.28,-5.12,-31.22%,95763,0
10/01/2010,17.52,18,15.36,16.4,-1.12,-6.39%,65978,0
09/01/2010,22.4,24.88,16.64,17.52,-3.28,-15.77%,110067,0
08/01/2010,22.88,23.2,18.08,20.8,-1.84,-8.13%,68842,0
07/01/2010,23.2,24.8,21.2,22.64,-1.04,-4.39%,49651,0
06/01/2010,21.36,28.8,20.56,23.68,2.32,+10.86%,75944,0
05/01/2010,25.44,26.48,19.36,21.36,-3.68,-14.70%,95730,0
04/01/2010,22.8,29.52,22.8,25.04,2.48,+10.99%,119388,0
03/01/2010,17.68,23.2,17.36,22.56,4.96,+28.18%,92504,0
02/01/2010,15.76,21.92,15.36,17.6,2.08,+13.40%,114355,0
01/01/2010,25.92,29.04,15.52,15.52,-9.84,-38.80%,199886,0
12/01/2009,27.2,28.16,23.2,25.36,-0.72,-2.76%,113147,0
11/01/2009,30,32.88,25.2,26.08,-3.6,-12.13%,121279,0
10/01/2009,43.76,46,29.2,29.68,-14.32,-32.55%,142931,0
