Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,1.15,1.17,1.115,1.17,0.03,+2.63%,3229600,0
02/01/2023,1.29,1.51,1,1.14,-0.15,-11.63%,2506168,0
01/01/2023,1.27,1.68,1.17,1.29,0.04,+3.20%,2570935,0
12/01/2022,1.5,1.55,1.0301,1.25,-0.25,-16.67%,2434080,0
11/01/2022,1.91,1.95,1.36,1.5,-0.4,-21.05%,2645414,0
10/01/2022,1.87,2.01,1.69,1.9,0.01,+0.53%,1901171,0
09/01/2022,2.16,2.27,1.78,1.89,-0.29,-13.30%,2403557,0
08/01/2022,2.34,2.77,2.155,2.18,-0.18,-7.63%,3654213,0
07/01/2022,2.52,2.86,2.33,2.36,-0.17,-6.72%,2288250,0
06/01/2022,3.05,3.11,2.175,2.53,-0.47,-15.67%,6382319,0
05/01/2022,2.7,3.235,2.43,3,0.3,+11.11%,4683628,0
04/01/2022,3.44,3.63,2.69,2.7,-0.74,-21.51%,3323585,0
03/01/2022,3.11,3.78,2.98,3.44,0.31,+9.90%,4580113,0
02/01/2022,3.13,3.38,2.79,3.13,0,0.00%,4179000,0
01/01/2022,4.85,4.955,2.8,3.13,-1.68,-34.93%,6348240,0
12/01/2021,3.97,5.25,3.74,4.81,0.88,+22.39%,6187059,0
11/01/2021,3.78,4.56,3.65,3.93,0.14,+3.69%,4066333,0
10/01/2021,3.65,3.905,3.49,3.79,0.14,+3.84%,2264490,0
09/01/2021,3.89,3.97,3.44,3.65,-0.21,-5.44%,3269547,0
08/01/2021,3.55,3.92,3.44,3.86,0.42,+12.21%,3067745,0
07/01/2021,4.03,4.24,3.26,3.44,-0.61,-15.06%,4654604,0
06/01/2021,3.85,4.18,3.57,4.05,0.23,+6.02%,4826709,0
05/01/2021,4.16,4.21,3.32,3.82,-0.28,-6.83%,4695840,0
04/01/2021,4.36,4.63,3.94,4.1,-0.19,-4.43%,3992542,0
03/01/2021,4.57,5.09,3.83,4.29,-0.21,-4.67%,6432721,0
02/01/2021,5.64,6.13,4.38,4.5,-0.91,-16.82%,8467621,0
01/01/2021,4.03,6.27,4.03,5.41,1.46,+36.96%,8910300,0
12/01/2020,4.64,4.92,3.88,3.95,-0.69,-14.87%,8369972,0
11/01/2020,3.55,4.685,3.02,4.64,1.12,+31.82%,8188520,0
10/01/2020,3.75,4.76,3.3,3.52,-0.17,-4.61%,10542327,0
09/01/2020,3.18,3.74,2.84,3.69,0.45,+13.89%,10914404,0
08/01/2020,5.28,5.88,3.05,3.24,-1.91,-37.09%,15364066,0
07/01/2020,3.72,6.47,3.32,5.15,1.74,+51.03%,25304159,0
06/01/2020,2.44,3.52,2.18,3.41,1.13,+49.56%,13673754,0
05/01/2020,2.16,2.85,1.91,2.28,0.06,+2.70%,13613130,0
04/01/2020,1.28,2.38,1.1171,2.22,0.88,+65.67%,13483185,0
03/01/2020,1.5,2.91,1.3,1.34,-0.16,-10.67%,29692554,0
02/01/2020,1.47,1.67,1.36,1.5,0.05,+3.45%,3782389,0
01/01/2020,1.49,1.77,1.42,1.45,-0.02,-1.36%,3903990,0
12/01/2019,1.61,1.68,1.44,1.47,-0.12,-7.55%,4496309,0
11/01/2019,1.44,1.68,1.42,1.59,0.17,+11.97%,5173135,0
10/01/2019,2.09,2.4265,1.33,1.42,-0.67,-32.06%,6833773,0
09/01/2019,1.81,2.3,1.79,2.09,0.25,+13.59%,3385085,0
08/01/2019,2.13,2.175,1.75,1.84,-0.27,-12.80%,3707813,0
07/01/2019,2.5,2.53,2.02,2.11,-0.33,-13.52%,3168936,0
