Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,156.98,157.305,132.3,137.16,-20.76,-13.15%,3540187,0
02/01/2023,163.85,167.12,154.81,157.92,-7.51,-4.54%,1956478,0
01/01/2023,159.65,169.07,147.1,165.43,7.49,+4.74%,2836881,0
12/01/2022,169.55,170.275,147.07,157.94,-10.32,-6.13%,2208442,0
11/01/2022,162.92,168.82,152.94,168.26,6.43,+3.97%,2133647,0
10/01/2022,151.8,164.94,143.5213,161.83,12.41,+8.31%,2183319,0
09/01/2022,157.57,167.24,147.1,149.42,-8.58,-5.43%,1797057,0
08/01/2022,163.88,176.34,157.96,158,-7.94,-4.78%,1373469,0
07/01/2022,157.27,166.57,146.39,165.94,8.17,+5.18%,2004975,0
06/01/2022,175.84,176.33,149.51,157.77,-17.64,-10.06%,2108858,0
05/01/2022,168.4,176.47,152.35,175.41,9.31,+5.61%,2183338,0
04/01/2022,184.24,188.59,165.59,166.1,-18.35,-9.95%,2623805,0
03/01/2022,197.59,199.43,178.67,184.45,-14.8,-7.43%,2412847,0
02/01/2022,205.83,214.5,189.64,199.25,-6.74,-3.27%,2306178,0
01/01/2022,204.6,228.1425,194.4686,205.99,5.47,+2.73%,2416260,0
12/01/2021,202.02,204.89,189.26,200.52,3.52,+1.79%,1429640,0
11/01/2021,212.97,213.58,195.78,197,-14.03,-6.65%,1560261,0
10/01/2021,194.53,217.6,193.94,211.03,15.39,+7.87%,1752924,0
09/01/2021,191.75,202.18,181.68,195.64,4.54,+2.38%,1765214,0
08/01/2021,183.53,195.33,180.43,191.1,8.69,+4.76%,1471350,0
07/01/2021,191.47,193.5466,176.43,182.41,-8.35,-4.38%,1528971,0
06/01/2021,197.77,198.38,177.685,190.76,-3.92,-2.01%,1596768,0
05/01/2021,188.67,203.8782,186.08,194.68,7.73,+4.13%,1722335,0
04/01/2021,174.45,189.425,170.1398,186.95,11.54,+6.58%,1778619,0
03/01/2021,171.37,184.33,168.44,175.41,7.05,+4.19%,2049582,0
02/01/2021,144.74,180.85,143.69,168.36,24.84,+17.31%,1774463,0
01/01/2021,149.68,162.74,141.6,143.52,-5.48,-3.68%,2272726,0
12/01/2020,140.24,149.3099,139.3,149,10.93,+7.92%,1879900,0
11/01/2020,113.49,141.82,112.1897,138.07,26.19,+23.41%,2901335,0
10/01/2020,110.05,117.22,106.85,111.88,1.97,+1.79%,2023940,0
09/01/2020,109.81,116.67,101.58,109.91,-1.29,-1.16%,1864038,0
08/01/2020,106.54,115.2909,104.41,111.2,4.53,+4.25%,2030914,0
07/01/2020,105.77,109.3,97.09,106.67,1.46,+1.39%,2701981,0
06/01/2020,114.79,132.58,100.11,105.21,-8.83,-7.74%,3348609,0
05/01/2020,103.41,118,93.27,114.04,7.37,+6.91%,3413925,0
04/01/2020,90,112.9,84.02,106.67,10.95,+11.44%,3078628,0
03/01/2020,126.82,133.64,79.41,95.72,-30.68,-24.27%,4125127,0
02/01/2020,150.04,156.92,122.55,126.4,-22.15,-14.91%,1965378,0
01/01/2020,159.75,161.25,147.13,148.55,-11.08,-6.94%,2313066,0
12/01/2019,153.93,161.79,148.09,159.63,6.42,+4.19%,1845900,0
11/01/2019,148.32,154.75,147.31,153.21,6.51,+4.44%,1499070,0
10/01/2019,141.15,149.39,133.37,146.7,6.54,+4.67%,1685513,0
09/01/2019,127.61,142.26,125.23,140.16,11.23,+8.71%,2179230,0
08/01/2019,142.41,143.54,122.37,128.93,-13.97,-9.78%,2134318,0
07/01/2019,138.38,144.32,137.8267,142.9,5.62,+4.09%,1812931,0
06/01/2019,126.98,137.39,126.52,137.28,10.02,+7.87%,1678340,0
05/01/2019,136.72,138.04,126.34,127.26,-9.67,-7.06%,1451477,0
04/01/2019,123.98,138.0842,123.84,136.93,14.27,+11.63%,1905990,0
03/01/2019,126.6,132.5,118.7,122.66,-3.36,-2.67%,2450461,0
02/01/2019,123.12,126.72,119.37,126.02,3.35,+2.73%,2155905,0
01/01/2019,115.15,125.84,114.85,122.67,5.76,+4.93%,2875357,0
12/01/2018,137.33,138.24,108.45,116.91,-18.87,-13.90%,3080178,0
11/01/2018,129.28,137.47,127.82,135.78,7.29,+5.67%,2598619,0
10/01/2018,137.34,140.76,116.55,128.49,-7.7,-5.65%,3076330,0
09/01/2018,143.49,145.3,135.85,136.19,-7.35,-5.12%,2000747,0
08/01/2018,146.03,147.23,141.555,143.54,-1.29,-0.89%,1511017,0
07/01/2018,134.24,146.14,133.5,144.83,9.73,+7.20%,2473738,0
06/01/2018,145.75,149.49,134.59,135.1,-8.31,-5.79%,2511957,0
05/01/2018,145.27,152.29,139.96,143.41,-2.2,-1.51%,1933513,0
04/01/2018,151.24,154.58,139.86,145.61,-5.63,-3.72%,2424347,0
03/01/2018,157.66,163,146.91,151.24,-6.42,-4.07%,2086290,0
02/01/2018,157.41,163.585,146.34,157.66,-0.36,-0.23%,2535157,0
01/01/2018,145.25,160.07,143.94,158.02,13.73,+9.52%,2383914,0
12/01/2017,140.9,147.28,136.98,144.29,3.73,+2.65%,1739260,0
11/01/2017,137.88,143.16,130.46,140.56,3.77,+2.76%,1646438,0
10/01/2017,135.26,139.23,132.64,136.79,2.02,+1.50%,1644859,0
09/01/2017,125.83,135.73,119.77,134.77,9.36,+7.46%,2151915,0
08/01/2017,129.59,133.26,124.65,125.41,-3.39,-2.63%,2129865,0
07/01/2017,125.65,130,124.84,128.8,3.93,+3.15%,2198965,0
06/01/2017,119.35,128.25,117.06,124.87,6.17,+5.20%,2108281,0
05/01/2017,120.69,124.44,115.66,118.7,-1.05,-0.88%,1975609,0
04/01/2017,120.65,122.99,115.45,119.75,-0.49,-0.41%,2475794,0
03/01/2017,130.48,131.83,115.25,120.24,-6.99,-5.49%,2915234,0
02/01/2017,121.66,128.52,119,127.23,6.77,+5.62%,2103789,0
