Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/01/2023,26.5,26.72,25.985,26.21,-0.39,-1.47%,239866,0
01/01/2023,22.07,26.62,21.88,26.6,4.66,+21.24%,277167,0
12/01/2022,21.55,22.24,20.44,21.94,0.59,+2.76%,216259,0
11/01/2022,20.27,22.85,19.17,21.35,1.16,+5.75%,264926,0
10/01/2022,16.6,20.48,16.28,20.19,3.94,+24.25%,353905,0
09/01/2022,20.07,20.56,15.9,16.25,-4.02,-19.83%,523128,0
08/01/2022,23.17,23.5,20.16,20.27,-3.09,-13.23%,276143,0
07/01/2022,21.79,23.55,20.34,23.36,1.6,+7.35%,227255,0
06/01/2022,24.38,25.9,20.75,21.76,-2.52,-10.38%,348723,0
05/01/2022,23.33,24.84,21.61,24.28,1.1,+4.75%,336057,0
04/01/2022,24.07,27.94,23.091,23.18,-0.64,-2.69%,475950,0
03/01/2022,25.34,27.86,22.75,23.82,-2.55,-9.67%,503939,0
02/01/2022,25.9,27.5,23.8,26.37,0.65,+2.53%,332605,0
01/01/2022,24.16,27.48,24.16,25.72,1.74,+7.26%,499265,0
12/01/2021,23.06,24.75,21.47,23.98,1.56,+6.96%,375968,0
11/01/2021,27.21,29.38,22.205,22.42,-4.53,-16.81%,407733,0
10/01/2021,24.83,27.57,24.18,26.95,2.46,+10.04%,327352,0
09/01/2021,25.85,26.92,23.56,24.49,-1.21,-4.71%,450423,0
08/01/2021,30.11,30.84,23.93,25.7,-4.2,-14.05%,460000,0
07/01/2021,29.68,30.3645,27.09,29.9,0.47,+1.60%,278252,0
06/01/2021,32.1,34.02,28.8013,29.43,-2.36,-7.42%,473536,0
05/01/2021,33.05,33.55,30.01,31.79,-0.87,-2.66%,413135,0
04/01/2021,33.91,36.0334,32.56,32.66,-0.47,-1.42%,529571,0
03/01/2021,34.77,41.76,30.42,33.13,-0.34,-1.02%,739234,0
02/01/2021,29.25,36.26,28.84,33.47,4.365,+15.00%,344710,0
01/01/2021,27.83,32.28,26.91,29.105,1.495,+5.41%,283094,0
12/01/2020,24.57,29.02,24.32,27.61,3.36,+13.86%,239890,0
11/01/2020,19.08,26.02,18.56,24.25,5.38,+28.51%,276080,0
10/01/2020,18.05,20.24,17.27,18.87,0.83,+4.60%,205018,0
09/01/2020,19.13,20.16,17.07,18.04,-1.02,-5.35%,404814,0
08/01/2020,16.14,19.47,16.04,19.06,3.03,+18.90%,550014,0
07/01/2020,17.84,18.43,15.03,16.03,-1.73,-9.74%,233131,0
06/01/2020,16.91,19.42,15.1,17.76,1.07,+6.41%,369259,0
05/01/2020,15.65,17.29,12.75,16.69,1.08,+6.92%,275890,0
04/01/2020,15.16,17.12,13.33,15.61,-0.29,-1.82%,220976,0
03/01/2020,19.01,20.5,9.42,15.9,-3.08,-16.23%,359927,0
02/01/2020,21.5,23.52,18.5,18.98,-2.35,-11.02%,138100,0
01/01/2020,22.4,23.31,21.085,21.33,-0.91,-4.09%,112385,0
12/01/2019,21.91,23.53,21.05,22.24,0.22,+1.00%,152733,0
11/01/2019,20.55,23.73,20.55,22.02,1.58,+7.73%,206540,0
10/01/2019,19.75,21.74,18.69,20.44,0.83,+4.23%,122082,0
09/01/2019,19.43,21.33,18.58,19.61,0.07,+0.36%,171615,0
08/01/2019,20.95,22.03,17.8,19.54,-1.42,-6.77%,169186,0
07/01/2019,21.16,21.73,19.6201,20.96,0.03,+0.14%,165422,0
06/01/2019,18.3,21.1,18.11,20.93,2.69,+14.75%,171460,0
05/01/2019,22,23.98,18.03,18.24,-3.68,-16.79%,211422,0
04/01/2019,20.94,22.69,20.81,21.92,1.24,+6.00%,128961,0
03/01/2019,23.31,23.9,20.32,20.68,-2.69,-11.51%,178995,0
02/01/2019,19.96,23.57,19.3,23.37,3.42,+17.14%,151842,0
01/01/2019,18.86,20.77,17.82,19.95,0.82,+4.29%,192652,0
12/01/2018,24.46,24.855,17.99,19.13,-5.02,-20.79%,236278,0
11/01/2018,21.27,24.5,21.006,24.15,2.98,+14.08%,178795,0
10/01/2018,24.9,25.2,20.79,21.17,-3.65,-14.71%,200926,0
09/01/2018,25.12,25.74,24.42,24.82,-0.24,-0.96%,315957,0
08/01/2018,27.02,27.92,24.54,25.06,-1.95,-7.22%,241356,0
07/01/2018,27.06,28.895,26.34,27.01,-0.22,-0.81%,156214,0
06/01/2018,26.28,28.71,26.16,27.23,1.16,+4.45%,289452,0
05/01/2018,25.55,27.09,24.64,26.07,0.48,+1.88%,259445,0
04/01/2018,24.93,27.14,24.57,25.59,0.61,+2.44%,215390,0
03/01/2018,24.98,27.04,24.58,24.98,0.08,+0.32%,368371,0
02/01/2018,25.9,26.76,23.61,24.9,-1.1,-4.23%,323878,0
01/01/2018,27.22,27.83,25.8,26,-1.19,-4.38%,191371,0
12/01/2017,28,28.96,26.92,27.19,-0.8,-2.86%,224940,0
11/01/2017,28.51,28.75,25.45,27.99,-0.28,-0.99%,283404,0
10/01/2017,29.4,29.82,27.21,28.27,-1.15,-3.91%,316740,0
09/01/2017,28.61,29.9,27.7,29.42,0.81,+2.83%,346240,0
08/01/2017,25,30,24.48,28.61,3.69,+14.81%,245508,0
07/01/2017,25.03,25.62,23.73,24.92,-0.02,-0.08%,124380,0
06/01/2017,23.34,25.74,23.2,24.94,1.74,+7.50%,158013,0
05/01/2017,23.14,24.54,21.83,23.2,0.23,+1.00%,177081,0
04/01/2017,23.21,24.55,22.42,22.97,-0.25,-1.08%,213905,0
03/01/2017,25.3,26.34,21.98,23.22,-1.64,-6.60%,223147,0
02/01/2017,24.94,29.19,23.92,24.86,0.04,+0.16%,208331,0
01/01/2017,23.09,25.26,22.12,24.82,2.04,+8.96%,203595,0
12/01/2016,22.96,24.53,22.67,22.78,-0.15,-0.65%,222128,0
11/01/2016,19.98,24.4,18.71,22.93,2.9,+14.48%,332919,0
10/01/2016,20.48,21.45,19.01,20.03,-0.57,-2.77%,165357,0
09/01/2016,19.24,21.07,18.51,20.6,1.38,+7.18%,213185,0
08/01/2016,18.11,20.83,16.13,19.22,1.17,+6.48%,420856,0
07/01/2016,18.93,20.01,17.72,18.05,-0.88,-4.65%,239705,0
06/01/2016,21.38,22.06,17.6,18.93,-2.59,-12.04%,253436,0
05/01/2016,23.54,23.58,20.22,21.52,-1.87,-7.99%,163904,0
04/01/2016,24.23,24.86,22.36,23.39,-0.91,-3.74%,200390,0
03/01/2016,21.52,25.25,20.9,24.3,2.94,+13.76%,276390,0
02/01/2016,20.07,21.92,18.1,21.36,0.97,+4.76%,234460,0
01/01/2016,21.65,22.09,18.57,20.39,-1.64,-7.44%,217868,0
12/01/2015,23.22,23.9,20.3,22.03,-1.05,-4.55%,189240,0
11/01/2015,19.92,23.58,19.92,23.08,3.16,+15.86%,190210,0
10/01/2015,18,21.4,16.84,19.92,2.01,+11.22%,204690,0
09/01/2015,18.04,19.97,16.75,17.91,-0.46,-2.50%,217057,0
08/01/2015,18.11,19.27,15.97,18.37,0.22,+1.21%,407052,0
07/01/2015,19.89,20,16.46,18.15,-1.65,-8.33%,460781,0
06/01/2015,18.83,20.18,18.45,19.8,1.03,+5.49%,254559,0
05/01/2015,19.23,20.9,18.02,18.77,-0.46,-2.39%,306475,0
04/01/2015,17.13,20,16.81,19.23,2.04,+11.87%,331047,0
03/01/2015,20.61,21.2,16.7,17.19,-3.46,-16.76%,507727,0
02/01/2015,18.87,22.22,18.71,20.65,1.87,+9.96%,204715,0
01/01/2015,23.3,23.69,17.61,18.78,-4.46,-19.19%,385585,0
12/01/2014,24.5,24.55,19.86,23.24,-2.91,-11.13%,333277,0
11/01/2014,28.62,29.1,24.77,26.15,-2.57,-8.95%,203542,0
10/01/2014,26.75,29.57,22.41,28.72,1.88,+7.00%,200630,0
09/01/2014,29.17,30.06,26.81,26.84,-2.2,-7.58%,153414,0
08/01/2014,23.83,29.64,23.6,29.04,5.16,+21.61%,217514,0
07/01/2014,28.98,29.27,23.7,23.88,-4.96,-17.20%,268913,0
06/01/2014,29.01,31.25,28.31,28.84,-0.13,-0.45%,247714,0
05/01/2014,27.93,30.61,26.69,28.97,0.99,+3.54%,275152,0
04/01/2014,29.96,31.21,25.14,27.98,-2,-6.67%,236747,0
03/01/2014,30.51,33,29.12,29.98,-1.29,-4.13%,200166,0
02/01/2014,32.05,32.96,30.15,31.27,-0.5,-1.57%,198247,0
01/01/2014,30.92,33.42,30,31.77,0.64,+2.06%,242233,0
12/01/2013,28.76,31.45,26.88,31.13,2.37,+8.24%,254980,0
11/01/2013,25.99,29.1,25.26,28.76,2.72,+10.45%,189865,0
10/01/2013,25.54,27.36,22.95,26.04,0.56,+2.20%,213100,0
09/01/2013,22.58,26.03,21.8,25.48,3,+13.35%,222695,0
08/01/2013,20.94,23.62,20.76,22.48,1.68,+8.08%,178818,0
07/01/2013,19.82,22.44,19.35,20.8,1.08,+5.48%,200650,0
06/01/2013,21.73,21.74,18.79,19.72,-1.59,-7.46%,331890,0
05/01/2013,21.99,22.9,20.65,21.31,-0.73,-3.31%,208104,0
04/01/2013,22.2,23.18,20.52,22.04,-0.07,-0.32%,298672,0
03/01/2013,18.7,22.52,18.48,22.11,3.36,+17.92%,478615,0
02/01/2013,19.33,20.2,18.52,18.75,-0.43,-2.24%,295910,0
01/01/2013,15.38,19.44,15.14,19.18,4.14,+27.53%,415661,0
12/01/2012,14.59,15.07,14.06,15.04,0.56,+3.87%,232435,0
11/01/2012,14.02,14.93,13.62,14.48,0.51,+3.65%,254766,0
