Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/01/2023,13.32,13.99,13.25,13.9,0.55,+4.12%,53966,0
01/01/2023,12.39,13.57,12.1924,13.35,1.01,+8.18%,62305,0
12/01/2022,15.49,15.59,11.13,12.34,-2.94,-19.24%,117277,0
11/01/2022,17.76,19.66,14.625,15.28,-2.22,-12.69%,121862,0
10/01/2022,17.25,19.19,15.13,17.5,0.81,+4.85%,98533,0
09/01/2022,17.3,17.38,13.63,16.69,-0.77,-4.41%,132576,0
08/01/2022,18,19.56,13.0101,17.46,-0.36,-2.02%,203060,0
07/01/2022,19.97,21.259,16.38,17.82,-2.42,-11.96%,119280,0
06/01/2022,21.98,28.82,18.81,20.24,-1.74,-7.92%,241395,0
05/01/2022,17.24,24.4762,16.57,21.98,4.5,+25.74%,302047,0
04/01/2022,10.42,17.88,10.33,17.48,7.62,+77.28%,246395,0
03/01/2022,7.09,10.74,6.72,9.86,2.77,+39.07%,67434,0
02/01/2022,6.88,7.35,6.29,7.09,0.23,+3.35%,43821,0
01/01/2022,7.09,7.65,5.22,6.86,-0.26,-3.65%,64305,0
12/01/2021,7.96,8.9598,5.96,7.12,-0.75,-9.53%,118827,0
11/01/2021,6,8.2,5.83,7.87,1.9,+31.83%,133819,0
10/01/2021,6.09,6.64,5.42,5.97,-0.11,-1.81%,119747,0
09/01/2021,5.19,8.3,5.1401,6.08,0.94,+18.29%,427580,0
08/01/2021,4.26,5.31,3.9967,5.14,0.94,+22.38%,123118,0
07/01/2021,4.14,4.47,3.7,4.2,0.08,+1.94%,225814,0
06/01/2021,3.7146,4.34,3.35,4.12,0.32,+8.42%,87668,0
05/01/2021,3.55,4.04,3.2551,3.8,0.21,+5.85%,110150,0
04/01/2021,3.5,3.82,3.25,3.59,0.04,+1.13%,114019,0
03/01/2021,4.1,5.01,3.15,3.55,-0.42,-10.58%,313317,0
02/01/2021,2.63,12.49,2.49,3.97,1.34,+50.95%,4451552,0
01/01/2021,2.03,2.7399,1.76,2.63,0.56,+27.05%,116873,0
12/01/2020,1.64,2.87,1.56,2.07,0.48,+30.19%,321895,0
11/01/2020,1.28,1.77,1.234,1.59,0.32,+25.20%,217530,0
10/01/2020,1.5,1.95,1.25,1.27,-0.1399,-9.92%,397827,0
09/01/2020,1.59,1.67,1.35,1.4099,-0.1701,-10.77%,29552,0
08/01/2020,1.49,1.93,1.41,1.58,0.04,+2.60%,40809,0
07/01/2020,1.36,1.96,1.35,1.54,0.2,+14.93%,36000,0
06/01/2020,1.31,1.9999,1.2563,1.34,0,0.00%,110836,0
05/01/2020,1.4401,1.66,1.12,1.34,-0.07,-4.96%,28825,0
04/01/2020,1.2,1.47,1.16,1.41,0.16,+12.80%,18357,0
03/01/2020,2.45,2.5,1.02,1.25,-1.23,-49.60%,23577,0
02/01/2020,2.72,2.8362,2.33,2.48,-0.29,-10.47%,7105,0
01/01/2020,2.94,3.17,2.71,2.77,-0.23,-7.67%,8566,0
12/01/2019,2.73,3.009,2.68,3,0.29,+10.70%,18185,0
11/01/2019,3.0708,3.2,2.7,2.71,-0.3,-9.97%,14405,0
10/01/2019,3,3.1111,2.77,3.01,0.01,+0.33%,7821,0
09/01/2019,3.33,3.49,2.84,3,-0.34,-10.18%,32490,0
08/01/2019,3.37,3.46,3.01,3.34,0.04,+1.21%,5440,0
07/01/2019,3.8,4.1075,3.06,3.3,-0.7,-17.50%,10422,0
06/01/2019,3.24,4.17,3.0127,4,0.7,+21.21%,22030,0
05/01/2019,3.935,3.99,3.0737,3.3,-0.65,-16.46%,7977,0
04/01/2019,4.02,4.2,3.7688,3.95,0.01,+0.25%,8219,0
03/01/2019,4.57,4.69,3.4878,3.94,-0.66,-14.35%,40114,0
02/01/2019,3.92,4.82,3.9,4.6,0.63,+15.87%,9742,0
01/01/2019,3.14,4.05,3.14,3.97,0.87,+28.06%,11114,0
12/01/2018,4,4.67,2.54,3.1,-0.83,-21.12%,21015,0
11/01/2018,4.2,4.52,3.85,3.93,-0.3,-7.09%,10038,0
10/01/2018,4.25,4.32,3.41,4.23,-0.04,-0.94%,12017,0
09/01/2018,4.88,4.99,4.25,4.27,-0.63,-12.86%,10194,0
08/01/2018,4.97,5.06,4.73,4.9,0.04,+0.82%,12417,0
07/01/2018,4.9,5.07,4.7,4.86,-0.08,-1.62%,13033,0
06/01/2018,5.3,5.33,4.85,4.94,-0.31,-5.90%,14414,0
05/01/2018,5.17,5.46,4.63,5.25,0.11,+2.14%,16563,0
04/01/2018,5.77,5.9,4.82,5.14,-0.63,-10.92%,19490,0
03/01/2018,6.38,6.47,5.47,5.77,-0.59,-9.28%,32733,0
02/01/2018,6.32,6.55,5.71,6.36,0.03,+0.47%,30342,0
01/01/2018,6.3,6.55,6.05,6.33,0.08,+1.28%,35523,0
12/01/2017,6.81,7.5,6.05,6.25,-0.65,-9.42%,48830,0
11/01/2017,5.96,7.19,5.8,6.9,0.96,+16.16%,20119,0
10/01/2017,5.71,6,5.5,5.94,0.22,+3.85%,7390,0
09/01/2017,5.44,5.76,5.2,5.72,0.33,+6.12%,6970,0
08/01/2017,5.325,5.55,5.01,5.39,0.07,+1.32%,8917,0
07/01/2017,5.05,5.59,4.91,5.32,0.27,+5.35%,8247,0
06/01/2017,5.5,5.8,4.96,5.05,-0.51,-9.17%,6663,0
05/01/2017,4.79,5.65,4.72,5.56,0.8,+16.81%,5936,0
04/01/2017,4.85,5.52,4.6,4.76,0,0.00%,13252,0
03/01/2017,5.4,5.94,4.51,4.76,-1.04,-17.93%,11343,0
02/01/2017,5.95,6.18,5.43,5.8,-0.21,-3.49%,9710,0
01/01/2017,6.3,6.5,5.77,6.01,-0.35,-5.50%,15250,0
12/01/2016,6.51,6.99,6.09,6.36,-0.1,-1.55%,37104,0
11/01/2016,7.15,7.15,5.8,6.46,-0.62,-8.76%,35490,0
10/01/2016,6.7,7.23,6.56,7.08,0.45,+6.79%,34533,0
09/01/2016,5.41,6.7,5.41,6.63,1.02,+18.18%,27876,0
08/01/2016,5.8,5.85,5.4,5.61,-0.15,-2.60%,8638,0
07/01/2016,5.1,5.94,5.1,5.76,0.55,+10.56%,8040,0
06/01/2016,5.43,5.87,5.04,5.21,-0.16,-2.98%,6072,0
05/01/2016,5.16,5.64,5.1,5.37,0.22,+4.27%,5533,0
04/01/2016,5.23,5.54,5.03,5.15,-0.16,-3.01%,7285,0
03/01/2016,5.89,6,5.08,5.31,-0.59,-10.00%,10681,0
02/01/2016,4.97,5.95,4.6,5.9,0.93,+18.71%,16625,0
01/01/2016,5.25,5.32,4.52,4.97,-0.53,-9.64%,15384,0
12/01/2015,5.09,5.74,4.24,5.5,0.44,+8.70%,40204,0
11/01/2015,5.16,5.7,5,5.06,-0.05,-0.98%,11795,0
10/01/2015,4.85,5.18,4.6,5.11,0.19,+3.86%,26104,0
09/01/2015,4.98,5.14,4.69,4.92,-0.06,-1.20%,12742,0
08/01/2015,5.08,5.1,4.16,4.98,-0.07,-1.39%,46128,0
07/01/2015,5.63,5.74,5,5.05,-0.61,-10.78%,10454,0
06/01/2015,5.7,5.97,5.41,5.66,0,0.00%,13868,0
05/01/2015,6.25,6.49,5.27,5.66,-0.51,-8.27%,18145,0
04/01/2015,6.83,6.84,6.06,6.17,-0.53,-7.91%,10757,0
03/01/2015,5.96,6.97,5.91,6.7,0.68,+11.30%,18904,0
02/01/2015,5.97,6.1,5.56,6.02,0.1,+1.69%,18926,0
01/01/2015,7,7,5.79,5.92,-1.08,-15.43%,24040,0
12/01/2014,8.05,9.25,6.38,7,-1.07,-13.26%,63981,0
11/01/2014,7.45,8.42,7.33,8.07,0.53,+7.03%,22273,0
10/01/2014,7.55,7.73,6.84,7.54,-0.03,-0.40%,10726,0
09/01/2014,7.5,7.82,7.15,7.57,0.13,+1.75%,10309,0
08/01/2014,6.67,7.51,6.55,7.44,0.7,+10.39%,15438,0
07/01/2014,6.37,6.94,6.26,6.74,0.38,+5.97%,17281,0
06/01/2014,6.32,6.68,6.02,6.36,-0.06,-0.93%,11666,0
05/01/2014,6.8,6.86,6.03,6.42,-0.36,-5.31%,13904,0
04/01/2014,6.69,6.95,6.14,6.78,0.04,+0.59%,12242,0
03/01/2014,6.8,7,6.33,6.74,-0.17,-2.46%,12009,0
02/01/2014,6.82,7.09,6.02,6.91,0.18,+2.67%,26447,0
01/01/2014,6.93,7.22,6.6,6.73,-0.25,-3.58%,21214,0
12/01/2013,6.5,7,6.45,6.98,0.52,+8.05%,15366,0
11/01/2013,6.4,6.55,6.11,6.46,0.01,+0.16%,12480,0
10/01/2013,5.96,6.97,5.75,6.45,0.42,+6.97%,19647,0
09/01/2013,5.74,6.06,5.7,6.03,0.33,+5.79%,12420,0
08/01/2013,5.51,6.1,5.41,5.7,0.3,+5.56%,11381,0
07/01/2013,5.48,5.72,5.29,5.4,-0.03,-0.55%,11477,0
06/01/2013,5.54,5.72,5.3,5.43,-0.14,-2.51%,8760,0
05/01/2013,5.68,5.79,5.29,5.57,-0.08,-1.42%,11031,0
04/01/2013,6.09,6.29,5.5,5.65,-0.41,-6.77%,10668,0
03/01/2013,5.66,6.31,5.53,6.06,0.4,+7.07%,18825,0
02/01/2013,5.57,5.89,5.42,5.66,0.19,+3.47%,13515,0
01/01/2013,5.2,5.66,5.2,5.47,0.32,+6.21%,18614,0
12/01/2012,5.75,6.72,5,5.15,-0.6,-10.43%,48055,0
11/01/2012,5.58,5.75,5.44,5.75,0.17,+3.05%,12625,0
10/01/2012,5.4,5.72,5.4,5.58,0.05,+0.90%,9557,0
