Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,1.44,1.66,1.33,1.63,0.28,+20.74%,4288000,0
02/01/2023,1.81,2.38,1.27,1.35,-0.48,-26.23%,4136968,0
01/01/2023,1.3,1.91,1.06,1.83,0.58,+46.40%,3592960,0
12/01/2022,1.52,1.73,1.04,1.25,-0.24,-16.11%,3117390,0
11/01/2022,1.77,1.99,1.15,1.49,-0.2,-11.83%,3539585,0
10/01/2022,1.54,1.82,1.16,1.69,0.19,+12.67%,4242357,0
09/01/2022,2.16,2.64,1.4701,1.5,-0.64,-29.91%,4070957,0
08/01/2022,2.29,3.71,2.13,2.14,-0.19,-8.15%,5056491,0
07/01/2022,2.53,3.18,2.115,2.33,-0.16,-6.43%,4183415,0
06/01/2022,3.31,3.75,2.23,2.49,-0.79,-24.09%,5502238,0
05/01/2022,5.42,5.995,2.65,3.28,-2.14,-39.48%,5542971,0
04/01/2022,7.31,8.44,5.34,5.42,-1.84,-25.34%,2868075,0
03/01/2022,8.93,8.93,5.78,7.26,-1.65,-18.52%,3763500,0
02/01/2022,9.66,10.125,5.81,8.91,-0.54,-5.71%,3419063,0
01/01/2022,11.9,12.905,7.61,9.45,-2.16,-18.60%,3291860,0
12/01/2021,15.99,16.2,9.75,11.61,-3.96,-25.43%,3095572,0
11/01/2021,13,17.09,12.27,15.57,2.54,+19.49%,3463023,0
10/01/2021,13.25,14.105,11.175,13.03,-0.15,-1.14%,2402038,0
09/01/2021,12.41,14.75,11.46,13.18,0.74,+5.95%,3592223,0
08/01/2021,16.57,16.94,12.025,12.44,-4.07,-24.65%,3296413,0
07/01/2021,19.9,20.61,15.56,16.51,-3.25,-16.45%,2286276,0
06/01/2021,17.65,22.83,16.78,19.76,2.29,+13.11%,2508940,0
05/01/2021,25.25,25.5,13.02,17.47,-7.3,-29.47%,3657105,0
04/01/2021,23.21,25.91,21.2,24.77,2.14,+9.46%,1634309,0
03/01/2021,26.15,28.2151,19.63,22.63,-2.91,-11.39%,2310565,0
02/01/2021,23.91,30.22,22.595,25.54,1.86,+7.85%,2386126,0
01/01/2021,20.12,29.3,19.8,23.68,4.14,+21.19%,3571026,0
12/01/2020,14.04,22.03,13.68,19.54,5.69,+41.08%,2339059,0
11/01/2020,12.96,17.15,12.7,13.85,1.26,+10.01%,1772160,0
10/01/2020,14.69,16.5,12.225,12.59,-1.88,-12.99%,1088895,0
09/01/2020,15.75,17.39,14.4,14.47,-1.59,-9.90%,1357314,0
08/01/2020,13.83,18.13,13.42,16.06,2.42,+17.74%,2169009,0
07/01/2020,12.89,15.27,11.54,13.64,0.85,+6.65%,2028181,0
06/01/2020,13.36,15.84,11.61,12.79,-0.62,-4.62%,2604550,0
05/01/2020,11.39,14.5,11.08,13.41,1.67,+14.22%,1678120,0
04/01/2020,6.7,12.92,6.2,11.74,4.73,+67.48%,2368842,0
03/01/2020,14,14.8,5,7.01,-6.98,-49.89%,2851909,0
02/01/2020,14.6,16.92,12.87,13.99,-0.48,-3.32%,1933594,0
01/01/2020,19.08,19.15,14.31,14.47,-4.38,-23.24%,1334133,0
12/01/2019,17.23,19.11,15.59,18.85,1.65,+9.59%,1485228,0
11/01/2019,23.12,23.23,15.75,17.2,-5.91,-25.57%,1633770,0
10/01/2019,22.23,24.5099,17.31,23.11,0.75,+3.35%,1451534,0
09/01/2019,13.14,22.41,13.07,22.36,9.29,+71.08%,1617475,0
08/01/2019,24.55,25.4,12.58,13.07,-11.48,-46.76%,2051118,0
07/01/2019,29.47,29.49,22.91,24.55,-4.35,-15.05%,930168,0
"Downloaded from Barchart.com as of 03-05-2023 07:07am CST"
