Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,31.07,31.32,30.76,31.1,0.29,+0.94%,794500,0
02/01/2023,33.18,35.18,30.23,30.81,-2.22,-6.72%,732057,0
01/01/2023,29.23,33.68,28.64,33.03,4.34,+15.13%,984120,0
12/01/2022,31.1,32.165,26.47,28.69,-2.05,-6.67%,1763766,0
11/01/2022,28.5,31.31,26.31,30.74,3.05,+11.01%,901528,0
10/01/2022,29.88,32.03,25.29,27.69,-1.72,-5.85%,1468523,0
09/01/2022,35.01,35.68,29.19,29.41,-16.78,-36.33%,1336457,0
08/01/2022,62,65.51,45.34,46.19,-16.14,-25.89%,1060930,0
07/01/2022,53.94,62.49,49.91,62.33,7.36,+13.39%,378735,0
06/01/2022,64.23,65.23,52.92,54.97,-9.12,-14.23%,517214,0
05/01/2022,59.74,65.2,56.0018,64.09,4.49,+7.53%,373776,0
04/01/2022,70.05,71.14,58.31,59.6,-9.74,-14.05%,473486,0
03/01/2022,69.57,73.48,60.4,69.34,-0.04,-0.06%,429591,0
02/01/2022,71.83,74.105,64.76,69.38,-1.72,-2.42%,410768,0
01/01/2022,89.13,92.14,64.76,71.1,-17.83,-20.05%,447230,0
12/01/2021,88.61,92.15,81.26,88.93,3.26,+3.81%,376845,0
11/01/2021,85.42,94.9199,84.51,85.67,0.64,+0.75%,300797,0
10/01/2021,78.43,85.385,73.89,85.03,7.06,+9.05%,273228,0
09/01/2021,70.34,82.555,69.5983,77.97,8.05,+11.51%,572500,0
08/01/2021,62.79,71.21,61.37,69.92,8.01,+12.94%,295650,0
07/01/2021,68.79,69.33,57.97,61.91,-6.89,-10.01%,293338,0
06/01/2021,63.3,69.22,61.75,68.8,5.8,+9.21%,558250,0
05/01/2021,68.56,68.64,58.34,63,-4.74,-7.00%,412695,0
04/01/2021,70.25,73.36,66.515,67.74,-1.26,-1.83%,255014,0
03/01/2021,75.36,76.38,63.56,69,-4.31,-5.88%,434526,0
02/01/2021,72.1,80.12,70.3,73.31,2.36,+3.33%,282284,0
01/01/2021,72.94,83.94,70.2,70.95,-1.14,-1.58%,455205,0
12/01/2020,68.4,73.91,66.37,72.09,4.62,+6.85%,372036,0
11/01/2020,55.76,70.075,53.7,67.47,12.58,+22.92%,361395,0
10/01/2020,53.78,58.78,52.03,54.89,1.93,+3.64%,306881,0
09/01/2020,58.34,60.95,49.26,52.96,-5.69,-9.70%,580057,0
08/01/2020,56.2,64.1,56.05,58.65,2.92,+5.24%,510790,0
07/01/2020,52.09,55.78,50.73,55.73,3.51,+6.72%,338640,0
06/01/2020,52.64,58.23,48.5,52.22,-0.96,-1.81%,584913,0
05/01/2020,43.69,57,40.81,53.18,7.94,+17.55%,444960,0
04/01/2020,36.07,48.22,34.615,45.24,7.74,+20.64%,467061,0
03/01/2020,40.03,41.98,26.03,37.5,-1.99,-5.04%,922968,0
02/01/2020,48.67,53.05,37.27,39.49,-8.7,-18.05%,446368,0
01/01/2020,53.49,55.295,47.9,48.19,-4.71,-8.90%,357000,0
12/01/2019,48.43,53.32,45.25,52.9,4.44,+9.16%,547533,0
11/01/2019,50.97,55.05,48.19,48.46,-2,-3.96%,300025,0
10/01/2019,48.89,51.86,46.48,50.46,1.85,+3.81%,297234,0
09/01/2019,41.39,50.78,40.59,48.61,6.64,+15.82%,610950,0
08/01/2019,52.05,52.29,41.77,41.97,-10.9,-20.62%,597913,0
07/01/2019,50.04,54.34,45.613,52.87,4.82,+10.03%,438104,0
06/01/2019,40.05,49.11,39.8,48.05,8.22,+20.64%,626130,0
05/01/2019,54.46,54.6362,39.5417,39.83,-14.04,-26.06%,525259,0
04/01/2019,51.67,56.04,50.85,53.87,2.96,+5.81%,1053504,0
03/01/2019,55.45,56.31,49.75,50.91,-4.13,-7.50%,680709,0
02/01/2019,48.66,57.96,48.09,55.04,6.48,+13.34%,397868,0
01/01/2019,44.84,53.09,43.1,48.56,2.69,+5.86%,589900,0
12/01/2018,54.2,54.2,41.28,45.87,-7.47,-14.00%,535484,0
11/01/2018,45.15,53.67,42.59,53.34,8.4,+18.69%,511423,0
10/01/2018,55.76,56.39,41.9,44.94,-10.66,-19.17%,457495,0
09/01/2018,57.15,60.55,54.95,55.6,-4.15,-6.95%,543742,0
08/01/2018,47.4,60.05,46.5,59.75,12.3,+25.92%,547104,0
07/01/2018,46.8,51.55,46.55,47.45,0.4,+0.85%,316971,0
06/01/2018,49.05,51.9,46.4,47.05,-1.35,-2.79%,507233,0
05/01/2018,39.3,49.1,39.1,48.4,9.1,+23.16%,431995,0
04/01/2018,38.05,44.85,37.6,39.3,0.25,+0.64%,801380,0
03/01/2018,33.6,41.8,32.35,39.05,5.4,+16.05%,834785,0
02/01/2018,35.65,36.25,31.3,33.65,-2.15,-6.01%,610284,0
01/01/2018,34.45,39.4,34.2,35.8,1.6,+4.68%,527933,0
12/01/2017,33.9,35.55,32.4,34.2,0.15,+0.44%,595695,0
11/01/2017,41.6,41.95,33.3,34.05,-7,-17.05%,594066,0
10/01/2017,37.6,41.4,37.05,41.05,3.5,+9.32%,382154,0
09/01/2017,37.9,38.15,34.805,37.55,-0.05,-0.13%,453670,0
08/01/2017,39.85,40.4,35.35,37.6,-2,-5.05%,525230,0
07/01/2017,36.05,41.15,34.1,39.6,3.85,+10.77%,457845,0
06/01/2017,36.5,37.75,34.1,35.75,-2.45,-6.41%,565118,0
05/01/2017,34.15,38.4,33.45,38.2,4.05,+11.86%,373700,0
04/01/2017,33.95,35.75,31.5,34.15,0.35,+1.04%,530447,0
03/01/2017,33.9,37.35,33.05,33.8,0.35,+1.05%,581573,0
02/01/2017,33.45,36.15,32.9,33.45,0.5,+1.52%,389715,0
01/01/2017,31.8,33.9,31,32.95,1.4,+4.44%,382115,0
12/01/2016,30.05,33.25,28.85,31.55,3.45,+12.28%,622400,0
11/01/2016,24.35,28.8,22.81,28.1,3.9,+16.12%,437638,0
10/01/2016,27.6,28.17,23.85,24.2,-3.53,-12.73%,434233,0
09/01/2016,26.7,28.2,25.8,27.73,1.13,+4.25%,392542,0
08/01/2016,25.51,26.68,24.09,26.6,1.18,+4.64%,347391,0
07/01/2016,23.75,25.68,22.65,25.42,1.56,+6.54%,327545,0
06/01/2016,23.48,24.76,21.35,23.86,0.32,+1.36%,547800,0
05/01/2016,21.77,23.61,20.09,23.54,1.9,+8.78%,309385,0
04/01/2016,21.82,23.48,21.48,21.64,-0.35,-1.59%,362866,0
03/01/2016,19.38,22.5,19.18,21.99,2.83,+14.77%,576404,0
02/01/2016,19.95,20.95,15.7,19.16,-0.94,-4.68%,468355,0
01/01/2016,18.7,20.14,16.82,20.1,1.18,+6.24%,649189,0
12/01/2015,20.14,20.37,18.53,18.92,-1.18,-5.87%,402463,0
11/01/2015,17.52,20.15,17.35,20.1,2.6,+14.86%,547595,0
10/01/2015,15.07,17.78,14.04,17.5,2.4,+15.89%,569336,0
09/01/2015,16.55,17.47,14.46,15.1,-1.85,-10.91%,555461,0
08/01/2015,17.61,17.89,15.37,16.95,-0.64,-3.64%,597128,0
07/01/2015,20,20.25,17.4,17.59,-2.26,-11.39%,663500,0
06/01/2015,21.54,21.89,19.7,19.85,-1.51,-7.07%,1195495,0
05/01/2015,23.51,24.68,21.02,21.36,-1.93,-8.29%,598220,0
04/01/2015,26.52,26.95,22.76,23.29,-3.36,-12.61%,418704,0
03/01/2015,28.99,30.01,25.5,26.65,-2.28,-7.88%,634272,0
02/01/2015,25.5,29.17,24.84,28.93,3.47,+13.63%,301463,0
01/01/2015,27.79,28.49,25.44,25.46,-2.11,-7.65%,324155,0
12/01/2014,25.41,28.26,24.9,27.57,2.11,+8.29%,377250,0
11/01/2014,24.99,26.15,22.84,25.46,0.08,+0.32%,418831,0
10/01/2014,27.15,27.79,22,25.38,-1.77,-6.52%,612808,0
09/01/2014,26.06,28.25,25.41,27.15,1.09,+4.18%,608795,0
08/01/2014,22.33,26.1,21.84,26.06,3.73,+16.70%,611152,0
07/01/2014,26.25,26.99,21.69,22.33,-3.82,-14.61%,518086,0
06/01/2014,26.01,28.1,25.36,26.15,0.21,+0.81%,515304,0
05/01/2014,23.99,26.29,21.66,25.94,1.96,+8.17%,502952,0
04/01/2014,25.38,26.18,23.35,23.98,-1.36,-5.37%,418547,0
03/01/2014,24.77,27.34,24.55,25.34,0.39,+1.56%,573009,0
02/01/2014,22.76,25.21,21.38,24.95,2.14,+9.38%,762115,0
01/01/2014,25.03,25.28,22.5,22.81,-2.47,-9.77%,756380,0
12/01/2013,29.65,30.18,22.57,25.28,-4.44,-14.94%,986395,0
11/01/2013,31.08,32.72,28.96,29.72,-1.39,-4.47%,503590,0
10/01/2013,30.07,31.9,29.41,31.11,1.12,+3.73%,562891,0
09/01/2013,30.06,32.35,29.48,29.99,0.27,+0.91%,579150,0
08/01/2013,30.65,31.68,27.78,29.72,-0.53,-1.75%,846336,0
07/01/2013,35.19,35.74,29.84,30.25,-4.78,-13.65%,764272,0
06/01/2013,36.57,37.45,33.47,35.03,-1.48,-4.05%,589990,0
05/01/2013,31.92,37.38,30.9,36.51,4.44,+13.84%,634709,0
04/01/2013,35.45,35.45,29.59,32.07,-3.33,-9.41%,455095,0
03/01/2013,30.35,35.5,29.64,35.4,4.83,+15.80%,567410,0
02/01/2013,30.17,31.84,29.56,30.57,0.41,+1.36%,357321,0
01/01/2013,29.57,30.59,28,30.16,1.21,+4.18%,454366,0
12/01/2012,27.71,29.01,27.5,28.95,1.6,+5.85%,444725,0
11/01/2012,24.96,29.68,22.95,27.35,2.38,+9.53%,521304,0
10/01/2012,25.26,25.99,23.48,24.97,-0.17,-0.68%,386738,0
09/01/2012,24.48,27.1,23.93,25.14,0.62,+2.53%,523905,0
08/01/2012,24.02,25.69,23.18,24.52,0.63,+2.64%,372665,0
07/01/2012,24.24,25.1,22.22,23.89,-0.43,-1.77%,339014,0
06/01/2012,23.6,24.81,22.25,24.32,0.23,+0.95%,398009,0
05/01/2012,27.19,27.59,22.83,24.09,-3.17,-11.63%,530590,0
04/01/2012,28.34,28.67,25.86,27.26,-1.2,-4.22%,498890,0
03/01/2012,29.09,29.26,25.54,28.46,-0.25,-0.87%,558509,0
