Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,2.83,2.83,2.7,2.77,-0.06,-2.12%,9584300,0
02/01/2023,3.17,3.59,2.74,2.83,-0.41,-12.65%,14557668,0
01/01/2023,2.77,3.36,2.64,3.24,0.55,+20.45%,18359420,0
12/01/2022,3.86,5.12,2.52,2.69,-1.18,-30.49%,24375880,0
11/01/2022,3.97,4.44,3.49,3.87,-0.2,-4.91%,19542171,0
10/01/2022,2.79,4.19,2.73,4.07,1.32,+48.00%,28540419,0
09/01/2022,3.73,3.765,2.65,2.75,-1.05,-27.63%,16999071,0
08/01/2022,3.55,4.52,3.37,3.8,0.15,+4.11%,27760460,0
07/01/2022,3.12,4.16,3,3.65,0.53,+16.99%,28913510,0
06/01/2022,4.5,4.54,3.02,3.12,-1.37,-30.51%,22002990,0
05/01/2022,4.94,5.4,3.89,4.49,-0.49,-9.84%,24511485,0
04/01/2022,7.9,8.32,4.81,4.98,-2.79,-35.91%,34744015,0
03/01/2022,6.11,9.08,4.78,7.77,1.67,+27.38%,45858983,0
02/01/2022,6.05,7.48,5.43,6.1,0.14,+2.35%,17790294,0
01/01/2022,7.19,7.84,5.15,5.96,-1.07,-15.22%,27668975,0
12/01/2021,10.2,10.26,6.97,7.03,-3.09,-30.53%,20530350,0
11/01/2021,10.24,13.95,9.65,10.12,-0.18,-1.75%,26250276,0
10/01/2021,11.29,12.16,9.975,10.3,-0.99,-8.77%,20590666,0
09/01/2021,13.74,14.27,10.95,11.29,-2.4,-17.53%,16116290,0
08/01/2021,14.66,15.25,12.55,13.69,-0.92,-6.30%,14753981,0
07/01/2021,18.0287,18.45,12.5409,14.61,-3.47,-19.19%,23850766,0
06/01/2021,17.13,23.04,16.32,18.08,1.41,+8.46%,30421745,0
05/01/2021,18.56,18.74,13.41,16.67,-1.67,-9.11%,28180200,0
04/01/2021,23.42,23.63,15.17,18.34,-4.39,-19.31%,17009776,0
03/01/2021,25.12,31.34,18.23,22.73,-1.63,-6.69%,24090913,0
02/01/2021,19,67,17.78,24.36,6.26,+34.59%,66511173,0
01/01/2021,8.43,22.61,8.4,18.1,9.84,+119.13%,38417426,0
12/01/2020,9,10.01,7.16,8.26,-0.78,-8.63%,19931427,0
11/01/2020,5.82,12.15,5.77,9.04,3.33,+58.32%,30367854,0
10/01/2020,4.92,7.12,4.71,5.71,0.86,+17.73%,9614004,0
09/01/2020,6.54,6.6,4.41,4.85,-1.86,-27.72%,5399242,0
08/01/2020,7.4,8.76,6.33,6.71,-0.67,-9.08%,6487804,0
07/01/2020,7.18,8.409,6.89,7.38,0.27,+3.80%,5920577,0
06/01/2020,9.58,10.68,7.02,7.11,-2.74,-27.82%,7605759,0
05/01/2020,7.82,11.6,6.65,9.85,1.8,+22.36%,14090860,0
04/01/2020,6.38,9.75,5.5,8.05,1.17,+17.01%,12714342,0
03/01/2020,14.74,15.62,2.43,6.88,-7.55,-52.32%,15109527,0
02/01/2020,17.8,21.09,13.2,14.43,-3.11,-17.73%,3047747,0
01/01/2020,17.63,22.95,15.01,17.54,0.41,+2.39%,4874280,0
12/01/2019,19.84,19.8954,15.567,17.13,-2.71,-13.66%,1841871,0
11/01/2019,22.2,24.1,19.4122,19.84,-2.47,-11.07%,1935510,0
10/01/2019,24.6,25.685,20.2,22.31,-2.43,-9.82%,1357091,0
09/01/2019,25.17,33.66,24.32,24.74,-0.93,-3.62%,1916245,0
08/01/2019,40.78,46.2499,25.4,25.67,-15.15,-37.11%,2127272,0
07/01/2019,47,49.49,39.31,40.82,-5.74,-12.33%,969404,0
06/01/2019,38.08,51.03,34.25,46.56,8.55,+22.49%,2196185,0
05/01/2019,51.46,52.74,37.5,38.01,-13.32,-25.95%,1391027,0
04/01/2019,64.8,65.21,47.6841,51.33,-14.19,-21.66%,1592342,0
03/01/2019,82.52,82.81,62.65,65.52,-15.79,-19.42%,1814419,0
02/01/2019,80.6,89.88,75.25,81.31,0.82,+1.02%,2019210,0
01/01/2019,70,106,67.77,80.49,9.95,+14.11%,4079109,0
12/01/2018,105.49,109.35,64.06,70.54,-31.91,-31.15%,2223184,0
11/01/2018,99.75,142.84,93.08,102.45,7.66,+8.08%,2499923,0
10/01/2018,159.9,178.85,84.28,94.79,-48.83,-34.00%,4782739,0
09/01/2018,69.65,300,69.03,143.62,78.42,+120.28%,15606452,0
08/01/2018,23.58,66.74,21.5,65.2,43.1,+195.02%,5121547,0
"Downloaded from Barchart.com as of 03-04-2023 08:47am CST"
