Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,7.97,8.28,7.585,7.605,0.065,+0.86%,6348965,0
02/01/2023,8.7,9.08,7.37,7.54,-0.85,-10.13%,6285289,0
01/01/2023,8.45,9.29,7.78,8.39,0.11,+1.33%,7926635,0
12/01/2022,6.86,8.71,6.75,8.28,1.27,+18.12%,15347352,0
11/01/2022,3.85,7.03,3.6,7.01,3.4,+94.18%,13722009,0
10/01/2022,4.02,4.6,3.14,3.61,-0.45,-11.08%,8672442,0
09/01/2022,5.02,5.235,3.85,4.06,-1.05,-20.55%,8435476,0
08/01/2022,4.18,5.4,3.79,5.11,0.9,+21.38%,10667582,0
07/01/2022,4.97,5.39,4.07,4.21,-0.81,-16.14%,8991985,0
06/01/2022,4.18,5.38,4.01,5.02,0.84,+20.10%,17158690,0
05/01/2022,4.23,4.62,3.52,4.18,-0.07,-1.65%,16678414,0
04/01/2022,5.2,5.545,3.81,4.25,-0.62,-12.73%,15850455,0
03/01/2022,5.44,5.72,2.95,4.87,-0.52,-9.65%,28864737,0
02/01/2022,6.07,6.52,5.01,5.39,-0.79,-12.78%,11068594,0
01/01/2022,6.92,7.66,5.36,6.18,-0.67,-9.78%,13105715,0
12/01/2021,7.28,7.35,5.905,6.85,-0.34,-4.73%,14575868,0
11/01/2021,7.89,8.86,6.89,7.19,-0.67,-8.52%,13778009,0
10/01/2021,7.22,9.1,6.83,7.86,0.61,+8.41%,12447542,0
09/01/2021,8.93,9.53,6.82,7.25,-1.59,-17.99%,14043847,0
08/01/2021,10.82,11.02,7.03,8.84,-1.73,-16.37%,22110163,0
07/01/2021,15.5,15.62,9.51,10.57,-4.91,-31.72%,19416295,0
06/01/2021,16.35,16.53,14.68,15.48,-0.26,-1.65%,10284954,0
05/01/2021,17.52,17.6399,14.31,15.74,-1.68,-9.64%,19428120,0
04/01/2021,21.16,21.38,16.825,17.42,-3.07,-14.98%,29437666,0
03/01/2021,26.5,32.2481,16.31,20.49,-5.23,-20.33%,57084934,0
02/01/2021,27,29.01,22.2081,25.72,-0.88,-3.31%,14969789,0
01/01/2021,19.3,28.84,18.9,26.6,7.36,+38.25%,13488626,0
12/01/2020,16.73,20.18,16.07,19.24,2.48,+14.80%,9332036,0
11/01/2020,15.02,17.13,14.2,16.76,1.88,+12.63%,11344760,0
10/01/2020,14.92,15.14,13.85,14.88,0.11,+0.74%,6989163,0
09/01/2020,15.8,16.43,14.02,14.77,-0.86,-5.50%,10426923,0
08/01/2020,16.48,16.59,13.82,15.63,-0.51,-3.16%,7435619,0
07/01/2020,13.63,17.97,13.32,16.14,2.68,+19.91%,11224313,0
06/01/2020,12.77,14.085,12,13.46,0.54,+4.18%,12771554,0
05/01/2020,11.11,13,10.3,12.92,1.51,+13.23%,11426925,0
04/01/2020,9.83,11.545,9.74,11.41,1.35,+13.42%,6635523,0
03/01/2020,12.37,12.76,9.22,10.06,-2.07,-17.07%,9237000,0
02/01/2020,12.69,14.3,11.905,12.13,-0.56,-4.41%,7289189,0
01/01/2020,12.03,14.21,11.9,12.69,0.95,+8.09%,8866900,0
12/01/2019,12.44,12.6,11.27,11.74,-0.69,-5.55%,6391166,0
11/01/2019,14.01,14.715,11.84,12.43,-1.41,-10.19%,7422645,0
10/01/2019,12.76,14.49,12.56,13.84,1.07,+8.38%,3707582,0
09/01/2019,12.98,14.49,12.4,12.77,-0.53,-3.98%,5126165,0
08/01/2019,14.23,15.35,12.285,13.3,-0.97,-6.80%,4799463,0
07/01/2019,15.41,16.74,13.92,14.27,-0.72,-4.80%,4493481,0
06/01/2019,13.24,15.39,12.6,14.99,1.75,+13.22%,8984145,0
05/01/2019,17.31,17.65,13.065,13.24,-3.96,-23.02%,6031072,0
04/01/2019,18.75,19.42,16.78,17.2,-0.9,-4.97%,3402000,0
03/01/2019,18.19,19.97,16.33,18.1,0.08,+0.44%,6029952,0
02/01/2019,15.01,18.86,13.56,18.02,3.07,+20.54%,6642273,0
01/01/2019,12.78,16.21,12.06,14.95,1.73,+13.09%,5952623,0
"Downloaded from Barchart.com as of 03-07-2023 09:36am CST"
