Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,539.34,567.32,531.92,543.83,2.07,+0.38%,1118037,0
02/01/2023,586.09,597.54,538.89,541.76,-28.57,-5.01%,1252636,0
01/01/2023,553.29,609.85,522.78,570.33,19.64,+3.57%,1869955,0
12/01/2022,567.65,584.71,520.01,550.69,-9.53,-1.70%,1280066,0
11/01/2022,516.54,561.98,475.77,560.22,46.25,+9.00%,1567347,0
10/01/2022,512.81,548.925,478.31,513.97,6.78,+1.34%,1783876,0
09/01/2022,542.44,580.125,505.575,507.19,-38.13,-6.99%,1247476,0
08/01/2022,594.11,606.16,544.32,545.32,-53.09,-8.87%,961852,0
07/01/2022,543.95,611.06,510.3725,598.41,55.13,+10.15%,1406130,0
06/01/2022,569.55,573.09,497.83,543.28,-24.29,-4.28%,1157138,0
05/01/2022,548.93,573.29,512.1,567.57,14.65,+2.65%,1545947,0
04/01/2022,592.22,618.355,514.02,552.92,-37.73,-6.39%,1600525,0
03/01/2022,544.62,601.13,519.89,590.65,46.65,+8.58%,1424845,0
02/01/2022,588.3,608.71,513.94,544,-37.3,-6.42%,1647747,0
01/01/2022,662.99,664.27,543.7,581.3,-85.94,-12.88%,1975000,0
12/01/2021,634.68,672.34,609.21,667.24,34.41,+5.44%,1243786,0
11/01/2021,632.35,666.65,599.45,632.83,-0.24,-0.04%,1359523,0
10/01/2021,570.57,634.1,552.01,633.07,61.74,+10.81%,1126928,0
09/01/2021,552.78,616.93,549.179,571.33,16.38,+2.95%,1493009,0
08/01/2021,542.08,560.695,531.88,554.95,14.94,+2.77%,904518,0
07/01/2021,505.84,543.3,503.26,540.01,35.54,+7.05%,1160700,0
06/01/2021,467,510.6,438.72,504.47,34.97,+7.45%,2099950,0
05/01/2021,471.78,480.69,448.52,469.5,-0.73,-0.16%,1597495,0
04/01/2021,461.25,499,456.09,470.23,13.85,+3.03%,1602619,0
03/01/2021,454.19,467.31,433.52,456.38,6.3,+1.40%,1955869,0
02/01/2021,516.84,526.5948,448.54,450.08,-59.62,-11.70%,1789500,0
01/01/2021,469.05,522,462.17,509.7,43.92,+9.43%,1835652,0
12/01/2020,470,482.2,454,465.78,0.8,+0.17%,1516627,0
11/01/2020,478.8,532.5709,435.77,464.98,-8.14,-1.72%,2132075,0
10/01/2020,445.97,490.71,433.01,473.12,31.6,+7.16%,1201081,0
09/01/2020,432.15,444.8,401.065,441.52,12.54,+2.92%,1402514,0
08/01/2020,418.25,433.45,401.22,428.98,15.03,+3.63%,1167047,0
