Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,59.68,60.72,56.54,57.37,-2.57,-4.29%,1783275,0
02/01/2023,59.13,62.61,55.44,59.94,0.45,+0.76%,1596263,0
01/01/2023,50.81,63.19,49.87,59.49,9.57,+19.17%,1343280,0
12/01/2022,48.49,53.02,45.47,49.92,2.01,+4.20%,1630428,0
11/01/2022,43.69,47.98,40.57,47.91,4.83,+11.21%,1293876,0
10/01/2022,42.48,46.36,39.532,43.08,1.08,+2.57%,1786947,0
09/01/2022,43.32,46.34,40.51,42,-1.79,-4.09%,2013423,0
08/01/2022,49.3,50.43,43.77,43.79,-5.39,-10.96%,1636660,0
07/01/2022,44.86,51.82,44.86,49.18,4.58,+10.27%,1422975,0
06/01/2022,50.63,50.96,40.195,44.6,-5.87,-11.63%,1655242,0
05/01/2022,46.24,51.13,43.76,50.47,4.1,+8.84%,1683176,0
04/01/2022,47.57,49.3,44.84,46.37,-0.65,-1.38%,1842705,0
03/01/2022,53.81,55.35,47.01,47.02,-7.24,-13.34%,1789447,0
02/01/2022,59.37,60.41,47.17,54.26,-4.71,-7.99%,1969200,0
01/01/2022,72.43,72.75,53.69,58.97,-13.42,-18.54%,2343360,0
12/01/2021,64.38,75.61,63.815,72.39,8.92,+14.05%,1898145,0
11/01/2021,60.35,67.33,59.39,63.47,3.3,+5.48%,805538,0
10/01/2021,55.82,62.3399,54.72,60.17,4.88,+8.83%,934709,0
09/01/2021,64.195,64.855,55.265,55.29,-8.77,-13.69%,1156609,0
08/01/2021,59.7,64.81,57.2,64.06,4.79,+8.08%,1079504,0
07/01/2021,57.92,60.12,52.02,59.27,1.46,+2.53%,1152642,0
06/01/2021,65.83,66.0499,55.61,57.81,-7.43,-11.39%,1699695,0
05/01/2021,63.51,68.88,57.93,65.24,2.54,+4.05%,1497970,0
04/01/2021,57.39,64.5,57.03,62.7,5.97,+10.52%,1392095,0
03/01/2021,54.36,59.52,49.79,56.73,3.31,+6.20%,1731239,0
02/01/2021,51.34,56.96,49.51,53.42,2.32,+4.54%,1672810,0
01/01/2021,43.62,54.84,41.22,51.1,7.63,+17.55%,2238694,0
12/01/2020,47.45,49.52,43.41,43.47,-3.88,-8.19%,2308159,0
11/01/2020,42.96,48.605,40.95,47.35,5.07,+11.99%,1460960,0
10/01/2020,48.83,50.415,42.03,42.28,-6.38,-13.11%,1467000,0
09/01/2020,41.86,49.695,39.805,48.66,6.44,+15.25%,2436428,0
08/01/2020,38.48,47.4,38.05,42.22,4.02,+10.52%,2238666,0
07/01/2020,32.32,39.18,31.03,38.2,5.61,+17.21%,1958831,0
06/01/2020,31.86,37.8,28.91,32.59,0.28,+0.87%,2444972,0
05/01/2020,23.17,35.26,22.9,32.31,8.29,+34.51%,3101400,0
04/01/2020,18.19,26.43,16.75,24.02,4.77,+24.78%,3031738,0
03/01/2020,37.19,40.68,13.28,19.25,-17.78,-48.02%,4194050,0
02/01/2020,44.44,49.31,36.1728,37.03,-7.33,-16.52%,2613689,0
01/01/2020,39.68,46.655,39.52,44.36,4.85,+12.28%,2303728,0
12/01/2019,40.14,41.62,38.59,39.51,-0.66,-1.64%,2119833,0
11/01/2019,40.09,41.06,38.43,40.17,0.4,+1.01%,1184125,0
10/01/2019,41.05,41.53,38.411,39.77,-1.28,-3.12%,1349230,0
09/01/2019,36,41.7,35.85,41.05,4.86,+13.43%,2332825,0
08/01/2019,36.06,37.22,34.55,36.19,0.22,+0.61%,1877590,0
07/01/2019,37.09,37.37,34.79,35.97,-0.65,-1.77%,1451572,0
06/01/2019,34.69,38.46,34.61,36.62,1.85,+5.32%,1639090,0
05/01/2019,38.3,39.58,34.545,34.77,-3.33,-8.74%,1623581,0
04/01/2019,36.27,39.46,35.5,38.1,1.9,+5.25%,1376961,0
03/01/2019,35.93,37.89,34.34,36.2,0.6,+1.69%,2030771,0
02/01/2019,37.01,37.96,35.55,35.6,-1.34,-3.63%,1948405,0
01/01/2019,32.38,37.13,32.3,36.94,4.01,+12.18%,2056247,0
12/01/2018,33.48,34.33,30.17,32.93,-0.04,-0.12%,3932384,0
11/01/2018,33.62,34.12,29.25,32.97,-0.69,-2.05%,3613438,0
10/01/2018,33.14,34.36,28.68,33.66,0.63,+1.91%,4036173,0
09/01/2018,36.16,37.9,32.925,33.03,-3.2,-8.83%,2369510,0
08/01/2018,35.14,39.8,33.47,36.23,0.97,+2.75%,3028860,0
07/01/2018,36.65,38.25,34.34,35.26,-1.73,-4.68%,1995442,0
06/01/2018,39.77,40.89,35.72,36.99,-2.5,-6.33%,2432409,0
05/01/2018,42.16,43.83,39.02,39.49,-2.67,-6.33%,2570331,0
04/01/2018,43.07,45.29,40.63,42.16,-1.09,-2.52%,2041752,0
03/01/2018,43.92,45.76,42.57,43.25,-0.58,-1.32%,1826771,0
02/01/2018,46.15,49.24,43.07,43.83,-2.75,-5.90%,2887347,0
01/01/2018,48.18,52.73,46.18,46.58,-1.44,-3.00%,1988495,0
12/01/2017,50.27,51.08,45.35,48.02,-2.31,-4.59%,3070275,0
11/01/2017,46.26,50.95,43.22,50.33,4.29,+9.32%,2290757,0
10/01/2017,41.61,46.17,41.16,46.04,4.57,+11.02%,1403686,0
09/01/2017,39.04,41.6,37.86,41.47,2.51,+6.44%,2015235,0
08/01/2017,38.64,40.145,36.55,38.96,0.37,+0.96%,1794565,0
07/01/2017,39.69,41.07,38.51,38.59,-0.92,-2.33%,1594610,0
06/01/2017,36.91,39.82,36.73,39.51,2.6,+7.04%,1682859,0
05/01/2017,36.11,39.37,35.72,36.91,0.92,+2.56%,2093686,0
04/01/2017,36.19,37.37,34.99,35.99,-0.12,-0.33%,1883373,0
03/01/2017,34.5,37.28,34.43,36.11,1.97,+5.77%,2084060,0
02/01/2017,31.48,34.48,30.67,34.14,2.78,+8.86%,2555215,0
01/01/2017,31.4,33.44,30.44,31.36,0.36,+1.16%,2001585,0
12/01/2016,29.58,33.48,29.12,31,1.34,+4.52%,2893328,0
11/01/2016,27.43,30.8,26.65,29.66,2.22,+8.09%,2417161,0
10/01/2016,29.69,29.83,27.11,27.44,-2.42,-8.10%,1891971,0
09/01/2016,31.13,31.31,28.42,29.86,-1.23,-3.96%,2460414,0
08/01/2016,27.9,32.25,27,31.09,3.08,+11.00%,2869969,0
07/01/2016,27.02,29.41,26.19,28.01,1.1,+4.09%,2451515,0
06/01/2016,28.93,29.97,25.29,26.91,-2.24,-7.68%,2635559,0
05/01/2016,27.34,29.84,26.27,29.15,1.85,+6.78%,2929838,0
04/01/2016,29.32,30.17,26.63,27.3,-2.21,-7.49%,2486228,0
03/01/2016,27.72,29.97,27.04,29.51,2.06,+7.50%,2514250,0
02/01/2016,27.38,28.05,23.75,27.45,-0.17,-0.62%,3387970,0
01/01/2016,33.1,33.39,26.57,27.62,-5.68,-17.06%,3473184,0
12/01/2015,37.26,38.15,32.83,33.3,-3.88,-10.44%,2382813,0
11/01/2015,35.98,37.98,33.95,37.18,1.21,+3.36%,1778520,0
10/01/2015,34.25,37.67,33.47,35.97,1.73,+5.05%,2084818,0
09/01/2015,36.02,38.45,33.71,34.24,-2.73,-7.38%,2384538,0
08/01/2015,38.89,42.19,34.49,36.97,-1.95,-5.01%,3141604,0
