Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,71.1,74.56,70.2,74.51,3.62,+5.11%,718566,0
02/01/2023,74.54,76.5,70.26,70.89,-3.65,-4.90%,770894,0
01/01/2023,65.76,76.22,62.45,74.54,9.61,+14.80%,770280,0
12/01/2022,61.53,66.77,60.38,64.93,3.47,+5.65%,1340400,0
11/01/2022,56,61.56,53.8201,61.46,6.38,+11.58%,774038,0
10/01/2022,56.41,59.09,51.47,55.08,-1.34,-2.38%,938780,0
09/01/2022,68.99,69.38,56.205,56.42,-13.17,-18.93%,816566,0
08/01/2022,70.17,74.74,67.33,69.59,-0.93,-1.32%,521947,0
07/01/2022,67.59,71.96,66.57,70.52,2.27,+3.33%,739125,0
06/01/2022,67.73,74.45,64.32,68.25,0.64,+0.95%,756738,0
05/01/2022,71.39,72.34,59.82,67.61,-3.58,-5.03%,1077157,0
04/01/2022,88.14,92.29,71.03,71.19,-16.68,-18.98%,833690,0
03/01/2022,84.27,91.04,80.87,87.87,3.39,+4.01%,654934,0
02/01/2022,85.14,87.2,76.64,84.48,-0.29,-0.34%,568484,0
01/01/2022,99.93,100.25,79.6969,84.77,-15.37,-15.35%,812985,0
12/01/2021,97,102.33,92.2,100.14,4.14,+4.31%,609395,0
11/01/2021,89.13,99.25,88.01,96,6.9,+7.74%,651323,0
10/01/2021,81.24,89.42,80.23,89.1,8.32,+10.30%,407781,0
09/01/2021,87.04,89.345,80.4,80.78,-6.23,-7.16%,391950,0
08/01/2021,87.35,89.79,84.25,87.01,0.28,+0.32%,220222,0
07/01/2021,84.56,88.95,83.1108,86.73,2.17,+2.57%,379757,0
06/01/2021,84.03,86.42,80.92,84.56,0.78,+0.93%,862963,0
05/01/2021,81.82,84.87,78.81,83.78,2.5,+3.08%,966090,0
04/01/2021,74.46,81.82,74.255,81.28,7.28,+9.84%,563676,0
03/01/2021,73.23,75.63,66.5,74,1.21,+1.66%,828404,0
02/01/2021,61.06,74.41,60.38,72.79,12,+19.74%,1230921,0
01/01/2021,62.91,66.75,59.35,60.79,-1.66,-2.66%,586973,0
12/01/2020,60.18,68.8,58.08,62.45,2.8,+4.69%,835518,0
11/01/2020,55,63.4,54.18,59.65,5.17,+9.49%,595135,0
10/01/2020,58.45,61.22,53.81,54.48,-3.52,-6.07%,622218,0
09/01/2020,57.29,58.79,52.15,58,0.71,+1.24%,680071,0
08/01/2020,54.39,58.3,50.18,57.29,3.22,+5.96%,864457,0
07/01/2020,57.98,60.875,52.53,54.07,-4.07,-7.00%,1026404,0
06/01/2020,65.74,69.055,57.64,58.14,-7.82,-11.86%,1329995,0
05/01/2020,52.97,66.37,51.18,65.96,13.8,+26.46%,1056380,0
04/01/2020,40.78,57.05,40.09,52.16,10.12,+24.07%,1079966,0
03/01/2020,48.78,53.35,33.2301,42.04,-6.18,-12.82%,983845,0
02/01/2020,46.65,52.74,44.46,48.22,2.04,+4.42%,1070021,0
01/01/2020,46.63,47.4099,44.02,46.18,-0.17,-0.37%,601566,0
12/01/2019,44.76,47.31,43.61,46.35,1.62,+3.62%,537638,0
11/01/2019,41.95,45.8,39.745,44.73,2.98,+7.14%,764170,0
10/01/2019,37.4,44.19,36.88,41.75,4.77,+12.90%,1406578,0
09/01/2019,42.27,43.3683,35.56,36.98,-5.61,-13.17%,839715,0
08/01/2019,46.73,48.7461,42.3,42.59,-4.77,-10.07%,405077,0
07/01/2019,44.3,50.48,42.54,47.36,3.55,+8.10%,456963,0
06/01/2019,45.45,45.79,40.51,43.81,-1.28,-2.84%,573200,0
05/01/2019,40.5,46.33,37.51,45.09,4.84,+12.02%,683645,0
"Downloaded from Barchart.com as of 03-05-2023 07:07am CST"
