Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,0.15,0.2018,0.15,0.1729,0.0139,+8.74%,5997500,0
02/01/2023,0.162,0.25,0.1286,0.159,0.002,+1.27%,10378163,0
01/01/2023,0.12,0.195,0.12,0.157,0.037,+30.83%,1739115,0
12/01/2022,0.157,0.1645,0.1009,0.12,-0.0399,-24.95%,1412885,0
11/01/2022,0.135,0.1709,0.108,0.1599,0.0211,+15.20%,1365404,0
10/01/2022,0.16,0.1779,0.1252,0.1388,-0.0165,-10.62%,898871,0
09/01/2022,0.22,0.226,0.1452,0.1553,-0.0699,-31.04%,2059071,0
08/01/2022,0.2249,0.274,0.2005,0.2252,0.0052,+2.36%,4701047,0
07/01/2022,1.61,2.2,0.2161,0.22,-1.39,-86.34%,5689325,0
06/01/2022,1.82,1.8457,1.2182,1.61,-0.23,-12.50%,117271,0
05/01/2022,1.65,1.96,1.2,1.84,0.21,+12.88%,141742,0
04/01/2022,1.74,2.2,1.27,1.63,-0.06,-3.55%,255645,0
03/01/2022,1.46,1.79,1.1,1.69,0.24,+16.55%,105630,0
02/01/2022,1.31,1.51,1.16,1.45,0.14,+10.69%,86347,0
01/01/2022,1.99,2.04,1.13,1.31,-0.66,-33.50%,321940,0
12/01/2021,2.33,2.38,1.86,1.97,-0.35,-15.09%,193740,0
11/01/2021,2.37,2.54,1.98,2.32,-0.05,-2.11%,215019,0
10/01/2021,2.05,2.42,1.91,2.37,0.32,+15.61%,162866,0
09/01/2021,2.32,2.53,1.96,2.05,-0.29,-12.39%,244352,0
08/01/2021,2.23,2.34,1.85,2.34,0.16,+7.34%,318563,0
07/01/2021,2.36,2.59,1.96,2.18,-0.21,-8.79%,377547,0
06/01/2021,2.39,3.04,2.1852,2.39,0.03,+1.27%,803672,0
05/01/2021,2.28,2.42,1.78,2.36,0.1,+4.42%,411845,0
04/01/2021,2,2.33,1.67,2.26,0.26,+13.00%,776719,0
03/01/2021,1.85,2.17,1.65,2,0.19,+10.50%,383652,0
02/01/2021,2.51,3.17,1.71,1.81,-0.68,-27.31%,2310005,0
01/01/2021,1.93,3.09,1.851,2.49,0.6,+31.75%,643473,0
12/01/2020,1.31,2.06,1.28,1.89,0.59,+45.38%,426109,0
11/01/2020,1.17,1.3,1.0122,1.3,0.14,+12.07%,116080,0
10/01/2020,1.21,1.36,1.12,1.16,-0.06,-4.92%,176309,0
09/01/2020,1.27,1.44,1.04,1.22,-0.07,-5.43%,1322023,0
08/01/2020,1.3,1.37,1.1985,1.29,-0.02,-1.53%,255547,0
07/01/2020,1.27,1.38,1.2,1.31,0.03,+2.34%,177354,0
06/01/2020,1.21,1.62,1.09,1.28,0.05,+4.07%,758995,0
