Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,11.5,11.55,11.285,11.48,-0.1,-0.86%,1931300,0
02/01/2023,11.82,12.6089,11.54,11.58,-0.3,-2.53%,2587584,0
01/01/2023,11.44,11.89,10.73,11.88,0.57,+5.04%,2665425,0
12/01/2022,12.66,12.73,10.97,11.31,-1.35,-10.66%,2992986,0
11/01/2022,12,13.07,11.44,12.66,0.79,+6.66%,2166300,0
10/01/2022,10.93,12.025,10.79,11.87,1.07,+9.91%,2645581,0
09/01/2022,11.58,12.21,10.76,10.8,-0.82,-7.06%,2016400,0
08/01/2022,11.63,12.96,11.48,11.62,-0.07,-0.60%,1610287,0
07/01/2022,10.37,11.825,10.01,11.69,1.28,+12.30%,2193875,0
06/01/2022,12.71,12.76,10.23,10.41,-2.3,-18.10%,3603972,0
05/01/2022,12.06,12.77,11.405,12.71,0.73,+6.09%,2735925,0
04/01/2022,13.23,13.3,11.92,11.98,-1.04,-7.99%,2328075,0
03/01/2022,13.87,13.99,12.91,13.02,-0.95,-6.80%,2618704,0
02/01/2022,13.94,14.585,13.055,13.97,0.05,+0.36%,2207489,0
01/01/2022,13.9,15.1,13.165,13.92,0.17,+1.24%,2682880,0
12/01/2021,13.82,14.325,12.71,13.75,0.31,+2.31%,1862540,0
11/01/2021,13.42,14.845,13.35,13.44,0.18,+1.36%,1574880,0
10/01/2021,13.4,13.98,13.15,13.26,-0.05,-0.38%,1556161,0
09/01/2021,13.08,13.71,11.66,13.31,0.27,+2.07%,2700642,0
08/01/2021,12.98,13.57,12.59,13.04,0.15,+1.16%,1766622,0
07/01/2021,13.56,13.65,12.25,12.89,-0.54,-4.02%,1878319,0
06/01/2021,14.45,14.5,12.91,13.43,-0.89,-6.22%,2062559,0
05/01/2021,13.95,14.74,13.715,14.32,0.55,+3.99%,1887130,0
04/01/2021,13.7,14.3599,13.04,13.77,0.03,+0.22%,2467100,0
03/01/2021,12.62,14.69,12.41,13.74,1.49,+12.16%,3552386,0
02/01/2021,10.34,12.98,10.12,12.25,2.04,+19.98%,2318726,0
01/01/2021,9.87,11,9.53,10.21,0.46,+4.72%,2141605,0
12/01/2020,9.38,10.09,9.27,9.75,0.61,+6.67%,1893018,0
11/01/2020,7.78,9.93,7.29,9.14,1.5,+19.63%,2521485,0
10/01/2020,6.89,8.27,6.69,7.64,0.79,+11.53%,1721954,0
09/01/2020,7.41,7.98,6.5,6.85,-0.66,-8.79%,2102676,0
08/01/2020,7.49,8.5,7.31,7.51,0.04,+0.54%,1712185,0
07/01/2020,7.84,7.965,6.71,7.47,-0.35,-4.48%,2207559,0
06/01/2020,8.06,9.61,7.17,7.82,-0.16,-2.01%,2657618,0
05/01/2020,8.23,8.74,6.36,7.98,-0.38,-4.55%,2360950,0
04/01/2020,7.07,8.7,6.17,8.36,1.05,+14.36%,2361347,0
03/01/2020,9.3,9.88,6,7.31,-1.99,-21.40%,3610168,0
02/01/2020,10.57,11.26,9.125,9.3,-1.23,-11.68%,1901557,0
01/01/2020,11.53,11.54,10.49,10.53,-0.92,-8.03%,2172176,0
12/01/2019,11.63,11.78,10.98,11.45,-0.13,-1.12%,3358538,0
11/01/2019,11.66,12.14,11.58,11.58,0,0.00%,1844335,0
10/01/2019,11,11.98,10.41,11.58,0.71,+6.53%,1550730,0
09/01/2019,10.4,11.36,10.11,10.87,0.36,+3.43%,1633685,0
08/01/2019,11.13,11.25,10.005,10.51,-0.65,-5.82%,1568622,0
07/01/2019,10.91,11.355,10.58,11.16,0.38,+3.53%,1636518,0
06/01/2019,9.82,10.86,9.79,10.78,0.96,+9.78%,2341150,0
05/01/2019,10.5,10.68,9.76,9.82,-0.66,-6.30%,1285186,0
04/01/2019,9.7,10.57,9.68,10.48,0.9,+9.39%,1745795,0
03/01/2019,10.63,10.885,9.28,9.58,-0.98,-9.28%,2396304,0
02/01/2019,10.12,10.78,10.12,10.56,0.45,+4.45%,2103173,0
01/01/2019,8.79,10.61,8.72,10.11,1.23,+13.85%,2283800,0
12/01/2018,10.94,10.98,8.42,8.88,-1.94,-17.93%,2764336,0
11/01/2018,10.08,10.84,9.745,10.82,0.84,+8.42%,2382752,0
10/01/2018,11.34,11.66,9.32,9.98,-1.27,-11.29%,2833091,0
09/01/2018,12.05,12.25,11.21,11.25,-0.8,-6.64%,2525321,0
