Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,17.21,17.79,16.685,17.72,0.49,+2.84%,3284433,0
02/01/2023,15.44,17.49,15.29,17.23,1.8,+11.67%,3429689,0
01/01/2023,14.02,15.97,13.4757,15.43,1.6,+11.57%,1100135,0
12/01/2022,15.98,16,13.19,13.83,-2.02,-12.74%,1165714,0
11/01/2022,17.26,17.33,12.76,15.85,-1.22,-7.15%,2127417,0
10/01/2022,15.45,17.6,15.27,17.07,1.7,+11.06%,1695305,0
09/01/2022,15.72,17.17,15.065,15.37,-0.57,-3.58%,1130271,0
08/01/2022,16.45,17.31,15.93,15.94,-0.55,-3.34%,1112543,0
07/01/2022,15.7,17.2,14.92,16.49,0.78,+4.96%,1391295,0
06/01/2022,16.09,16.73,14.98,15.71,-0.24,-1.50%,978738,0
05/01/2022,13.95,16.19,12.7,15.95,1.92,+13.68%,991620,0
04/01/2022,16.28,16.41,13.795,14.03,-2.25,-13.82%,904454,0
03/01/2022,16.64,17.15,15.3,16.28,-0.52,-3.10%,822743,0
02/01/2022,15.82,18.13,15.33,16.8,0.96,+6.06%,1072395,0
01/01/2022,15.57,16.4,14.1,15.84,0.41,+2.66%,751805,0
12/01/2021,14.75,15.91,13.47,15.43,1.04,+7.23%,957563,0
11/01/2021,14.96,17.01,14.27,14.39,-0.49,-3.29%,793266,0
10/01/2021,15.19,15.31,14.4,14.88,-0.19,-1.26%,762071,0
09/01/2021,15.61,15.97,14.37,15.07,-0.44,-2.84%,601757,0
08/01/2021,15.43,17.5,14.26,15.51,0.2,+1.31%,708886,0
07/01/2021,15.42,15.95,14.32,15.31,-0.06,-0.39%,473138,0
06/01/2021,14.29,15.94,13.84,15.37,1.12,+7.86%,675636,0
05/01/2021,13.66,15.66,13.5,14.25,0.81,+6.03%,957865,0
04/01/2021,13.6,14.44,13.38,13.44,-0.095,-0.70%,656361,0
03/01/2021,14.9999,15.38,13.02,13.535,-0.715,-5.02%,881208,0
02/01/2021,12.77,15.04,12.77,14.25,1.45,+11.33%,788205,0
01/01/2021,13.5,14.26,12.54,12.8,-0.62,-4.62%,898352,0
12/01/2020,12.46,14.07,12.29,13.42,1.22,+10.00%,682940,0
11/01/2020,9.71,13.115,9.445,12.2,2.59,+26.95%,1053255,0
10/01/2020,9.66,10.84,9.33,9.61,-0.05,-0.52%,694568,0
09/01/2020,10.52,11.005,9.14,9.66,-0.905,-8.57%,935019,0
08/01/2020,10.21,11.95,9.95,10.565,0.335,+3.27%,836942,0
07/01/2020,10.32,11.11,9.505,10.23,-0.05,-0.49%,981740,0
06/01/2020,10.95,13.17,9.9,10.28,-0.63,-5.77%,1519254,0
05/01/2020,8.84,11.31,8.2,10.91,1.95,+21.76%,1441950,0
04/01/2020,6.77,9.47,6.16,8.96,1.82,+25.49%,1629733,0
03/01/2020,15.31,15.85,5.6325,7.14,-8.005,-52.86%,2950136,0
02/01/2020,16,17.2,14.77,15.145,-0.785,-4.93%,1268668,0
01/01/2020,14.11,16.4,13.86,15.93,1.94,+13.87%,1407123,0
12/01/2019,14.95,15.02,13.77,13.99,-0.98,-6.55%,1262285,0
11/01/2019,14.38,15.355,14,14.97,0.62,+4.32%,1874210,0
10/01/2019,14.56,14.77,13.42,14.35,0,0.00%,1055943,0
09/01/2019,13.92,15.095,13.68,14.35,0.43,+3.09%,1041150,0
08/01/2019,13.86,14.22,12.695,13.92,0.07,+0.51%,834436,0
07/01/2019,13.13,14.06,13.04,13.85,0.76,+5.81%,860959,0
06/01/2019,14.01,14.01,11.93,13.09,-0.89,-6.37%,2283195,0
05/01/2019,13.48,15.07,12.8,13.98,0.46,+3.40%,874222,0
04/01/2019,12,14.11,11.73,13.52,1.62,+13.61%,801490,0
03/01/2019,10.67,11.91,10.06,11.9,1.3,+12.26%,374519,0
02/01/2019,10.49,11.77,10.03,10.6,0.14,+1.34%,235063,0
01/01/2019,9.73,10.6,9,10.46,0.7,+7.17%,313990,0
12/01/2018,10.07,10.47,9.135,9.76,-0.24,-2.40%,1251742,0
11/01/2018,9.46,10.75,9.15,10,0.61,+6.50%,399109,0
10/01/2018,10.6,11.14,9.38,9.39,-1.23,-11.58%,701652,0
09/01/2018,10.35,10.65,10.3,10.62,0.29,+2.81%,728673,0
08/01/2018,10.26,10.49,10.22,10.33,0.07,+0.68%,498873,0
07/01/2018,10.17,10.35,10.1,10.26,0.105,+1.03%,370190,0
06/01/2018,10.04,10.35,10.01,10.155,0.155,+1.55%,336277,0
05/01/2018,10.06,10.12,10,10,-0.06,-0.60%,14263,0
04/01/2018,9.98,10.4,9.98,10.06,0.06,+0.60%,39153,0
03/01/2018,9.95,10.05,9.94,10,0.05,+0.50%,47347,0
02/01/2018,9.95,9.97,9.86,9.95,0.03,+0.30%,141963,0
01/01/2018,9.9,9.98,9.9,9.92,-0.02,-0.20%,26807,0
12/01/2017,9.92,9.94,9.88,9.94,0.05,+0.51%,264860,0
11/01/2017,9.95,10.1,9.89,9.89,-0.08,-0.80%,84911,0
10/01/2017,9.97,10.01,9.9,9.97,0,0.00%,39370,0
09/01/2017,9.95,10.05,9.85,9.97,0.01,+0.10%,93757,0
08/01/2017,10.04,10.08,9.93,9.96,-0.14,-1.39%,101593,0
07/01/2017,10,10.19,9.98,10.1,0.07,+0.70%,21342,0
06/01/2017,9.85,10.25,9.85,10.03,0.18,+1.83%,41531,0
05/01/2017,10,11.24,9.3,9.85,-0.15,-1.50%,92835,0
04/01/2017,10.1,10.1,10,10,0,0.00%,26550,0
"Downloaded from Barchart.com as of 03-05-2023 07:04am CST"
