Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,141.06,141.68,136.09,136.97,-5.16,-3.63%,5605675,0
02/01/2023,143.66,148.34,138.69,142.13,-1.74,-1.21%,6465884,0
01/01/2023,142.55,147.86,138.17,143.87,2.08,+1.47%,5379970,0
12/01/2022,152.05,153.61,140.81,141.79,-10.63,-6.97%,6065595,0
11/01/2022,142.97,154.64,138.27,152.42,10.09,+7.09%,7222204,0
10/01/2022,130.24,143.07,128.07,142.33,12.63,+9.74%,5566533,0
09/01/2022,132.54,138.249,128.27,129.7,-2.85,-2.15%,6608504,0
08/01/2022,131.06,142.72,125.12,132.55,0.5,+0.38%,9038930,0
07/01/2022,121.94,133.39,120.06,132.05,10.47,+8.61%,7882275,0
06/01/2022,128.5,128.92,117.9029,121.58,-7.05,-5.48%,8139471,0
05/01/2022,154.96,154.99,117.27,128.63,-24.36,-15.92%,12959314,0
04/01/2022,149.66,160.77,148.8397,152.99,4.07,+2.73%,7120500,0
03/01/2022,135.87,150.54,135.02,148.92,13.76,+10.18%,8081928,0
02/01/2022,139.21,141.99,132.01,135.16,-4.65,-3.33%,8557657,0
01/01/2022,144,146.63,133.95,139.81,-4.88,-3.37%,8287720,0
12/01/2021,140.51,146.526,135.24,144.69,4.06,+2.89%,10855450,0
11/01/2021,149.98,152,140.01,140.63,-8.79,-5.88%,8481352,0
10/01/2021,139.26,150.55,134.705,149.42,10.04,+7.20%,6571595,0
09/01/2021,147.56,149.6473,139.25,139.38,-8.72,-5.89%,7203138,0
08/01/2021,142.83,152.57,141.67,148.1,5.55,+3.89%,8247568,0
07/01/2021,140.41,143.86,138.2209,142.55,1.53,+1.08%,6280204,0
06/01/2021,142.21,142.8,134.4,141.02,-1.01,-0.71%,7686627,0
05/01/2021,139.68,144.58,135.76,142.03,2.12,+1.52%,8738970,0
04/01/2021,135.94,141.77,135.33,139.91,4.08,+3.00%,7291666,0
03/01/2021,131.58,137.59,126.28,135.83,5.91,+4.55%,10719800,0
02/01/2021,140.91,147.5,129.86,129.92,-10.57,-7.52%,9744794,0
01/01/2021,144.3,149.93,140.35,140.49,-3.66,-2.54%,7905131,0
12/01/2020,153.6,153.6597,142.3,144.15,-8.64,-5.65%,7745363,0
11/01/2020,140.59,153.4,139.03,152.79,14.04,+10.12%,6898735,0
10/01/2020,140.8,146.605,137.37,138.75,-1.16,-0.83%,5864200,0
09/01/2020,141.2,151.33,134.75,139.91,1.06,+0.76%,12798933,0
08/01/2020,129.91,141.07,128.2713,138.85,9.45,+7.30%,10953576,0
07/01/2020,119.45,134.13,118.22,129.4,9.62,+8.03%,8975218,0
