Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,80.91,82.68,77.52,79.47,-1.69,-2.08%,801757,0
02/01/2023,85,85.64,80.91,81.16,-4.37,-5.11%,927480,0
01/01/2023,78.48,85.94,77.55,85.53,7.38,+9.44%,704610,0
12/01/2022,79.19,82.25,77.4475,78.15,-0.65,-0.82%,1169871,0
11/01/2022,76.55,80.98,73.3141,78.8,2.5,+3.28%,1022366,0
10/01/2022,70.7,76.31,68.24,76.3,6.5,+9.31%,1061671,0
09/01/2022,83.49,87.3,67.765,69.8,-14.23,-16.93%,1115585,0
08/01/2022,89.12,89.48,83.21,84.03,-5.27,-5.90%,940513,0
07/01/2022,82.55,89.63,80.55,89.3,6.44,+7.77%,760645,0
06/01/2022,84.18,87.4286,79.89,82.86,-1.28,-1.52%,1417785,0
05/01/2022,81.1,85.36,75.155,84.14,3.37,+4.17%,1069700,0
04/01/2022,81.19,86.48,79.61,80.77,-0.07,-0.09%,946500,0
03/01/2022,77.57,83.6,76.98,80.84,3.44,+4.44%,913947,0
02/01/2022,77.42,78.17,74.08,77.4,-0.2,-0.26%,948663,0
01/01/2022,82.25,82.25,73.09,77.6,-4.45,-5.42%,863680,0
12/01/2021,77.14,83.19,75.48,82.05,5.7,+7.47%,843654,0
11/01/2021,77.2,79.58,76.35,76.35,-0.76,-0.99%,743657,0
10/01/2021,73.39,79.54,73.16,77.11,4.07,+5.57%,700723,0
09/01/2021,78.22,79.555,73.02,73.04,-5.08,-6.50%,967985,0
08/01/2021,81,81.5,76.14,78.12,-2.57,-3.19%,871968,0
07/01/2021,74.75,82.37,74.11,80.69,6.07,+8.13%,779404,0
06/01/2021,76,78.51,74.58,74.62,-0.83,-1.10%,1111663,0
05/01/2021,75.66,76.48,71.72,75.45,0.56,+0.75%,806530,0
04/01/2021,71.25,75.12,70.15,74.89,4.13,+5.84%,732166,0
03/01/2021,70.06,71.97,66.1157,70.76,2.22,+3.24%,1301534,0
02/01/2021,66.58,72.5,66.1,68.54,2.14,+3.22%,989426,0
01/01/2021,70.7,70.79,65.75,66.4,-4.18,-5.92%,1133336,0
12/01/2020,70.32,71.8966,68.15,70.58,1.37,+1.98%,821068,0
11/01/2020,63.02,72.32,62.69,69.21,6.6,+10.54%,696995,0
10/01/2020,65.36,69.2298,60.68,62.61,-2.55,-3.91%,662809,0
09/01/2020,69.11,72.55,62.25,65.16,-4.21,-6.07%,868400,0
08/01/2020,71.36,74.18,69.15,69.37,-2,-2.80%,545714,0
07/01/2020,68.15,71.72,64.32,71.37,3.72,+5.50%,813045,0
06/01/2020,60.2,76.12,60.2,67.65,7.74,+12.92%,1758518,0
05/01/2020,63.59,66.29,52.22,59.91,-5.87,-8.92%,1092870,0
04/01/2020,55.75,70.39,49.01,65.78,7.7,+13.26%,1107804,0
03/01/2020,77.82,84.6699,38.62,58.08,-19.33,-24.97%,1441200,0
02/01/2020,84.32,88.99,75.34,77.41,-6.71,-7.98%,591731,0
01/01/2020,80.23,84.94,78.28,84.12,4.08,+5.10%,578433,0
12/01/2019,83.24,83.43,76.13,80.04,-3.38,-4.05%,728742,0
11/01/2019,92.8,92.8,82.53,83.42,-8.64,-9.39%,923895,0
10/01/2019,89.51,93.62,88.715,92.06,2.56,+2.86%,622152,0
09/01/2019,89.85,92.06,86.13,89.5,-0.3,-0.33%,586940,0
08/01/2019,86.44,89.89,82.4429,89.8,3.26,+3.77%,702918,0
07/01/2019,81.63,87.21,79.08,86.54,5.36,+6.60%,732186,0
06/01/2019,83.26,86.41,80.53,81.18,-1.83,-2.20%,1017735,0
05/01/2019,79.33,84.48,77.25,83.01,3.69,+4.65%,666177,0
04/01/2019,78.01,79.75,75.83,79.32,0.99,+1.26%,680238,0
03/01/2019,73.9,79.0825,72.51,78.33,4.46,+6.04%,1332047,0
02/01/2019,74.86,75.75,72.94,73.87,-1.02,-1.36%,922563,0
01/01/2019,64.71,74.9,63.76,74.89,9.55,+14.62%,997447,0
12/01/2018,67.9,71.29,63.92,65.34,-2.41,-3.56%,2260194,0
11/01/2018,63.57,69.41,63.2,67.75,1.74,+2.64%,2933795,0
10/01/2018,64.28,67.65,62.12,66.01,1.7,+2.64%,541126,0
09/01/2018,66.66,67.11,63.37,64.31,-2.27,-3.41%,370889,0
08/01/2018,65.13,67.19,64.6,66.58,1.2,+1.84%,267547,0
07/01/2018,66.23,68.19,64.395,65.38,-0.97,-1.46%,277666,0
06/01/2018,67.23,67.87,64.87,66.35,-0.86,-1.28%,411395,0
05/01/2018,63.76,67.52,62.77,67.21,3.36,+5.26%,368750,0
04/01/2018,61.85,64.24,60.84,63.85,1.86,+3.00%,346719,0
03/01/2018,60.07,62.62,59.4,61.99,2.07,+3.45%,359633,0
02/01/2018,64.86,65.482,59.23,59.92,-4.89,-7.55%,467000,0
01/01/2018,68.82,68.925,63.45,64.81,-4.09,-5.94%,349423,0
12/01/2017,70.95,71.64,68.24,68.9,-2.28,-3.20%,291300,0
11/01/2017,67.9,72.41,67.87,71.18,3.03,+4.45%,284833,0
10/01/2017,67.7,69.85,67.32,68.15,0.76,+1.13%,260313,0
09/01/2017,68.98,70.38,66.84,67.39,-1.46,-2.12%,303530,0
08/01/2017,68.59,69.25,65.29,68.85,0.34,+0.50%,243869,0
07/01/2017,66.27,68.63,65.47,68.51,2.5,+3.79%,248080,0
06/01/2017,65.12,68.95,64.88,66.01,0.78,+1.20%,416159,0
05/01/2017,62.72,65.58,60.22,65.23,2.63,+4.20%,388022,0
04/01/2017,62.52,64.79,61.63,62.6,0.38,+0.61%,296573,0
03/01/2017,63.07,63.07,59.41,62.22,-0.87,-1.38%,337765,0
