Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/01/2023,17.26,17.34,15.71,15.88,-0.87,-5.19%,1067587,0
02/01/2023,16.12,17.03,14.17,16.75,0.62,+3.84%,1646321,0
01/01/2023,11.15,16.195,10.39,16.13,5.2,+47.58%,1618165,0
12/01/2022,11.2,11.46,9.6,10.93,-0.27,-2.41%,1458500,0
11/01/2022,17.56,18.41,10.39,11.2,-5.93,-34.62%,1748766,0
10/01/2022,15.61,17.63,14.525,17.13,1.74,+11.31%,720440,0
09/01/2022,19.39,20.79,15.07,15.39,-4.15,-21.24%,634472,0
08/01/2022,22.24,24.08,19.26,19.54,-2.93,-13.04%,467791,0
07/01/2022,19.99,22.97,19.49,22.47,2.31,+11.46%,407385,0
06/01/2022,21.62,23.07,18.485,20.16,-1.18,-5.53%,686433,0
05/01/2022,19.67,21.525,16.65,21.34,1.52,+7.67%,884852,0
04/01/2022,22.49,23.66,19.71,19.82,-2.74,-12.15%,588995,0
03/01/2022,22.85,24.95,20.68,22.56,-0.47,-2.04%,631521,0
02/01/2022,26.58,27.43,22.67,23.03,-3.46,-13.06%,430905,0
01/01/2022,28.87,29.75,24.71,26.49,-2.32,-8.05%,622525,0
12/01/2021,32.19,33.41,26.42,28.81,-2.32,-7.45%,529200,0
11/01/2021,33.16,38.07,30.1,31.13,-2.04,-6.15%,517380,0
10/01/2021,29.92,33.62,29.25,33.17,3.33,+11.16%,380033,0
09/01/2021,36.22,36.7,29.83,29.84,-6.02,-16.79%,600947,0
08/01/2021,33.74,38.05,33.26,35.86,2.32,+6.92%,539350,0
07/01/2021,34,36.4,29.85,33.54,-0.1,-0.30%,411895,0
06/01/2021,36.69,37.658,32.75,33.64,-2.82,-7.73%,739931,0
05/01/2021,42.27,44.74,34.95,36.46,-5.26,-12.61%,566440,0
04/01/2021,38.47,42.635,37.35,41.72,3.4,+8.87%,387185,0
03/01/2021,34.95,41.8,33.96,38.32,3.37,+9.64%,542391,0
02/01/2021,28.81,37.21,28.45,34.95,6.31,+22.03%,422694,0
01/01/2021,31.28,33.99,28.47,28.64,-2.61,-8.35%,416973,0
12/01/2020,29.21,32.44,28.65,31.25,2.39,+8.28%,391763,0
11/01/2020,26.95,31.09,26.19,28.86,2.19,+8.21%,528365,0
10/01/2020,25.79,29.01,25.67,26.67,0.83,+3.21%,442545,0
09/01/2020,24.64,27.8,24.12,25.84,0.86,+3.44%,627795,0
08/01/2020,23.86,25.69,22.565,24.98,0.94,+3.91%,427428,0
07/01/2020,24,25,20.58,24.04,0.23,+0.97%,472677,0
06/01/2020,21.08,27.85,20.77,23.81,2.87,+13.71%,752477,0
05/01/2020,20.76,22.73,15.56,20.94,0.45,+2.20%,684880,0
04/01/2020,14.3,22.25,12.19,20.49,5.29,+34.80%,995204,0
03/01/2020,26.34,27.35,12.52,15.2,-11.09,-42.18%,1083272,0
02/01/2020,31.76,33.23,25.72,26.29,-5.28,-16.72%,506089,0
01/01/2020,33.9,34.7,31.47,31.57,-2.17,-6.43%,428357,0
12/01/2019,32.32,34.41,31.21,33.74,1.64,+5.11%,494909,0
11/01/2019,29.88,33.92,29.63,32.1,2.42,+8.15%,851875,0
10/01/2019,28.51,30.2,26.32,29.68,1.42,+5.02%,540913,0
09/01/2019,25.73,30.77,24.64,28.26,2.31,+8.90%,885060,0
08/01/2019,27.22,28.97,23.05,25.95,-1.2,-4.42%,1168472,0
07/01/2019,27.78,28.35,26.56,27.15,-0.39,-1.42%,504104,0
06/01/2019,27.98,29.01,26.54,27.54,-0.4,-1.43%,838770,0
05/01/2019,36.79,37.58,27.64,27.94,-8.87,-24.10%,1017159,0
04/01/2019,35.88,37.23,35.18,36.81,1.08,+3.02%,473209,0
03/01/2019,36.18,36.48,34.5,35.73,-0.03,-0.08%,787009,0
02/01/2019,34.56,39.72,33.88,35.76,1.45,+4.23%,866121,0
01/01/2019,31.55,34.5,31.28,34.31,2.42,+7.59%,550519,0
12/01/2018,35.06,35.59,30.41,31.89,-2.71,-7.83%,697736,0
11/01/2018,35.22,36.9,31.49,34.6,-0.57,-1.62%,807761,0
10/01/2018,39.28,39.28,32.96,35.17,-3.88,-9.94%,547317,0
09/01/2018,39.04,39.77,38.16,39.05,-0.13,-0.33%,431378,0
