Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/01/2023,10.39,12.04,10.18,11.65,1.5,+14.78%,3926072,0
10/01/2022,10.23,12.95,9.66,10.15,0.06,+0.59%,4305623,0
07/01/2022,10.67,15.69,10.07,10.09,-0.62,-5.79%,4165520,0
04/01/2022,14.4,14.55,10.51,10.71,-3.58,-25.05%,5126866,0
01/01/2022,21.59,24.17,11.6419,14.29,-7.03,-32.97%,7356402,0
10/01/2021,17.82,24.89,17.67,21.32,3.62,+20.45%,3796571,0
07/01/2021,17.31,18.92,14.325,17.7,0.55,+3.21%,3311675,0
04/01/2021,17.59,20.7,16.71,17.15,-0.42,-2.39%,3834696,0
01/01/2021,10.85,19.38,10.02,17.57,6.66,+61.04%,4867111,0
10/01/2020,8.09,11.43,7.96,10.91,3.24,+42.24%,3488117,0
07/01/2020,8.81,10.37,7.28,7.67,-1.275,-14.25%,3473368,0
04/01/2020,5.64,10.51,5.325,8.945,3.125,+53.69%,6542180,0
01/01/2020,15.69,15.69,4.09,5.82,-9.735,-62.58%,5880122,0
10/01/2019,14.45,17.2,13.09,15.555,1.15,+7.98%,2636193,0
07/01/2019,15.72,15.83,10.74,14.405,-0.895,-5.85%,3652021,0
04/01/2019,18.41,20.7,13.23,15.3,-2.85,-15.70%,3477963,0
01/01/2019,20.11,22.17,17.3,18.15,-2.26,-11.07%,5616327,0
10/01/2018,23.64,23.97,18.785,20.41,-2.98,-12.74%,3487290,0
07/01/2018,23.09,25.41,20.75,23.39,0.1,+0.43%,3336850,0
04/01/2018,26.58,28.34,23.28,23.29,-3.29,-12.38%,2879429,0
01/01/2018,32.42,36.07,26.26,26.58,-5.73,-17.73%,3177826,0
10/01/2017,33.26,34.52,28.81,32.31,-0.94,-2.83%,2865165,0
07/01/2017,35.14,36.52,29.45,33.25,-1.71,-4.89%,2891261,0
04/01/2017,36.07,36.74,31.33,34.96,-1.04,-2.89%,2808830,0
01/01/2017,31.04,37.2,30.1,36,5.13,+16.62%,2902116,0
10/01/2016,32.26,33.36,26.82,30.87,-1.43,-4.43%,3176920,0
07/01/2016,25.71,32.85,24.31,32.3,6.64,+25.88%,3346395,0
04/01/2016,32.67,32.92,24.4,25.66,-7.32,-22.20%,3323142,0
