Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/01/2023,18.84,19.32,16.51,18.9,0.12,+0.64%,586169,0
10/01/2022,17.7,21.99,17.377,18.78,1.08,+6.10%,671688,0
07/01/2022,17.38,18.825,16.35,17.7,0.26,+1.49%,324150,0
04/01/2022,20.91,21.869,16.13,17.44,-3.47,-16.59%,362314,0
01/01/2022,17.72,21.14,17.41,20.91,3.12,+17.54%,405991,0
10/01/2021,14.24,18.39,13.64,17.79,3.69,+26.17%,396778,0
07/01/2021,16.65,17.25,14.0399,14.1,-2.49,-15.01%,264042,0
04/01/2021,18.23,19.13,15.81,16.59,-1.51,-8.34%,348941,0
01/01/2021,18.42,23.8,17.62,18.1,-0.14,-0.77%,378621,0
10/01/2020,12.74,19.4,12.12,18.24,5.5,+43.17%,298829,0
07/01/2020,10.93,16.38,10.18,12.74,1.76,+16.03%,313273,0
04/01/2020,9.98,12.66,7.84,10.98,0.54,+5.17%,435652,0
01/01/2020,16.12,17.15,5.1,10.44,-5.63,-35.03%,398161,0
10/01/2019,15.77,18.49,14.31,16.07,0.4,+2.55%,291220,0
07/01/2019,20.02,20.6783,13.6,15.67,-4.23,-21.26%,315181,0
04/01/2019,16.98,21.12,16.445,19.9,3.07,+18.24%,280155,0
01/01/2019,14.95,18.99,14.76,16.83,1.68,+11.09%,249183,0
10/01/2018,20.16,20.4,13.89,15.15,-4.93,-24.55%,303766,0
07/01/2018,19.4,23.73,19.3,20.08,0.58,+2.97%,255093,0
04/01/2018,13.65,20.6,13.17,19.5,5.85,+42.86%,387687,0
01/01/2018,13.65,14.35,12.24,13.65,0.07,+0.52%,337060,0
10/01/2017,15.72,16.185,12.61,13.58,-2.15,-13.67%,310114,0
07/01/2017,17.27,17.74,14.62,15.73,-1.48,-8.60%,281746,0
04/01/2017,15.2,17.55,13.45,17.21,1.97,+12.93%,331882,0
01/01/2017,13.13,15.9,13.07,15.24,2.09,+15.89%,338632,0
10/01/2016,11.31,14.18,10.6,13.15,1.83,+16.17%,456019,0
07/01/2016,11.91,13.04,11.13,11.32,-0.59,-4.95%,319284,0
04/01/2016,15.19,15.31,11.1,11.91,-3.33,-21.85%,450771,0
01/01/2016,16.38,17.5,12.51,15.24,-0.88,-5.46%,692962,0
10/01/2015,12.45,16.74,12.11,16.12,3.64,+29.17%,492210,0
07/01/2015,16.6,17.06,12,12.48,-4.09,-24.68%,464109,0
04/01/2015,15.91,17.95,15.33,16.57,0.59,+3.69%,371722,0
01/01/2015,15.65,18.75,15.31,15.98,0.39,+2.50%,416442,0
10/01/2014,13.79,15.99,13.01,15.59,1.82,+13.22%,353398,0
07/01/2014,16.1,16.63,13.69,13.77,-2.28,-14.21%,437542,0
04/01/2014,16.9,18.89,14.1,16.05,-0.83,-4.92%,508596,0
01/01/2014,21.04,21.07,16.28,16.88,-4.18,-19.85%,598373,0
10/01/2013,21.66,24.15,20.29,21.06,-0.67,-3.08%,477629,0
07/01/2013,18.73,23.58,18.63,21.73,3.02,+16.14%,579718,0
04/01/2013,18.15,19.47,17.01,18.71,0.44,+2.41%,428492,0
01/01/2013,17.8,20.96,17.16,18.27,0.91,+5.24%,542961,0
10/01/2012,18.21,19.14,16.02,17.36,-1.17,-6.31%,603856,0
07/01/2012,27.4,28.22,15.04,18.53,-8.98,-32.64%,953255,0
04/01/2012,43.51,44.18,23.93,27.51,-16.22,-37.09%,749314,0
01/01/2012,37.63,45,35.82,43.73,6.74,+18.22%,463053,0
10/01/2011,48.15,49.22,33.08,36.99,-11.51,-23.73%,664334,0
07/01/2011,43.74,50.7,37.05,48.5,4.85,+11.11%,500931,0
04/01/2011,41.71,45.785,38.64,43.65,1.98,+4.75%,429276,0
01/01/2011,35.07,41.84,34.665,41.67,6.76,+19.36%,355251,0
10/01/2010,33.48,35.905,29.175,34.91,1.755,+5.29%,428093,0
07/01/2010,28.94,33.635,26.45,33.155,4.16,+14.35%,466759,0
04/01/2010,30.895,34.445,26.93,28.995,-1.725,-5.62%,688479,0
01/01/2010,31.515,34.295,25.65,30.72,-0.68,-2.17%,704911,0
10/01/2009,31.14,32.99,28.815,31.4,0.615,+2.00%,470515,0
07/01/2009,28.61,32.08,25.435,30.785,2.305,+8.09%,648524,0
04/01/2009,22.925,31,21.72,28.48,5.855,+25.88%,1159139,0
01/01/2009,22.035,24.23,17.13,22.625,0.815,+3.74%,1118819,0
10/01/2008,21.25,22.49,12.85,21.81,0.68,+3.22%,890443,0
07/01/2008,14.54,23.97,13.67,21.13,6.49,+44.33%,645828,0
04/01/2008,15,17.985,14.5,14.64,-0.295,-1.98%,511024,0
01/01/2008,15.17,18.15,13.45,14.935,-0.31,-2.03%,618672,0
10/01/2007,18.385,19.495,13.04,15.245,-3.07,-16.76%,682362,0
07/01/2007,19.15,22.675,16.185,18.315,-0.67,-3.53%,851784,0
04/01/2007,19.995,21.22,18.48,18.985,-1.015,-5.08%,540707,0
01/01/2007,18.77,22.72,18.425,20,1.365,+7.32%,650118,0
10/01/2006,19.52,21.84,17.375,18.635,-0.76,-3.92%,646168,0
07/01/2006,18.58,21,15.215,19.395,0.985,+5.35%,575634,0
04/01/2006,16.735,19.135,14.15,18.41,1.86,+11.24%,1061714,0
01/01/2006,19.5125,22.985,15.905,16.55,-2.64,-13.76%,1443232,0
10/01/2005,17.3375,22.3075,15.5225,19.19,1.9175,+11.10%,1085060,0
07/01/2005,11.7925,17.925,11.6525,17.2725,5.4275,+45.82%,1299587,0
04/01/2005,10.665,15.375,10.21,11.845,1.26,+11.90%,1567231,0
01/01/2005,7.5488,12.225,6.975,10.585,3.11,+41.61%,738767,0
10/01/2004,6.3313,8.1225,6.0125,7.475,1.1613,+18.39%,316137,0
07/01/2004,6.2888,6.9375,5.1925,6.3137,0.1774,+2.89%,302762,0
04/01/2004,5.8513,6.4375,4.9375,6.1363,0.4575,+8.06%,283109,0
