Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/01/2023,17.39,25.93,16.87,25.25,8.37,+49.59%,11719795,0
10/01/2022,19.37,20.915,15.29,16.88,-2.16,-11.34%,12258703,0
07/01/2022,24.78,27.4899,18.8,19.04,-5.64,-22.85%,9833282,0
04/01/2022,37.92,38.16,23.69,24.68,-13.13,-34.73%,9557227,0
01/01/2022,30.62,39.21,27.25,37.81,7.63,+25.28%,14908504,0
10/01/2021,39.88,41.075,28.29,30.18,-9.33,-23.61%,12154078,0
07/01/2021,45.335,45.87,37.772,39.51,-5.69,-12.59%,10690660,0
04/01/2021,45.59,47.455,37.325,45.2,0.1,+0.22%,29827822,0
01/01/2021,37.3,101.97,36.2066,45.1,7.84,+21.04%,30958895,0
10/01/2020,28.16,37.455,26.985,37.26,9.25,+33.02%,10737851,0
07/01/2020,23.33,31.4,21.67,28.01,4.69,+20.11%,9634312,0
04/01/2020,13.41,28.59,11.92,23.32,9.31,+66.45%,14538711,0
01/01/2020,42.21,42.37,10.1,14.01,-27.96,-66.62%,13003630,0
10/01/2019,40.62,43.04,35.02,41.97,1.6,+3.96%,6142087,0
07/01/2019,50.32,53.71,40.075,40.37,-9.53,-19.10%,3948315,0
04/01/2019,48,52.89,46.43,49.9,2.37,+4.99%,2207736,0
01/01/2019,43.62,51.94,43.34,47.53,3.81,+8.71%,3187578,0
10/01/2018,57.51,59.56,41.38,43.72,-13.73,-23.90%,3236200,0
07/01/2018,55.97,59.59,50.91,57.45,1.23,+2.19%,3512873,0
04/01/2018,51.4,58.5,47.54,56.22,4.83,+9.40%,3790121,0
01/01/2018,58.19,61.59,49.24,51.39,-7.61,-12.90%,4234009,0
10/01/2017,58.37,60.77,52.75,59,1,+1.72%,7273831,0
07/01/2017,64.17,68.75,56.91,58,-5.78,-9.06%,2717044,0
04/01/2017,69.37,70.1,59.72,63.78,-5.58,-8.04%,3098165,0
01/01/2017,65.41,69.6,61.95,69.36,5.74,+9.02%,3427437,0
10/01/2016,54.39,65.09,54.35,63.62,8.88,+16.22%,4509477,0
07/01/2016,54.44,58.22,48.88,54.74,0.3,+0.55%,4199337,0
04/01/2016,54.6,57.89,50.53,54.44,-0.65,-1.18%,4004803,0
01/01/2016,46.33,55.38,41.36,55.09,7.96,+16.89%,5134780,0
10/01/2015,39.92,52.17,38.76,47.13,7.23,+18.12%,5758882,0
07/01/2015,55.89,56.39,38.51,39.9,-15.6,-28.11%,5572423,0
04/01/2015,60.47,63.95,55.21,55.5,-5.13,-8.46%,3684033,0
01/01/2015,55.75,63.71,52.94,60.63,5.29,+9.56%,6088367,0
10/01/2014,53.5,56.67,48.83,55.34,1.84,+3.44%,7258667,0
07/01/2014,62.34,65.24,53.49,53.5,-8.64,-13.90%,13057846,0
04/01/2014,62.25,63.96,55.01,62.14,0.34,+0.55%,8492042,0
01/01/2014,63.25,68.1,55.71,61.8,-1.94,-3.04%,5666370,0
10/01/2013,55.14,64.06,53.01,63.74,8.58,+15.55%,4224534,0
07/01/2013,48.89,57.47,48.45,55.16,6.29,+12.87%,3828623,0
04/01/2013,46.73,52.46,43.77,48.87,2.18,+4.67%,6091826,0
01/01/2013,38.82,47.42,37.43,46.69,8.64,+22.71%,7514838,0
10/01/2012,36.4,38.1,31.84,38.05,1.72,+4.73%,6641483,0
07/01/2012,32.76,38.32,29.85,36.33,3.55,+10.83%,5699055,0
04/01/2012,33.8,35,29.81,32.78,-1.13,-3.33%,7424549,0
01/01/2012,27.85,33.94,27.18,33.91,6.77,+24.94%,6604288,0
10/01/2011,20.26,27.72,17.99,27.14,6.76,+33.17%,8185293,0
07/01/2011,28.59,29.68,20.07,20.38,-8.11,-28.47%,11121940,0
04/01/2011,25.13,29.13,23.35,28.49,3.45,+13.78%,9347942,0
01/01/2011,19.25,26.17,18.98,25.04,5.99,+31.44%,10924003,0
10/01/2010,15.98,19.65,15.89,19.05,3.19,+20.11%,9366331,0
07/01/2010,12.89,16.23,12.26,15.86,2.93,+22.66%,9930714,0
04/01/2010,14.13,16.98,12.86,12.93,-1.01,-7.25%,11564436,0
01/01/2010,14.21,14.94,12.33,13.94,-0.11,-0.78%,9600719,0
10/01/2009,11.98,14.56,11.29,14.05,2,+16.60%,10837435,0
07/01/2009,6.95,13.16,5.65,12.05,5.13,+74.13%,11379839,0
04/01/2009,3.78,9.15,3.65,6.92,3.08,+80.21%,12046023,0
01/01/2009,8.19,9.19,3.06,3.84,-4.35,-53.11%,12188678,0
10/01/2008,14.45,14.61,4.36,8.19,-6.39,-43.83%,12732543,0
07/01/2008,19.19,19.4,14.02,14.58,-4.91,-25.19%,7400182,0
04/01/2008,22.34,25,19.1,19.49,-2.59,-11.73%,5698726,0
01/01/2008,27.18,27.18,21,22.08,-5.17,-18.97%,6051567,0
10/01/2007,31.56,32.2,25.57,27.25,-4.25,-13.49%,5096720,0
07/01/2007,33.67,35.75,28.76,31.5,-1.82,-5.46%,5477373,0
04/01/2007,30.79,34.02,30.46,33.32,2.73,+8.92%,4068333,0
01/01/2007,31.15,32.27,28.45,30.59,-0.59,-1.89%,3776860,0
10/01/2006,28.42,32.04,27.33,31.18,3.01,+10.69%,2920733,0
07/01/2006,27.15,29.78,25.53,28.17,1.12,+4.14%,3349857,0
04/01/2006,24.1,27.24,24.05,27.05,3.07,+12.80%,4303176,0
"Downloaded from Barchart.com as of 02-03-2023 01:55am CST"
