Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/01/2023,12.39,13.99,12.1924,13.9,1.56,+12.64%,61217,0
10/01/2022,17.25,19.66,11.13,12.34,-4.35,-26.06%,112557,0
07/01/2022,19.97,21.259,13.0101,16.69,-3.55,-17.54%,153751,0
04/01/2022,10.42,28.82,10.33,20.24,10.38,+105.27%,263551,0
01/01/2022,7.09,10.74,5.22,9.86,2.74,+38.48%,59188,0
10/01/2021,6.09,8.9598,5.42,7.12,1.04,+17.11%,124048,0
07/01/2021,4.14,8.3,3.7,6.08,1.96,+47.57%,256717,0
04/01/2021,3.5,4.34,3.25,4.12,0.57,+16.06%,103588,0
01/01/2021,2.03,12.49,1.76,3.55,1.48,+71.50%,1541088,0
10/01/2020,1.5,2.87,1.234,2.07,0.6601,+46.82%,315382,0
07/01/2020,1.36,1.96,1.35,1.4099,0.0699,+5.22%,35462,0
04/01/2020,1.2,1.9999,1.12,1.34,0.09,+7.20%,53974,0
01/01/2020,2.94,3.17,1.02,1.25,-1.75,-58.33%,13445,0
10/01/2019,3,3.2,2.68,3,0,0.00%,13279,0
07/01/2019,3.8,4.1075,2.84,3,-1,-25.00%,15606,0
04/01/2019,4.02,4.2,3.0127,4,0.06,+1.52%,12519,0
01/01/2019,3.14,4.82,3.14,3.94,0.84,+27.10%,20670,0
10/01/2018,4.25,4.67,2.54,3.1,-1.17,-27.40%,14071,0
07/01/2018,4.9,5.07,4.25,4.27,-0.67,-13.56%,11952,0
04/01/2018,5.77,5.9,4.63,4.94,-0.83,-14.38%,16818,0
01/01/2018,6.3,6.55,5.47,5.77,-0.48,-7.68%,32949,0
10/01/2017,5.71,7.5,5.5,6.25,0.53,+9.27%,24788,0
07/01/2017,5.05,5.76,4.91,5.72,0.67,+13.27%,8083,0
04/01/2017,4.85,5.8,4.6,5.05,0.29,+6.09%,8396,0
01/01/2017,6.3,6.5,4.51,4.76,-1.6,-25.16%,12103,0
10/01/2016,6.7,7.23,5.8,6.36,-0.27,-4.07%,35709,0
07/01/2016,5.1,6.7,5.1,6.63,1.42,+27.26%,14961,0
04/01/2016,5.23,5.87,5.03,5.21,-0.1,-1.88%,6293,0
01/01/2016,5.25,6,4.52,5.31,-0.19,-3.45%,14095,0
10/01/2015,4.85,5.74,4.24,5.5,0.58,+11.79%,26479,0
07/01/2015,5.63,5.74,4.16,4.92,-0.74,-13.07%,22910,0
04/01/2015,6.83,6.84,5.27,5.66,-1.04,-15.52%,14188,0
01/01/2015,7,7,5.56,6.7,-0.3,-4.29%,20595,0
10/01/2014,7.55,9.25,6.38,7,-0.57,-7.53%,32460,0
07/01/2014,6.37,7.82,6.26,7.57,1.21,+19.03%,14389,0
04/01/2014,6.69,6.95,6.02,6.36,-0.38,-5.64%,12604,0
01/01/2014,6.93,7.22,6.02,6.74,-0.24,-3.44%,19675,0
10/01/2013,5.96,7,5.75,6.98,0.95,+15.75%,16003,0
07/01/2013,5.48,6.1,5.29,6.03,0.6,+11.05%,11739,0
04/01/2013,6.09,6.29,5.29,5.43,-0.63,-10.40%,10196,0
01/01/2013,5.2,6.31,5.2,6.06,0.91,+17.67%,17070,0
10/01/2012,5.4,6.72,5,5.15,-0.38,-6.87%,23185,0
07/01/2012,5.53,5.75,5.23,5.53,-0.01,-0.18%,13420,0
04/01/2012,5.66,6.16,4.89,5.54,-0.03,-0.54%,31453,0
01/01/2012,5.3,5.88,5.06,5.57,0.39,+7.53%,29356,0
10/01/2011,4.36,5.4,4,5.18,0.77,+17.46%,22411,0
07/01/2011,4.7,5.65,3.98,4.41,-0.94,-17.57%,20200,0
04/01/2011,5.07,5.93,5,5.35,0.26,+5.11%,18439,0
01/01/2011,4.63,5.2,4.23,5.09,0.46,+9.94%,41138,0
10/01/2010,4.79,5.3,4.36,4.63,-0.4,-7.95%,23932,0
07/01/2010,4.38,5.29,4.25,5.03,0.56,+12.53%,27535,0
04/01/2010,3.21,5.23,3.13,4.47,1.34,+42.81%,44650,0
01/01/2010,2.45,3.6,2.35,3.13,0.62,+24.70%,11254,0
10/01/2009,2.25,3.1,2.13,2.51,0.27,+12.05%,15990,0
07/01/2009,2.2,2.44,1.47,2.24,0.03,+1.36%,15826,0
04/01/2009,1.17,2.49,1.02,2.21,1.18,+114.56%,19347,0
01/01/2009,1.12,1.88,0.9,1.03,-0.08,-7.21%,9466,0
10/01/2008,1.75,2.24,0.77,1.11,-0.63,-36.21%,44237,0
07/01/2008,4.24,4.24,1.67,1.74,-2.52,-59.15%,18973,0
04/01/2008,3.9,4.81,3.75,4.26,0.37,+9.51%,14346,0
01/01/2008,5.79,6.51,3.82,3.89,-1.99,-33.84%,16496,0
10/01/2007,6.5,8.36,4.93,5.88,-0.67,-10.23%,25187,0
07/01/2007,7.7,10.3,6.47,6.55,-1.24,-15.92%,56584,0
04/01/2007,7.26,8.8,5.86,7.79,0.66,+9.26%,56504,0
01/01/2007,5.85,7.9,5.75,7.13,1.14,+19.03%,32660,0
10/01/2006,5.1,6.75,4.9,5.99,0.92,+18.15%,13600,0
07/01/2006,5.01,5.9,4.48,5.07,0.05,+1.00%,12604,0
04/01/2006,6.5,6.73,4.59,5.02,-1.46,-22.53%,14503,0
01/01/2006,5.25,6.5,4.91,6.48,1.38,+27.06%,12141,0
10/01/2005,6.12,7.47,4.86,5.1,-0.91,-15.14%,14106,0
07/01/2005,4.4,7.99,4.17,6.01,1.6,+36.28%,10830,0
04/01/2005,4.66,5,3.96,4.41,-0.63,-12.50%,9193,0
01/01/2005,4.9,5.39,4.31,5.04,0.01,+0.20%,4988,0
10/01/2004,4.89,5.85,3.5,5.03,0.19,+3.93%,7854,0
07/01/2004,6.26,6.73,3.95,4.84,-1.56,-24.38%,8478,0
04/01/2004,7.32,7.69,3.89,6.4,-0.58,-8.31%,10955,0
01/01/2004,7.69,8.06,6.48,6.98,-0.39,-5.29%,12995,0
10/01/2003,5.06,7.69,4.81,7.37,2.53,+52.27%,17153,0
07/01/2003,3.79,5.5,3.39,4.84,0.94,+24.10%,15776,0
04/01/2003,2.96,3.98,2.1,3.9,1.15,+41.82%,53880,0
01/01/2003,3.97,4.08,2.52,2.75,-1.16,-29.67%,8639,0
10/01/2002,4.64,4.94,3.7,3.91,-0.34,-8.00%,4438,0
07/01/2002,4.8,5.14,3.73,4.25,-0.75,-15.00%,4363,0
04/01/2002,4.76,5.25,4.1,5,0.29,+6.16%,6313,0
01/01/2002,4.51,5.34,4.41,4.71,0.01,+0.21%,6835,0
10/01/2001,3.86,4.75,3.41,4.7,0.85,+22.08%,12513,0
07/01/2001,4.85,6.48,3.1,3.85,-1,-20.62%,13675,0
04/01/2001,3.38,5.7,2.85,4.85,1.35,+38.57%,7064,0
01/01/2001,3.59,8,2.88,3.5,-0.13,-3.58%,18579,0
10/01/2000,4,5.69,2.38,3.63,-0.37,-9.25%,65379,0
07/01/2000,7.5,8.25,3.88,4,-3.38,-45.80%,34341,0
04/01/2000,12.13,12.94,7.25,7.38,-5.12,-40.96%,36009,0
01/01/2000,17.38,19.13,10.5,12.5,-4.75,-27.54%,120023,0
10/01/1999,10.88,18.38,10.06,17.25,6.5,+60.47%,76600,0
07/01/1999,13.25,14.88,10.44,10.75,-2.5,-18.87%,92620,0
04/01/1999,11.25,17.38,10.31,13.25,2.25,+20.45%,122761,0
01/01/1999,26.44,26.44,10.63,11,-15.5,-58.49%,77014,0
10/01/1998,14.5,26.88,11.125,26.5,11.75,+79.66%,94809,0
07/01/1998,20,24.25,10.75,14.75,-5.5625,-27.38%,100439,0
04/01/1998,26,28.25,17.75,20.3125,-6.5625,-24.42%,122498,0
01/01/1998,16.375,30.125,15.25,26.875,9.875,+58.09%,168472,0
10/01/1997,16.125,17.875,11.875,17,0.875,+5.43%,70603,0
07/01/1997,10.75,16.625,10.5,16.125,5.5,+51.76%,78367,0
04/01/1997,7,11.125,6.625,10.625,3.625,+51.79%,57807,0
01/01/1997,8.75,10,6.25,7,-1.75,-20.00%,18418,0
10/01/1996,12.125,12.25,7,8.75,-3.75,-30.00%,24701,0
07/01/1996,8.75,12.875,5.75,12.5,3.5,+38.89%,18545,0
04/01/1996,9.2,15.38,8.5,9,-0.05,-0.55%,45600,0
01/01/1996,3.15,10.65,3.15,9.05,5.9,+187.30%,8359,0
10/01/1995,3.3,3.75,2.65,3.15,-0.15,-4.55%,1674,0
"Downloaded from Barchart.com as of 02-04-2023 07:10am CST"
