Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,19.72,19.88,19.49,19.83,-0.02,-0.10%,94749
01/12/2023,20.2,20.21,19.47,19.85,0.6,+3.12%,518000
01/11/2023,19.7,19.74,19.07,19.25,-0.45,-2.28%,430600
01/10/2023,19.64,19.84,19.32,19.7,0.24,+1.23%,492800
01/09/2023,19.97,19.97,19.31,19.46,0.31,+1.62%,388400
01/06/2023,18.66,19.29,18.45,19.15,0.8,+4.36%,373000
01/05/2023,19.08,19.08,18.34,18.35,-0.74,-3.88%,359600
01/04/2023,18.95,19.47,18.94,19.09,0.26,+1.38%,395200
01/03/2023,18.71,19.22,18.65,18.83,0.04,+0.21%,347800
12/30/2022,18.67,18.98,18.59,18.79,0,0.00%,286500
12/29/2022,18.22,18.84,18.2,18.79,0.54,+2.96%,328900
12/28/2022,18.34,18.73,18.1,18.25,-0.29,-1.56%,385800
12/27/2022,18.76,18.77,18.45,18.54,-0.25,-1.33%,253500
12/23/2022,18.48,18.91,18.335,18.79,0.12,+0.64%,231700
12/22/2022,18.84,18.84,18.48,18.67,-0.36,-1.89%,231600
12/21/2022,18.56,19.19,18.52,19.03,0.47,+2.53%,259600
12/20/2022,18.5,18.685,18.25,18.56,-0.06,-0.32%,528400
12/19/2022,18.83,19.02,18.48,18.62,-0.32,-1.69%,617800
12/16/2022,19.17,19.41,18.83,18.94,-0.38,-1.97%,2578100
12/15/2022,20.23,20.32,19.06,19.32,-1.23,-5.99%,781200
12/14/2022,20.44,21.03,20.28,20.55,0.21,+1.03%,670400
12/13/2022,20.96,21.15,20.24,20.34,-0.13,-0.64%,571800
12/12/2022,20.24,20.475,20.05,20.47,0.5,+2.50%,297500
12/09/2022,20.53,20.53,19.93,19.97,-0.52,-2.54%,287400
12/08/2022,19.25,20.53,19.23,20.49,1.44,+7.56%,418400
12/07/2022,19.43,19.56,19.02,19.05,-0.33,-1.70%,561700
12/06/2022,20.52,20.69,19.35,19.38,-1.23,-5.97%,452100
12/05/2022,20.95,20.95,20.46,20.61,-0.26,-1.25%,303800
12/02/2022,20.56,20.89,20.18,20.87,0.31,+1.51%,496300
12/01/2022,20.4,20.56,20.15,20.56,0.29,+1.43%,310100
11/30/2022,19.6,20.32,19.42,20.27,0.79,+4.06%,629400
11/29/2022,19.86,19.86,19.415,19.48,-0.1,-0.51%,338700
11/28/2022,20.06,20.14,19.35,19.58,-0.71,-3.50%,358200
11/25/2022,20.78,20.84,20.255,20.29,0.04,+0.20%,159400
11/23/2022,20.36,20.84,20.06,20.25,-0.1,-0.49%,423900
11/22/2022,20.56,20.575,20.2921,20.35,-0.17,-0.83%,340500
11/21/2022,20.72,20.8,20.16,20.52,-0.53,-2.52%,303100
11/18/2022,20.86,21.68,20.74,21.05,0.63,+3.09%,557900
11/17/2022,20.29,20.43,19.88,20.42,0.01,+0.05%,389800
11/16/2022,21.26,21.365,20.32,20.41,-1.13,-5.25%,470700
11/15/2022,20.47,21.65,20.47,21.54,1.67,+8.40%,687800
11/14/2022,19.56,20.2,19.55,19.87,0.24,+1.22%,451600
11/11/2022,19.42,20.04,19.18,19.63,0.21,+1.08%,597000
11/10/2022,18.66,19.54,18.52,19.42,1.23,+6.76%,629700
11/09/2022,20.06,20.06,18.145,18.19,-2.02,-10.00%,1104600
11/08/2022,20.25,20.77,18.69,20.21,-0.44,-2.13%,1878700
11/07/2022,20.55,20.89,20.41,20.65,0.15,+0.73%,889500
11/04/2022,22.41,22.41,19.85,20.5,-1.82,-8.15%,1141400
11/03/2022,22.09,22.5,22.01,22.32,-0.07,-0.31%,350700
11/02/2022,22.77,23.21,22.24,22.39,-0.27,-1.19%,519300
11/01/2022,22.62,22.83,22.32,22.66,0.2,+0.89%,410900
10/31/2022,22.32,22.93,22.32,22.46,-0.04,-0.18%,633900
10/28/2022,22.47,22.69,22.4,22.5,0.05,+0.22%,445900
10/27/2022,22.49,22.82,22.25,22.45,0.06,+0.27%,512200
10/26/2022,21.96,22.6,21.82,22.39,0.65,+2.99%,556800
10/25/2022,20.06,22.38,19.77,21.74,2.42,+12.53%,1835400
10/24/2022,19.3,19.4388,18.99,19.32,0.21,+1.10%,204900
10/21/2022,18.86,19.29,18.79,19.11,0.41,+2.19%,290000
10/20/2022,18.92,19.37,18.68,18.7,-0.37,-1.94%,334600
10/19/2022,19.28,19.44,18.96,19.07,-0.53,-2.70%,340700
10/18/2022,19.85,20.12,19.27,19.6,-0.12,-0.61%,557100
10/17/2022,19.7,20,19.49,19.72,0.44,+2.28%,479200
10/14/2022,19.69,19.805,19.07,19.28,-0.61,-3.07%,376800
10/13/2022,19.15,19.91,18.8,19.89,0.57,+2.95%,384100
10/12/2022,19.5,19.729,19.32,19.32,-0.19,-0.97%,267800
10/11/2022,19.8,19.98,19.18,19.51,-0.51,-2.55%,406100
10/10/2022,20.32,20.59,19.65,20.02,-0.5,-2.44%,390700
10/07/2022,20.15,20.59,20.15,20.52,0.3,+1.48%,841900
10/06/2022,20.58,20.78,20.08,20.22,-0.47,-2.27%,646500
10/05/2022,20.33,20.875,20.255,20.69,0.17,+0.83%,431600
10/04/2022,20,20.52,19.955,20.52,0.74,+3.74%,796600
10/03/2022,19.75,19.83,19.36,19.78,0.2,+1.02%,683100
09/30/2022,19.35,20.005,19.2,19.58,0.25,+1.29%,571300
09/29/2022,19.31,19.45,19.09,19.33,-0.27,-1.38%,509100
09/28/2022,19.21,19.78,18.845,19.6,0.63,+3.32%,572900
09/27/2022,19.22,19.51,18.675,18.97,-0.03,-0.16%,546500
09/26/2022,18.25,19.6,18.17,19,0.89,+4.91%,1010400
