Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,95.65,95.85,94.67,95.14,-1.27,-1.32%,980448
01/12/2023,97.58,97.8436,96.25,96.41,-1.22,-1.25%,2505700
01/11/2023,97.25,97.79,97.03,97.63,0.35,+0.36%,5187300
01/10/2023,97.61,98.08,96.47,97.28,-0.67,-0.68%,3975900
01/09/2023,96.41,98.32,96.23,97.95,1.42,+1.47%,2561300
01/06/2023,94.76,97.18,94.76,96.53,2.75,+2.93%,2287400
01/05/2023,94.84,95.45,93.48,93.78,-1.74,-1.82%,2374100
01/04/2023,95.27,96.87,94.89,95.52,0.65,+0.69%,1963500
01/03/2023,94.9,95.29,93.39,94.87,-0.08,-0.08%,1870500
12/30/2022,95.9,96.08,94.07,94.95,-1.06,-1.10%,1405300
12/29/2022,95.93,96.66,95.665,96.01,0.65,+0.68%,1415900
12/28/2022,96.49,96.86,95.3,95.36,-0.93,-0.97%,1391700
12/27/2022,95.97,96.46,95.2363,96.29,0.6,+0.63%,1327500
12/23/2022,94.25,95.73,94.08,95.69,1.22,+1.29%,1406100
12/22/2022,94.95,95.005,92.973,94.47,-0.87,-0.91%,3310100
12/21/2022,94.06,95.36,93.7694,95.34,1.67,+1.78%,2399100
12/20/2022,94.03,94.3608,93.29,93.67,-0.33,-0.35%,1975500
12/19/2022,94.1,95.14,93.47,94,-0.57,-0.60%,3337000
12/16/2022,94.92,94.92,92.81,94.57,-1,-1.05%,6084000
12/15/2022,98.34,98.52,95.32,95.57,-2.92,-2.96%,6069400
12/14/2022,98.99,100.28,97.98,98.49,-0.13,-0.13%,3048200
12/13/2022,99.77,100.32,97.51,98.62,0.07,+0.07%,4842700
12/12/2022,97.32,98.59,96.36,98.55,1.97,+2.04%,2132600
12/09/2022,97.77,97.93,96.345,96.58,-1.14,-1.17%,2552400
12/08/2022,96.53,98.29,96.35,97.72,1.05,+1.09%,3735000
12/07/2022,97.47,98.64,96.27,96.67,0.3,+0.31%,6140600
12/06/2022,94.34,96.635,94.21,96.37,1.85,+1.96%,4255200
12/05/2022,94.53,94.93,94.11,94.52,-0.6,-0.63%,2495900
12/02/2022,95.27,95.4,94.5,95.12,-1.36,-1.41%,3491900
12/01/2022,97.74,98.21,95.98,96.48,-0.32,-0.33%,2846400
11/30/2022,94.57,96.88,93.97,96.8,2.15,+2.27%,4346900
11/29/2022,94.6,94.88,94.01,94.65,-0.57,-0.60%,2044400
11/28/2022,97.16,97.28,93.99,95.22,-0.25,-0.26%,4529500
11/25/2022,95.35,95.81,94.95,95.47,0.34,+0.36%,1252000
11/23/2022,93.71,95.21,93.43,95.13,1.42,+1.52%,3323000
11/22/2022,93.61,94.7,93.04,93.71,0.56,+0.60%,3287000
11/21/2022,91.42,93.33,91.34,93.15,1.87,+2.05%,3150600
11/18/2022,89.68,91.5899,89.68,91.28,2.21,+2.48%,4318800
11/17/2022,89.05,89.53,88.51,89.07,-0.67,-0.75%,2589600
11/16/2022,89.73,90.6,89.51,89.74,0.52,+0.58%,3294700
11/15/2022,89.72,90.5822,88.05,89.22,0.56,+0.63%,4912300
11/14/2022,90.33,90.585,88.46,88.66,-1.32,-1.47%,3045700
11/11/2022,91.27,91.93,89.15,89.98,-1.82,-1.98%,3966700
11/10/2022,90.33,91.98,88.94,91.8,3.98,+4.53%,4115000
11/09/2022,88.31,88.8,87.63,87.82,-1.43,-1.60%,2931903
11/08/2022,88.06,89.62,88,89.25,1.25,+1.42%,2959700
11/07/2022,89.84,89.84,86.68,88,-1.57,-1.75%,3038500
11/04/2022,88.82,89.68,87.72,89.57,0.89,+1.00%,3304400
11/03/2022,87.77,89.58,87.225,88.68,0.47,+0.53%,4020820
11/02/2022,88.51,90.64,88.17,88.21,-0.32,-0.36%,3172600
11/01/2022,88.1,89.2,87.62,88.53,0.61,+0.69%,4169700
10/31/2022,89.35,89.39,87.36,87.92,-1.48,-1.66%,4104000
10/28/2022,87.56,89.56,87.56,89.4,2.22,+2.55%,2633900
10/27/2022,86.17,89.32,86.15,87.18,-0.27,-0.31%,2740400
10/26/2022,88,88.61,87.24,87.45,0.03,+0.03%,2198700
10/25/2022,86.05,87.56,85.99,87.42,1.42,+1.65%,2579900
10/24/2022,86.48,86.99,85.25,86,0.37,+0.43%,2141900
10/21/2022,84.11,86.16,83.41,85.63,1.7,+2.03%,2278600
10/20/2022,86.29,86.29,83.54,83.93,-1.97,-2.29%,3165500
10/19/2022,85.47,86.34,85.05,85.9,-0.68,-0.79%,1806500
10/18/2022,85.96,86.8639,85.34,86.58,1.53,+1.80%,2612200
10/17/2022,84.8,86.06,84.73,85.05,1.53,+1.83%,3606400
10/14/2022,85.34,86.17,83.14,83.52,-1.26,-1.49%,4001100
10/13/2022,80.8,85.04,80.3,84.78,3.04,+3.72%,4047200
10/12/2022,84.87,84.87,81.67,81.74,-3.13,-3.69%,2552800
10/11/2022,84.31,86.19,84.18,84.87,0.42,+0.50%,3921100
10/10/2022,83.25,84.99,83.22,84.45,1.46,+1.76%,4127900
10/07/2022,84.55,84.88,82.57,82.99,-1.52,-1.80%,3717100
