Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,233.17,240.15,232.2825,239.76,4.18,+1.77%,807100
01/12/2023,234.16,237.24,228.34,235.58,1.42,+0.61%,1007200
01/11/2023,234,238.15,231.21,234.16,1.91,+0.82%,1151100
01/10/2023,227.17,233.45,227.17,232.25,4.58,+2.01%,720600
01/09/2023,224.03,230.35,222.08,227.67,6.9,+3.13%,830600
01/06/2023,222.1,222.99,212.87,220.77,0.95,+0.43%,636900
01/05/2023,221.89,222.9171,216.9,219.82,-4.81,-2.14%,778600
01/04/2023,217.26,225.23,215.14,224.63,12.35,+5.82%,1021100
01/03/2023,215.46,219.53,208.285,212.28,1.38,+0.65%,1170100
12/30/2022,208.1,211.31,206.71,210.9,-1.24,-0.58%,681700
12/29/2022,203.61,214.2,201.61,212.14,10.56,+5.24%,728400
12/28/2022,204.8,206.525,200.39,201.58,-3.01,-1.47%,1140500
12/27/2022,203.23,207.12,200.16,204.59,0.92,+0.45%,729900
12/23/2022,201.58,203.88,198.25,203.67,0.18,+0.09%,931500
12/22/2022,202.28,203.63,196.88,203.49,-0.79,-0.39%,728800
12/21/2022,201.04,204.385,200.16,204.28,3.53,+1.76%,818900
12/20/2022,196.3,203.64,195.86,200.75,1.99,+1.00%,903400
12/19/2022,197.9,202.81,197.81,198.76,0.55,+0.28%,1176700
12/16/2022,198.25,200,192.998,198.21,-3.76,-1.86%,2033700
12/15/2022,191.74,216.04,186.74,201.97,6.16,+3.15%,2746700
12/14/2022,197.32,202,193.52,195.81,-2.77,-1.39%,694000
12/13/2022,205.81,207.49,195.89,198.58,3.57,+1.83%,1031000
12/12/2022,190.95,196.435,188.4,195.01,6.2,+3.28%,1106900
12/09/2022,190.52,193.54,188.4827,188.81,-1.65,-0.87%,603600
12/08/2022,188.53,192.02,186.05,190.46,3.13,+1.67%,663400
12/07/2022,185.67,189.09,184.66,187.33,1.29,+0.69%,564200
12/06/2022,186.76,187.23,183.26,186.04,-1.87,-1.00%,708600
12/05/2022,195,195.8422,187.54,187.91,-10.5,-5.29%,932800
12/02/2022,197.03,199.995,195.925,198.41,-3.36,-1.67%,566900
12/01/2022,197.59,202.24,195.7,201.77,5.11,+2.60%,848800
11/30/2022,192.39,196.74,184.69,196.66,4.83,+2.52%,1694100
11/29/2022,188.86,194.05,187.36,191.83,2.05,+1.08%,583600
11/28/2022,194.69,197.86,189.07,189.78,-4.89,-2.51%,772700
11/25/2022,194.82,196.28,190.99,194.67,-1.61,-0.82%,387800
11/23/2022,192.33,199.17,191.035,196.28,4.89,+2.55%,455800
11/22/2022,192.9,192.9,188.01,191.39,-0.24,-0.13%,757200
11/21/2022,190.38,194.25,189,191.63,-1.93,-1.00%,737500
11/18/2022,200,201.15,191.7369,193.56,-1.4,-0.72%,605900
11/17/2022,195.58,196.63,191.71,194.96,-6.43,-3.19%,1243700
11/16/2022,212.84,212.9025,200.18,201.39,-11.53,-5.42%,732200
11/15/2022,215.55,220.3,211.87,212.92,2.59,+1.23%,816500
11/14/2022,214.74,214.99,210.062,210.33,-8.65,-3.95%,1330100
11/11/2022,197.8,221.62,195.95,218.98,22.5,+11.45%,1909800
11/10/2022,186.96,196.71,186.5,196.48,21.9,+12.54%,1605100
11/09/2022,179.72,179.72,174.13,174.58,-5.82,-3.23%,1202300
11/08/2022,181.4,185.48,175.34,180.4,-0.97,-0.53%,1412900
11/07/2022,182.8,184.35,178.93,181.37,0.44,+0.24%,911000
11/04/2022,182.54,182.61,175.93,180.93,5.1,+2.90%,844400
11/03/2022,176.39,177.34,172.05,175.83,-3.25,-1.81%,1277100
11/02/2022,192.44,193.27,178.91,179.08,-13.98,-7.24%,1348100
11/01/2022,197.55,202.42,192.53,193.06,-1.24,-0.64%,2003400
10/31/2022,190,201.5618,190,194.3,5.68,+3.01%,1990100
10/28/2022,180.23,190.445,179.25,188.62,7.09,+3.91%,1865600
10/27/2022,188.89,188.89,176.0001,181.53,-40.11,-18.10%,4187800
10/26/2022,219.17,229.56,217.98,221.64,3.66,+1.68%,1303700
10/25/2022,212.39,221.72,212.39,217.98,6.59,+3.12%,1402100
10/24/2022,207.97,211.51,204.87,211.39,3.72,+1.79%,852000
10/21/2022,196.58,208.45,192.63,207.67,9.39,+4.74%,1183000
10/20/2022,204.01,208.055,197.78,198.28,-6.7,-3.27%,1076900
10/19/2022,207.17,210.07,203.57,204.98,-5.02,-2.39%,530000
