Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,14.9,15.04,14.6586,14.86,-0.13,-0.87%,129400
01/12/2023,14.67,15.47,14.5,14.99,0.49,+3.38%,177100
01/11/2023,14.5,14.65,14.4,14.5,0,0.00%,256800
01/10/2023,14.84,14.91,14.38,14.5,-0.34,-2.29%,201000
01/09/2023,14.94,15.48,14.78,14.84,0.1,+0.68%,142100
01/06/2023,15.16,15.25,14.657,14.74,-0.28,-1.86%,134301
01/05/2023,15.12,15.85,14.87,15.02,-0.2,-1.31%,76000
01/04/2023,15.33,15.72,14.73,15.22,-0.07,-0.46%,86020
01/03/2023,14.87,15.36,14.72,15.29,0.61,+4.16%,220301
12/30/2022,14.65,14.86,14.52,14.68,-0.06,-0.41%,70100
12/29/2022,14.43,14.92,14.33,14.74,0.45,+3.15%,92000
12/28/2022,14.43,14.64,14.24,14.29,-0.18,-1.24%,91200
12/27/2022,14.48,14.59,14.0305,14.47,0.05,+0.35%,89300
12/23/2022,14.39,14.54,14.201,14.42,0.03,+0.21%,116000
12/22/2022,14.08,14.41,13.8101,14.39,0.16,+1.12%,136901
12/21/2022,14.16,14.38,13.96,14.23,0.13,+0.92%,100300
12/20/2022,13.95,14.22,13.79,14.1,0.1,+0.71%,153801
12/19/2022,14.15,14.18,13.7,14,-0.22,-1.55%,260200
12/16/2022,13.72,14.34,13.68,14.22,0.29,+2.08%,762600
12/15/2022,14,14.035,13.61,13.93,-0.21,-1.49%,192600
12/14/2022,14.23,14.41,14.02,14.14,-0.08,-0.56%,217200
12/13/2022,14.83,15.04,14.02,14.22,-0.05,-0.35%,300800
12/12/2022,13.97,14.485,13.93,14.27,0.35,+2.51%,167610
12/09/2022,14.04,14.25,13.589,13.92,-0.16,-1.14%,103101
12/08/2022,13.75,14.2,13.52,14.08,0.22,+1.59%,139800
12/07/2022,14.23,14.37,13.83,13.86,-0.33,-2.33%,104450
12/06/2022,14.42,14.42,14.055,14.19,-0.23,-1.60%,88800
12/05/2022,14.84,14.84,14.29,14.42,-0.47,-3.16%,124300
12/02/2022,14.8,14.98,14.67,14.89,-0.29,-1.91%,137601
12/01/2022,14.84,15.445,14.77,15.18,0.37,+2.50%,150100
11/30/2022,14.17,14.84,14.04,14.81,0.57,+4.00%,265700
11/29/2022,14.31,14.42,13.96,14.24,-0.01,-0.07%,137400
11/28/2022,14.54,14.55,14.2,14.25,-0.35,-2.40%,148700
11/25/2022,14.55,14.99,14.49,14.6,0.06,+0.41%,60700
11/23/2022,14.26,14.58,14.15,14.54,0.25,+1.75%,107200
11/22/2022,14.35,14.35,13.665,14.29,-0.02,-0.14%,189500
11/21/2022,15.01,15.01,14.09,14.31,-0.84,-5.54%,158205
11/18/2022,17.06,17.06,13.39,15.15,-1.18,-7.23%,383000
11/17/2022,16.57,16.61,16.08,16.33,-0.57,-3.37%,126100
