Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,10.2,10.46,10.04,10.16,-0.16,-1.55%,4724600
01/12/2023,10,10.34,9.85,10.32,0.3,+2.99%,3666500
01/11/2023,10.72,10.72,9.94,10.02,-0.67,-6.27%,4974900
01/10/2023,10.55,10.805,10.42,10.69,0.06,+0.56%,3768100
01/09/2023,11.23,11.36,9.55,10.63,-1.19,-10.07%,8745800
01/06/2023,11.8,12.075,11.625,11.82,0.1,+0.85%,3523500
01/05/2023,11.64,11.785,11.32,11.72,-0.12,-1.01%,2056000
01/04/2023,11.5,11.985,11.4,11.84,0.39,+3.41%,4033300
01/03/2023,11.55,11.62,11.005,11.45,-0.03,-0.26%,3553500
12/30/2022,11.07,11.515,10.965,11.48,0.31,+2.78%,2349800
12/29/2022,10.92,11.345,10.78,11.17,0.35,+3.23%,2762200
12/28/2022,10.89,11.04,10.7117,10.82,-0.1,-0.92%,1408500
12/27/2022,11.4,11.47,10.8,10.92,-0.53,-4.63%,1629500
12/23/2022,11.23,11.54,11.0499,11.45,0.26,+2.32%,3036700
12/22/2022,10.7,11.2,10.63,11.19,0.36,+3.32%,1857000
12/21/2022,10.64,11.01,10.575,10.83,0.2,+1.88%,1955300
12/20/2022,10.55,10.9,10.52,10.63,0,0.00%,1990200
12/19/2022,10.96,11.06,10.51,10.63,-0.31,-2.83%,2334100
12/16/2022,10.44,11.01,10.36,10.94,0.13,+1.20%,6660000
12/15/2022,10.5,11.42,10.48,10.81,-0.36,-3.22%,5589300
12/14/2022,11.07,11.315,10.965,11.17,0.06,+0.54%,1488500
12/13/2022,11.39,11.47,10.81,11.11,-0.01,-0.09%,2111200
12/12/2022,10.61,11.14,10.4901,11.12,0.62,+5.90%,2110200
12/09/2022,10.43,10.6573,10.43,10.5,-0.02,-0.19%,1550100
12/08/2022,10.76,10.95,10.46,10.52,-0.2,-1.87%,1886200
12/07/2022,10.89,11.1199,10.56,10.72,-0.17,-1.56%,2488400
12/06/2022,11.48,11.485,10.75,10.89,-0.69,-5.96%,3548600
12/05/2022,12.69,12.745,11.41,11.58,-1.21,-9.46%,4332400
12/02/2022,12.82,12.93,12.69,12.79,-0.17,-1.31%,1836100
12/01/2022,13.36,13.49,12.745,12.96,-0.4,-2.99%,2152100
11/30/2022,12.73,13.42,12.68,13.36,0.72,+5.70%,2847400
11/29/2022,12.28,12.65,12.15,12.64,0.38,+3.10%,2081900
11/28/2022,12.37,12.615,12.178,12.26,-0.02,-0.16%,1563200
11/25/2022,12.31,12.4,12.23,12.28,-0.11,-0.89%,647800
11/23/2022,12.72,12.82,12.295,12.39,-0.31,-2.44%,1177000
11/22/2022,12.56,12.71,12.225,12.7,0.21,+1.68%,2064500
11/21/2022,12.45,12.535,12.16,12.49,0.06,+0.48%,1931800
11/18/2022,12.49,12.58,12.21,12.43,0.21,+1.72%,1784700
11/17/2022,12.71,12.78,12.07,12.22,-0.67,-5.20%,2110800
11/16/2022,13.22,13.41,12.85,12.89,-0.35,-2.64%,1813000
11/15/2022,14,14.2,13.045,13.24,-0.47,-3.43%,2797700
11/14/2022,13.15,13.975,13,13.71,0.54,+4.10%,3427700
11/11/2022,12.85,13.28,12.71,13.17,0.21,+1.62%,2441700
11/10/2022,12.26,13.117,12.26,12.96,1.22,+10.39%,3792700
11/09/2022,12.09,12.285,11.68,11.74,-0.38,-3.14%,2308700
11/08/2022,11.9,12.32,11.75,12.12,0.29,+2.45%,3085100
11/07/2022,12.44,12.47,11.82,11.83,-0.61,-4.90%,2498500
11/04/2022,12.11,12.51,12.05,12.44,0.41,+3.41%,4029100
11/03/2022,11.94,12.355,11.74,12.03,0.01,+0.08%,2868000
11/02/2022,12.5,13.15,12,12.02,0.16,+1.35%,5043600
11/01/2022,12.155,12.155,11.15,11.86,-1.49,-11.16%,10619700
10/31/2022,13.96,13.96,13.29,13.35,-0.69,-4.91%,3213300
10/28/2022,13.7,14.06,13.3307,14.04,0.44,+3.24%,2891700
10/27/2022,13.95,14.11,13.5615,13.6,-0.27,-1.95%,2423200
10/26/2022,13.7,14.2,13.65,13.87,0.2,+1.46%,2310000
10/25/2022,13.8,13.945,13.65,13.67,-0.11,-0.80%,1798200
10/24/2022,14.2,14.27,13.38,13.78,-0.36,-2.55%,3138200
10/21/2022,13.65,14.19,13.43,14.14,0.6,+4.43%,5324700
10/20/2022,13.61,13.89,13.46,13.54,0.01,+0.07%,1575300
10/19/2022,13.71,13.9217,13.375,13.53,-0.28,-2.03%,3016400
10/18/2022,13.97,14.315,13.7219,13.81,0.12,+0.88%,2656100
10/17/2022,13.63,13.8,13.4,13.69,0.16,+1.18%,1702500
10/14/2022,14.2,14.5,13.5,13.53,-0.38,-2.73%,1632000
10/13/2022,13.3,14.0807,13.2,13.91,0.08,+0.58%,2444700
10/12/2022,13.79,13.93,13.215,13.83,0.04,+0.29%,1881300
10/11/2022,13.67,14.265,13.415,13.79,0.1,+0.73%,2196100
10/10/2022,13.62,13.91,13.38,13.69,0.03,+0.22%,2244400
10/07/2022,14.06,14.165,13.6,13.66,-0.54,-3.80%,2048400
10/06/2022,14.14,14.465,13.99,14.2,0.06,+0.42%,2125600
10/05/2022,13.83,14.31,13.76,14.14,0.07,+0.50%,2982200
10/04/2022,13.18,14.29,13.15,14.07,1.27,+9.92%,5406800
10/03/2022,12.86,12.9,12.5,12.8,0.2,+1.59%,1780000
09/30/2022,12.35,12.94,12.35,12.6,0.24,+1.94%,1710400
09/29/2022,12.74,12.8215,12.26,12.36,-0.55,-4.26%,1630400
09/28/2022,12.65,13.04,12.535,12.91,0.39,+3.12%,2131000
09/27/2022,12.41,12.68,12.32,12.52,0.41,+3.39%,2146700
09/26/2022,12.34,12.57,12.08,12.11,-0.25,-2.02%,1658800
09/23/2022,12.5,12.61,12.03,12.36,-0.34,-2.68%,2264400
09/22/2022,12.93,13.03,12.63,12.7,-0.35,-2.68%,1403500
09/21/2022,13.5,13.62,13.01,13.05,-0.32,-2.39%,1577000
09/20/2022,13.56,13.69,13.11,13.37,-0.21,-1.55%,2487300
09/19/2022,13.04,13.68,12.92,13.58,0.43,+3.27%,3263600
09/16/2022,12.55,13.505,12.55,13.15,0.32,+2.49%,5559200
09/15/2022,13.44,13.57,12.77,12.83,-0.66,-4.89%,3459000
09/14/2022,13.22,13.555,13.02,13.49,0.32,+2.43%,2017400
09/13/2022,13.39,13.5,13.07,13.17,-0.61,-4.43%,2879500
09/12/2022,13.46,13.79,13.1,13.78,0.33,+2.45%,2124200
09/09/2022,13.8,13.96,13.44,13.45,-0.28,-2.04%,2413700
09/08/2022,13.84,13.84,13.215,13.73,-0.1,-0.72%,3193400
09/07/2022,13.6,13.89,13.55,13.83,0.21,+1.54%,2263200
09/06/2022,14.04,14.105,13.595,13.62,-0.45,-3.20%,1953100
09/02/2022,14.24,14.49,13.98,14.07,-0.03,-0.21%,1982700
09/01/2022,13.79,14.12,13.405,14.1,0.2,+1.44%,2448000
08/31/2022,13.89,14.18,13.77,13.9,0.07,+0.51%,1732100
08/30/2022,14,14.22,13.7153,13.83,-0.12,-0.86%,1443400
08/29/2022,14.01,14.43,13.85,13.95,-0.31,-2.17%,2058100
08/26/2022,14.91,15,14.23,14.26,-0.53,-3.58%,1967600
08/25/2022,14.99,15.11,14.68,14.79,-0.02,-0.14%,1304300
08/24/2022,14.31,15.12,14.3,14.81,0.36,+2.49%,2234500
08/23/2022,14.04,14.65,13.93,14.45,0.47,+3.36%,1968000
08/22/2022,13.98,14.62,13.9,13.98,-0.15,-1.06%,1864000
08/19/2022,14.05,14.23,13.895,14.13,-0.2,-1.40%,1843900
