Time,Open,High,Low,Last,Change,%Chg,Volume
01/17/2023,9.95,10.74,9.9,10.63,0.61,+6.09%,98371
01/13/2023,9.16,10.35,9.0998,10.02,0.7,+7.51%,645300
01/12/2023,9.13,9.65,8.88,9.32,0.15,+1.64%,337200
01/11/2023,9.6,9.6,8.61,9.17,-0.48,-4.97%,420800
01/10/2023,9.14,9.9597,9.14,9.65,0.35,+3.76%,626300
01/09/2023,8.85,10.11,8.26,9.3,0.53,+6.04%,728600
01/06/2023,10.21,10.5,8.7111,8.77,-1.44,-14.10%,696000
01/05/2023,10.73,10.87,9.91,10.21,-0.36,-3.41%,382500
01/04/2023,9.45,10.7,8.96,10.57,1.17,+12.45%,665200
01/03/2023,9.65,10.16,8.81,9.4,0.15,+1.62%,1297200
12/30/2022,9.09,9.64,8.3897,9.25,-0.02,-0.22%,629800
12/29/2022,7.99,9.95,7.98,9.27,1.21,+15.01%,1325200
12/28/2022,7.32,8.18,7.31,8.06,0.43,+5.64%,340200
12/27/2022,8.56,8.56,7.27,7.63,-0.85,-10.02%,675400
12/23/2022,9.19,9.27,7.55,8.48,-0.82,-8.82%,1204300
12/22/2022,8.5,9.86,8.5,9.3,0.78,+9.15%,1997200
12/21/2022,7.38,8.9,7.21,8.52,1.39,+19.50%,2188700
12/20/2022,6.16,7.14,6.1042,7.13,0.91,+14.63%,757500
12/19/2022,6.83,6.84,5.9,6.22,-0.57,-8.39%,573900
12/16/2022,6.58,7.3899,6.2004,6.79,0.04,+0.59%,1625500
12/15/2022,6.67,6.87,6.3915,6.75,-0.06,-0.88%,507100
12/14/2022,5.46,7.3,5.3815,6.81,1.44,+26.82%,1246700
12/13/2022,5.57,5.82,5.32,5.37,-0.13,-2.36%,576400
12/12/2022,6.02,6.16,5.19,5.5,-0.46,-7.72%,873400
12/09/2022,5.53,6,5.11,5.96,0.43,+7.78%,624500
12/08/2022,5.45,6.17,5.08,5.53,0.01,+0.18%,1894500
12/07/2022,5.02,5.6173,4.99,5.52,0.52,+10.40%,811900
12/06/2022,4.92,5.02,4.43,5,0.03,+0.60%,1028900
12/05/2022,4.94,5.34,4.82,4.97,0.03,+0.61%,577500
12/02/2022,4.68,5,4.6,4.94,0.26,+5.56%,526500
12/01/2022,4.58,5.16,4.48,4.68,0.2,+4.46%,1537900
11/30/2022,3.88,4.48,3.88,4.48,0.6,+15.46%,951000
11/29/2022,3.64,3.9,3.47,3.88,0.33,+9.30%,338000
11/28/2022,3.48,3.88,3.44,3.55,0.07,+2.01%,479500
11/25/2022,3.5,3.55,3.32,3.48,-0.05,-1.42%,112300
11/23/2022,3.59,3.68,3.32,3.53,-0.06,-1.67%,311100
11/22/2022,3.33,3.66,3.22,3.59,0.24,+7.16%,725100
11/21/2022,3.89,3.94,3.2201,3.35,-0.54,-13.88%,1388800
11/18/2022,3.61,3.99,3.47,3.89,0.31,+8.66%,831500
11/17/2022,3.67,3.77,3.46,3.58,-0.2,-5.29%,1050900
11/16/2022,3.65,3.93,3.34,3.78,0.21,+5.88%,1886200
11/15/2022,3.15,3.58,2.91,3.57,0.46,+14.79%,1440800
11/14/2022,2.37,3.12,2.34,3.11,0.73,+30.67%,2294800
11/11/2022,2.01,2.44,2,2.38,0.35,+17.24%,831700
11/10/2022,2.03,2.08,1.95,2.03,0.09,+4.64%,704900
11/09/2022,2.07,2.14,1.9,1.94,-0.22,-10.19%,540500
11/08/2022,2.15,2.1984,2.05,2.16,-0.02,-0.92%,460200
11/07/2022,2.21,2.2161,2.01,2.18,-0.07,-3.11%,361300
11/04/2022,2.4,2.44,2.13,2.25,-0.12,-5.06%,707000
11/03/2022,2,2.42,1.94,2.37,0.39,+19.70%,1496900
11/02/2022,2.14,2.18,1.81,1.98,-0.08,-3.88%,1115300
11/01/2022,1.74,2.1997,1.71,2.06,0.37,+21.89%,1948600
10/31/2022,1.68,1.7599,1.62,1.69,-0.02,-1.17%,307000
10/28/2022,1.64,1.81,1.55,1.71,0.07,+4.27%,1034000
10/27/2022,1.73,1.74,1.56,1.64,-0.07,-4.09%,828100
10/26/2022,1.81,1.84,1.68,1.71,-0.075,-4.20%,878500
10/25/2022,1.73,1.93,1.67,1.785,0.055,+3.18%,2185600
10/24/2022,1.82,1.9,1.6016,1.73,-0.07,-3.89%,1623000
10/21/2022,1.77,2.1,1.63,1.8,-0.16,-8.16%,7268300
10/20/2022,1.25,2.04,1.18,1.96,0.66,+50.77%,12967000
10/19/2022,1.06,1.34,1.06,1.3,0.3086,+31.13%,10587500
10/18/2022,0.9315,1.02,0.93,0.9914,0.0639,+6.89%,1775200
10/17/2022,0.885,0.939,0.8501,0.9275,0.0773,+9.09%,1043000
10/14/2022,0.76,0.879,0.742,0.8502,0.094,+12.43%,977100
10/13/2022,0.74,0.77,0.7216,0.7562,-0.0037,-0.49%,497700
10/12/2022,0.71,0.7941,0.71,0.7599,0.0579,+8.25%,637500
10/11/2022,0.719,0.76,0.701,0.702,-0.0129,-1.80%,794600
10/10/2022,0.7,0.72,0.68,0.7149,0.0249,+3.61%,147600
10/07/2022,0.68,0.7207,0.68,0.69,-0.0307,-4.26%,229800
10/06/2022,0.74,0.74,0.6932,0.7207,-0.0108,-1.48%,149000
10/05/2022,0.75,0.75,0.6705,0.7315,-0.0149,-2.00%,265800
10/04/2022,0.64,0.76,0.64,0.7464,0.1043,+16.24%,942100
10/03/2022,0.66,0.675,0.635,0.6421,-0.008,-1.23%,402800
09/30/2022,0.6667,0.6749,0.637,0.6501,0.0201,+3.19%,282600
09/29/2022,0.68,0.685,0.61,0.63,-0.0217,-3.33%,308000
09/28/2022,0.6124,0.6799,0.6124,0.6517,0.0085,+1.32%,386400
09/27/2022,0.63,0.679,0.6211,0.6432,0.0121,+1.92%,259100
09/26/2022,0.644,0.6671,0.614,0.6311,0.0019,+0.30%,415500
09/23/2022,0.63,0.68,0.59,0.6292,-0.0007,-0.11%,676400
09/22/2022,0.6712,0.7048,0.62,0.6299,-0.0421,-6.26%,702200
09/21/2022,0.73,0.73,0.6512,0.672,-0.0629,-8.56%,1156300
09/20/2022,0.81,0.82,0.72,0.7349,-0.051,-6.49%,788800
09/19/2022,0.8175,0.83,0.768,0.7859,-0.0248,-3.06%,589300
09/16/2022,0.8797,0.8797,0.81,0.8107,-0.0691,-7.85%,868800
09/15/2022,0.89,0.919,0.8701,0.8798,0.0055,+0.63%,383000
09/14/2022,0.911,0.95,0.873,0.8743,-0.0372,-4.08%,474900
09/13/2022,0.89,0.925,0.8603,0.9115,0.0394,+4.52%,539900
09/12/2022,0.89,0.9325,0.8,0.8721,-0.0707,-7.50%,2045200
09/09/2022,1,1,0.93,0.9428,-0.0272,-2.80%,891200
09/08/2022,1,1.01,0.96,0.97,-0.04,-3.96%,1018200
09/07/2022,0.981,1.02,0.981,1.01,0.0206,+2.08%,652900
09/06/2022,1.03,1.03,0.957,0.9894,-0.0105,-1.05%,454700
09/02/2022,1.02,1.04,0.95,0.9999,-0.0101,-1.00%,769400
09/01/2022,0.96,1.02,0.9005,1.01,0.0551,+5.77%,1136800
08/31/2022,1.01,1.06,0.95,0.9549,-0.0351,-3.55%,1209800
08/30/2022,1.2,1.25,0.9521,0.99,-0.265,-21.12%,3562900
08/29/2022,1.89,2.1,1.1,1.255,-0.645,-33.95%,7354300
08/26/2022,1.88,2.02,1.81,1.9,-0.15,-7.32%,1188800
08/25/2022,1.85,2.07,1.71,2.05,0.19,+10.22%,2055900
08/24/2022,1.91,2.11,1.7599,1.86,-0.04,-2.11%,2614900
08/23/2022,1.62,2,1.61,1.9,0.23,+13.77%,4400000
08/22/2022,1.38,2.14,1.38,1.67,0.34,+25.56%,39066700
08/19/2022,1.37,1.41,1.32,1.33,-0.09,-6.34%,274900
08/18/2022,1.36,1.47,1.3,1.42,0.06,+4.41%,284200
08/17/2022,1.5,1.5005,1.35,1.36,-0.14,-9.33%,270700
08/16/2022,1.49,1.56,1.44,1.5,-0.03,-1.96%,218800
08/15/2022,1.54,1.6,1.4767,1.53,0,0.00%,211300
08/12/2022,1.49,1.56,1.455,1.53,0.08,+5.52%,292000
08/11/2022,1.36,1.4866,1.32,1.45,0.17,+13.28%,517200
08/10/2022,1.16,1.28,1.16,1.28,0.12,+10.34%,1504800
08/09/2022,1.28,1.29,1.15,1.16,-0.09,-7.20%,174600
08/08/2022,1.35,1.3835,1.21,1.25,-0.08,-6.02%,164100
08/05/2022,1.29,1.37,1.27,1.33,0.04,+3.10%,203100
08/04/2022,1.26,1.3,1.25,1.29,0.05,+4.03%,523700
08/03/2022,1.29,1.3,1.21,1.24,0,0.00%,177600
08/02/2022,1.14,1.27,1.12,1.24,0.09,+7.83%,1061400
08/01/2022,1.21,1.38,1.12,1.15,-0.03,-2.54%,517600
07/29/2022,1.14,1.21,1.07,1.18,0.01,+0.85%,184600
07/28/2022,1.22,1.33,1.15,1.17,-0.08,-6.40%,366500
07/27/2022,1.36,1.3699,1.2,1.25,-0.1,-7.41%,188800
07/26/2022,1.33,1.39,1.28,1.35,0.03,+2.27%,117100
07/25/2022,1.37,1.415,1.29,1.32,-0.09,-6.38%,186900
07/22/2022,1.54,1.54,1.34,1.41,-0.09,-6.00%,156800
07/21/2022,1.45,1.54,1.42,1.5,-0.02,-1.32%,263900
