Time,Open,High,Low,Last,Change,%Chg,Volume
01/24/2023,5.79,5.92,5.62,5.73,-0.05,-0.87%,1949200
01/23/2023,5.49,5.78,5.465,5.78,0.28,+5.09%,2149900
01/20/2023,5.47,5.6,5.36,5.5,0.09,+1.66%,1750700
01/19/2023,5.51,5.54,5.395,5.41,-0.17,-3.05%,1325200
01/18/2023,5.91,5.97,5.545,5.58,-0.3,-5.10%,2460800
01/17/2023,5.82,5.99,5.81,5.88,0.07,+1.20%,1290400
01/13/2023,5.78,5.85,5.7,5.81,-0.04,-0.68%,1140900
01/12/2023,5.76,5.875,5.6,5.85,0.14,+2.45%,1440000
01/11/2023,5.63,5.77,5.59,5.71,0.18,+3.25%,1342500
01/10/2023,5.41,5.58,5.235,5.53,0.15,+2.79%,1844000
01/09/2023,5.46,5.59,5.33,5.38,-0.01,-0.19%,1854200
01/06/2023,5.2,5.425,5.125,5.39,0.28,+5.48%,2251800
01/05/2023,5.14,5.2375,5.0314,5.11,-0.09,-1.73%,1868300
01/04/2023,5.09,5.27,5.06,5.2,0.11,+2.16%,1767800
01/03/2023,5.29,5.73,5.07,5.09,-0.11,-2.12%,2427300
12/30/2022,5.17,5.25,5.13,5.2,-0.07,-1.33%,1866600
12/29/2022,5.15,5.465,5.13,5.27,0.17,+3.33%,1950400
12/28/2022,5.08,5.23,5.055,5.1,0.01,+0.20%,1785400
12/27/2022,5.34,5.38,5.05,5.09,-0.27,-5.04%,1939400
12/23/2022,5.36,5.38,5.22,5.36,0.04,+0.75%,1346700
12/22/2022,5.57,5.57,5.215,5.32,-0.31,-5.51%,2122500
12/21/2022,5.6,5.7,5.51,5.63,0.1,+1.81%,1808600
12/20/2022,5.6,5.76,5.5,5.53,-0.15,-2.64%,1816100
12/19/2022,5.85,5.89,5.6,5.68,-0.15,-2.57%,1792700
12/16/2022,5.67,5.865,5.58,5.83,0.06,+1.04%,4364000
12/15/2022,5.85,5.925,5.68,5.77,-0.23,-3.83%,1699300
12/14/2022,5.92,6.205,5.91,6,0.21,+3.63%,3565300
12/13/2022,5.97,6.05,5.67,5.79,0.07,+1.22%,2184200
12/12/2022,5.5,5.75,5.44,5.72,0.22,+4.00%,1606600
12/09/2022,5.65,5.72,5.495,5.5,-0.19,-3.34%,2202700
12/08/2022,5.93,5.94,5.61,5.69,-0.14,-2.40%,1896900
12/07/2022,5.9,6.045,5.8218,5.83,-0.06,-1.02%,1220000
12/06/2022,6.06,6.1183,5.82,5.89,-0.2,-3.28%,2259200
12/05/2022,6.52,6.6,6.06,6.09,-0.41,-6.31%,1738100
12/02/2022,6.29,6.56,6.24,6.5,0.09,+1.40%,2202600
12/01/2022,6.78,6.82,6.39,6.41,-0.35,-5.18%,2817600
11/30/2022,6.31,6.78,6.25,6.76,0.45,+7.13%,3035800
11/29/2022,6.19,6.36,6.15,6.31,0.16,+2.60%,1646600
11/28/2022,6.21,6.245,6.05,6.15,-0.2,-3.15%,1707000
11/25/2022,6.28,6.39,6.17,6.35,0.08,+1.28%,571500
11/23/2022,6.31,6.375,6.11,6.27,-0.16,-2.49%,2007400
11/22/2022,6.63,6.6301,6.385,6.43,-0.14,-2.13%,1819900
11/21/2022,6.48,6.58,6.25,6.57,0.02,+0.31%,2376400
11/18/2022,6.88,6.88,6.46,6.55,-0.27,-3.96%,2358500
11/17/2022,7,7.09,6.665,6.82,-0.43,-5.93%,2682300
11/16/2022,7.24,7.3201,7.13,7.25,-0.08,-1.09%,1557200
11/15/2022,7.44,7.52,7.245,7.33,0.06,+0.83%,1704400
11/14/2022,7.59,7.68,7.16,7.27,-0.46,-5.95%,2874300
11/11/2022,7.39,7.73,7.33,7.73,0.36,+4.88%,2847400
11/10/2022,7.34,7.43,7.12,7.37,0.4,+5.74%,2988300
11/09/2022,6.58,7.63,6.56,6.97,0.1,+1.46%,6463600
11/08/2022,6.87,7.05,6.6591,6.87,0.05,+0.73%,3307900
11/07/2022,6.84,6.89,6.6001,6.82,0.08,+1.19%,2660900
11/04/2022,6.61,6.93,6.525,6.74,0.31,+4.82%,2723700
11/03/2022,6.33,6.7,6.27,6.43,0.02,+0.31%,1936600
11/02/2022,6.66,6.7893,6.38,6.41,-0.29,-4.33%,2486600
11/01/2022,6.82,7,6.67,6.7,-0.01,-0.15%,2164300
10/31/2022,6.5,6.785,6.46,6.71,0.12,+1.82%,2224500
10/28/2022,6.85,6.88,6.305,6.59,-0.19,-2.80%,3691200
10/27/2022,7.23,7.28,6.75,6.78,-0.34,-4.78%,1858300
10/26/2022,6.86,7.42,6.795,7.12,0.25,+3.64%,4162800
10/25/2022,6.47,6.89,6.45,6.87,0.42,+6.51%,2148400
10/24/2022,6.63,6.64,6.365,6.45,-0.18,-2.71%,1997700
10/21/2022,6.39,6.67,6.31,6.63,0.27,+4.25%,2517300
10/20/2022,6.39,6.92,6.315,6.36,-0.02,-0.31%,4120900
10/19/2022,6.08,6.43,6.03,6.38,0.25,+4.08%,4912400
10/18/2022,5.74,6.14,5.67,6.13,0.53,+9.46%,5271700
10/17/2022,5.24,5.91,5.2,5.6,0.73,+14.99%,7275100
10/14/2022,5.17,5.275,4.87,4.87,-0.3,-5.80%,2755200
10/13/2022,4.79,5.175,4.635,5.17,0.28,+5.73%,3115500
10/12/2022,5.01,5.0337,4.76,4.89,-0.16,-3.17%,2393300
10/11/2022,5.09,5.18,4.9,5.05,-0.12,-2.32%,3288900
10/10/2022,5.34,5.4,5.09,5.17,-0.16,-3.00%,1655300
10/07/2022,5.7,5.7,5.29,5.33,-0.41,-7.14%,2259200
10/06/2022,5.87,6.04,5.7,5.74,-0.19,-3.20%,1780700
10/05/2022,5.85,5.96,5.72,5.93,-0.09,-1.50%,2211700
10/04/2022,6.01,6.09,5.88,6.02,0.15,+2.56%,3281300
10/03/2022,5.55,5.87,5.4401,5.87,0.53,+9.93%,4026800
09/30/2022,5.33,5.585,5.31,5.34,-0.05,-0.93%,1837200
09/29/2022,5.56,5.62,5.28,5.39,-0.29,-5.11%,1766300
09/28/2022,5.41,5.735,5.39,5.68,0.3,+5.58%,2494400
09/27/2022,5.22,5.46,5.12,5.38,0.33,+6.53%,2524000
09/26/2022,5.27,5.43,5.035,5.05,-0.28,-5.25%,2612000
09/23/2022,5.52,5.595,5.26,5.33,-0.41,-7.14%,2403700
09/22/2022,5.95,6.12,5.74,5.74,-0.2,-3.37%,1799000
09/21/2022,6.16,6.31,5.93,5.94,-0.13,-2.14%,1943100
09/20/2022,6.28,6.32,6.055,6.07,-0.3,-4.71%,1686500
09/19/2022,6.09,6.4,6.09,6.37,0.08,+1.27%,2071700
09/16/2022,6.09,6.33,5.85,6.29,0.09,+1.45%,10223900
09/15/2022,6.25,6.29,5.985,6.2,-0.06,-0.96%,2805900
09/14/2022,6.3,6.41,6.16,6.26,-0.03,-0.48%,2103700
09/13/2022,6.44,6.56,6.205,6.29,-0.47,-6.95%,3560800
09/12/2022,6.87,6.89,6.44,6.76,-0.06,-0.88%,2690200
09/09/2022,6.61,6.84,6.57,6.82,0.31,+4.76%,2627200
09/08/2022,6.26,6.56,6.15,6.51,0.29,+4.66%,2360300
09/07/2022,6.15,6.28,5.955,6.22,0.01,+0.16%,2642300
09/06/2022,6.28,6.31,6.0425,6.21,-0.02,-0.32%,2517800
09/02/2022,6.36,6.39,6.125,6.23,0.06,+0.97%,2663000
09/01/2022,6.66,6.66,6.055,6.17,-0.55,-8.18%,3047000
08/31/2022,6.61,6.87,6.53,6.72,0.1,+1.51%,2211000
08/30/2022,7.056,7.085,6.515,6.62,-0.51,-7.15%,3228800
08/29/2022,7.03,7.33,6.97,7.13,0.01,+0.14%,2370300
08/26/2022,7.49,7.49,7.09,7.12,-0.42,-5.57%,2088000
08/25/2022,7.8,7.87,7.5,7.54,-0.16,-2.08%,2180800
08/24/2022,7.51,7.78,7.45,7.7,0.17,+2.26%,1552100
08/23/2022,7.6,7.73,7.46,7.53,0.12,+1.62%,2084000
08/22/2022,7.33,7.57,7.265,7.41,-0.07,-0.94%,2321500
08/19/2022,7.74,7.795,7.43,7.48,-0.38,-4.83%,2845200
08/18/2022,7.58,7.99,7.57,7.86,0.34,+4.52%,3493300
08/17/2022,7.59,7.71,7.325,7.52,-0.17,-2.21%,3187700
08/16/2022,7.79,8.02,7.58,7.69,-0.3,-3.75%,3680300
08/15/2022,7.98,8.125,7.755,7.99,-0.18,-2.20%,2183300
08/12/2022,8.25,8.28,8.055,8.17,-0.1,-1.21%,2476700
08/11/2022,8.2,8.5783,8.02,8.27,0.37,+4.68%,4772000
08/10/2022,7.76,8.03,7.515,7.9,0.24,+3.13%,3144400
08/09/2022,8.02,8.1788,7.585,7.66,-0.44,-5.43%,3801500
08/08/2022,7.9,8.24,7.76,8.1,0.53,+7.00%,7182400
08/05/2022,6.58,7.685,6.51,7.57,1.25,+19.78%,6742400
08/04/2022,6.48,6.48,6.25,6.32,-0.1,-1.56%,2784900
08/03/2022,6.7,6.7299,6.319,6.42,-0.17,-2.58%,2534100
08/02/2022,6.17,6.6987,6.11,6.59,0.39,+6.29%,3309800
08/01/2022,6.37,6.37,6.08,6.2,-0.28,-4.32%,2880900
07/29/2022,6.19,6.62,6.15,6.48,0.33,+5.37%,3822400
07/28/2022,5.93,6.305,5.82,6.15,0.52,+9.24%,4281100
07/27/2022,5.45,5.66,5.375,5.63,0.26,+4.84%,2296900
07/26/2022,5.45,5.51,5.32,5.37,-0.13,-2.36%,1963600
07/25/2022,5.42,5.51,5.33,5.5,0.1,+1.85%,1815200
07/22/2022,5.48,5.57,5.36,5.4,-0.07,-1.28%,2640800
07/21/2022,5.41,5.49,5.31,5.47,-0.04,-0.73%,1922500
07/20/2022,5.43,5.6,5.4,5.51,0.04,+0.73%,2123900
07/19/2022,5.15,5.5,5.11,5.47,0.42,+8.32%,2570700
07/18/2022,5.14,5.295,5.0333,5.05,0.02,+0.40%,3067900
07/15/2022,5.09,5.1,4.745,5.03,0.03,+0.60%,3594900
07/14/2022,4.86,5,4.79,5,-0.03,-0.60%,2305100
07/13/2022,4.9,5.1074,4.89,5.03,0.07,+1.41%,1740200
07/12/2022,4.96,5.04,4.83,4.96,0,0.00%,2188400
07/11/2022,5.02,5.075,4.915,4.96,-0.14,-2.75%,2020300
07/08/2022,5.18,5.205,4.975,5.1,-0.08,-1.54%,2284000
07/07/2022,4.82,5.2,4.8,5.18,0.43,+9.05%,3992400
07/06/2022,4.6,4.82,4.55,4.75,0.14,+3.04%,3895100
07/05/2022,4.42,4.62,4.34,4.61,0.04,+0.88%,4600100
07/01/2022,4.5,4.6,4.34,4.57,0.09,+2.01%,3945800
06/30/2022,4.44,4.5655,4.34,4.48,-0.06,-1.32%,4755500
06/29/2022,4.93,4.97,4.51,4.54,-0.37,-7.54%,4554100
06/28/2022,5.52,5.5805,4.885,4.91,-0.52,-9.58%,4486900
06/27/2022,5.14,5.55,5.065,5.43,0.38,+7.52%,6388200
06/24/2022,5.1,5.25,5.01,5.05,0,0.00%,6940000
06/23/2022,4.94,5.09,4.655,5.05,0.21,+4.34%,6670000
06/22/2022,4.85,5.02,4.75,4.84,-0.16,-3.20%,4973500
06/21/2022,4.94,5.2,4.91,5,0.17,+3.52%,5425600
06/17/2022,4.85,5.1677,4.78,4.83,0.04,+0.84%,14585400
06/16/2022,4.83,5,4.72,4.79,-0.27,-5.34%,7158800
06/15/2022,4.87,5.19,4.745,5.06,0.27,+5.64%,5042600
06/14/2022,4.91,5.03,4.69,4.79,-0.03,-0.62%,2791100
06/13/2022,5.35,5.375,4.81,4.82,-0.83,-14.69%,5034600
06/10/2022,6.06,6.2385,5.41,5.65,-0.6,-9.60%,3825200
06/09/2022,5.63,6.455,5.49,6.25,0.52,+9.08%,9723900
06/08/2022,5.98,6,5.67,5.73,-0.25,-4.18%,2148600
06/07/2022,5.58,6.03,5.58,5.98,0.3,+5.28%,3964600
06/06/2022,5.85,5.85,5.4,5.68,0.03,+0.53%,2404600
06/03/2022,5.79,5.86,5.62,5.65,-0.19,-3.25%,1802600
06/02/2022,5.43,5.99,5.41,5.84,0.36,+6.57%,2559000
06/01/2022,5.56,5.64,5.2576,5.48,-0.05,-0.90%,2381100
05/31/2022,5.67,5.705,5.34,5.53,-0.03,-0.54%,3428000
05/27/2022,5.31,5.57,5.305,5.56,0.29,+5.50%,2539300
05/26/2022,5.03,5.33,4.97,5.27,0.26,+5.19%,2403200
05/25/2022,4.75,5.03,4.745,5.01,0.24,+5.03%,2275100
05/24/2022,4.79,4.84,4.575,4.77,-0.1,-2.05%,2534300
05/23/2022,4.97,4.97,4.7,4.87,-0.03,-0.61%,1762000
05/20/2022,5.04,5.15,4.6612,4.9,-0.09,-1.80%,3114600
05/19/2022,4.83,5.12,4.8,4.99,0.1,+2.04%,2329600
05/18/2022,4.93,5.09,4.775,4.89,-0.07,-1.41%,2500800
05/17/2022,4.91,5.02,4.77,4.96,0.13,+2.69%,2274500
05/16/2022,4.96,5.0382,4.8,4.83,-0.03,-0.62%,2376600
05/13/2022,4.47,4.97,4.47,4.86,0.46,+10.45%,3715300
05/12/2022,4.11,4.425,4.02,4.4,0.24,+5.77%,4846000
05/11/2022,4.1,4.495,4.1,4.16,-0.06,-1.42%,3731700
05/10/2022,4.45,4.545,4.03,4.22,-0.01,-0.24%,5619900
05/09/2022,4.97,4.99,4.22,4.23,-0.9,-17.54%,6455300
05/06/2022,5.72,5.72,4.55,5.13,-0.81,-13.64%,7339100
05/05/2022,6.22,6.24,5.78,5.94,-0.34,-5.41%,2789300
05/04/2022,6.18,6.29,5.78,6.28,0.24,+3.97%,2972400
05/03/2022,5.81,6.18,5.8,6.04,0.23,+3.96%,2700900
05/02/2022,5.82,5.92,5.58,5.81,-0.05,-0.85%,4460700
04/29/2022,6.19,6.285,5.84,5.86,-0.36,-5.79%,2033700
04/28/2022,6.27,6.28,5.935,6.22,0.06,+0.97%,2348900
04/27/2022,6.18,6.325,6.055,6.16,-0.1,-1.60%,2209700
04/26/2022,6.44,6.63,6.21,6.26,-0.24,-3.69%,1732100
04/25/2022,6.23,6.565,6.17,6.5,0.06,+0.93%,2523500
04/22/2022,6.6,6.8184,6.4,6.44,-0.16,-2.42%,1893500
04/21/2022,7.23,7.28,6.54,6.6,-0.47,-6.65%,2390900
04/20/2022,7.26,7.26,6.925,7.07,-0.07,-0.98%,2237600
04/19/2022,7.12,7.32,7.09,7.14,0.04,+0.56%,1739500
04/18/2022,7.28,7.28,7.06,7.1,-0.12,-1.66%,1601000
04/14/2022,7.462,7.52,7.2,7.22,-0.28,-3.73%,1711100
04/13/2022,7.46,7.64,7.46,7.5,0.07,+0.94%,2062100
04/12/2022,7.71,7.78,7.375,7.43,-0.04,-0.54%,2086200
04/11/2022,7.32,7.58,7.3,7.47,0,0.00%,2246300
04/08/2022,7.79,7.79,7.45,7.47,-0.27,-3.49%,1865100
04/07/2022,7.81,7.955,7.485,7.74,-0.03,-0.39%,2223600
04/06/2022,8.05,8.13,7.6,7.77,-0.42,-5.13%,3044900
04/05/2022,8.39,8.6512,8.18,8.19,-0.14,-1.68%,3708800
04/04/2022,8.06,8.375,8.01,8.33,0.38,+4.78%,2609000
04/01/2022,8,8.155,7.82,7.95,0.01,+0.13%,2097000
03/31/2022,7.98,8.215,7.905,7.94,-0.05,-0.63%,2515100
03/30/2022,7.93,8.485,7.8948,7.99,0.11,+1.40%,3434100
03/29/2022,7.69,7.93,7.615,7.88,0.19,+2.47%,2850400
03/28/2022,7.77,7.8,7.43,7.69,-0.23,-2.90%,3050600
03/25/2022,7.72,8.03,7.6801,7.92,0.15,+1.93%,2742300
03/24/2022,7.75,7.7828,7.48,7.77,0.06,+0.78%,2864100
03/23/2022,7.85,7.9866,7.66,7.71,-0.13,-1.66%,2917600
03/22/2022,7.76,7.885,7.63,7.84,0.1,+1.29%,3295000
03/21/2022,8.17,8.26,7.69,7.74,-0.26,-3.25%,4062900
03/18/2022,7.87,8.11,7.8503,8,0.05,+0.63%,6802100
03/17/2022,7.36,8.02,7.325,7.95,0.62,+8.46%,3954600
03/16/2022,7.2,7.355,7.03,7.33,0.16,+2.23%,3562500
03/15/2022,7.01,7.2,6.71,7.17,-0.04,-0.55%,3652500
03/14/2022,7.7,7.72,7.14,7.21,-0.65,-8.27%,5117000
03/11/2022,8.33,8.4,7.86,7.86,-0.33,-4.03%,3784476
03/10/2022,8.11,8.34,8.02,8.19,-0.01,-0.12%,3639000
03/09/2022,7.98,8.285,7.875,8.2,0.17,+2.12%,5044200
03/08/2022,7.56,8.29,7.54,8.03,0.59,+7.93%,7447500
03/07/2022,7.49,7.917,7.39,7.44,0.05,+0.68%,4512100
03/04/2022,7.23,7.48,7.22,7.39,0.07,+0.96%,3630700
03/03/2022,7.58,7.73,7.21,7.32,-0.24,-3.17%,2438000
03/02/2022,7.56,7.65,7.31,7.56,0.13,+1.75%,3755300
03/01/2022,7.4,7.67,7.24,7.43,0.16,+2.20%,6501300
02/28/2022,6.91,7.29,6.9,7.27,0.32,+4.60%,5704100
02/25/2022,6.46,6.99,6.17,6.95,0.43,+6.60%,5356900
02/24/2022,5.79,6.57,5.77,6.52,0.51,+8.49%,4273000
02/23/2022,6.1,6.39,5.99,6.01,0.03,+0.50%,3140000
02/22/2022,6.1,6.255,5.9,5.98,-0.16,-2.61%,2808500
02/18/2022,6.25,6.36,6.09,6.14,-0.17,-2.69%,2370300
02/17/2022,6.55,6.605,6.26,6.31,-0.33,-4.97%,1624500
02/16/2022,6.65,6.73,6.58,6.64,-0.01,-0.15%,2036800
02/15/2022,6.51,6.725,6.42,6.65,0.2,+3.10%,2156300
02/14/2022,6.51,6.685,6.401,6.45,-0.15,-2.27%,2945800
02/11/2022,6.73,6.84,6.56,6.6,-0.03,-0.45%,3928800
02/10/2022,6.61,6.97,6.57,6.63,-0.11,-1.63%,3882000
02/09/2022,6.48,6.75,6.395,6.74,0.4,+6.31%,2945600
02/08/2022,6.16,6.36,6.091,6.34,0.14,+2.26%,3138900
02/07/2022,6.02,6.255,5.91,6.2,0.2,+3.33%,3838100
02/04/2022,5.92,6.11,5.855,6,0.14,+2.39%,3316200
02/03/2022,5.9,6.05,5.84,5.86,-0.17,-2.82%,2843800
02/02/2022,6.33,6.36,6,6.03,-0.31,-4.89%,3171900
02/01/2022,6.09,6.445,6.03,6.34,0.27,+4.45%,4065700
01/31/2022,5.7,6.1,5.7,6.07,0.38,+6.68%,3880800
01/28/2022,5.67,5.71,5.4,5.69,0.02,+0.35%,3915500
01/27/2022,6.17,6.28,5.43,5.67,-0.03,-0.53%,10133000
01/26/2022,6.06,6.55,5.67,5.7,0.19,+3.45%,15212200
01/25/2022,5.11,5.54,5.06,5.51,0.27,+5.15%,4862500
01/24/2022,4.9,5.27,4.7,5.24,0.1,+1.95%,5165900
01/21/2022,5.34,5.48,5.13,5.14,-0.37,-6.72%,4223400
01/20/2022,5.71,5.96,5.5,5.51,-0.22,-3.84%,2974300
01/19/2022,5.92,5.99,5.68,5.73,-0.04,-0.69%,2775400
01/18/2022,6.08,6.11,5.715,5.77,-0.31,-5.10%,3174100
01/14/2022,5.98,6.12,5.87,6.08,0.04,+0.66%,2980100
01/13/2022,6.35,6.358,6.02,6.04,-0.25,-3.97%,2143500
01/12/2022,6.4,6.43,6.22,6.29,-0.06,-0.94%,1864800
01/11/2022,6.11,6.395,6,6.35,0.29,+4.79%,2464800
01/10/2022,6.15,6.185,5.86,6.06,-0.14,-2.26%,3140100
01/07/2022,6.2,6.265,6.07,6.2,0.01,+0.16%,2588500
01/06/2022,6.19,6.28,5.94,6.19,0.12,+1.98%,4382700
01/05/2022,6.6,6.6611,6.06,6.07,-0.56,-8.45%,4134600
01/04/2022,6.78,6.78,6.48,6.63,0.09,+1.38%,3818700
01/03/2022,6.2,6.565,6.1925,6.54,0.41,+6.69%,3409500
12/31/2021,6.22,6.37,6.125,6.13,-0.13,-2.08%,3120400
12/30/2021,6.09,6.5,6.09,6.26,0.15,+2.45%,4345400
12/29/2021,6.3,6.36,6.09,6.11,-0.26,-4.08%,3551800
12/28/2021,6.47,6.62,6.36,6.37,-0.11,-1.70%,2469100
12/27/2021,6.55,6.56,6.355,6.48,-0.08,-1.22%,2870100
12/23/2021,6.53,6.68,6.49,6.56,0.05,+0.77%,1882100
12/22/2021,6.45,6.6098,6.37,6.51,0.02,+0.31%,2463700
12/21/2021,6.29,6.52,6.24,6.49,0.29,+4.68%,3708400
12/20/2021,6.18,6.28,6.05,6.2,-0.2,-3.13%,3766400
12/17/2021,6.18,6.52,6.055,6.4,0.17,+2.73%,6616900
12/16/2021,6.54,6.58,6.17,6.23,-0.17,-2.66%,4602900
12/15/2021,5.99,6.43,5.85,6.4,0.37,+6.14%,4422600
12/14/2021,6.48,6.49,5.98,6.03,-0.62,-9.32%,5298000
12/13/2021,6.87,6.93,6.565,6.65,-0.32,-4.59%,3411400
12/10/2021,6.97,7.0078,6.61,6.97,0.06,+0.87%,3237100
12/09/2021,6.96,7.11,6.855,6.91,-0.21,-2.95%,2291100
12/08/2021,6.81,7.17,6.79,7.12,0.35,+5.17%,2777900
12/07/2021,6.78,6.96,6.71,6.77,0.18,+2.73%,3416100
12/06/2021,6.38,6.68,6.09,6.59,0.24,+3.78%,3849900
12/03/2021,6.69,6.77,6.27,6.35,-0.31,-4.65%,4334300
12/02/2021,6.66,6.88,6.6,6.66,-0.01,-0.15%,3795500
12/01/2021,7.31,7.34,6.66,6.67,-0.5,-6.97%,3563600
11/30/2021,7.07,7.24,6.86,7.17,-0.07,-0.97%,4100200
11/29/2021,7.35,7.47,7.055,7.24,0.04,+0.56%,3350500
11/26/2021,7.32,7.36,6.95,7.2,-0.55,-7.10%,3786000
11/24/2021,7.66,7.81,7.54,7.75,0.03,+0.39%,1968900
11/23/2021,7.59,7.9,7.52,7.72,0.13,+1.71%,2931300
11/22/2021,7.7,7.8979,7.47,7.59,-0.05,-0.65%,4233900
11/19/2021,7.65,7.8,7.55,7.64,-0.22,-2.80%,3907000
11/18/2021,7.92,8.1,7.72,7.86,-0.06,-0.76%,3502700
11/17/2021,8.19,8.33,7.88,7.92,-0.3,-3.65%,4087500
11/16/2021,8.27,8.2999,8.075,8.22,-0.1,-1.20%,3441400
11/15/2021,8.55,8.62,8.16,8.32,-0.31,-3.59%,4405300
11/12/2021,8.73,8.75,8.49,8.63,-0.11,-1.26%,3075100
11/11/2021,8.93,9.15,8.64,8.74,0.02,+0.23%,3537800
11/10/2021,9.31,9.37,8.62,8.72,-0.67,-7.14%,4372800
11/09/2021,9.3,9.4,8.8289,9.39,0.04,+0.43%,4218200
11/08/2021,8.84,9.4,8.8,9.35,0.75,+8.72%,5842800
11/05/2021,9.12,9.15,8.36,8.6,-0.73,-7.82%,6168500
11/04/2021,9.65,9.67,9.175,9.33,-0.09,-0.96%,2610100
11/03/2021,9.34,9.68,9.17,9.42,-0.08,-0.84%,2778000
11/02/2021,9.59,9.69,9.33,9.5,-0.04,-0.42%,2819600
11/01/2021,9.31,9.58,9.19,9.54,0.32,+3.47%,3985400
10/29/2021,9.08,9.57,8.8797,9.22,0.08,+0.88%,5482200
10/28/2021,8.49,9.25,8.481,9.14,0.7,+8.29%,4404500
10/27/2021,8.84,8.8518,8.39,8.44,-0.4,-4.52%,3715900
10/26/2021,9,9.14,8.84,8.84,-0.19,-2.10%,2627800
10/25/2021,8.7,9.08,8.69,9.03,0.38,+4.39%,3153400
