Time,Open,High,Low,Last,Change,%Chg,Volume
01/19/2023,36.88,37.405,36.794,37.21,0.08,+0.22%,47000
01/18/2023,37.38,37.5,37.01,37.13,-0.55,-1.46%,48400
01/17/2023,37.85,37.92,37.5799,37.68,-0.31,-0.82%,32700
01/13/2023,37.72,38.26,37.5,37.99,0.01,+0.03%,34800
01/12/2023,37.55,38.12,37.52,37.98,0.51,+1.36%,32300
01/11/2023,37.57,37.66,37.285,37.47,-0.14,-0.37%,30600
01/10/2023,36.99,37.65,36.938,37.61,0.56,+1.51%,31400
01/09/2023,37.53,37.54,37,37.05,-0.48,-1.28%,35800
01/06/2023,36.77,37.61,36.77,37.53,0.94,+2.57%,48400
01/05/2023,36.76,36.8,36.4,36.59,-0.32,-0.87%,44500
01/04/2023,37.1,37.49,36.75,36.91,0.05,+0.14%,40000
01/03/2023,37.29,37.6,36.63,36.86,-0.44,-1.18%,57300
12/30/2022,37.31,37.5,37.16,37.3,-0.08,-0.21%,45900
12/29/2022,37.02,37.45,36.98,37.38,0.47,+1.27%,61300
12/28/2022,37.08,37.35,36.88,36.91,-0.18,-0.49%,54100
12/27/2022,37.38,37.52,37.09,37.09,-0.18,-0.48%,43800
12/23/2022,37.04,37.53,36.8,37.27,0.39,+1.06%,33000
12/22/2022,37.11,37.25,36.57,36.88,-0.29,-0.78%,47600
12/21/2022,36.6,37.35,36.6,37.17,0.74,+2.03%,52200
12/20/2022,36.31,36.6,36.28,36.43,0.18,+0.50%,43100
12/19/2022,36.39,36.6,36.1,36.25,-0.25,-0.68%,62200
12/16/2022,36.39,36.65,35.95,36.5,0.2,+0.55%,215800
12/15/2022,36.8,36.94,36.13,36.3,-0.8,-2.16%,58900
12/14/2022,37.7,38,37.03,37.1,-0.84,-2.21%,50800
12/13/2022,37.87,38.5,37.3,37.94,0.29,+0.77%,171700
12/12/2022,37.52,37.9199,37.11,37.65,0.14,+0.37%,51000
12/09/2022,37.46,37.67,37.32,37.51,-0.12,-0.32%,37000
12/08/2022,37.54,37.8,37.359,37.63,0.08,+0.21%,38700
12/07/2022,37.94,38.08,37.55,37.55,-0.33,-0.87%,32401
12/06/2022,38.3,38.34,37.75,37.88,-0.33,-0.86%,33200
12/05/2022,39,39,37.79,38.21,-0.97,-2.48%,53100
12/02/2022,39.09,39.33,38.83,39.18,-0.08,-0.20%,47200
12/01/2022,39.77,39.94,39.06,39.26,-0.6,-1.51%,49800
11/30/2022,39.06,39.885,38.49,39.86,0.78,+2.00%,113000
11/29/2022,38.92,39.29,38.92,39.08,0.03,+0.08%,44500
11/28/2022,39.63,39.63,38.86,39.05,-0.7,-1.76%,29700
11/25/2022,39.66,39.75,39,39.75,0.24,+0.61%,18200
11/23/2022,39.96,39.99,39.4,39.51,-0.34,-0.85%,28000
11/22/2022,39.99,40,39.01,39.85,0.12,+0.30%,62300
11/21/2022,39.58,39.8827,39.18,39.73,0.38,+0.97%,54400
11/18/2022,39.66,39.87,39.01,39.35,0.26,+0.67%,60400
11/17/2022,38.73,39.09,38.648,39.09,0.06,+0.15%,50700
11/16/2022,39.63,39.63,38.94,39.03,-0.45,-1.14%,34700
11/15/2022,39.51,39.85,38.92,39.48,0.1,+0.25%,59600
11/14/2022,39.35,39.69,38.97,39.38,0.19,+0.48%,57601
11/11/2022,40.22,40.33,39.16,39.19,-0.9,-2.24%,50502
11/10/2022,39.93,40.53,37.49,40.09,0.99,+2.53%,77100
11/09/2022,38.98,39.425,38.8,39.1,-0.18,-0.46%,56500
11/08/2022,39.96,40.17,39.07,39.28,-0.59,-1.48%,40800
11/07/2022,39.78,40.205,39.51,39.87,-0.06,-0.15%,63700
11/04/2022,39.2,39.93,39.2,39.93,0.92,+2.36%,41100
11/03/2022,38.78,39.33,38.55,39.01,0,0.00%,41600
11/02/2022,39.34,39.88,38.875,39.01,-0.41,-1.04%,70200
11/01/2022,39.06,40.15,38.732,39.42,0.13,+0.33%,133400
10/31/2022,38.82,39.5,38.82,39.29,0.19,+0.49%,54500
10/28/2022,38.29,39.33,38.2,39.1,1.06,+2.79%,64400
10/27/2022,38.22,38.85,37.98,38.04,-0.11,-0.29%,45602
10/26/2022,38.27,38.6139,37.5,38.15,0.18,+0.47%,37600
10/25/2022,38.12,38.56,37.54,37.97,-0.02,-0.05%,42200
10/24/2022,37.75,38.05,37.71,37.99,0.4,+1.06%,39000
10/21/2022,37.25,38.97,36.98,37.59,0.61,+1.65%,70400
10/20/2022,38.35,38.35,36.76,36.98,-1.25,-3.27%,47100
10/19/2022,37.33,38.28,37.27,38.23,0.83,+2.22%,61801
10/18/2022,38,38.14,37.25,37.4,-0.51,-1.35%,80900
10/17/2022,37.6,37.96,37.56,37.91,0.53,+1.42%,65300
10/14/2022,37.96,38,37.28,37.38,-0.51,-1.35%,44400
10/13/2022,36.18,38,36.18,37.89,1.32,+3.61%,56900
10/12/2022,36.24,36.95,36.04,36.57,0.15,+0.41%,54700
10/11/2022,36.12,36.52,35.96,36.42,0.11,+0.30%,37100
10/10/2022,35.8,36.34,35.8,36.31,0.49,+1.37%,32600
10/07/2022,36.77,36.77,35.69,35.82,-1.15,-3.11%,40700
10/06/2022,36.68,37.14,36.6,36.97,-0.07,-0.19%,35200
10/05/2022,37.05,37.46,36.73,37.04,-0.24,-0.64%,31800
10/04/2022,36.44,37.3,36.44,37.28,1.09,+3.01%,41500
10/03/2022,35.78,36.41,35.55,36.19,0.48,+1.34%,58800
09/30/2022,36.1,36.55,35.5,35.71,-0.5,-1.38%,67400
09/29/2022,36.39,36.555,35.96,36.21,-0.38,-1.04%,40700
09/28/2022,36.43,36.99,36.22,36.59,0.33,+0.91%,51900
09/27/2022,37.09,37.13,36.13,36.26,-0.62,-1.68%,43200
09/26/2022,36.82,37.3,36.75,36.88,-0.22,-0.59%,47200
09/23/2022,37.23,37.425,36.66,37.1,-0.36,-0.96%,41500
09/22/2022,38.08,38.08,37.19,37.46,-0.62,-1.63%,40300
09/21/2022,38.28,38.6,37.95,38.08,-0.22,-0.57%,47000
09/20/2022,37.88,38.36,37.81,38.3,0.08,+0.21%,36200
09/19/2022,37.24,38.24,36.78,38.22,0.68,+1.81%,46200
09/16/2022,37.17,37.54,36.0854,37.54,0.15,+0.40%,119700
